place_as_recorded,authorized_label,structured_value
Italy,,http://vocab.getty.edu/tgn/1000080
Italy (?),,http://vocab.getty.edu/tgn/1000080
Italy (Fabriano),Italy|Fabriano,http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7004004
"Italy, Campania",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003005
"Italy, Campania (?)",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003005
"Italy, Campania?",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003005
"Italy, Emilia-romagna",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7008516
"Italy, Ferrara",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7004264
"Italy, Latium",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7594274
"Italy, Latium (?)",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7594274
"Italy, Lazio",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003080
"Italy, Lazio?",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003080
"Italy, Liguria",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003236
"Italy, Lombardy",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003237
"Italy, Lombardy or Savoy",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003237;http://vocab.getty.edu/tgn/7024413
"Italy, Lombardy?",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003237
"Italy, Piedmont",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003120
"Italy, Sicily",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003122
"Italy, Tuscany",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7009760
"Italy, Tuscany (?)",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7009760
"Italy, Tuscany?",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7009760
"Italy, Umbria",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003125
"Italy, Umbria ?",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003125
"Italy, Umbria?",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003125
"Italy, Veneto",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7002997
"Italy, Veneto ?",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7002997
Italy?,,http://vocab.getty.edu/tgn/1000080
"Italy?, Emilia Romagna",,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7008516
"London?, England",,http://vocab.getty.edu/tgn/7011781;http://vocab.getty.edu/tgn/7002445
Low Countries,,http://vocab.getty.edu/tgn/7029439
"Low Countries, Lorraine",,http://vocab.getty.edu/tgn/7029439;http://vocab.getty.edu/tgn/7024272
Low countries,,http://vocab.getty.edu/tgn/7029439
Malta,,http://vocab.getty.edu/tgn/7005729
Mexico,,http://vocab.getty.edu/tgn/7005560
"Milan, Italy",,http://vocab.getty.edu/tgn/7005903;http://vocab.getty.edu/tgn/1000080
"Milan, Lombardy, Italy",,http://vocab.getty.edu/tgn/7005903;http://vocab.getty.edu/tgn/7003237;http://vocab.getty.edu/tgn/1000080
Morocco,Morocco,http://vocab.getty.edu/tgn/1000179
"Naples, Italy",,http://vocab.getty.edu/tgn/7004474;http://vocab.getty.edu/tgn/1000080
Netherlands,,http://vocab.getty.edu/tgn/7016845
"Netherlands (now Ger, Cleves",,http://vocab.getty.edu/tgn/7016845;http://vocab.getty.edu/tgn/7647352;http://vocab.getty.edu/tgn/7012313
"Netherlands, Brabant",,http://vocab.getty.edu/tgn/7016845;http://vocab.getty.edu/tgn/7003463
"Netherlands, Holland",,http://vocab.getty.edu/tgn/7016845;http://vocab.getty.edu/tgn/1003759
Netherlands?,,http://vocab.getty.edu/tgn/7016845
Nola,Nola,http://vocab.getty.edu/tgn/7004644
North Africa,North Africa,http://vocab.getty.edu/tgn/7016886
Northern Italy,Northern Italy,http://vocab.getty.edu/tgn/4005363
"Oxford, England",,http://vocab.getty.edu/tgn/7011931;http://vocab.getty.edu/tgn/7002445
"Oxford?, England",,http://vocab.getty.edu/tgn/7011931;http://vocab.getty.edu/tgn/7002445
"Padua or Venice, Italy",,http://vocab.getty.edu/tgn/7003085;http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/1000080
"Padua?, Italy",Padua|Italy,http://vocab.getty.edu/tgn/7003085|http://vocab.getty.edu/tgn/1000080
Paris,Paris,http://vocab.getty.edu/tgn/7008038
"Paris, France",,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070
"Paris?, France",Paris|France,http://vocab.getty.edu/tgn/7008038|http://vocab.getty.edu/tgn/1000070
Persia,Persia,http://vocab.getty.edu/tgn/7024079
"Pontigny?, France",,http://vocab.getty.edu/tgn/7008254;http://vocab.getty.edu/tgn/1000070
Prague,,http://vocab.getty.edu/tgn/7006464
Provence or Spain,Provence|Spain,http://vocab.getty.edu/tgn/7012209|http://vocab.getty.edu/tgn/1000095
"Reims, France",,http://vocab.getty.edu/tgn/7011060;http://vocab.getty.edu/tgn/1000070
"Reims?, France",,http://vocab.getty.edu/tgn/7011060;http://vocab.getty.edu/tgn/1000070
Rome,Rome,http://vocab.getty.edu/tgn/7000874
"Rome?, Italy",Rome|Italy,http://vocab.getty.edu/tgn/7000874|http://vocab.getty.edu/tgn/1000080
"Rougeval, Belgium (near Brussels)",Belgium|Brussels,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7007868
"Siena?, Italy",,http://vocab.getty.edu/tgn/7011179;http://vocab.getty.edu/tgn/1000080
Southern France (?) or Italy,Southern France|Italy,http://vocab.getty.edu/tgn/4004037|http://vocab.getty.edu/tgn/1000080
Spain,,http://vocab.getty.edu/tgn/1000095
Spain (?),,http://vocab.getty.edu/tgn/1000095
"Spain, Catalonia",,http://vocab.getty.edu/tgn/1000095;http://vocab.getty.edu/tgn/7030216
"Spain, Valencia",,http://vocab.getty.edu/tgn/1000095;http://vocab.getty.edu/tgn/7008769
Spain?,,http://vocab.getty.edu/tgn/1000095
Switzerland,,http://vocab.getty.edu/tgn/7011731
Switzerland; Germany,,http://vocab.getty.edu/tgn/7011731;http://vocab.getty.edu/tgn/7000084
Switzerland?,,http://vocab.getty.edu/tgn/7011731
Syria,Syria,http://vocab.getty.edu/tgn/1000140
"Šibenik, Croatia",Šibenik|Croatia,http://vocab.getty.edu/tgn/7015447|http://vocab.getty.edu/tgn/7006663
Turkey,Turkey,http://vocab.getty.edu/tgn/1000144
Undetermined,,http://vocab.getty.edu/tgn/7544559
Unknown,,http://vocab.getty.edu/tgn/7544559
Upper Saxony,Obersachsen,http://vocab.getty.edu/tgn/7114973
"Verona?, Italy",,http://vocab.getty.edu/tgn/7003262;http://vocab.getty.edu/tgn/1000080
"Wales, Gwent",,http://vocab.getty.edu/tgn/7002443;http://vocab.getty.edu/tgn/7008046
