genre_as_recorded,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
Abridgements,aat,,abridgements,http://vocab.getty.edu/aat/300202489,Q2797
Abridgements,openn-form/genre,,abridgements,http://vocab.getty.edu/aat/300202489,Q2797
Abridgments,fast,,Abridgments,http://id.worldcat.org/fast/1726571,Q3638
Abridgments,lcgft,,Abridgments,http://id.worldcat.org/fast/1726571,Q3638
Abstracts (summaries),aat,,abstracts (summaries),http://vocab.getty.edu/aat/300026032,Q6912
academic,ds-genre,,academia (learning concept),http://vocab.getty.edu/aat/300266107,Q42425
Academic Dissertation,,https://id.nlm.nih.gov/mesh/D019478,academic dissertations,http://vocab.getty.edu/aat/300417749,Q42587
Accordion fold format (Binding),rbbin,,Accordion fold format,http://id.loc.gov/vocabulary/rbmscv/cv00024,Q42550
Accordion fold format (Binding)--19th century,rbbin,,Accordion fold format;Nineteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00024;http://id.worldcat.org/fast/1037841,Q42550;Q3538
Accordion fold format (Binding)--Indonesia,rbbin,,Accordion fold format;Indonesia,http://id.loc.gov/vocabulary/rbmscv/cv00024;http://id.worldcat.org/fast/1209242,Q42550;Q38456
Accordion fold format (Binding)--Indonesia--19th century,rbbin,,Accordion fold format;Indonesia;Nineteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00024;http://id.worldcat.org/fast/1209242;http://id.worldcat.org/fast/1037841,Q42550;Q38456;Q3538
Accordion fold format (Binding)--Thailand--18th century,rbbin,,Accordion fold format;Thailand;Eighteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00024;http://id.worldcat.org/fast/1205310;http://id.worldcat.org/fast/904058,Q42550;Q26903;Q3024
account books,aat,,account books,http://vocab.getty.edu/aat/300027483,Q4178
Account books,aat,,account books,http://vocab.getty.edu/aat/300027483,Q4178
Account books,fast,(OCoLC)fst01750150,Account books,http://id.worldcat.org/fast/1750150,Q42548
Account books,fast,,Account books,http://id.worldcat.org/fast/1750150,Q42548
Account books,lcgft,,Account books,http://id.worldcat.org/fast/1750150,Q42548
Account books,lcgft,http://id.loc.gov/authorities/genreForms/gf2017026136,Account books,http://id.worldcat.org/fast/1750150,Q42548
Account books,rbgenr,,Account books,http://id.loc.gov/vocabulary/rbmscv/cv00027,Q17502
Account books--1855-1864,rbgenr,,Account books,http://id.loc.gov/vocabulary/rbmscv/cv00027,Q17502
Account books--Belgium--17th century,aat,,account books;Belgium;Seventeenth century,http://vocab.getty.edu/aat/300027483;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/1113663,Q4178;Q16301;Q2771
Account books--Iran--19th century,aat,,account books;Iran;Nineteenth century,http://vocab.getty.edu/aat/300027483;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1037841,Q4178;Q16384;Q3538
Account books--Italy--Florence--15th century,aat,,account books;Italy--Florence;Fifteenth century,http://vocab.getty.edu/aat/300027483;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/923962,Q4178;Q3604;Q154
Account books--Turkey--18th century,aat,,account books;Turkey;Eighteenth century,http://vocab.getty.edu/aat/300027483;http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/904058,Q4178;Q4294;Q3024
accounts,aat,,accounts,http://vocab.getty.edu/aat/300145802,Q178
Accounts,aat,,accounts,http://vocab.getty.edu/aat/300145802,Q178
Actes formalistes,rvmgf,,Deeds,http://id.worldcat.org/fast/1774263,Q38455
Actes instrumentaires,rvmgf,,Legal instruments,http://id.worldcat.org/fast/1774279,Q27390
Action and adventure fiction,fast,,Action and adventure fiction,http://id.worldcat.org/fast/1921574,Q42594
Action and adventure fiction,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026217,Action and adventure fiction,http://id.worldcat.org/fast/1921574,Q42594
Addresses,rbgenr,,Addresses,http://id.loc.gov/vocabulary/rbmscv/cv00038,Q17501
administrative,ds-genre,,administration,http://vocab.getty.edu/aat/300133011,Q42422
Adventure stories,aat,http://vocab.getty.edu/aat/300254790,adventure stories,http://vocab.getty.edu/aat/300254790,Q26989
Agreements,aat,,agreements,http://vocab.getty.edu/aat/300027628,Q7113
Albums (books),aat,,albums (books),http://vocab.getty.edu/aat/300026690,Q27466
Albums (Books),lcgft,,Albums (Books),http://id.worldcat.org/fast/1726784,Q5825
Allegories,aat,,allegories (literary genre),http://vocab.getty.edu/aat/300202507,Q7395
Allegories,fast,,Allegories,http://id.worldcat.org/fast/1726523,Q42596
Allegories,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026218,Allegories,http://id.worldcat.org/fast/1726523,Q42596
Allégories,rvmgf,,Allegories,http://id.worldcat.org/fast/1726523,Q42596
allegories (literary genre),ds-genre,,allegories (literary genre),http://vocab.getty.edu/aat/300202507,Q7395
Almanacs,aat,,almanacs,http://vocab.getty.edu/aat/300026705,Q3025
Almanacs,fast,,Almanacs,http://id.worldcat.org/fast/1423872,Q2788
Almanacs,lcgft,,Almanacs,http://id.worldcat.org/fast/1423872,Q2788
Almanacs--Germany--15th century,aat,,almanacs;Germany;Fifteenth century,http://vocab.getty.edu/aat/300026705;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962,Q3025;Q3032;Q154
Alphabet books,lcsh,,Alphabet books,http://id.worldcat.org/fast/2015172,Q48759
Alphabet books--Switzerland--16th century,aat,,alphabet books;Switzerland;Sixteenth century,http://vocab.getty.edu/aat/300202510;http://id.worldcat.org/fast/1205401;http://id.worldcat.org/fast/1119851,Q38418;Q4281;Q335
Alphabets (symbols),aat,,alphabets (symbols),http://vocab.getty.edu/aat/300255216,Q3629
Ambrosian chants,lcsh,,Ambrosian chants,http://id.worldcat.org/fast/2071598,Q38423
amulets,openn-form/genre,,amulets,http://vocab.getty.edu/aat/300266585,Q38424
Amulets,aat,,amulets,http://vocab.getty.edu/aat/300266585,Q38424
Amulets,openn-form/genre,,amulets,http://vocab.getty.edu/aat/300266585,Q38424
Amulets (Islam),lcsh,,Amulets (Islam),http://id.worldcat.org/fast/808068,Q27049
Anagrams,aat,,anagrams,http://vocab.getty.edu/aat/300202515,Q38425
Anecdotes,fast,(OCoLC)fst01423876,Anecdotes,http://id.worldcat.org/fast/1423876,Q27204
Anecdotes,lcgft,,Anecdotes,http://id.worldcat.org/fast/1423876,Q27204
Anecdotes,rvmgf,,Anecdotes,http://id.worldcat.org/fast/1423876,Q27204
animal husbandry,ds-genre,,animal husbandry (discipline),http://vocab.getty.edu/aat/300254388,Q42412
Animal stories,aat,http://vocab.getty.edu/aat/300254800,animal stories,http://vocab.getty.edu/aat/300254800,Q27190
Animal stories,aat,,animal stories,http://vocab.getty.edu/aat/300254800,Q27190
Annales et chroniques,rvmgf,,Annals and chronicles,http://id.worldcat.org/fast/1919892,Q336
Annalsandchronicles,lcgft,,Annals and chronicles,http://id.worldcat.org/fast/1919892,Q336
Annals and chronicles,fast,,Annals and chronicles,http://id.worldcat.org/fast/1919892,Q336
Annals and chronicles,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026045,Annals and chronicles,http://id.worldcat.org/fast/1919892,Q336
Annals and chronicles,lcgft,,Annals and chronicles,http://id.worldcat.org/fast/1919892,Q336
annotations,aat,,annotations,http://vocab.getty.edu/aat/300026100,Q251
Annotations,rbmscv,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102,Q2982
Annotations,aat,,annotations,http://vocab.getty.edu/aat/300026100,Q251
Annotations (Provenance),openn-form/genre,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102,Q2982
Annotations (Provenance),rbprov,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102,Q2982
anthologies,aat,,anthologies,http://vocab.getty.edu/aat/300026037,Q341
Anthologies,aat,,anthologies,http://vocab.getty.edu/aat/300026037,Q341
Anthologies,openn-form/genre,,anthologies,http://vocab.getty.edu/aat/300026037,Q341
Anthologies,rbmscv,,Anthologies,http://id.loc.gov/vocabulary/rbmscv/cv00104,Q42595
Anthropomorphic initials,rbgenr,,Anthropomorphic letters,http://id.loc.gov/vocabulary/rbmscv/cv00943,Q12570
Antiphonaires,rvmgf,,Antiphonaries (Service books),http://id.worldcat.org/fast/1920004,Q4297
antiphonaries,aat,,antiphonaries,http://vocab.getty.edu/aat/300188812,Q6845
antiphonaries,ds-genre,,antiphonaries,http://vocab.getty.edu/aat/300188812,Q6845
Antiphonaries,aat,,antiphonaries,http://vocab.getty.edu/aat/300188812,Q6845
Antiphonaries,rbgenr,,Antiphonaries,http://id.loc.gov/vocabulary/rbmscv/cv00118,Q10815
Antiphonaries (Service books),fast,,Antiphonaries (Service books),http://id.worldcat.org/fast/1920004,Q4297
Antiphonaries (Service books),lcgft,http://id.loc.gov/authorities/genreForms/gf2014026636,Antiphonaries (Service books),http://id.worldcat.org/fast/1920004,Q4297
Antiphonaries (Service books),lcgft,,Antiphonaries (Service books),http://id.worldcat.org/fast/1920004,Q4297
Antiphonaries--France--18th century,aat,,antiphonaries;France;Eighteenth century,http://vocab.getty.edu/aat/300188812;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/904058,Q6845;Q152;Q3024
