title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Reissue of a merced to Diego de Carvajal for the sweepings and washings of gold and silver from smelters in New Spain,,,,Land grant,Q27821,,
"Cédula containing ordinances regulating repartimientos, tax collection, and the treatment of Indians in New Spain",,,,Ordinances,Q12786,,
Royal cédula ordering tighter controls on the use of substitutes for professors at the university in Mexico City,,,,Royal document,Q39747,,
Cartello no. 4 riguardante l'elezione del priore del popolo fiorentino tutte quattro spettanti la persona d'Angiolo Sacchetti come priore eletto in quattro diversi tempi; a di 1 novembre 1511,,,,Election notice,Q67712,,
Report of a council meeting of bishops and priests in Mexico City to discuss their ministry to the Indians,,,,Report,Q7243,,
"Letter; Mexico [City], to Charles V of Spain",,,,Letter,Q1454,,
Official copy of royal cedulas from the real cedulario of the Audiencia de Guatemala,,,,Royal document,Q39747,,
"Escritura por la cual Dn. Franco. de Guzman agregó al Mayorazgo de su Casa una Espada y Daga, una Jarra y Salva de oro y un Cuerno de Bada, labrado de gran virtud para la salud; ante Luis de Contreras en Manila 7 de Junio de 1597",,,,Deed,Q1319,,
Documents concerning the encomiendas of Margarita de Legaspi and her sister Teresa Garcés in the pueblos of Izmiquilpa and Zumpango,,,,Documents,Q5023,,
Relacion del viaje y jornada que larmada de su Mag. hizo del descubrimiento de las Yslas del poniente; que partio del puorto de la navidad delano 1564 de que fue por general el muy Illmo. señor Miguel Lopez de Legaspi,,,,Report,Q7243,,
Missale,,Missal,,Missal,Q662,,
"Incipiu[n]t Ep[isto]l[a]e et Eva[n]gelia, qu[a]e in diebus dominicis p[er] anni totius circulum legu[n]t[u]r; traducta in lingua[m] Mexicana[m",,Lectionary,,Lectionary,Q663,,
Codex Zempoala,,Codex Cempoallan,,Codex,Q1361,,
Dictionarium ex Hisniensi in Latinum sermonem /,,Dictionarium,,Dictionary,Q7823,,
Comienc̨a un exercicio en lengua mexicana sacado del Sancto Evango. y distribuido por todos los días de la semana; contiene meditaciones devotas muy provechosas para qualquier [christ]iano. que se quiere llegar a Dios,,,,Devotional text,Q19956,,
"Siguense unos sermones de dominicas y de santos en lengua mexicana; no traduzidos de un sermonario alguno, sino co[m]puestos nuevamente a la medida de la capacidad de los indios",,,,Sermons,Q1400,,
"Siguense veynte y seis addiciones desta postilla; las quales hizo el auctor della despues de muchos años que la avía hecho, ante que se imprimiese /",,,,,,,
"Arte de las tres lenguas kakchiquel, quiché y tzutuhil",,Tesoro de las tres lenguas,,Tesoro de las tres lenguas,Q67271,,
"Varias coplas, versos é himnos en la lengua de Cobán de Verapaz sobre los misterios de la religión; para uso de los neofitos de la dicha provincia /",,,,Hymns,Q3715,,
Tratado de la doctrina /,,Luz del alma cristiana,,Luz del alma cristiana,Q67272,,
Egregium opus fratris Dominici Dehara; de comparacionibus & similtudinibus,,,,Text on logic,Q20450,,
Livy; books 21-30 chap. 36.2,,Ab urbe condita,,History of Rome,Q1324,,
"Castelvetro manuscripts of ""relazioni,"" etc.",,,,Documents,Q5023,,
Fragment of a Latin gradual,,Gradual,,Gradual,Q1121,,
Fragment of Dives and pauper,,Dives and pauper,,Rich man and Lazarus,Q67273,,
Antiphonary fragment,,Antiphonary,,Antiphonary,Q654,,
Spanish gradual,,Gradual (Pre-Vatican II),,Gradual,Q1121,,
Papyrus fragment,,Iliad,,Iliad,Q67268,,
"Report to the Privy Council on the execution of Mary, Queen of Scots",,,,Report,Q7243,,
"Passport for travel in France for Alexander Naper of Marthamston, and Andrew Bruse [?] of Powfoichs [?",,,,Passport,Q67274,,
"Letter; Sheffield [England], to Monsieur Beale, secretaire du Conseil d'Ang[leter]re., [London, England",,,,Letter,Q1454,,
Household accounts for the French royal household in Amboise,,,,Accounts,Q7851,,
Requiem Mass from a Latin gradual,,Gradual,,Gradual,Q1121,,
Antiphonary for Palm Sunday,,Antiphonary,,,,Antiphonary,Q654
Prayer-book,,,,Prayer book,Q1486,,
