title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
"""A viro prudente...""",,,,A viro prudente
"""Lancelot Proper""",,,,Roman de Lancelot
[Bible].,,,,Bible
[Biblia sacra].,,,,Bible
[Book of hours (Use of Paris)].,,,,Book of hours
[Book of hours (Use of Rouen)].,,,,Book of hours
[Book of hours].,,,,Book of hours
[Breviary],,,,Breviary
[Enchiridion] (fragmentary).,,,,Enchiridion
[Missal].,,,,Missal
[Psalter],,,,Psalter
12 miniatures with Biblical Scenes,,,,Miniatures;Biblical scenes
"15th century breviary for feast of August 29,30, September 8",,,,Breviary
Abbadia San Salvatore property lien,,,,Property lien
"Abbreviation of Peter of Tarentaise's commentary on Peter Lombard's Sententiarum, libri IV",,,,Commentary on Peter Lombard's Sententiarum
Abbreviatio Summae Guillelmi Altissiodorensis /,,,,Summae Guillelmi Altissiodorensis
Abridged Latin translation of the Nichomachean ethics and some commentaries on Aristotle,,,,Nichomachean ethics
Abscondita naturae,,,,Abscondita naturae
Ab urbe condita,,,,Ab urbe condita
"Academic exercise (prolusion) on rising early, including an essay on the saying mane citus lectum fuge, and two poems, Surge, age surge, leves, iam convenit arcere somnes ; and Ignavus satrapam dedecet inclytum",,,,Academic treatises;Poems;Carmina Elegiaca
Acciaiuoli family correspondence,,,,Family documents
Account book,,,,Account book
Account book and record of transactions,,,,Account book
Account book of Vincenzo Spada,,,,Account book
Account of payments,,,,Account book
Accounts book,,,,Accounts book
Accounts of William Pawlett in Dorset,,,,Accounts book
Acerba,,,,Acerba
Acknowledgment of loan,,,,Loan
A collection of devotional tracts,,,,Devotional literature
A collection of Italian lyric poetry; primarily Petrarch's Canzoniere,,,,Canzoniere
A collection of mediaeval devotional works in Italian,,,,Devotional literature
A collection of uncatalogued leaves,,,,Leaves
Acta pronumptiationis tenute et licentie generalis pro Bernardo Alamanni de Medicis,,,,Acta pronumptiationis tenute et licentie generalis
Act concerning the monastery of San Spirito,,,,Act concerning monasteries
Act of exchange of property,,,,Act of property exchange
Acts,,,,Acts
Ad adolescentes de legendis libris gentilium (Address to young men on the right use of greek literature),,,,Ad adolescentes de legendis libris gentilium
Adam Luce Dominici deed of sale,,,,Deed
"Additions to Statuta, constitutiones ac decreta ducalis provincae Friniani",,,,"Statuta, constitutiones ac decreta"
Addresses and letters,,,,Letters
"Ad invictissimum Maximilianum II, el. Romanum Imperatorem Augustum",,,,To Maximilian II
Admission letter to the Third Order Secular of St. Francis,,,,Letters
Adoration of the Magi,,,,Miniature
A dream of bounden dutie,,,,A Dream of Bounden Dutie
Ad statutum positum sub rubrica de contractibus cum minoribus,,,,Ad statutum positum sub rubrica de contractibus cum minoribus
Aeneid,,,,Aeneid
Africa,,,,Africa
A geometricall extraction for all affected to the mathematickes,,,,A geometrical extraction for all affected to the mathemematiks
Agnihotrahomaprayoga,"अग्निहोत्रहोमप्रयोग,",,,Agnihotrahomaprayoga
Agreement,,,,Agreement
Agreement pertaining to the rents and privileges of the Canons Regular of Urgel,,,,Agreement
A Heu Glossary,,,,Glossary
Alamanno Taviani power of attorney,,,,Power of attorney
