title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Phalaridis Epistolae,,,,,,Letters of Phalaris,Q823
Sermons for the temporale,,,,,,Sermons for the temporale,Q820
Theological material?,,,,,,Theological text,Q5950
Re'gime du corps,,,,,,Régime du corps,Q824
M ccc lxxxxii. Qui chomincia la fisicha del maestro Aldobrandino da Siena il quale chonpuose in linghua franciescha della santa del chorpo del uomo e di ciaschuno nenbro per se traslatata in volghare per ser Zucchero Bencivenni notaio fiorentino . . .,,,,,,De regimine sanitatis,Q818
Antiphonal,,,,,,Antiphonary,Q654
Medical recipes,,,,,,Medical texts,Q817
Book of Hours,,,,,,Book of hours,Q795
"Psalter, diurnal",,,,,,Psalter,Q660
De corpore et sanguine Domini,,,,,,De corpore et sanguine Domini,Q812
De die iudicii,,,,,,De die Iudicii,Q814
Incipit epistola Petri Damiani de die iudicii,,,,,,De die Iudicii,Q814
"Book of Hours, use of Rome",,,,,,Book of hours,Q795
"History of France and England during the reigns of Henry IV, Henry V, Henry VI",,,,,,History of France,Q819
Lease,,,,,,Lease,Q815
Document,,,,,,Document,Q8301
Rhetorica ad Herennium,,,,,,Rhetorica ad Herennium,Q816
Summa de casibus conscientiae,,,,,,Summa de casibus conscientiae,Q813
