name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Samuel ben Judah, of Marseilles, 1294-",author,,,human,Samuel de Marseille,Q3471276,DSNAME8591,Q76708,,,,
"Ḥefeẓ ben Yaẓliʼaḥ, active 10th century",author,,,human,Ḥefeẓ ben Yaẓliʼaḥ,Q133849444,DSNAME8592,Q76709,,,,
Daṿid ben Benayah ben Seʻadyah ben Zekharyah,scribe,דוד בן בניה בן זכריה,,,,,,,human,Daṿid ben Benayah ben Seʻadyah ben Zekharyah,Q116324054,Q3805
"Altsaʻadi, Seʻadyah ben Yehudah",former owner,"אלצעבי, סדעיה בן יהודה",,,,,,,human,Seʻadyah ben Yehudah Altsaʻadi,Q116235831,Q3806
Dropsie College for Hebrew and Cognate Learning,former owner,,,,,,,,organization,Dropsie College for Hebrew and Cognate Learning,Q65088719,Q3785
"Jacob, of Marvège, 12th/13th century",author,,,human,Jacob HaLevi of Marvège,Q24038338,DSNAME8593,Q76710,,,,
"Vital, Ḥayyim ben Joseph, 1542 or 1543-1620",author,,,,,,,,human,Hayyim ben Joseph Vital,Q2302424,Q75576
"Maimonides, Moses, 1135-1204",author,,http://id.loc.gov/authorities/names/n78096039 http://id.loc.gov/authorities/names/n78096039 http://viaf.org/viaf/sourceID/LC%7cn78096039,,,,,,human,Moshe ben Maimon,Q127398,Q12310
"Amram, David Werner, 1866-1939",former owner,,http://id.loc.gov/authorities/names/n85197110,,,,,,human,David Werner Amram,Q5240973,Q3791
"Averroës, 1126-1198",author,,,,,,,,human,Averroes,Q39837,Q3262
"Judah ben Jacob, 15th century",scribe,,,,,,,,human,Judah ben Jacob,Q116446930,Q3263
"Hirschel, Solomon, 1761-1842",former owner,,,,,,,,human,Solomon Hirschell,Q2299213,Q2855
"Jews' College (London, England)",former owner,,http://id.loc.gov/authorities/names/n50043083,,,,,,organization,London School of Jewish Studies,Q6670742,Q2856
