name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Isidore, of Seville, Saint, -636",author,,http://id.loc.gov/authorities/names/n80139470,,,,,,human,Isidore of Seville,Q166876,Q428
"Christine, de Pisan, approximately 1364-approximately 1431",author,,,,,,,,human,Christine de Pizan,Q234816,Q16443
"Yemeniz, Nicolas, 1775-1871",former owner,,,,,,,,human,Nicolas Yemeniz,Q54517667,Q16444
"Rosenthal, Erwin, 1889-1981",former owner,,,,,,,,human,Erwin Rosenthal,Q63969778,Q16445
"Augustine, Saint, Bishop of Hippo",author,,http://viaf.org/viaf/66806872/,,,,,,human,Augustine of Hippo,Q8018,Q1515
Master of the Boston City of God,illuminator,,,,,,,,human,Antonnis Rogiersz. Uten Broec,Q2683907,Q16446
"Ghisberti, Theodoricus",scribe,,,,,,,,human,Theodoricus Ghisberti,Q123274764,Q16447
"Bragge, William, 1823-1884",former owner,,,,,,,,human,William Bragge,Q15453218,Q1850
"Thompson, Henry Yates, 1838-1928",former owner,,,,,,,,human,Henry Yates Thompson,Q2044609,Q1689
"Cockerell, Sydney Carlyle, Sir, 1867-1962",former owner,,,,,,,,human,Sydney Cockerell,Q966843,Q1609
Henry Young (Firm),former owner,,,,,,,,organization,Henry Young and Sons,Q120869253,Q16448
"Bredon, Simon, -1372",author,,,,,,,,human,Simon Bredon,Q585089,Q16449
"Pol, Nicolaus, approximately 1470-1532",former owner,,,,,,,,human,Nicolaus Pol,Q16863474,Q16450
Franziskanerkloster Innichen,former owner,,,,,,,,organization,Franciscan Friary Innichen,Q1450332,Q16451
Ludwig Rosenthal's Antiquariat,former owner,,,,,,,,organization,Ludwig Rosenthal's Antiquariaat,Q120442752,Q16452
H.P. Kraus (Firm),former owner,,,,,,,,organization,H. P. Kraus (firm),Q113864096,Q1676
Catholic Church,author,,http://viaf.org/viaf/130782063,,,,,,organization,Catholic Church,Q9592,Q425
Art ancien S.A,former owner,,,,,,,,organization,Art ancien S.A.,Q120869216,Q16453
"Augustine, of Hippo, Saint, 354-430",author,,,,,,,,human,Augustine of Hippo,Q8018,Q1515
"Davis, Henry Newham",former owner,,,,,,,,human,Henry Newham Davis,Q123274744,Q16454
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D",author,,http://id.loc.gov/authorities/names/n79004229,,,,,,human,Seneca,Q2054,Q6126
"Petit, Samuel, 1594-1643",former owner,,,,,,,,human,Samuel Petit,Q3471204,Q16455
"Wells, Gabriel, 1862-1946",former owner,,http://id.loc.gov/authorities/names/n84017487,,,,,,human,Gabriel Wells,Q17627120,Q909
Spain. Sovereign (1516-1556 : Charles I),author,,,,,,,,organization;human,Spain;Charles V,Q29;Q32500,Q392;Q7656
Maggs Bros,former owner,,,,,,,,organization,Maggs Bros Ltd,Q15067374,Q1573
"Juana, la Loca, Queen of Castile, 1479-1555",author,,,,,,,,human,Juana I of Castile,Q171136,Q4376
"Chevalier, Nicholas",former owner,,,,,,,,human,Nicholas Chevalier,Q7025198,Q16456
"Morris, William, 1834-1896",former owner,,,,,,,,human,William Morris,Q182589,Q16457
"Jacobus, de Theramo, 1350 or 1351-1417",author,,,,,,,,human,Jacobus de Teramo,Q3805915,Q16458
"Schab, William H",former owner,,,,,,,,human,William H. Schab,Q94865055,Q16459
"Dati, Gregorio, 1362-1436",author,,,,,,,,human,Gregorio Dati,Q3776498,Q6123
"De Fidelis, Gaspar",scribe,,,,,,,,human,Gaspar de Fidelis,Q123274746,Q16460
"Petrus, Comestor, active 12th century",author,,http://viaf.org/viaf/40175167,,,,,,human,Petrus Comestor,Q785250,Q1586
"Ashburnham, Bertram Ashburnham, Earl of, 1797-1878",former owner,,http://id.loc.gov/authorities/names/n82255127,,,,,,human,"Bertram Ashburnham, 4th Earl of Ashburnham",Q21855104,Q1565
"Barrois, Joseph, approximately 1785-1855",former owner,,,,,,,,human,Joseph Barrois,Q97783947,Q1564
"Konrad, von Soltau, approximately1350-1407",author,,,,,,,,human,Konrad III. von Soltau,Q1711362,Q7645
"Knevellynthusen, Hermannus",scribe,,,,,,,,human,Hermannus Knevellynthusen,Q123274780,Q16462
"Kloster Bredelar (Bredelar, Germany)",former owner,,,,,,,,organization,Kloster Bredelar,Q1775083,Q16463
"Lyell, James P. R. 1871-1948",former owner,,http://id.loc.gov/authorities/names/nr97040618,,,,,,human,James Lyell,Q18529888,Q4455
Bernard Quaritch (Firm),former owner,,,,,,,,organization,Bernard Quaritch Ltd,Q65034936,Q892
"Raymond, of Peñafort, Saint, 1175?-1275",author,,http://id.loc.gov/authorities/names/n81074464,,,,,,human,Raymond of Penyafort,Q318980,Q460
"Bignon, Jérôme, 1589-1656",former owner,,,,,,,,human,Jérôme Bignon,Q3190817,Q16464
Weiss & Co. (Firm),former owner,,,,,,,,organization,Weiss & Co.,Q110558338,Q16465
"Clare, of Assisi, Saint, 1194-1253",author,,,,,,,,human,Clare of Assisi,Q191107,Q16466
Poor Clares,former owner,,,,,,,,organization,Poor Clares,Q733658,Q16467
Libreria antiquaria Mediolanum,former owner,,,,,,,,organization,Libreria antiquaria Mediolanum,Q120442751,Q16468
"Lactantius, approximately 240-approximately 320",author,,,,,,,,human,Lactantius,Q209102,Q6089
"Fitzwilliam, William Charles de Meuron, Earl, 1872-1943",former owner,,,,,,,,human,"William Wentworth-Fitzwilliam, 7th Earl Fitzwilliam",Q7614395,Q16469
Gascoigne family,former owner,,,,,,,,organization,Gascoigne baronets,Q5526390,Q16470
Neville family,former owner,,,,,,,,organization,House of Neville,Q1217421,Q16471
Fitzwilliam (Wentworth) Estates,former owner,,,,,,,,organization,Wentworth Woodhouse,Q7983040,Q16472
Charles W. Traylen (Firm),former owner,,,,,,,,organization,C Traylen Bookshop,Q26280431,Q16473
"Claudianus Mamertus, -approximately 474",author,,,,,,,,human,Claudianus Mamertus,Q782074,Q16474
"Phillipps, Thomas, Sir, 1792-1872",former owner,,http://id.loc.gov/authorities/names/n50078542,,,,,,human,Thomas Phillipps,Q2147709,Q385
"Abbaye de Saint-Martin de Tournai (Tournai, Belgium)",former owner,,,,,,,,organization,Abbaye de Saint-Martin de Tournai,Q2820407,Q16475
"Peter Riga, approximately 1140-1209",author,,http://id.loc.gov/authorities/names/n87118179,,,,,,human,Petrus Riga,Q556117,Q6085
"Guerrini, Joachim, -1918",former owner,,,,,,,,human,Joachim Guerrinus de Montefegatesio,Q114242469,Q16476
"Usuard, -876 or 877",author,,,,,,,,human,Usuard,Q3552715,Q16477
"Cicero, Marcus Tullius",author,,http://id.loc.gov/authorities/names/n79032166,,,,,,human,Cicero,Q1541,Q1813
Wasservas,former owner,,,,,,,,human,Wasservas,Q123274821,Q16478
"Honore, Godefroy",former owner,,,,,,,,human,Godefroy Honore,Q123274776,Q16479
Martial,author,,,,,,,,human,Martial,Q2098,Q6136
"Vegetius Renatus, Flavius",author,,,,,,,,human,Vegetius,Q4298,Q3747
"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",author,,,,,,,,human,Nizami Ganjavi,Q234908,Q16480
"Walter, of Châtillon, active 1170-1180",author,,,,,,,,human,Walter of Châtillon,Q5198,Q16481
"Louis II, Count of Flanders, 1330-1384",former owner,,,,,,,,human,"Louis II, Count of Flanders",Q469648,Q16482
"Eustace, F. H",former owner,,,,,,,,human,F. H. Eustace,Q123274758,Q16483
Enluminures (Firm),former owner,,,,,,,,organization,Enluminures,Q120442746,Q16484
"Benvenutus, de Imola, -1387 or 1388",author,,,,,,,,human,Benvenuto Rambaldi da Imola,Q773623,Q16485
"Labbey-de-Billy, Nicholas Antoine, 1753-1825",former owner,,,,,,,,human,Nicolas Antoine Labbey de Billy,Q60840320,Q3259
"Petrarca, Francesco, 1304-1374",author,,,,,,,,human,Petrarch,Q1401,Q16486
"Missinisi, Vincenzo Paolino, active 15th century",former owner,,,,,,,,human,Vincenzo Paolino Missinisi,Q123274800,Q16487
Pseudo-Bonaventure,author,,,,,,,,human,Pseudo-Bonaventure,Q642704,Q16488
"Rineck, André de, 1444-1527",former owner,,,,,,,,human,André de Rineck,Q123274809,Q16489
"Lamoignon, Chrétien-François de, 1735-1789",former owner,,,,,,,,human,Chrétien-François II de Lamoignon,Q2967449,Q16490
"Nicholas, of Lyra, approximately 1270-1349",author,,http://id.loc.gov/authorities/names/n81077197.html,,,,,,human,Nicholas of Lyra,Q1969164,Q1922
"Le Neve, Peter, 1661-1729",former owner,,,,,,,,human,Peter Le Neve,Q7175396,Q16491
"Ives, John, 1751-1776",former owner,,,,,,,,human,John Ives,Q6240923,Q16492
Baker & Leigh,former owner,,,,,,,,human,Leigh Baker,Q22003280,Q16493
Studio of Niccolò da Bologna,illuminator,,,,,,,,human,Niccolò da Bologna,Q1769484,Q16494
"Bullard, William N. 1853-1931",former owner,,,,,,,,human,William N. Bullard,Q123274732,Q16495
"Giovanni d'Andrea, approximately 1270-1348",author,,,,,,,,human,Giovanni d'Andrea,Q920858,Q16496
"De Visme, Gerard, 1725?-1797",former owner,,,,,,,,human,Gerard de Vismé,Q75282480,Q16497
"Verdussen, Jean Baptiste, 1698-1773",former owner,,,,,,,,human,Jean Baptiste Verdussen,Q110644340,Q16498
"Gasparoli, Jean Marie Michel",former owner,,,,,,,,human,Jean Marie Michel Gasparoli,Q123274763,Q16499
"A. Rosenthal, Ltd",former owner,,,,,,,,organization,A. Rosenthal Ltd.,Q120869211,Q16500
"Newcastle, Henry Pelham Fiennes Pelham Clinton, Duke of, 1785-1851",former owner,,http://id.loc.gov/authorities/names/n88108973,,,,,,human,"Henry Pelham-Clinton, 4th Duke of Newcastle",Q2034202,Q7294
"Newcastle, Henry Pelham Archibald Douglas Pelham-Clinton, 7th Duke of, 1864-1928",former owner,,,,,,,,human,"Henry Pelham-Clinton, 7th Duke of Newcastle",Q4348371,Q7295
"Abbaye d'Anchin (Pecquencourt, France)",former owner,,,,,,,,organization,Anchin Abbey,Q1971381,Q16501
Saint-Amand-les-Eaux (Abbey),former owner,,,,,,,,organization,Saint-Amand Abbey,Q334131,Q16502
"Jerome, Saint, -419 or 420",author,,,,,,,,human,Jerome,Q44248,Q898
Brick Row Bookshop,former owner,,,,,,,,organization,Brick Row Book Shop,Q123285052,Q16503
