title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Mishneh Torah (ha-yad ha-ḥazaqah),,,,Mishneh Torah,Q39762,,
Thai folding book,,,,,,,
Antiphonary,,,,,,Antiphonary,Q654
Secreti medicinali,,,,Secreti medicinali,Q75981,,
Pichon Hours leaf,,,,Pichon Hours;Book of hours,Q75979;Q795,,
Sefer Ohel Mo'ed,,,,Sefer Ohel Mo'ed,Q75982,,
"""Tent of Meeting""",,,,,,,
Inshā-i Harkarn,,,,Inshā-i Harkarn,Q75971,,
"Psalter, diurnal",,,,,,Psalter,Q660
Antiphonal,,,,,,Antiphonary,Q654
Sermons for the temporale,,,,,,Sermons for the temporale,Q820
Theological material?,,,,,,Theological text,Q5950
Phalaridis Epistolae,,,,,,Letters of Phalaris,Q823
Re'gime du corps,,,,,,Régime du corps,Q824
M ccc lxxxxii. Qui chomincia la fisicha del maestro Aldobrandino da Siena il quale chonpuose in linghua franciescha della santa del chorpo del uomo e di ciaschuno nenbro per se traslatata in volghare per ser Zucchero Bencivenni notaio fiorentino . . .,,,,,,De regimine sanitatis,Q818
Book of Hours,,,,,,Book of hours,Q795
De corpore et sanguine Domini,,,,,,De corpore et sanguine Domini,Q812
De die iudicii,,,,,,De die Iudicii,Q814
Incipit epistola Petri Damiani de die iudicii,,,,,,De die Iudicii,Q814
Materials relating to Cesena,,,,,,,
"Book of Hours, use of Rome",,,,,,Book of hours,Q795
Chy fait mencion comment le Roy Henry d'Engleterre renvoya la Reyne Izabel jadis femme du Roy Richard d'Engleterre en France et de ceulx qui le rechevirent,,,,,,,
"History of France and England during the reigns of Henry IV, Henry V, Henry VI",,,,,,History of France,Q819
[Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār ... etc],[دلائل الخيرات وشوارق الانوار في ذكر الصلاة على النبي المختار … الخ],,,Dala'il al-Khayrat,Q18568,,
[Dīvān-i Ḥāfiẓ],[دیوان حافظ],,,,,Divan of Hafez,Q18593
Office of the Dead,,,,,,Office of the Dead,Q17604
Confiteor,,,,Confiteor,Q75969,,
[Asmāʾ al-ṣaḥābah al-badrīyīn],[أسماء الصحابة البدريين],,,Asmāʾ al-ṣaḥābah al-badrīyīn,Q75970,,
