ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre_vocabulary,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,marc-xml,Q49117,University of Pennsylvania,9914691793503681,Ms. Codex 21,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691793503681,https://colenda.library.upenn.edu/phalt/iiif/2//manifest,"[North Africa],",http://vocab.getty.edu/tgn/7016886,North Africa,between A.H. 1268 (1851) and 1276 (1859),1851^1859,19,http://vocab.getty.edu/aat/300404513,,,"","",al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī,الفتح الرباني فيما ذهل عنه الزرقاني.,"Manuscripts, Arabic--19th century|Codices (bound manuscripts)|Commentaries",lcsh|aat|aat,http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1037841|http://vocab.getty.edu/aat/300224200|http://vocab.getty.edu/aat/300026098,"Manuscripts, Arabic;Nineteenth century|codices (bound manuscripts)|commentaries","Zurqānī, ʻAbd al-Bāqī ibn Yūsuf,--1611-1688.--Sharḥ Mukhtaṣar Khalīl|Khalīl ibn Isḥāq al-Jundī,---1365?--Mukhtaṣar|Islamic law--Early works to 1800|Malikites--Early works to 1800|Islamic law|Malikites",|http://id.worldcat.org/fast/1828571;http://id.worldcat.org/fast/1363458|http://id.worldcat.org/fast/979949;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1006724;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/979949|http://id.worldcat.org/fast/1006724,"|Khalīl ibn Isḥāq al-Jundī, -1365?;Mukhtaṣar (Khalīl ibn Isḥāq al-Jundī)|Islamic law;Early works|Malikites;Early works|Islamic law|Malikites","Bannānī, Muḥammad ibn al-Ḥasan, 1720 or 1721-1780",بناني، محمد بن الحسن، 1720 أو 1721-1780,"","","","","","","","","","","Bannānī, Muḥammad ibn Aḥmad ibn Ṣāliḥ",بناني، محمد احمد بن صالح,"","","","",Arabic,Q13955,Arabic,"Jastrow, Marcus, 1829-1903|Jastrow, Morris, Jr., 1861-1921",|,"","Marcus Jastrow|Morris Jastrow, Jr.",Q556073|Q635773,human|human,paper,http://vocab.getty.edu/aat/300014109,paper,"Extent: 4 volumes (221, 162, 248, 269 leaves) : paper ; v. 1-3: 220 x 175 (160 x 105) mm bound to 220 x 175 mm; v. 4: 195 x 150 (135 x 95) mm.",Title from introduction to first volume (f. 2v).|One leaf with manuscript notations has been laid into v. 3.,,2022-09-16T16:08:19-04:00,2019-04-10,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/penn/9914691793503681.xml
,,,marc-xml,Q49117,University of Pennsylvania,9914691813503681,Ms. Codex 23,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691813503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p31j97f2x/manifest,"[North Africa?],",http://vocab.getty.edu/tgn/7016886,North Africa,[17--?],1700^1799,18,http://vocab.getty.edu/aat/300404512,,,"","",Sharḥ Mukhtaṣar ʻalá Alfīyat Ibn Mālik,شرح مختصر على ألفية ابن مالك.,"Tables (documents)|Envelope flaps (features)|Onlays|Manuscripts, Arabic--18th century|Codices (bound manuscripts)|Commentaries",aat|lobt|lobt|local|aat|aat,http://vocab.getty.edu/aat/300027364|http://w3id.org/lob/concept/1343||http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058|http://vocab.getty.edu/aat/300224200|http://vocab.getty.edu/aat/300026098,"tables (documents)|envelope flaps (features)||Manuscripts, Arabic;Eighteenth century|codices (bound manuscripts)|commentaries","Ibn Mālik, Muḥammad ibn ʻAbd Allāh,---1274.--Alfīyah|Arabic language--Grammar--Early works to 1800|Arabic language--Grammar",http://id.worldcat.org/fast/1825501;http://id.worldcat.org/fast/1360506|http://id.worldcat.org/fast/812341;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/812341,"Ibn Mālik, Muḥammad ibn ʻAbd Allāh, -1274;Alfīyah (Ibn Mālik, Muḥammad ibn ʻAbd Allāh)|Arabic language--Grammar;Early works|Arabic language--Grammar","Makkūdī, ʻAbd al-Raḥmān ibn ʻAlī, -1404 or 1405",مكودي، عبد الرحمن بن علي، -1404 أو 1405,"",Q60827863,human,ʿAbd-ar-Raḥmān Ibn-ʿAlī al- Makkūdī,"","","","","","","","","","","","",Arabic,Q13955,Arabic,"Jastrow, Morris, Jr., 1861-1921|Jastrow, Marcus, 1829-1903",|,"","Morris Jastrow, Jr.|Marcus Jastrow",Q635773|Q556073,human|human,"paper, illustrations",http://vocab.getty.edu/aat/300014109,paper,"Extent: 168 leaves : paper, illustrations ; 205 x 150 (150 x 100) mm bound to 203 x 160 mm.",Title from introduction (f. 1r).,,2022-09-16T16:08:19-04:00,2021-09-29,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/penn/9914691813503681.xml
,,,marc-xml,Q49117,University of Pennsylvania,9914691823503681,Ms. Codex 24,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691823503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3gh9bg67/manifest,"","","",[between 1750 and 1850?],1750^1850,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,,,Qurʼan.,قرآن.,al-Juzʼ al-thalāthūn,الجزء الثلاثون.,"Blind tooled (decoration)|Envelope flaps (features)|Manuscripts, Arabic--18th century|Manuscripts, Arabic--19th century|Codices (bound manuscripts)|Qurʼans",lobt|lobt|local|local|aat|aat,http://w3id.org/lob/concept/2288|http://w3id.org/lob/concept/1343|http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058|http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1037841|http://vocab.getty.edu/aat/300224200|http://vocab.getty.edu/aat/300265128,"blind-tooled (decoration)|envelope flaps (features)|Manuscripts, Arabic;Eighteenth century|Manuscripts, Arabic;Nineteenth century|codices (bound manuscripts)|Qur'ans","","","","","","","","","","","","","","","","","","","","","",Arabic,Q13955,Arabic,"Brecher, Adolf|Jastrow, Morris, Jr., 1861-1921",|,"","Adolf Brecher|Morris Jastrow, Jr.",Q15217756|Q635773,human|human,paper,http://vocab.getty.edu/aat/300014109,paper,Extent: 24 leaves : paper ; 205 x 140 (150 x 80) mm bound to 205 x 145 mm.,"On the page facing the above note by Dr. Jastrow is the (Roman) alphabet in German cursive script capitals, written in pencil and upside down in relation to the book.|Inside front cover is the following note, signed by Morris Jastrow, Jr. and dated Feb. 1890 in Philadelphia: ""It was used by a Turkish soldier during the recent Russo-Turkish War (187- ) & upon his death in battle fell into the hands of a physician of Austrian origin. Presented to me by Dr. Adolf Brecher of Olmütz (Moravia) in 1888.""|Title from margin of opening page (f. 1v).",,2022-09-16T16:08:19-04:00,2021-09-29,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/penn/9914691823503681.xml
,,,marc-xml,Q49117,University of Pennsylvania,9914691833503681,Oversize Ms. Codex 25,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691833503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3ws8hs7x/manifest,"[North Africa?] ,",http://vocab.getty.edu/tgn/7016886,North Africa,1419,1419,15,http://vocab.getty.edu/aat/300404465,,,Tanbīh al-ghāfilīn.,تنبيه الغافلين.,Tanbīh al-ghāfilīn wa-īḍāḥ sabīl al-murshidīn,تنبيه الغافلين وايضاح سبيل المرشدين.,"Blind tooled (decoration)|Envelope flaps (features)|Codices (bound manuscripts)|Manuscripts, Arabic--18th century|Manuscripts, Arabic--17th century",lobt|lobt|aat|local|local,http://w3id.org/lob/concept/2288|http://w3id.org/lob/concept/1343|http://vocab.getty.edu/aat/300224200|http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058|http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1113663,"blind-tooled (decoration)|envelope flaps (features)|codices (bound manuscripts)|Manuscripts, Arabic;Eighteenth century|Manuscripts, Arabic;Seventeenth century",Religious ethics--Early works to 1800|Ethics|Islam--Doctrines--Early works to 1800|Islamic ethics--Early works to 1800|Religious life--Islam--Early works to 1800,http://id.worldcat.org/fast/1094052;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/915833|http://id.worldcat.org/fast/979787;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/979936;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1094119;http://id.worldcat.org/fast/1411636,Religious ethics;Early works|Ethics|Islam--Doctrines;Early works|Islamic ethics;Early works|Religious life--Islam;Early works,"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",ابو الليث السمرقندي، نصر بن محمد، -983؟,"",Q938348,human,Abou al-Layth As Samarqandî,"","","","","","","","","","","","",Arabic,Q13955,Arabic,"Jastrow, Morris, Jr., 1861-1921|Jastrow, Marcus, 1829-1903",|,"","Morris Jastrow, Jr.|Marcus Jastrow",Q635773|Q556073,human|human,paper,http://vocab.getty.edu/aat/300014109,paper,"Extent: 142 leaves, unbound : paper ; 270 x 205 (195 x 160) mm bound to 270 x 215 mm.",Two leaves have been laid into the volume.|Title from introduction (f. 1r).,,2022-09-16T16:08:19-04:00,2021-09-29,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/penn/9914691833503681.xml
,,,marc-xml,Q49117,University of Pennsylvania,9914691863503681,Oversize Ms. Codex 28,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691863503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3r49gg53/manifest,"[China?],",http://vocab.getty.edu/tgn/1000111,China,[between 1750 and 1899?],1750^1899,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,,,"","",Tarjumah-ʼi khuṭab-i arbaʻīn,ترجمۀ خطب اربعین.,"Codices (bound manuscripts)|Criticism, interpretation, etc|Early works|Commentaries|Manuscripts, Persian--19th century|Manuscripts, Persian--18th century",aat|fast|fast|fast|local|local,http://vocab.getty.edu/aat/300224200|http://id.worldcat.org/fast/1411635|http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1423723|http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1037841|http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/904058,"codices (bound manuscripts)|Criticism, interpretation, etc.|Early works|Commentaries|Manuscripts, Persian;Nineteenth century|Manuscripts, Persian;Eighteenth century","Hadith--Criticism, interpretation, etc.--Early works to 1800|Hadith|Hadith--Commentaries--Early works to 1800",http://id.worldcat.org/fast/950112;http://id.worldcat.org/fast/1411635;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/950112|http://id.worldcat.org/fast/950119;http://id.worldcat.org/fast/1411636,"Hadith;Criticism, interpretation, etc.;Early works|Hadith|Hadith--Commentaries;Early works","","","","","","","","","","","","","","","","","","",Persian with source-text in Arabic; some glosses and notes in Chinese,Q9168;Q13955;Q7850,Persian;Arabic;Chinese,"","","","","","",paper,http://vocab.getty.edu/aat/300014109,paper,"Extent: 174 leaves, chiefly unbound : paper ; 286 x 200 (210 x 150) mm bound to 290 x 210 mm.",Title from introduction (f. 1v).,,2022-09-16T16:08:19-04:00,2021-09-29,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/penn/9914691863503681.xml
,,,marc-xml,Q49117,University of Pennsylvania,9914696393503681,Ms. Codex 40,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696393503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3fb4ws7f/manifest,"[North Africa?],",http://vocab.getty.edu/tgn/7016886,North Africa,[ca. 1811],1811,19,http://vocab.getty.edu/aat/300404513,,,"","",al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī,الفتح الرباني فيما ذهل عنه الزرقاني.,"Commentaries|Manuscripts, Arabic--19th century|Codices (bound manuscripts)",aat|local|aat,http://vocab.getty.edu/aat/300026098|http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1037841|http://vocab.getty.edu/aat/300224200,"commentaries|Manuscripts, Arabic;Nineteenth century|codices (bound manuscripts)","Zurqānī, ʻAbd al-Bāqī ibn Yūsuf,--1611-1688.--Sharḥ Mukhtaṣar Khalīl|Khalīl ibn Isḥāq al-Jundī,---1365?--Mukhtaṣar|Malikites|Islamic law|Islamic law--Early works to 1800|Malikites--Early works to 1800",|http://id.worldcat.org/fast/1828571;http://id.worldcat.org/fast/1363458|http://id.worldcat.org/fast/1006724|http://id.worldcat.org/fast/979949|http://id.worldcat.org/fast/979949;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1006724;http://id.worldcat.org/fast/1411636,"|Khalīl ibn Isḥāq al-Jundī, -1365?;Mukhtaṣar (Khalīl ibn Isḥāq al-Jundī)|Malikites|Islamic law|Islamic law;Early works|Malikites;Early works","Bannānī, Muḥammad ibn al-Ḥasan, 1720 or 1721-1780",بناني، محمد بن الحسن، 1720 أو 1721-1780,"","","","","","","","","","","","","","","","",Arabic,Q13955,Arabic,"","","","","","",paper,http://vocab.getty.edu/aat/300014109,paper,Extent: 201 leaves : paper ; 205 x 150 (145 x 95) mm bound to 206 x 160 mm.,Title supplied by cataloger.,,2022-09-16T16:08:19-04:00,2021-09-29,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/penn/9914696393503681.xml
,,,marc-xml,Q49117,University of Pennsylvania,9914696403503681,Ms. Codex 41,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696403503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3707wv6p/manifest,"","","",A.H. 986 (1578),1578,16,http://vocab.getty.edu/aat/300404510,,,"","",Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-Shamsīyah,تحرير القواعد المنطقية في شرح الرسالة الشمسية.,"Tables (documents)|Early works|Manuscripts, Arabic--16th century|Codices (bound manuscripts)|Commentaries|Criticism, interpretation, etc",aat|fast|local|aat|aat|fast,http://vocab.getty.edu/aat/300027364|http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1119851|http://vocab.getty.edu/aat/300224200|http://vocab.getty.edu/aat/300026098|http://id.worldcat.org/fast/1411635,"tables (documents)|Early works|Manuscripts, Arabic;Sixteenth century|codices (bound manuscripts)|commentaries|Criticism, interpretation, etc.","Qazwīnī, ʻAlī ibn ʻUmar,--1203 or 1204-1276 or 1277.--Shamsīyah|Logic|Logic--Early works to 1800",http://id.worldcat.org/fast/1842683;http://id.worldcat.org/fast/1916868|http://id.worldcat.org/fast/1002014|http://id.worldcat.org/fast/1002014;http://id.worldcat.org/fast/1411636,"Qazwīnī, ʻAlī ibn ʻUmar, 1203 or 1204-1276 or 1277;Shamsīyah (Qazwīnī, ʻAlī ibn ʻUmar)|Logic|Logic;Early works","Quṭb al-Taḥtānī, Muḥammad ibn Muḥammad, 1294 or 1295-1364 or 1365",قطب التحتاني، محمد بن محمد، 1294 أو 1295-1364 أو 1365,"",Q12233267,human,Muḥammad ibn Muḥammad Quṭb al-Taḥtānī,"","","","","","",Ibrāhīm ibn Qāsim ibn ʻAlī ibn Yūsuf,ابراهيم بن قاسم بن علي بن يوسف,"","","","",Arabic; some notes in Persian,Q9168;Q13955,Persian;Arabic,"ʻAbbāsī, Ḥājī ʻIzz al-Dīn Shīr Bīk|Smith, Edgar F. 1854-1928",عباسي، حاجي عاز الدين شير بيك|,"",|Edgar Fahs Smith,|Q3047451,|human,"paper, illustrations",http://vocab.getty.edu/aat/300014109,paper,"Extent: 126 leaves : paper, illustrations ; 208 x 148 (140 x 65) mm bound to 205 x 170 mm.","Ms. codex.|A leaf laid into the manuscript contains notes made in March 1939 by Rev. Peter Barsoum, pastor of the Assyrian-Apostolic Church in Worcester, Mass. He notes that an inscription on the last page indicates that the manuscript was donated by Hadji Ab-Bassim to the school (possibly the school of Bekikhan in the city of Jazir). This leaf of notes is on file in the Library.|Title supplied by cataloger.|Forms part of the Edgar F. Smith Memorial Collection.",,2022-09-16T16:08:19-04:00,2021-09-29,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/penn/9914696403503681.xml
,,,marc-xml,Q49117,University of Pennsylvania,9914696413503681,Oversize Ms. Codex 42,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696413503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3377622b/manifest,"[North Africa?],",http://vocab.getty.edu/tgn/7016886,North Africa,A.H. 1106 (1695),1695,17,http://vocab.getty.edu/aat/300404511,,,"","",Kāfiyat al-ṭālib al-rabbānī li-Risālat Ibn Abī Zayd al-Qayrawānī. Fatḥ al-mannān ʻalá naẓm mawrid al-ẓamʼān,كافية الطالب الرباني لرسالة ابن ابي زيد القيرواني. فتح المنان على نظم مورد الظمآن.,"Qurʼans|Codices (bound manuscripts)|Manuscripts, Arabic--17th century|Commentaries",aat|aat|local|aat,http://vocab.getty.edu/aat/300265128|http://vocab.getty.edu/aat/300224200|http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1113663|http://vocab.getty.edu/aat/300026098,"Qur'ans|codices (bound manuscripts)|Manuscripts, Arabic;Seventeenth century|commentaries","Ibn Abī Zayd al-Qayrawānī, ʻAbd Allāh ibn ʻAbd al-Raḥmān,--active 10th century.--Risālah|Kharrāz, Muḥammad ibn Muḥammad,---1318 or 1319.--Mawrid al-ẓamʼān|Islamic law|Malikites",http://id.worldcat.org/fast/1825331;http://id.worldcat.org/fast/1376274|http://id.worldcat.org/fast/1915240|http://id.worldcat.org/fast/979949|http://id.worldcat.org/fast/1006724,"Ibn Abī Zayd al-Qayrawānī, ʻAbd Allāh ibn ʻAbd al-Raḥmān, active 10th century;Risālah (Ibn Abī Zayd al-Qayrawānī, ʻAbd Allāh ibn ʻAbd al-Raḥmān)|Mawrid al-ẓamʼān (Kharrāz, Muḥammad ibn Muḥammad)|Islamic law|Malikites","Ibn Khalaf, ʻAlī ibn Muḥammad, 1453-1532",ابن خلف، علي بن محمد، 1453- 1532,"","","","","","","","","","","Khamsī, Muḥammad ibn ʻAbd Allāh",خمسي، محمد بن عبد الله,"","","","",Arabic,Q13955,Arabic,"Jastrow, Morris, Jr., 1861-1921|Jastrow, Marcus, 1829-1903",|,"","Morris Jastrow, Jr.|Marcus Jastrow",Q635773|Q556073,human|human,paper,http://vocab.getty.edu/aat/300014109,paper,"Extent: 125 leaves : paper ; 260 x 184 (205 x 130)mm, bound to 265 x 200 mm.",Title from title of first text (p. [1]) and title of second text (p. [249]); alternate title from introduction to second text (p. [1]).,,2022-09-16T16:08:19-04:00,2021-09-29,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/penn/9914696413503681.xml
,,,marc-xml,Q49117,University of Pennsylvania,9914696423503681,Oversize Ms. Codex 43,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696423503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3mg7g24p/manifest,"[Syria?],",http://vocab.getty.edu/tgn/1000140,Syria,A.H. 1268 (1852),1852,19,http://vocab.getty.edu/aat/300404513,,,"","",Manhaj al-ʻilm wa-al-bayān wa-nuzhat al-samʻ wa-al-aʻyān,منهج العلم والبيان ونزهة السمع والعيان.,"Codices (bound manuscripts)|Manuscripts, Arabic--19th century|Stamps (Provenance)",aat|local|rbprov,http://vocab.getty.edu/aat/300224200|http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1037841|,"codices (bound manuscripts)|Manuscripts, Arabic;Nineteenth century|",Nosairians|Nosairians,http://id.worldcat.org/fast/1039491|http://id.worldcat.org/fast/1039491,Nosairians|Nosairians,"Ibn Kabūlakh, Muḥammad ibn ʻAlī ibn ʻĪsá",ابن كبولخ، محمد بن علي بن عيسى,"","","","","","","","","","",Sulaymān ibn Yūsuf ibn Sulaymān,سليمان بن يوسف بن سليمان,"","","","",Arabic,Q13955,Arabic,"Jastrow, Morris, Jr., 1861-1921|Easson, Henry, Reverend",|,"","Morris Jastrow, Jr.|",Q635773|,human|,paper,http://vocab.getty.edu/aat/300014109,paper,Extent: 214 leaves : paper ; 322 x 215 (235 x 150) mm bound to 315 x 220 mm.,"Copy of a poem and vocabulary sheet laid in. Calligraphic design in black ink and colored sketch of a tree in orange and yellow drawn into the back inside cover. Sketches of swords on back flyleaf.|Letter dated 13 December 1907 from Dr. S.A. Sterrett Metheny to Dr. Morris Jastrow, Jr. was laid into the manuscript. Metheny indicates that the manuscript had been bought about twenty years earlier by Rev. Henry Easson, a Presbyterian missionary, from a Turkish soldier who said he had captured it in the house of a sheikh during a punitive expedition to the Ansyri mountains east of Latakia. This letter has been added to the Library's Miscellaneous Manuscripts collection and filed under Metheny, S. A photocopy of the letter is on file along with the notes on this manuscript.|Seal of Solomon written out (p. 329) and also a stamp with the name Sulaymā̄n appear in several places throughout (p. 1, 156, 329, for example).|Title from introduction (p. 1).",,2022-09-16T16:08:19-04:00,2021-09-29,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/penn/9914696423503681.xml
,,,marc-xml,Q49117,University of Pennsylvania,9914696433503681,Ms. Codex 44,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696433503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3zg6gd7b/manifest,"","","",[A.H. 1123?-1225 (1711?-1810)],1711^1810,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,,,"","",Dalāʼil al-khayrāt... etc,دلائل الخيرات... إلخ.,"Manuscripts, Arabic--18th century|Prayers and devotions|Pictorial works|Manuscripts, Arabic--19th century|Codices (bound manuscripts)|Miniatures (paintings)|Early works|Prayers (literary works)",local|fast|fast|local|aat|aat|fast|aat,http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058|http://id.worldcat.org/fast/1423909|http://id.worldcat.org/fast/1423874|http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1037841|http://vocab.getty.edu/aat/300224200|http://vocab.getty.edu/aat/300033936|http://id.worldcat.org/fast/1411636|http://vocab.getty.edu/aat/300026452,"Manuscripts, Arabic;Eighteenth century|Prayers and devotions|Pictorial works|Manuscripts, Arabic;Nineteenth century|codices (bound manuscripts)|miniatures (paintings)|Early works|prayers (literary works)","Muḥammad,--Prophet,---632--Companions|Prayer--Islam|Prayer--Islam--Early works to 1800|Islam--Prayers and devotions--Early works to 1800|Islam|Mecca (Saudi Arabia)--Pictorial works|Medina (Saudi Arabia)--Pictorial works|Saudi Arabia--Mecca",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1352525|http://id.worldcat.org/fast/1074698|http://id.worldcat.org/fast/1074698;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/979821;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/979776|http://id.worldcat.org/fast/1204780;http://id.worldcat.org/fast/1423874|http://id.worldcat.org/fast/1213531;http://id.worldcat.org/fast/1423874|http://id.worldcat.org/fast/1204780,"Muḥammad, Prophet, -632;Companions of the Prophet Muhammad|Prayer--Islam|Prayer--Islam;Early works|Islam--Prayers and devotions;Early works|Islam|Saudi Arabia--Mecca;Pictorial works|Saudi Arabia--Medina;Pictorial works|Saudi Arabia--Mecca","Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",جزولي، محمد بن سليمان، -1465,"",Q1775944,human,Muhammad al-Jazuli,"","","","","","","","","","","","",Arabic,Q13955,Arabic,"Camac, William, 1829-1900","","","","","","paper, illustrations, illuminations",http://vocab.getty.edu/aat/300014109,paper,"Extent: 179 leaves : paper, illustrations, illuminations ; 182 x 102 (124 x 56) mm bound to 184 x 118 mm.","Ms. codex.|Title from title of main text, in introduction (f. 4r).",,2022-09-16T16:08:19-04:00,2021-09-29,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/penn/9914696433503681.xml
