subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Ismāʻīl II, Shah of Iran, 1533 or 1534-1577--Early works to 1800",a;b;c;d--v,0,,"Ismāʻīl II, Shah of Iran, 1533 or 1534-1577;Early works",http://id.worldcat.org/fast/1826467;http://id.worldcat.org/fast/1411636,Q48918;Q300,,,
Qurʼan--Commentaries,a--v,0,,,,,Qurʼan;Commentaries,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1423723,Q11441;Q2812
"Ḥusayn ibn ʻAlī, -680--Early works to 1800",a;d--v,0,,,,,"Ḥusayn ibn ʻAlī, -680;Early works",http://id.worldcat.org/fast/1825184;http://id.worldcat.org/fast/1411636,Q42452;Q300
"Sabzavārī, Hādī ibn Mahdī, 1797 or 1798- Nibrās al-hudá",a;d;t,0,,,,,,,
Qurʼan,a,fast,(OCoLC)fst01842877,,,,Qurʼan,http://id.worldcat.org/fast/1842877,Q11441
Qurʼan. Juzʼ ʻAmma--Commentaries,a;p--v,0,,Qurʼan. Juzʼ ʻAmma;Commentaries,http://id.worldcat.org/fast/1842880;http://id.worldcat.org/fast/1423723,Q48919;Q2812,,,
"Muḥammad, Prophet, -632",a;c;d,0,http://id.loc.gov/authorities/names/n79130881,,,,"Muḥammad, Prophet, -632",http://id.worldcat.org/fast/1836298,Q3639
"Muḥammad, Prophet, -632--Prophetic office--Early works to 1800",a;c;d--x--v,0,,Prophetic office of the Prophet Muhammad;Early works,http://id.worldcat.org/fast/1354081;http://id.worldcat.org/fast/1411636,Q48920;Q300,,,
"Muḥammad, Prophet, -632--Poetry--Early works to 1800",a;c;d--v--v,0,(uri) http://id.loc.gov/authorities/names/n79130881--(uri) http://viaf.org/viaf/sourceID/LC%7cn79130881,,,,"Muḥammad, Prophet, -632;Poetry;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q3639;Q247;Q300
"Muḥammad, Prophet, -632",a;c;d,fast,(OCoLC)fst01836298,,,,"Muḥammad, Prophet, -632",http://id.worldcat.org/fast/1836298,Q3639
"Maḥbūbī, ʻUbayd Allāh ibn Masʻūd, -1346 or 1347. Nuqāyah mukhtaṣar al-Wiqāyah fī masāʼil al-Hidāyah",a;d;t,0,,,,,"Nuqāyah mukhtaṣar al-Wiqāyah fī masāʼil al-Hidāyah (Maḥbūbī, ʻUbayd Allāh ibn Masʻūd)",http://id.worldcat.org/fast/2057896,Q11299
Pseudo-Ptolemy. Centiloquium,a;t,0,,,,,,,
"Muḥammad, Prophet, -632",a;c;d,0,,,,,"Muḥammad, Prophet, -632",http://id.worldcat.org/fast/1836298,Q3639
"Muḥammad, Prophet, -632",a;c;d,fast,,,,,"Muḥammad, Prophet, -632",http://id.worldcat.org/fast/1836298,Q3639
"ʻAbbās I, Shah of Iran, 1571-1629",a;b;c;d,0,,"ʻAbbās I, Shah of Iran, 1571-1629",http://id.worldcat.org/fast/52080,Q48916,,,
"ʻAbbās I, Shah of Iran, 1571-1629",a;b;c;d,fast,,"ʻAbbās I, Shah of Iran, 1571-1629",http://id.worldcat.org/fast/52080,Q48916,,,
Qurʼan--Abrogator and abrogated verses--Early works to 1800,a--x--v,0,,,,,Qurʼan;Early works,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1411636,Q11441;Q300
"Muḥammad, Prophet, -632--Isrāʼ and Miʻrāj--Early works to 1800",a;c;d--x--v,0,,,,,"Muḥammad, Prophet, -632;Laylat al-Miʻrāj;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/994487;http://id.worldcat.org/fast/1411636,Q3639;Q11416;Q300
"Muḥammad, Prophet, -632--Art",a;c;d--v,0,,"Muḥammad, Prophet, -632;Art",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1423702,Q3639;Q38573,,,
"Ibn al-Muṭahhar al-Ḥillī, al-Ḥasan ibn Yūsuf, 1250-1325. Qawāʻid al-aḥkām fī maʻrifat al-ḥalāl wa-al-ḥarām",a;d;t,0,http://id.loc.gov/authorities/names/n89115870,"Qawāʻid al-aḥkām fī maʻrifat al-ḥalāl wa-al-ḥarām (Ibn al-Muṭahhar al-Ḥillī, al-Ḥasan ibn Yūsuf)",http://id.worldcat.org/fast/1376633,Q48921,,,
"Būnī, Aḥmad ibn ʻAlī, -1225",a;d,0,http://id.loc.gov/authorities/names/n80161625,"Būnī, Aḥmad ibn ʻAlī, -1225",http://id.worldcat.org/fast/1810316,Q48922,,,
"Ibn al-ʻArabī, 1165-1240. Naqsh al-Fuṣūṣ",a;d;t,0,,,,,,,
"Muḥammad, Prophet, -632--Family--Early works to 1800",a;c;d--x--v,0,,,,,"Muḥammad, Prophet, -632;Families;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/1411636,Q3639;Q5939;Q300
"Muḥammad, Prophet, -632--Family--Biography",a;c;d--x--x,0,,"Muḥammad, Prophet, -632;Families;Biography",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/832149,Q3639;Q5939;Q27365,,,
"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274. Sī faṣl",a;d;t,0,,,,,,,
Qurʼan--Commentaries--History--16th century--Sources,a--v--x--y--v,0,,Qurʼan;Commentaries;History;Sixteenth century;Sources,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q11441;Q2812;Q6879;Q335;Q2769,,,
"Martyn, Henry, 1781-1812",a;d,0,http://id.loc.gov/authorities/names/n85250713,"Martyn, Henry, 1781-1812",http://id.worldcat.org/fast/179931,Q48923,,,
"Birjandī, ʻAbd al-ʻAlī ibn Muḥammad ibn Ḥusayn, active 16th century. Bīst bāb dar taqvīm",a;d;t,0,,,,,,,
"Jalāl al-Dīn Rūmī, Maulana, 1207-1273--Biography--14th century",a;c;d--v--y,0,,"Jalāl al-Dīn Rūmī, Maulana, 1207-1273;Biographies;Fourteenth century",http://id.worldcat.org/fast/73511;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/933420,Q48924;Q3051;Q295,,,
Qurʼan. Sūrat al-Fātiḥah--Commentaries--Early works to 1800,a;p--v--v,0,,,,,Qurʼan. Sūrat al-Fātiḥah;Commentaries;Early works,http://id.worldcat.org/fast/1842895;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q11465;Q2812;Q300
Qurʼan. Juzʼ al-Mulk--Commentaries--Early works to 1800,a;p--v--v,0,,Qurʼan. Juzʼ al-Mulk;Commentaries;Early works,http://id.worldcat.org/fast/1842879;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q48925;Q2812;Q300,,,
Qurʼan. Juzʼ ʻAmma--Commentaries--Early works to 1800,a;p--v--v,0,,Qurʼan. Juzʼ ʻAmma;Commentaries;Early works,http://id.worldcat.org/fast/1842880;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q48919;Q2812;Q300,,,
"Muḥammad, Prophet, -632--Family",a;c;d--x,0,,,,,"Muḥammad, Prophet, -632;Families",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1728849,Q3639;Q5939
"Yazdī, ʻAbd Allāh ibn al-Ḥusayn, d. 1606 or 7. Ḥāshīyah ʻalá Tahdhīb al-manṭiq",a;d;t,0,,,,,,,
"Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389? Tahdhīb al-manṭiq wa-al-kalām",a;d;t,0,,,,,"Tahdhīb al-manṭiq wa-al-kalām (Taftāzānī, Masʻūd ibn ʻUmar)",http://id.worldcat.org/fast/1917295,Q11394
Qurʼan--Early works to 1800,a--v,0,,,,,Qurʼan;Early works,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1411636,Q11441;Q300
"Zayn al-ʻĀbidīn ʻAlī ibn al-Ḥusayn, -710? Ṣaḥīfah al-Sajjādīyah",a;d;t,0,,Ṣaḥīfah al-Sajjādīyah (Zayn al-ʻĀbidīn ʻAlī ibn al-Ḥusayn),http://id.worldcat.org/fast/2056648,Q48926,,,
"Muḥammad al-Bāqir ibn ʻAlī Zayn al-ʻĀbidīn, -731 or 732. Duʻāʼ al-saḥar",a;d;t,0,,,,,,,
"Ibn Bābawayh al-Qummī, Muḥammad ibn ʻAlī, 918 or 919-991 or 992. Man lā yaḥḍuruhu al-faqīh",a;d;t,0,,,,,,,
"Kulaynī, Muḥammad ibn Yaʻqūb, d. 941? Kāfī. Kitāb al-ḥujjah",a;d;t,0,,"Kāfī (Kulaynī, Muḥammad ibn Yaʻqūb)",http://id.worldcat.org/fast/1371510,Q48927,,,
"Kulaynī, Muḥammad ibn Yaʻqūb, -941? Kāfī",a;d;t,0,http://id.loc.gov/authorities/names/n84029255,"Kāfī (Kulaynī, Muḥammad ibn Yaʻqūb)",http://id.worldcat.org/fast/1371510,Q48927,,,
"Muḥammad, Prophet, -632--Isrāʼ and Miʻrāj",a;c;d--x,0,,Isra' and Mi`raj of the Prophet Muhammad,http://id.worldcat.org/fast/1353433,Q48928,,,
Duʻāʼ al-Sayfī,a,0,,,,,,,
"Muḥammad, Prophet, -632--Family--Biography",a;c;d--x--v,0,,"Muḥammad, Prophet, -632;Families;Biographies",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/1919896,Q3639;Q5939;Q3051,,,
"ʻAlī al-Riḍā ibn Mūsá, -818 or 819--Hadith",a;d--x,0,,"ʻAlī al-Riḍā ibn Mūsá, -818 or 819;Hadith",http://id.worldcat.org/fast/1804098;http://id.worldcat.org/fast/950112,Q48929;Q3581,,,
"Kulaynī, Muḥammad ibn Yaʻqūb, d. 941? Kāfī. Kitāb al-ʻaql wa-al-jahl",a;d;t;p,0,,"Kāfī (Kulaynī, Muḥammad ibn Yaʻqūb)",http://id.worldcat.org/fast/1371510,Q48927,,,
"Sanāʼī al-Ghaznavī, Abū al-Majd Majdūd ibn Ādam, -approximately 1150. Ḥadīqat al-ḥaqīqah wa-sharīʻat al-ṭarīqah",a;d;t,0,http://id.loc.gov/authorities/names/n2003063059,"Ḥadīqat al-ḥaqīqah wa-sharīʻat al-ṭarīqah (Sanāʼī al-Ghaznavī, Abū al-Majd Majdūd ibn Ādam)",http://id.worldcat.org/fast/1366820,Q48930,,,
"Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn, 969 or 70-1016. Nahj al-balāghah",a;d;t,0,,"Nahj al-balāghah (Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn)",http://id.worldcat.org/fast/1368261,Q48931,,,
"ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661--Hadith",a;c;d--x,0,,,,,"ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661;Hadith",http://id.worldcat.org/fast/1804105;http://id.worldcat.org/fast/950112,Q11345;Q3581
"Ptolemy, active 2nd century. Centiloquium.--Arabic",a;d;t--l,0,,Arabic language,http://id.worldcat.org/fast/812287,Q2953,,,
"Ḥusayn ibn ʻAlī, -680",a;d,0,http://id.loc.gov/authorities/names/n79142777,"Ḥusayn ibn ʻAlī, -680",http://id.worldcat.org/fast/1825184,Q42452,,,
"Akbar, Emperor of Hindustan, 1542-1605--Portraits--Specimens",a;c;d--v--v,0,,"Akbar, Emperor of Hindustan, 1542-1605;Portraits;Specimens",http://id.worldcat.org/fast/48423;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48932;Q199;Q239,,,
"Timur, 1336-1405--Portraits--Specimens",a;d--v--v,0,,"Timur, 1336-1405;Portraits;Specimens",http://id.worldcat.org/fast/4660;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q3513;Q199;Q239,,,
"Bayezid I, Sultan of the Turks, approximately 1360-1403--Portraits--Specimens",a;b;c;d--v--v,0,,"Bayezid I, Sultan of the Turks, approximately 1360-1403;Portraits;Specimens",http://id.worldcat.org/fast/1807132;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48933;Q199;Q239,,,
"Riz̤ā-ʼi ʻAbbāsī, Āqā, approximately 1570-1635?--Portraits--Specimens",a;c;d--v--v,0,,"Riz̤ā-ʼi ʻAbbāsī, Āqā, approximately 1570-1635?;Portraits;Specimens",http://id.worldcat.org/fast/1844159;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48934;Q199;Q239,,,
"Timur, 1336-1405--Early works to 1800",a;d--v,0,,"Timur, 1336-1405;Early works",http://id.worldcat.org/fast/4660;http://id.worldcat.org/fast/1411636,Q3513;Q300,,,
"ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661--Poetry--Early works to 1800",a;c;d--v--v,0,,"ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661;Poetry;Early works",http://id.worldcat.org/fast/1804105;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q11345;Q247;Q300,,,
Duʻāʾ ṣanamay Quraysh,a,0,,,,,,,
Qurʼan,a,0,,Qurʼan,http://id.worldcat.org/fast/1842877,Q11441,,,
Coran,a,6,,Qurʼan,http://id.worldcat.org/fast/1842877,Q11441,,,
Qurʼan,a,fast,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,Q11441
"Ibn al-Ḥājib, ʻUthmān ibn ʻUmar, 1175-1249. Kāfiyah",a;d;t,0,http://id.loc.gov/authorities/names/n84200998,,,,"Kāfiyah (Ibn al-Ḥājib, ʻUthmān ibn ʻUmar)",http://id.worldcat.org/fast/1366739,Q11200
"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274. Tadhkirah fī ʻilm al-hayʾah",a;d;t,0,,"Tadhkirah fī ʻilm al-hayʼah (Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad)",http://id.worldcat.org/fast/1396269,Q48935,,,
"ʻIrāqī, Fakhr al-Dīn Ibrāhīm, d. 1289? Lamaʻāt",a;d;t,0,,"Lamaʻāt (ʻIrāqī, Fakhr al-Dīn Ibrāhīm)",http://id.worldcat.org/fast/1395072,Q48936,,,
"ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661",a;c;d,0,http://id.loc.gov/authorities/names/n50039100,"ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661",http://id.worldcat.org/fast/1804105,Q11345,,,
"ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661--Miracles--Early works to 1800",a;c;d--x--v,0,,"ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661;Miracles;Early works",http://id.worldcat.org/fast/1804105;http://id.worldcat.org/fast/1023535;http://id.worldcat.org/fast/1411636,Q11345;Q48126;Q300,,,
"Shabistarī, Maḥmūd ibn ʻAbd al-Karīm, -approximately 1320. Gulshan-i rāz",a;d;t,0,,"Gulshan-i rāz (Shabistarī, Maḥmūd ibn ʻAbd al-Karīm)",http://id.worldcat.org/fast/1373318,Q48912,,,
Jābir ibn Ḥayyān,a,0,,,,,Jābir ibn Ḥayyān,http://id.worldcat.org/fast/174074,Q2989
"Shams Maghribī, Muḥammad Shīrīn, 1349?-1406 or 1407. Jām-i jahānʹnumā",a;d;t,0,,,,,,,
"Farāhī, Abū Naṣr Muḥammad Badr al-Dīn. Niṣāb al-ṣibyān",a;t,0,,,,,,,
"ʻĀmilī, Bahāʾ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621. Khulāṣat al-ḥisāb",a;d;t,0,,,,,"Khulāṣat al-ḥisāb (ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn)",http://id.worldcat.org/fast/1378728,Q11510
"Qūshjī, ʻAlī ibn Muḥammad, d. 1474 or 5. Risālah dar hayʼat",a;d;t,0,,,,,,,
"Muḥammad, Prophet, -632--Prophetic office",a;c;d--x,0,http://id.loc.gov/authorities/subjects/sh85088285,Prophetic office of the Prophet Muhammad,http://id.worldcat.org/fast/1354081,Q48920,,,
Qurʼan--Reading--Early works to 1800,a--x--v,0,,,,,Qurʼan;Reading;Early works,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1090626;http://id.worldcat.org/fast/1411636,Q11441;Q11145;Q300
"Suhrawardī, ʻUmar ibn Muḥammad, 1145-1234. ʻAwārif al-maʻārif",a;d;t,0,,,,,,,
"Dārā Shikūh, Prince, son of Shahjahan, Emperor of India, 1615-1659--Portraits--Specimens",a;c;d--v--v,0,,"Dārā Shikūh, Prince, son of Shahjahan, Emperor of India, 1615-1659;Portraits;Specimens",http://id.worldcat.org/fast/78844;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48937;Q199;Q239,,,
"Nūr Jahān, Empress, consort of Jahangir, Emperor of Hindustan, -1645--Portraits--Specimens",a;c;d--v--v,0,,"Nūr Jahān, Empress, consort of Jahangir, Emperor of Hindustan, -1645;Portraits;Specimens",http://id.worldcat.org/fast/1838715;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48938;Q199;Q239,,,
"Ibrāhīm ibn Adʹham, -approximately 777--Portraits--Specimens",a;d--v--v,0,,"Ibrāhīm ibn Adʹham, -approximately 777;Portraits;Specimens",http://id.worldcat.org/fast/1825595;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48939;Q199;Q239,,,
"Niẓāmuddīn Auliyā, 1236-1325--Portraits--Specimens",a;d--v--v,0,,"Niẓāmuddīn Auliyā, 1236-1325;Portraits;Specimens",http://id.worldcat.org/fast/270838;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48940;Q199;Q239,,,
"Mary, Blessed Virgin, Saint--Art--Specimens",a;c--v--v,0,,"Mary, Blessed Virgin, Saint;Art;Specimens",http://id.worldcat.org/fast/68107;http://id.worldcat.org/fast/1423702;http://id.worldcat.org/fast/1423861,Q244;Q38573;Q239,,,
"Alī Ādila Śāha II, Sultan of Bijapur, 1638-1672--Portraits--Specimens",a;b;c;d--v--v,0,,"Alī Ādila Śāha II, Sultan of Bijapur, 1638-1672;Portraits;Specimens",http://id.worldcat.org/fast/318822;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48941;Q199;Q239,,,
"Aurangzeb, Emperor of Hindustan, 1618-1707--Portraits--Specimens",a;c;d--v--v,0,,"Aurangzeb, Emperor of Hindustan, 1618-1707;Portraits;Specimens",http://id.worldcat.org/fast/13105;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48942;Q199;Q239,,,
"Chand Bibi, Queen of Bijāpur, -1600--Portraits--Specimens",a;c;d--v--v,0,,"Chand Bibi, Queen of Bijāpur, -1600;Portraits;Specimens",http://id.worldcat.org/fast/1932108;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48943;Q199;Q239,,,
Majnūn Laylá--Portraits--Specimens,a--v--v,0,,Majnūn Laylá;Portraits;Specimens,http://id.worldcat.org/fast/123607;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48944;Q199;Q239,,,
Shāhnāmah--Illustrations--Specimens,a--v--v,0,,Shāhnāmah (Firdawsī);Illustrated works;Specimens,http://id.worldcat.org/fast/1357173;http://id.worldcat.org/fast/1423873;http://id.worldcat.org/fast/1423861,Q48945;Q294;Q239,,,
