subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
1000-1099,a,fast,,Eleventh century,http://id.worldcat.org/fast/908096,Q306
1000-1199,a,fast,,Eleventh century;Twelfth century,http://id.worldcat.org/fast/908096;http://id.worldcat.org/fast/1159791,Q306;Q304
1000-1899,a,fast,,Eleventh century;Twelfth century;Thirteenth century;Fourteenth century;Fifteenth century;Sixteenth century;Seventeenth century;Eighteenth century;Nineteenth century,http://id.worldcat.org/fast/908096;http://id.worldcat.org/fast/1159791;http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1113663;http://id.worldcat.org/fast/904058;http://id.worldcat.org/fast/1037841,Q306;Q304;Q245;Q295;Q154;Q335;Q2771;Q3024;Q3538
10 muḥarram--Ouvrages avant 1800,a--v,6,,Tenth of Muḥarram;Early works,http://id.worldcat.org/fast/1147739;http://id.worldcat.org/fast/1411636,Q11213;Q300
10th century,,openn-keywords,,Tenth century,http://id.worldcat.org/fast/1147737,Q12530
10th century,,openn-subjects,,Tenth century,http://id.worldcat.org/fast/1147737,Q12530
1100-1199,a,fast,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
1100-1299,a,fast,,Twelfth century;Thirteenth century,http://id.worldcat.org/fast/1159791;http://id.worldcat.org/fast/1150138,Q304;Q245
1100-1599,a,fast,,Twelfth century;Thirteenth century;Fourteenth century;Fifteenth century;Sixteenth century,http://id.worldcat.org/fast/1159791;http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1119851,Q304;Q245;Q295;Q154;Q335
1100-1699,a,fast,,Twelfth century;Thirteenth century;Fourteenth century;Fifteenth century;Sixteenth century;Seventeenth century,http://id.worldcat.org/fast/1159791;http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1113663,Q304;Q245;Q295;Q154;Q335;Q2771
11th century,a,fast,,Eleventh century,http://id.worldcat.org/fast/908096,Q306
11th century,,openn-keywords,,Eleventh century,http://id.worldcat.org/fast/908096,Q306
11th century,,openn-subjects,,Eleventh century,http://id.worldcat.org/fast/908096,Q306
1200-1299,a,fast,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
1200-1399,a,fast,,Thirteenth century;Fourteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420,Q245;Q295
1200-1499,a,fast,,Thirteenth century;Fourteenth century;Fifteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962,Q245;Q295;Q154
1200-1599,a,fast,,Thirteenth century;Fourteenth century;Fifteenth century;Sixteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1119851,Q245;Q295;Q154;Q335
1200-1899,a,fast,,Thirteenth century;Fourteenth century;Fifteenth century;Sixteenth century;Seventeenth century;Eighteenth century;Nineteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1113663;http://id.worldcat.org/fast/904058;http://id.worldcat.org/fast/1037841,Q245;Q295;Q154;Q335;Q2771;Q3024;Q3538
1288-1918,a,fast,(uri) http://id.worldcat.org/fast/fst01355456,1288-1918,http://id.worldcat.org/fast/1355456,Q18297
1288-1918,a,fast,,1288-1918,http://id.worldcat.org/fast/1355456,Q18297
12th century,a,fast,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
12th century,,openn-keywords,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
12th century,,openn-subjects,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
12th century.,a,fast,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
1300-1399,a,fast,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
1300-1499,a,fast,,Fourteenth century;Fifteenth century,http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962,Q295;Q154
1300-1899,a,fast,,Fourteenth century;Fifteenth century;Sixteenth century;Seventeenth century;Eighteenth century;Nineteenth century,http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1113663;http://id.worldcat.org/fast/904058;http://id.worldcat.org/fast/1037841,Q295;Q154;Q335;Q2771;Q3024;Q3538
1385-1433,a,fast,,1385-1433,http://id.worldcat.org/fast/1355506,Q48357
1385-1580,a,fast,,1385-1580,http://id.worldcat.org/fast/1355507,Q48281
1399-1485,a,fast,,1399-1485,http://id.worldcat.org/fast/1355517,Q4246
13th-15th centuries,a,fast,,Thirteenth century;Fourteenth century;Fifteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962,Q245;Q295;Q154
13th century,a,fast,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
13th century,,openn-keywords,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
13th century,,openn-subjects,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
13th century.,a,fast,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
1400 - 1499,a,fast,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
1400-1499,a,fast,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
1400-1599,a,fast,,Fifteenth century;Sixteenth century,http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1119851,Q154;Q335
1400-1899,a,fast,,Fifteenth century;Sixteenth century;Seventeenth century;Eighteenth century;Nineteenth century,http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1113663;http://id.worldcat.org/fast/904058;http://id.worldcat.org/fast/1037841,Q154;Q335;Q2771;Q3024;Q3538
1442-1707,a,fast,,1442-1707,http://id.worldcat.org/fast/1355537,Q4272
1454-1474,a,fast,,1454-1474,http://id.worldcat.org/fast/1355543,Q7962
1460-1488,a,fast,,1460-1488,http://id.worldcat.org/fast/1355546,Q48400
1479-1516,a,fast,,1479-1516,http://id.worldcat.org/fast/1355554,Q6849
1481-1512,a,fast,,1481-1512,http://id.worldcat.org/fast/1355557,Q26798
1483-1498,a,fast,,1483-1498,http://id.worldcat.org/fast/1355559,Q68098
1485-1603,a,fast,,1485-1603,http://id.worldcat.org/fast/1355561,Q38934
14th century,a,fast,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
14th century,,openn-keywords,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
14th century,,openn-subjects,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
14th century.,a,fast,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
1500-1599,a,fast,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
1500-1700,a,fast,,1500-1700,http://id.worldcat.org/fast/1355568,Q48268
1516-1556,a,fast,,1516-1556,http://id.worldcat.org/fast/1355580,Q254
1540-1810,a,fast,,1540-1810,http://id.worldcat.org/fast/1355593,Q48355
1556-1598,a,fast,,1556-1598,http://id.worldcat.org/fast/1355603,Q242
1558-1603,a,fast,,1558-1603,http://id.worldcat.org/fast/1355606,Q4312
1562-1598,a,fast,,Wars of the Huguenots (France : 1562-1598),http://id.worldcat.org/fast/1355311,Q38919
1567-1625,a,fast,,1567-1625,http://id.worldcat.org/fast/1355615,Q48401
1574-1589,a,fast,,1574-1589,http://id.worldcat.org/fast/1355622,Q48333
15th century,a,fast,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
15th century,,openn-keywords,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
15th century,,openn-subjects,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
1600-1699,a,fast,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
1600-1799,a,fast,,Seventeenth century;Eighteenth century,http://id.worldcat.org/fast/1113663;http://id.worldcat.org/fast/904058,Q2771;Q3024
1600-1868,a,fast,,1600-1868,http://id.worldcat.org/fast/1355642,Q12634
1600-1899,a,fast,,Seventeenth century;Eighteenth century;Nineteenth century,http://id.worldcat.org/fast/1113663;http://id.worldcat.org/fast/904058;http://id.worldcat.org/fast/1037841,Q2771;Q3024;Q3538
16th century,a,fast,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
16th century,,openn-keywords,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
16th century,,openn-subjects,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
1700-1799,a,fast,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
1700-1899,a,fast,,Eighteenth century;Nineteenth century,http://id.worldcat.org/fast/904058;http://id.worldcat.org/fast/1037841,Q3024;Q3538
1789-1807,a,fast,,1789-1807,http://id.worldcat.org/fast/1355754,Q10785
17th century,a,fast,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
17th century,,openn-keywords,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
17th century,,openn-subjects,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
17th century.,a,fast,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
1800-1899,a,fast,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538
1800-1999,a,fast,,Nineteenth century;Twentieth century,http://id.worldcat.org/fast/1037841;http://id.worldcat.org/fast/1159810,Q3538;Q5942
18th century,a,fast,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
18th century,,openn-keywords,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
18th century,,openn-subjects,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
18th century.,a,fast,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
19th century,a,fast,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538
19th century,,openn-keywords,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538
19th century,,openn-subjects,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538
20th century,,openn-keywords,,Twentieth century,http://id.worldcat.org/fast/1159810,Q5942
20th century,,openn-subjects,,Twentieth century,http://id.worldcat.org/fast/1159810,Q5942
265-30 B.C,a,fast,,265-30 B.C.,http://id.worldcat.org/fast/1355900,Q39069
500-1500,a,fast,,500-1500,http://id.worldcat.org/fast/1355938,Q4252
600-1500,a,fast,,500-1500,http://id.worldcat.org/fast/1355938,Q4252
800-899,a,fast,,Ninth century,http://id.worldcat.org/fast/1037854,Q329
800-999,a,fast,,Ninth century;Tenth century,http://id.worldcat.org/fast/1037854;http://id.worldcat.org/fast/1147737,Q329;Q12530
900-1099,a,fast,,Tenth century;Eleventh century,http://id.worldcat.org/fast/1147737;http://id.worldcat.org/fast/908096,Q12530;Q306
900-1199,a,fast,,Tenth century;Eleventh century;Twelfth century,http://id.worldcat.org/fast/1147737;http://id.worldcat.org/fast/908096;http://id.worldcat.org/fast/1159791,Q12530;Q306;Q304
900-1299,a,fast,,Tenth century;Eleventh century;Twelfth century;Thirteenth century,http://id.worldcat.org/fast/1147737;http://id.worldcat.org/fast/908096;http://id.worldcat.org/fast/1159791;http://id.worldcat.org/fast/1150138,Q12530;Q306;Q304;Q245
900-999,a,fast,,Tenth century,http://id.worldcat.org/fast/1147737,Q12530
9th century,,openn-keywords,,Ninth century,http://id.worldcat.org/fast/1037854,Q329
9th century,,openn-subjects,,Ninth century,http://id.worldcat.org/fast/1037854,Q329
Abbasids,a,fast,(OCoLC)fst00794211,Abbasids,http://id.worldcat.org/fast/794211,Q11371
Abbasids.,a,fast,(OCoLC)fst00794211,Abbasids,http://id.worldcat.org/fast/794211,Q11371
Abbasids--Early works to 1800,a--v,0,,Abbasids;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1411636,Q11371;Q300
Abbasids--Poetry--Early works to 1800,a--v--v,0,,Abbasids;Poetry;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q11371;Q247;Q300
Abbasids--Poetry--Early works to 1800.,a--v--v,0,,Abbasids;Poetry;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q11371;Q247;Q300
Abbeys--Belgium--15th century,a--z--y,0,,Abbeys;Belgium;Fifteenth century,http://id.worldcat.org/fast/794216;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962,Q38799;Q16301;Q154
Abbeys--Belgium--Nivelles,a--z--z,0,,Abbeys;Belgium--Nivelles,http://id.worldcat.org/fast/794216;http://id.worldcat.org/fast/1210707,Q38799;Q38800
Abbeys--England--Devonshire,a--z--z,0,,Abbeys;England--Devon,http://id.worldcat.org/fast/794216;http://id.worldcat.org/fast/1206047,Q38799;Q3609
"Abbiategrasso (Italy)--Charters, grants, privileges--Early works to 1800",a--v--v,0,,Italy--Abbiategrasso;Charters and articles of incorporation;Early works,http://id.worldcat.org/fast/1237199;http://id.worldcat.org/fast/1774239;http://id.worldcat.org/fast/1411636,Q67139;Q27098;Q300
Abbiategrasso (Italy)--History--16th century--Sources,a--x--y--v,0,,Italy--Abbiategrasso;History;Sixteenth century;Sources,http://id.worldcat.org/fast/1237199;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q67139;Q6879;Q335;Q2769
Abbots,a,fast,http://id.worldcat.org/fast/794221,Abbots,http://id.worldcat.org/fast/794221,Q190
Abbots.,a,fast,http://id.worldcat.org/fast/794221,Abbots,http://id.worldcat.org/fast/794221,Q190
"Abbots--Appointment, call, and election",a--x,0,,"Abbots--Appointment, call, and election",http://id.worldcat.org/fast/794222,Q66932
Abbots--Early works to 1800,a--v,0,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636,Q190;Q300
Abbots--Early works to 1800.,a--v,0,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636,Q190;Q300
"Abbreviations, Hebrew--Early works to 1800",a--v,0,,"Abbreviations, Hebrew;Early works",http://id.worldcat.org/fast/794251;http://id.worldcat.org/fast/1411636,Q75029;Q300
"Abbreviations, Latin",a,fast,(OCoLC)fst00794256,"Abbreviations, Latin",http://id.worldcat.org/fast/794256,Q67055
"Abbreviations, Latin--Early works to 1800",a--v,0,,"Abbreviations, Latin;Early works",http://id.worldcat.org/fast/794256;http://id.worldcat.org/fast/1411636,Q67055;Q300
Abhidharma,,ds-subject,,Abhidharma,http://id.worldcat.org/fast/794375,Q76575
Ablutions (Islamic law),a,fast,(OCoLC)fst01748813,Ablutions (Islamic law),http://id.worldcat.org/fast/1748813,Q11157
Ablutions (Islamic law)--Early works to 1800,a--v,0,(uri) http://id.loc.gov/authorities/subjects/sh2009007624,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
Ablutions (Islamic law)--Early works to 1800,a--v,0,,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
Ablutions (Islamic law)--Early works to 1800.,a--v,0,,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
Ablutions (Islamic law)--Early works to 1800.,a--v,0,(uri) http://id.loc.gov/authorities/subjects/sh2009007624,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
Abraham (Biblical patriarch) in the Koran--Early works to 1800,a--v,0,(uri) http://id.loc.gov/authorities/subjects/sh87006406,Abraham (Biblical patriarch) in the Qurʼan;Early works,http://id.worldcat.org/fast/1864769;http://id.worldcat.org/fast/1411636,Q26751;Q300
Abraham (Biblical patriarch) in the Qurʼan,a,fast,(OCoLC)fst01864769,Abraham (Biblical patriarch) in the Qurʼan,http://id.worldcat.org/fast/1864769,Q26751
Absolution--Italy--Florence--Early works to 1800,a--z--z--v,0,,Absolution;Italy--Florence;Early works,http://id.worldcat.org/fast/794727;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/1411636,Q67141;Q3604;Q300
Accents and accentuation,a,fast,http://id.worldcat.org/fast/795235,Accents and accentuation,http://id.worldcat.org/fast/795235,Q75419
Accordian fold books,,ds-subject,,Accordion fold books,http://id.worldcat.org/fast/2070678,Q75959
Accordion fold format (Binding) -- Burma,,ds-subject,,Accordion fold format;Burma,http://id.loc.gov/vocabulary/rbmscv/cv00024;http://id.worldcat.org/fast/1207835,Q42550;Q26915
Accordion fold format (Binding) -- Thailand,,ds-subject,,Accordion fold format;Thailand,http://id.loc.gov/vocabulary/rbmscv/cv00024;http://id.worldcat.org/fast/1205310,Q42550;Q26903
Account books,,ds-subject,,Account books,http://id.worldcat.org/fast/795342,Q38801
Account books,a,fast,(OCoLC)fst00795342,Account books,http://id.worldcat.org/fast/795342,Q38801
Account books,a,0,,Account books,http://id.worldcat.org/fast/795342,Q38801
Account books--Germany--Niederrhein--Early works to 1800,a--z--z--v,0,,Account books;Germany;Early works,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1411636,Q38801;Q3032;Q300
Account books--Great Britain--19th century,a--z--y,0,,Account books;Great Britain;Nineteenth century,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/1037841,Q38801;Q179;Q3538
Account books--Italy--15th century,a--z--y,0,,Account books;Italy;Fifteenth century,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q38801;Q249;Q154
Account books--Syria,a--z,0,,Account books;Syria,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1208757,Q38801;Q11447
Accounting,a,fast,http://id.worldcat.org/fast/795379,Accounting,http://id.worldcat.org/fast/795379,Q291
Accounting.,a,fast,http://id.worldcat.org/fast/795379,Accounting,http://id.worldcat.org/fast/795379,Q291
Accounting--Early works to 1800,a--v,0,,Accounting;Early works,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1411636,Q291;Q300
Accounting--France--14th century,a--z--y,0,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,Q291;Q152;Q295
Accounting--France--14th century.,a--z--y,0,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,Q291;Q152;Q295
Accounting--Germany--16th century,a--z--y,0,,Accounting;Germany;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,Q291;Q3032;Q335
Accounting--Germany--16th century.,a--z--y,0,,Accounting;Germany;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,Q291;Q3032;Q335
"Accounting--Handbooks, manuals, etc",a--v,0,http://id.loc.gov/authorities/subjects/sh2007100509,Accounting;Handbooks and manuals,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1423877,Q291;Q212
"Accounting--Handbooks, manuals, etc.--Early works to 1800",a--x--v,0,,"Accounting--Handbooks, manuals, etc.;Early works",http://id.worldcat.org/fast/1424436;http://id.worldcat.org/fast/1411636,Q38802;Q300
Accounting--Italy--15th century,a--z--y,0,,Accounting;Italy;Fifteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q291;Q249;Q154
Accounting--Italy--15th century.,a--z--y,0,,Accounting;Italy;Fifteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q291;Q249;Q154
Accounting--Italy--16th century,a--z--y,0,,Accounting;Italy;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q291;Q249;Q335
Accounting--Italy--16th century.,a--z--y,0,,Accounting;Italy;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q291;Q249;Q335
Accounting--Italy--17th century,a--z--y,0,,Accounting;Italy;Seventeenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q291;Q249;Q2771
Accounting--Italy--17th century.,a--z--y,0,,Accounting;Italy;Seventeenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q291;Q249;Q2771
Accounting--Spain--16th century,a--z--y,0,,Accounting;Spain;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q291;Q343;Q335
Accounting--Spain--16th century.,a--z--y,0,,Accounting;Spain;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q291;Q343;Q335
Accounting--Turkey,a--z,0,,Accounting;Turkey,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1208963,Q291;Q4294
Accounts,,openn-keywords,,Accounts,http://id.worldcat.org/fast/795510,Q6895
Accounts,a,aat,http://vocab.getty.edu/aat/300145802,accounts,http://vocab.getty.edu/aat/300145802,Q178
Accounts,a,fast,(OCoLC)fst00795510,Accounts,http://id.worldcat.org/fast/795510,Q6895
Accounts.,a,aat,http://vocab.getty.edu/aat/300145802,accounts,http://vocab.getty.edu/aat/300145802,Q178
Accounts--England,a--z,0,,Accounts;England,http://id.worldcat.org/fast/795510;http://id.worldcat.org/fast/1219920,Q6895;Q320
Acquisition of manuscripts,a,fast,,Acquisition of manuscripts,http://id.worldcat.org/fast/795992,Q64148
Acquisition of manuscripts--Islamic Empire--15th century,a--z--y,0,,Acquisition of manuscripts;Islamic Empire;Fifteenth century,http://id.worldcat.org/fast/795992;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/923962,Q64148;Q11211;Q154
Acquisition of property (Jewish law),a,0,http://id.loc.gov/authorities/subjects/sh85000625,Acquisition of property (Jewish law),http://id.worldcat.org/fast/796001,Q74868
Acquittals,a,0,http://id.loc.gov/authorities/subjects/sh85000637,Acquittals,http://id.worldcat.org/fast/796034,Q48480
Acquittals,a,fast,(OCoLC)fst00796034,Acquittals,http://id.worldcat.org/fast/796034,Q48480
Acquittals--Germany,a--z,0,,Acquittals;Germany,http://id.worldcat.org/fast/796034;http://id.worldcat.org/fast/1210272,Q48480;Q3032
Acre (Israel)--Early works to 1800,a--v,0,,Israel--Acre;Early works,http://id.worldcat.org/fast/1207296;http://id.worldcat.org/fast/1411636,Q11129;Q300
"Acre (Israel)--History--Siege, 1799",a--x--y,0,,"Israel--Acre;History;Siege of Acre (Acre, Israel : 1799)",http://id.worldcat.org/fast/1207296;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1354712,Q11129;Q6879;Q11464
"Acre (Israel)--History--Siege, 1799.",a--x--y,0,,"Israel--Acre;History;Siege of Acre (Acre, Israel : 1799)",http://id.worldcat.org/fast/1207296;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1354712,Q11129;Q6879;Q11464
Acronyms--19th century,a--y,0,,Acronyms;Nineteenth century,http://id.worldcat.org/fast/796088;http://id.worldcat.org/fast/1037841,Q75043;Q3538
Acronyms--Early works to 1800,a--v,0,,Acronyms;Early works,http://id.worldcat.org/fast/796088;http://id.worldcat.org/fast/1411636,Q75043;Q300
Acrostics,a,fast,http://id.worldcat.org/fast/796098,Acrostics,http://id.worldcat.org/fast/796098,Q7756
Acrostics.,a,fast,http://id.worldcat.org/fast/796098,Acrostics,http://id.worldcat.org/fast/796098,Q7756
Acrostics--Early works to 1800,a--v,0,,Acrostics;Early works,http://id.worldcat.org/fast/796098;http://id.worldcat.org/fast/1411636,Q7756;Q300
Acrostics--Early works to 1800.,a--v,0,,Acrostics;Early works,http://id.worldcat.org/fast/796098;http://id.worldcat.org/fast/1411636,Q7756;Q300
Actes formalistes--France--Manuscrits--Ouvrages avant 1800,a--z--x--v,6,(CaQQLa)201-0081310--(CaQQLa)201-0452039--(CaQQLa)201-0379055--(CaQQLa)201-0377050,Deeds;France;Manuscripts;Early works,http://id.worldcat.org/fast/889460;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1008230;http://id.worldcat.org/fast/1411636,Q38803;Q152;Q38609;Q300
Actions and defenses,a,0,http://id.loc.gov/authorities/subjects/sh85000723,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
Actions and defenses,a,fast,,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
Actions and defenses,a,fast,http://id.worldcat.org/fast/796238,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
