subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,authorized_label_add,structured_value_add
Cistercian monasteries.,a,fast,http://id.worldcat.org/fast/861717,Cistercian monasteries,http://id.worldcat.org/fast/861717,,
Cistercian monasteries--Italy.,a--z,0,,Cistercian monasteries;Italy,http://id.worldcat.org/fast/861717;http://id.worldcat.org/fast/1204565,,
Cistercians--France--Tarn-et-Garonne--History.,a--z--z--x,0,,Cistercians;France--Tarn-et-Garonne;History,http://id.worldcat.org/fast/554661;http://id.worldcat.org/fast/1210409;http://id.worldcat.org/fast/958235,,
Cisterna di Latina (Italy),a,0,http://id.loc.gov/authorities/names/n2008070038,Italy--Cisterna di Latina,http://id.worldcat.org/fast/1877258,,
"Cities and towns, Ancient.",a,fast,http://id.worldcat.org/fast/861870,"Cities and towns, Ancient",http://id.worldcat.org/fast/861870,,
"Cities and towns, Ancient--Early works to 1800.",a--v,0,,"Cities and towns, Ancient;Early works",http://id.worldcat.org/fast/861870;http://id.worldcat.org/fast/1411636,,
Citizenship.,a,fast,http://id.worldcat.org/fast/861909,Citizenship,http://id.worldcat.org/fast/861909,,
Citizenship--Italy.,a--z,0,http://id.loc.gov/authorities/subjects/sh2009119854,Citizenship;Italy,http://id.worldcat.org/fast/861909;http://id.worldcat.org/fast/1204565,,
Città di Castello (Italy)--History--13th century.,a--x--y,0,,Italy--Città di Castello;History;Thirteenth century,http://id.worldcat.org/fast/1204564;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1150138,,
Città di Castello (Italy)--History--Sources.,a--x--v,0,,Italy--Città di Castello;History;Sources,http://id.worldcat.org/fast/1204564;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,,
Città di Castello (Italy)--Politics and government--13th century.,a--x--y,0,,Italy--Città di Castello;Politics and government;Thirteenth century,http://id.worldcat.org/fast/1204564;http://id.worldcat.org/fast/1919741;http://id.worldcat.org/fast/1150138,,
Città di Castello (Italy)--Politics and government--History.,a--x--x,0,,Italy--Città di Castello;Politics and government;History,http://id.worldcat.org/fast/1204564;http://id.worldcat.org/fast/1919741;http://id.worldcat.org/fast/958235,,
City planning.,a,fast,http://id.worldcat.org/fast/862177,City planning,http://id.worldcat.org/fast/862177,,
City planning--Italy--Rome--Early works to 1800.,a--z--z--v,0,,City planning;Italy--Rome;Rome (Empire);Early works,http://id.worldcat.org/fast/862177;http://id.worldcat.org/fast/1204500;http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/1411636,,
Civil law.,a,fast,http://id.worldcat.org/fast/862544,Civil law,http://id.worldcat.org/fast/862544,,
Civil law--Italy.,a--z,0,http://id.loc.gov/authorities/subjects/sh2008117691,Civil law;Italy,http://id.worldcat.org/fast/862544;http://id.worldcat.org/fast/1204565,,
Civil law--Italy--Early works to 1800.,a--z--v,0,,Civil law;Italy;Early works,http://id.worldcat.org/fast/862544;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1411636,,
Civil procedure.,a,fast,http://id.worldcat.org/fast/862585,Civil procedure,http://id.worldcat.org/fast/862585,,
Civil procedure--Italy.,a--z,0,http://id.loc.gov/authorities/subjects/sh2008100932,Civil procedure;Italy,http://id.worldcat.org/fast/862585;http://id.worldcat.org/fast/1204565,,
Civil procedure--Italy--Bologna--Early works to 1800.,a--z--z--v,0,,Civil procedure;Italy--Bologna;Early works,http://id.worldcat.org/fast/862585;http://id.worldcat.org/fast/1204551;http://id.worldcat.org/fast/1411636,,
Classical dictionaries.,a,fast,http://id.worldcat.org/fast/863468,Classical dictionaries,http://id.worldcat.org/fast/863468,,
Classical dictionaries--Early works to 1800.,a--v,0,,Classical dictionaries;Early works,http://id.worldcat.org/fast/863468;http://id.worldcat.org/fast/1411636,,
Classical literature.,a,fast,http://id.worldcat.org/fast/863509,Classical literature,http://id.worldcat.org/fast/863509,,
Classical literature--Early works to 1800.,a--v,0,,Classical literature;Early works,http://id.worldcat.org/fast/863509;http://id.worldcat.org/fast/1411636,,
Clergy.,a,fast,http://id.worldcat.org/fast/864014,Clergy,http://id.worldcat.org/fast/864014,,
"Clergy--Appointment, call, and election.",a--x,fast,http://id.worldcat.org/fast/864017,"Clergy--Appointment, call, and election",http://id.worldcat.org/fast/864017,,
"Clergy--Appointment, call, and election--Early works to 1800.",a--x--v,0,,"Clergy--Appointment, call, and election;Early works",http://id.worldcat.org/fast/864017;http://id.worldcat.org/fast/1411636,,
Clergy--Office.,a--x,fast,http://id.worldcat.org/fast/864056,Clergy--Office,http://id.worldcat.org/fast/864056,,
Clergy--Office--Early works to 1800.,a--x--v,0,http://id.loc.gov/authorities/subjects/sh2009120401,Clergy--Office;Early works,http://id.worldcat.org/fast/864056;http://id.worldcat.org/fast/1411636,,
Clergy--Pensions.,a--x,fast,http://id.worldcat.org/fast/864065,Clergy--Pensions,http://id.worldcat.org/fast/864065,,
Clergy--Pensions--Early works to 1800.,a--x--v,0,,Clergy--Pensions;Pensions;Early works,http://id.worldcat.org/fast/864065;http://id.worldcat.org/fast/1057086;http://id.worldcat.org/fast/1411636,,
Clergy--Prayers and devotions.,a--v,0,http://id.loc.gov/authorities/subjects/sh85026958,Clergy--Prayers and devotions,http://id.worldcat.org/fast/1199186,,
Clergy--Prayers and devotions.,a--x,fast,http://id.worldcat.org/fast/1199186,Clergy--Prayers and devotions,http://id.worldcat.org/fast/1199186,,
Clergy--Taxation.,a--x,0,http://id.loc.gov/authorities/subjects/sh85026966,Clergy--Taxation,http://id.worldcat.org/fast/864091,,
Clergy--Taxation.,a--x,fast,http://id.worldcat.org/fast/864091,Clergy--Taxation,http://id.worldcat.org/fast/864091,,
Clothing and dress.,a,fast,http://id.worldcat.org/fast/864680,Clothing and dress,http://id.worldcat.org/fast/864680,,
Clothing and dress--Italy--Florence--16th century.,a--z--z--y,0,,Clothing and dress;Italy--Florence;Sixteenth century,http://id.worldcat.org/fast/864680;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/1119851,,
Clothing and dress--Italy--Florence--17th century.,a--z--z--y,0,,Clothing and dress;Italy--Florence;Seventeenth century,http://id.worldcat.org/fast/864680;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/1113663,,
Colle di Val d'Elsa (Italy)--History--14th century.,a--x--y,0,,Italy--Colle di Val d'Elsa;History;Fourteenth century,http://id.worldcat.org/fast/1229951;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/933420,,
Cologne (Germany)--Church history.,a--x,0,,Germany--Cologne;Church history,http://id.worldcat.org/fast/1208521;http://id.worldcat.org/fast/1411629,,
Colonies.,a,fast,http://id.worldcat.org/fast/868456,Colonies,http://id.worldcat.org/fast/868456,,
Colors.,a,fast,http://id.worldcat.org/fast/868751,Colors,http://id.worldcat.org/fast/868751,,
Colors--Early works to 1800.,a--v,0,,Colors;Early works,http://id.worldcat.org/fast/868751;http://id.worldcat.org/fast/1411636,,
Commerce.,a,fast,http://id.worldcat.org/fast/869279,Commerce,http://id.worldcat.org/fast/869279,,
Commerce--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008101241,Commerce;Early works,http://id.worldcat.org/fast/869279;http://id.worldcat.org/fast/1411636,,
Commercial courts.,a,fast,http://id.worldcat.org/fast/869460,Commercial courts,http://id.worldcat.org/fast/869460,,
Commercial courts--Italy--Florence.,a--z--z,0,,Commercial courts;Italy--Florence,http://id.worldcat.org/fast/869460;http://id.worldcat.org/fast/1204699,,
Commercial courts--Italy--Siena.,a--z--z,0,,Commercial courts;Italy--Siena,http://id.worldcat.org/fast/869460;http://id.worldcat.org/fast/1204409,,
Commercial law.,a,fast,http://id.worldcat.org/fast/869502,Commercial law,http://id.worldcat.org/fast/869502,,
Commercial law--Italy.,a--z,0,http://id.loc.gov/authorities/subjects/sh2008100935,Commercial law;Italy,http://id.worldcat.org/fast/869502;http://id.worldcat.org/fast/1204565,,
Compasses (Mathematical instruments),a,fast,http://id.worldcat.org/fast/871384,Compasses (Mathematical instruments),http://id.worldcat.org/fast/871384,,
Compasses (Mathematical instruments)--Early works to 1800.,a--v,0,,Compasses (Mathematical instruments);Early works,http://id.worldcat.org/fast/871384;http://id.worldcat.org/fast/1411636,,
Conduct of life.,a,fast,http://id.worldcat.org/fast/874563,Conduct of life,http://id.worldcat.org/fast/874563,,
Conduct of life--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2002009926,Conduct of life;Early works,http://id.worldcat.org/fast/874563;http://id.worldcat.org/fast/1411636,,
Conduct of life--Early works to 1800.,a--v,0,,Conduct of life;Early works,http://id.worldcat.org/fast/874563;http://id.worldcat.org/fast/1411636,,
Confession.,a,fast,http://id.worldcat.org/fast/874645,Confession,http://id.worldcat.org/fast/874645,,
Confession.,a,0,http://id.loc.gov/authorities/subjects/sh85030904,Confession,http://id.worldcat.org/fast/874645,,
Confession (Canon law),a,fast,http://id.worldcat.org/fast/874658,Confession (Canon law),http://id.worldcat.org/fast/874658,,
Confession (Canon law),a,0,http://id.loc.gov/authorities/subjects/sh85030909,Confession (Canon law),http://id.worldcat.org/fast/874658,,
Confession--Catholic Church.,a--x,fast,http://id.worldcat.org/fast/1750863,Confession--Catholic Church,http://id.worldcat.org/fast/1750863,,
Confession--Catholic Church--Early works to 1800.,a--x--v,0,,Confession--Catholic Church;Catholic Church;Early works,http://id.worldcat.org/fast/1750863;http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1411636,,
"Confession--Catholic Church--Handbooks, manuals, etc.--Early works to 1800.",a--x--v--v,0,,Confession--Catholic Church;Catholic Church;Handbooks and manuals;Early works,http://id.worldcat.org/fast/1750863;http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423877;http://id.worldcat.org/fast/1411636,,
Confession--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2009121336,Confession;Early works,http://id.worldcat.org/fast/874645;http://id.worldcat.org/fast/1411636,,
Confession--Early works to 1800.,a--v,0,,Confession;Early works,http://id.worldcat.org/fast/874645;http://id.worldcat.org/fast/1411636,,
Confraternities.,a,fast,http://id.worldcat.org/fast/875041,Confraternities,http://id.worldcat.org/fast/875041,,
Confraternities--Early works to 1800.,a--v,0,,Confraternities;Early works,http://id.worldcat.org/fast/875041;http://id.worldcat.org/fast/1411636,,
Confraternities--France--Early works to 1800.,a--z--v,0,,Confraternities;France;Early works,http://id.worldcat.org/fast/875041;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1411636,,
Confraternities--Italy--Early works to 1800.,a--z--v,0,,Confraternities;Italy;Early works,http://id.worldcat.org/fast/875041;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1411636,,
Confraternities--Italy--Lucca.,a--z--z,0,,Confraternities;Italy--Lucca,http://id.worldcat.org/fast/875041;http://id.worldcat.org/fast/1204336,,
Consanguinity--Early works to 1800.,a--v,0,,,,Consanguinity;Early works,http://id.worldcat.org/fast/875396;http://id.worldcat.org/fast/1411636
"Conscience, Examination of.",a,0,http://id.loc.gov/authorities/subjects/sh85031231,"Conscience, Examination of",http://id.worldcat.org/fast/875426,,
"Conscience, Examination of.",a,fast,http://id.worldcat.org/fast/875426,"Conscience, Examination of",http://id.worldcat.org/fast/875426,,
Consolation.,a,fast,http://id.worldcat.org/fast/875652,Consolation,http://id.worldcat.org/fast/875652,,
Consolation--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008101574,Consolation;Early works,http://id.worldcat.org/fast/875652;http://id.worldcat.org/fast/1411636,,
Constitutions.,a,fast,http://id.worldcat.org/fast/875851,Constitutions,http://id.worldcat.org/fast/875851,,
Constitutions--Specimens.,a--v,0,,Constitutions;Specimens,http://id.worldcat.org/fast/875851;http://id.worldcat.org/fast/1423861,,
Construction industry.,a,fast,http://id.worldcat.org/fast/875964,Construction industry,http://id.worldcat.org/fast/875964,,
Construction industry--History--Italy--Florence.,a--x--z--z,0,,Construction industry;History;Italy--Florence,http://id.worldcat.org/fast/875964;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1204699,,
Contracts--Early works to 1800.,a--v,0,,,,Contracts;Early works,http://id.worldcat.org/fast/876969;http://id.worldcat.org/fast/1411636
Convents.,a,fast,http://id.worldcat.org/fast/877187,Convents,http://id.worldcat.org/fast/877187,,
Convents--Italy--Early works to 1800.,a--z--v,0,,Convents;Italy;Early works,http://id.worldcat.org/fast/877187;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1411636,,
Conveyancing--Early works to 1800.,a--v,0,,,,Conveyancing;Early works,http://id.worldcat.org/fast/877268;http://id.worldcat.org/fast/1411636
"Cooking, English.",a,fast,http://id.worldcat.org/fast/1754933,"Cooking, English",http://id.worldcat.org/fast/1754933,,
"Cooking, English--Early works to 1800.",a--v,0,http://id.loc.gov/authorities/subjects/sh2008101719,"Cooking, English;Early works",http://id.worldcat.org/fast/1754933;http://id.worldcat.org/fast/1411636,,
Cooking.,a,fast,http://id.worldcat.org/fast/1754966,Cooking,http://id.worldcat.org/fast/1754966,,
Cooking--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008101718,Cooking;Early works,http://id.worldcat.org/fast/1754966;http://id.worldcat.org/fast/1411636,,
Corrèze (France : Department)--History--Economic aspects.,a--x--x,0,,France--Corrèze (Department);History,http://id.worldcat.org/fast/1714272;http://id.worldcat.org/fast/958235,,
Corrèze (France : Department)--History--Social aspects.,a--x--x,0,,France--Corrèze (Department);History;Social aspects,http://id.worldcat.org/fast/1714272;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1354981,,
Corrèze (France : Department)--History--Sources.,a--x--v,0,,France--Corrèze (Department);History;Sources,http://id.worldcat.org/fast/1714272;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,,
Cortona (Italy)--Church history.,a--x,0,,Italy--Cortona;Church history,http://id.worldcat.org/fast/1205166;http://id.worldcat.org/fast/1411629,,
Cortona (Italy)--History.,a--x,0,,Italy--Cortona;History,http://id.worldcat.org/fast/1205166;http://id.worldcat.org/fast/958235,,
Cosmography.,a,fast,http://id.worldcat.org/fast/880594,Cosmography,http://id.worldcat.org/fast/880594,,
Cosmography--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2009118159,Cosmography;Early works,http://id.worldcat.org/fast/880594;http://id.worldcat.org/fast/1411636,,
Cosmography--Poetry--Early works to 1800.,a--v--v,0,,,,Cosmography;Poetry;Early works,http://id.worldcat.org/fast/880594;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636
Cosmology.,a,fast,http://id.worldcat.org/fast/880600,Cosmology,http://id.worldcat.org/fast/880600,,
Cosmology--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008101799,Cosmology;Early works,http://id.worldcat.org/fast/880600;http://id.worldcat.org/fast/1411636,,
Counter-Reformation.,a,fast,http://id.worldcat.org/fast/881307,Counter-Reformation,http://id.worldcat.org/fast/881307,,
Counter-Reformation--Early works to 1800.,a--v,0,,Counter-Reformation;Early works,http://id.worldcat.org/fast/881307;http://id.worldcat.org/fast/1411636,,
Counter-Reformation--Germany.,a--z,0,,Counter-Reformation;Germany,http://id.worldcat.org/fast/881307;http://id.worldcat.org/fast/1210272,,
Counter-Reformation--Switzerland.,a--z,0,,Counter-Reformation;Switzerland,http://id.worldcat.org/fast/881307;http://id.worldcat.org/fast/1205401,,
Courts.,a,fast,http://id.worldcat.org/fast/881747,Courts,http://id.worldcat.org/fast/881747,,
Courts--England--Early works to 1800.,a--z--v,0,,Courts;England;Early works,http://id.worldcat.org/fast/881747;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1411636,,
Courts--Jerusalem--History--Sources.,a--z--x--v,0,,Courts;Middle East--Jerusalem;History;Sources,http://id.worldcat.org/fast/881747;http://id.worldcat.org/fast/1216276;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,,
Courts--Spain--Early works to 1800.,a--z--v,0,,Courts;Spain;Early works,http://id.worldcat.org/fast/881747;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411636,,
Creation.,a,fast,http://id.worldcat.org/fast/882382,Creation,http://id.worldcat.org/fast/882382,,
Creation--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008101800,Creation;Early works,http://id.worldcat.org/fast/882382;http://id.worldcat.org/fast/1411636,,
Criminal courts.,a,fast,http://id.worldcat.org/fast/883184,Criminal courts,http://id.worldcat.org/fast/883184,,
Criminal courts--Austria--Vienna--History.,a--z--z--x,0,,Criminal courts;Austria--Vienna;History,http://id.worldcat.org/fast/883184;http://id.worldcat.org/fast/1204516;http://id.worldcat.org/fast/958235,,
Criminal law.,a,fast,http://id.worldcat.org/fast/883328,Criminal law,http://id.worldcat.org/fast/883328,,
Criminal law--Italy.,a--z,0,http://id.loc.gov/authorities/subjects/sh2008100933,Criminal law;Italy,http://id.worldcat.org/fast/883328;http://id.worldcat.org/fast/1204565,,
Criminal law--Italy--Bologna--Early works to 1800.,a--z--z--v,0,,Criminal law;Italy--Bologna;Early works,http://id.worldcat.org/fast/883328;http://id.worldcat.org/fast/1204551;http://id.worldcat.org/fast/1411636,,
Criminal law--Italy--Florence.,a--z--z,0,,Criminal law;Italy--Florence,http://id.worldcat.org/fast/883328;http://id.worldcat.org/fast/1204699,,
"Criticism, Textual.",a,fast,http://id.worldcat.org/fast/883762,"Criticism, Textual",http://id.worldcat.org/fast/883762,,
Criticism and interpretation.,a,fast,http://id.worldcat.org/fast/1198648,Criticism and interpretation,http://id.worldcat.org/fast/1198648,,
Crusades.,a,fast,http://id.worldcat.org/fast/884401,Crusades,http://id.worldcat.org/fast/884401,,
Crusades.,a,0,http://id.loc.gov/authorities/subjects/sh85034380,Crusades,http://id.worldcat.org/fast/884401,,
Crusades--13th-15th centuries.,a--y,0,http://id.loc.gov/authorities/subjects/sh85034384,Crusades;Thirteenth century;Fourteenth century;Fifteenth century,http://id.worldcat.org/fast/884401;http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962,,
Crusades--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2009122616,Crusades;Early works,http://id.worldcat.org/fast/884401;http://id.worldcat.org/fast/1411636,,
"Crusades--Fourth, 1202-1204.",a--y,0,http://id.loc.gov/authorities/subjects/sh85034385,Crusades (Fourth) (1202-1204),http://id.worldcat.org/fast/884409,,
"Crusades--Second, 1147-1149.",a--y,0,,,,Crusades (Second) (1147-1149),http://id.worldcat.org/fast/884416
Cryptography.,a,fast,http://id.worldcat.org/fast/884552,Cryptography,http://id.worldcat.org/fast/884552,,
Cryptography--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2009119733,Cryptography;Early works,http://id.worldcat.org/fast/884552;http://id.worldcat.org/fast/1411636,,
Customary law.,a,fast,http://id.worldcat.org/fast/885510,Customary law,http://id.worldcat.org/fast/885510,,
Customary law--Belgium--Liège.,a--z--z,0,,Customary law;Belgium--Liège,http://id.worldcat.org/fast/885510;http://id.worldcat.org/fast/1207176,,
Customs administration.,a,fast,http://id.worldcat.org/fast/885571,Customs administration,http://id.worldcat.org/fast/885571,,
Customs administration--Italy--Livorno--History.,a--z--z--x,0,,Customs administration;Italy--Livorno;History,http://id.worldcat.org/fast/885571;http://id.worldcat.org/fast/1206206;http://id.worldcat.org/fast/958235,,
Customs administration--Italy--Sicily--History.,a--z--z--x,0,,Customs administration;Italy--Sicily;History,http://id.worldcat.org/fast/885571;http://id.worldcat.org/fast/1204499;http://id.worldcat.org/fast/958235,,
Cynics (Greek philosophy),a,0,http://id.loc.gov/authorities/subjects/sh85035151,Cynics (Greek philosophy),http://id.worldcat.org/fast/886091,,
Cynics (Greek philosophy),a,fast,http://id.worldcat.org/fast/886091,Cynics (Greek philosophy),http://id.worldcat.org/fast/886091,,
Cyprus.,a,fast,http://id.worldcat.org/fast/1205213,Cyprus,http://id.worldcat.org/fast/1205213,,
Cyprus--Description and travel.,a--x,0,http://id.loc.gov/authorities/subjects/sh88007019,Cyprus;Voyages and travels,http://id.worldcat.org/fast/1205213;http://id.worldcat.org/fast/1169308,,
"Cyprus--History--Turkish Conquest, 1570-1571.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh87002777,Cyprus;History;Turkish Conquest of Cyprus (Cyprus : 1570-1571),http://id.worldcat.org/fast/1205213;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355175,,
"Cyprus--History--Turkish rule, 1571-1878.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh87004675,Cyprus;History;1571-1878,http://id.worldcat.org/fast/1205213;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355617,,
"Cyprus--History--Venetian rule, 1474-1570.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh91004079,Cyprus;History;1474-1570,http://id.worldcat.org/fast/1205213;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355553,,
Czech Republic--Bohemia.,a--z,fast,http://id.worldcat.org/fast/1243096,Czech Republic--Bohemia,http://id.worldcat.org/fast/1243096,,
Dalmatia (Croatia)--Early works to 1800.,a--v,0,,Croatia--Dalmatia;Early works,http://id.worldcat.org/fast/1232252;http://id.worldcat.org/fast/1411636,,
Deadly sins.,a,0,http://id.loc.gov/authorities/subjects/sh85036044,Deadly sins,http://id.worldcat.org/fast/888432,,
Deadly sins--Early works to 1800.,a--v,0,,Deadly sins;Early works,http://id.worldcat.org/fast/888432;http://id.worldcat.org/fast/1411636,,
Death--Early works to 1800.,a--v,0,,,,Death;Early works,http://id.worldcat.org/fast/888613;http://id.worldcat.org/fast/1411636
Death--Religious aspects--Catholic Church.,a--x--x,fast,http://id.worldcat.org/fast/888655,Death--Religious aspects--Catholic Church,http://id.worldcat.org/fast/888655,,
Death--Religious aspects--Catholic Church--Early works to 1800.,a--x--x--v,0,,Death--Religious aspects;Catholic Church;Early works,http://id.worldcat.org/fast/888649;http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1411636,,
Death--Religious aspects--Christianity--Early works to 1800.,a--x--x--v,0,,,,Death--Religious aspects;Christianity;Early works,http://id.worldcat.org/fast/888649;http://id.worldcat.org/fast/859599;http://id.worldcat.org/fast/1411636
Debt.,a,fast,http://id.worldcat.org/fast/888768,Debt,http://id.worldcat.org/fast/888768,,
Debt cancellation.,a,fast,http://id.worldcat.org/fast/888782,Debt cancellation,http://id.worldcat.org/fast/888782,,
Debt cancellation--Italy--Early works to 1800.,a--z--v,0,,Debt cancellation;Italy;Early works,http://id.worldcat.org/fast/888782;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1411636,,
Debt--Italy.,a--z,0,,Debt;Italy,http://id.worldcat.org/fast/888768;http://id.worldcat.org/fast/1204565,,
Debt--Italy--Siena.,a--z--z,0,,Debt;Italy--Siena,http://id.worldcat.org/fast/888768;http://id.worldcat.org/fast/1204409,,
Derbyshire (England)--History.,a--x,0,,England--Derbyshire;History,http://id.worldcat.org/fast/1202650;http://id.worldcat.org/fast/958235,,
Despotism--Early works to 1800.,a--v,0,,,,Despotism;Early works,http://id.worldcat.org/fast/891415;http://id.worldcat.org/fast/1411636
Devon (England)--History.,a--x,0,,England--Devon;History,http://id.worldcat.org/fast/1206047;http://id.worldcat.org/fast/958235,,
Devotional exercises.,a,fast,http://id.worldcat.org/fast/892012,Devotional exercises,http://id.worldcat.org/fast/892012,,
Devotional exercises.,a,0,http://id.loc.gov/authorities/subjects/sh85037397,Devotional exercises,http://id.worldcat.org/fast/892012,,
"Devotional literature, English (Middle)",a,0,http://id.loc.gov/authorities/subjects/sh89005456,"Devotional literature, English (Middle)",http://id.worldcat.org/fast/892024,,
"Devotional literature, English (Middle)",a,fast,http://id.worldcat.org/fast/892024,"Devotional literature, English (Middle)",http://id.worldcat.org/fast/892024,,
"Devotional literature, French.",a,fast,http://id.worldcat.org/fast/892026,"Devotional literature, French",http://id.worldcat.org/fast/892026,,
"Devotional literature, French.",a,0,http://id.loc.gov/authorities/subjects/sh85037401,"Devotional literature, French",http://id.worldcat.org/fast/892026,,
"Devotional literature, German.",a,fast,http://id.worldcat.org/fast/1736795,"Devotional literature, German",http://id.worldcat.org/fast/1736795,,
"Devotional literature, German--Early works to 1800.",a--v,0,,"Devotional literature, German;Early works",http://id.worldcat.org/fast/1736795;http://id.worldcat.org/fast/1411636,,
"Devotional literature, Italian.",a,fast,http://id.worldcat.org/fast/892033,"Devotional literature, Italian",http://id.worldcat.org/fast/892033,,
"Devotional literature, Italian.",a,0,http://id.loc.gov/authorities/subjects/sh85037402,"Devotional literature, Italian",http://id.worldcat.org/fast/892033,,
"Devotional literature, Italian--Early works to 1800.",a--v,0,,"Devotional literature, Italian;Early works",http://id.worldcat.org/fast/892033;http://id.worldcat.org/fast/1411636,,
Devotional literature.,a,fast,http://id.worldcat.org/fast/892015,Devotional literature,http://id.worldcat.org/fast/892015,,
Devotional literature.,a,0,http://id.loc.gov/authorities/subjects/sh85037398,Devotional literature,http://id.worldcat.org/fast/892015,,
Devotional literature.,a,0,,Devotional literature,http://id.worldcat.org/fast/892015,,
Devotional literature--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2009123289,Devotional literature;Early works,http://id.worldcat.org/fast/892015;http://id.worldcat.org/fast/1411636,,
Dictators as authors--Early works to 1800.,a--v,0,,,,Dictators as authors;Early works,http://id.worldcat.org/fast/1986296;http://id.worldcat.org/fast/1411636
"Didactic literature, German.",a,0,http://id.loc.gov/authorities/subjects/sh85037728,"Didactic literature, German",http://id.worldcat.org/fast/892958,,
"Didactic literature, German.",a,fast,http://id.worldcat.org/fast/892958,"Didactic literature, German",http://id.worldcat.org/fast/892958,,
Didactic literature--Early works to 1800.,a--v,0,,,,Didactic literature;Early works,http://id.worldcat.org/fast/892936;http://id.worldcat.org/fast/1411636
"Didactic poetry, Latin.",a,0,http://id.loc.gov/authorities/subjects/sh85037739,"Didactic poetry, Latin",http://id.worldcat.org/fast/893018,,
"Didactic poetry, Latin.",a,fast,http://id.worldcat.org/fast/893018,"Didactic poetry, Latin",http://id.worldcat.org/fast/893018,,
"Didactic poetry, Latin (Medieval and modern)",a,0,http://id.loc.gov/authorities/subjects/sh86005920,"Didactic poetry, Latin (Medieval and modern)",http://id.worldcat.org/fast/893021,,
"Didactic poetry, Latin (Medieval and modern)",a,fast,http://id.worldcat.org/fast/893021,"Didactic poetry, Latin (Medieval and modern)",http://id.worldcat.org/fast/893021,,
Dioceses.,a,fast,http://id.worldcat.org/fast/894031,Dioceses,http://id.worldcat.org/fast/894031,,
Discipline.,a,fast,http://id.worldcat.org/fast/894841,Discipline,http://id.worldcat.org/fast/894841,,
Dispute resolution (Law),a,fast,http://id.worldcat.org/fast/895372,Dispute resolution (Law),http://id.worldcat.org/fast/895372,,
Dispute resolution (Law)--Italy--Florence--History.,a--z--z--x,0,,Dispute resolution (Law);Italy--Florence;History,http://id.worldcat.org/fast/895372;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/958235,,
"Dissenters, Religious.",a,0,http://id.loc.gov/authorities/subjects/sh85038490,"Dissenters, Religious",http://id.worldcat.org/fast/895414,,
"Dissenters, Religious.",a,fast,http://id.worldcat.org/fast/895414,"Dissenters, Religious",http://id.worldcat.org/fast/895414,,
Divine office.,a,fast,http://id.worldcat.org/fast/895757,Divine office,http://id.worldcat.org/fast/895757,,
Divine office.,a,0,http://id.loc.gov/authorities/subjects/sh85038591,Divine office,http://id.worldcat.org/fast/895757,,
Divine office.,a,0,,Divine office,http://id.worldcat.org/fast/895757,,
Divine office (Music),a,0,http://id.loc.gov/authorities/subjects/sh93006166,Divine office (Music),http://id.worldcat.org/fast/895764,,
