title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
#tNürnbergishe Chronic von Erbauing der Städt bis 1561#,,,,,
#tVon dem Bischoff von Wurtzburg von einer schlechter dach#,,,,,
[No Title for Display},,,,,
[Saint] Cyril of Alexandria Super Evangelium Joannis (1508 Printed Book Leaf,,,,,
A geometricall extraction for all affected to the mathematickes,,,,,
"A sarmon of Ihon Oecolampadius to young men and maydens by a famose laborar in the Lordes vinyard among the Germans & switzars translatid owt of Lattin, into English by that paynfull & zealus servant of god, John foxe",,,,,
Abbadia San Salvatore property lien,,,,,
"Abbreviation of Peter of Tarentaise's commentary on Peter Lombard's Sententiarum, libri IV",,,,,
Abḥāth al-nikāḥ li-dhī istīḍāḥ,,,,,
Abridged history of Arab dynasties,,,,,
Acknowledgment of loan,,,,,
Act concerning the monastery of San Spirito,,,,,
Act of exchange of property,,,,,
Acta pronumptiationis tenute et licentie generalis pro Bernardo Alamanni de Medicis,,,,,
"Ad invictissimum Maximilianum II, el. Romanum Imperatorem Augustum",,,,,
Ad statutum positum sub rubrica de contractibus cum minoribus,,,,,
Additions to Aurora,,,,,
"Additions to Statuta, constitutiones ac decreta ducalis provincae Friniani",,,,,
Addresses and letters,,,,,
Adʻiyat al-mustaghīthīn bi-Allāh ʻazza wa-jalla ʻinda al-muhimmāt wa-al-ḥājāt wa-al mutaḍarriʻīn ilayhi subḥānahu bi-al-raghabāt wa-al-daʻawāt wa-mā yassara Allāh lahum min al-ijābāt wa-al-karāmāt,,,,,
Admission letter to the Third Order Secular of St. Francis,,,,,
Agreement,,,,,
Agreement pertaining to the rents and privileges of the Canons Regular of Urgel,,,,,
al-Akhbār al-maʼthūrah fī al-iṭṭilāʼ bi-al-nūrah,,,,,
al-Aqwāl al-muʻribah fī aḥwāl al-ashribah,,,,,
al-Araj fī al-faraj,,,,,
al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār,البيان و التذكار في صنعة عمل الغبار.,,,,
Alessandro Piccolomini nomination,,,,,
Alexander ...etc,,,,,
Alexander material,,,,,
al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī,الفتح الرباني فيما ذهل عنه الزرقاني.,,,,
