title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
"""Lancelot Proper""",,,,Roman de Lancelot
"15th century breviary for feast of August 29,30, September 8",,,,Breviary
A dream of bounden dutie,,,,A Dream of Bounden Dutie
A Myrour to lewde men and wymmen,,,,A Myrour to Lewde Men and Wymmen
Ab urbe condita,,,,Ab urbe condita
Abscondita naturae,,,,Abscondita naturae
"Academic exercise (prolusion) on rising early, including an essay on the saying mane citus lectum fuge, and two poems, Surge, age surge, leves, iam convenit arcere somnes ; and Ignavus satrapam dedecet inclytum",,,,Academic treatises;Poems;Carmina Elegiaca
Acciaiuoli family correspondence,,,,Family documents
Account book,,,,Account book
Account book and record of transactions,,,,Account book
Account book of Vincenzo Spada,,,,Account book
Account of payments,,,,Account book
Accounts book,,,,Accounts book
Accounts of William Pawlett in Dorset,,,,Accounts book
Acerba,,,,Acerba
Acts,,,,Acts
Adam Luce Dominici deed of sale,,,,Deed
Aeneid,,,,Aeneid
Agnihotrahomaprayoga,"अग्निहोत्रहोमप्रयोग,",,,Agnihotrahomaprayoga
Al Beharistan,,,,Al-Beharistan
Alamanno Taviani power of attorney,,,,Power of attorney
Alchemical compendium,,,,Alchemical miscellany
Alchemical miscellany,,,,Alchemical miscellany
Aldobrando Delci power of attorney,,,,Power of attorney
Alessandri family power of attorney,,,,Power of attorney
Algorismus,,,,Algorismus
Algorismus ... etc,,,,Algorismus
"Algorismus, cum glosa / John of Sacro Bosco",,,,Algorismus
al-Hidāyah,الهداية.,Hidāyah fī sharḥ al-Bidāyah,هداية في شرح البداية,Hidāyah fī sharḥ al-Bidāyah
al-Juzʼ al-awwal,الجزء الاول.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-ḥādī ʻashr,الجزء الحادي عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-ḥādī wa-al-ʻishrūn,الجزء الحادي والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-khāmis ʻashar min al-rabʻah al-sharīfah,الجزء الخامس عشر من الربعة الشريفة.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-khāmis wa-al-ʻishrūn,الجزء الخامس والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-rābiʻ,الجزء الرابع.,Qurʼan.,قرآن.,Qurʼan
