title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
"""A viro prudente...""","","","",""
A Heu Glossary,"","","",""
A collection of Italian lyric poetry; primarily Petrarch's Canzoniere,"","","",""
A collection of devotional tracts,"","","",""
A collection of mediaeval devotional works in Italian,"","","",""
A collection of uncatalogued leaves,"","","",""
Abbreviatio Summae Guillelmi Altissiodorensis /,"","","",""
Abridged Latin translation of the Nichomachean ethics and some commentaries on Aristotle,"","","",""
"Annuntiatio Sacri Jubilaei instantis anni centesimi, et declaratio quod prosequenda illius plenissima indulgentia a christifidelibus fieri debeat","","","",""
Antiphonari,"",Antiphonary (Manuscript Kenneth Spencer Research Library. MS J4:1),"",""
Antiphonary,"",Antiphonary  (Manuscript Kenneth Spencer Research Library. MS J5:1),"",Antiphonary
Arezzo Laude,"","","",""
Aureli Augustini beatissimi de civitate Dei,"",De civitate Dei (De Valle),"",""
Barzizza and other works,"","","",""
Beneventan fragment 3. Apocrypha,"","","",""
Bible,"",Bible.,"",Bible
"Bible, N. T., Acts of the Apostles","","","",""
"Bible, N.T., Gospel of Matthew, glossed","","","",""
Book of hours,"",Book of hours (Manuscript Kenneth Spencer Research Library. MS A10),"",Book of hours
Book of hours,"",Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/1:A15),"",Book of hours
Book of hours,"",Book of hours (Manuscript. Kenneth Spencer Research Library. MS 18E:1),"",Book of hours
Book of hours,"",Book of hours (Manuscript Kenneth Spencer Research Library. MS A6),"",Book of hours
Book of hours,"",Book of hours (Manuscript Kenneth Spencer Research Library. MS A16),"",Book of hours
Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/1:C4),"","","",""
"Book of the Gospels, incomplete","",Bible.,"",""
Breviary,"","","",Breviary
Bucolica,"",Works.,"",Bucolics
Canon law collection,"","","",""
Canon law summa,"","","",""
Capitoli e ordinamenti 1354,"","","",""
Capitoli e ordinamenti 1422,"","","",""
Chronicle fragments (Fragment Kenneth Spencer Research Library. MS P579),"","","",""
Chronicle of popes and emperors,"","","",""
Chur Psalter,"","","",""
Cicero Rhetorica,"",Rhetorica ad Herennium.,"",""
Collection of biographies of illustrious men,"","","",""
"Collection of documents from Abbaye Saint-Sulpice-en-Bugey, mostly relating to the foundation of Abbaye de Chassagne-en-Bresse","","","",""
Collection of religious and theological treatises,"","","",""
Collection of religious and theological treatises /,"","","",""
Collection of works by Aristotle and commentaries on Aristotle's works,"","","",""
"Collections of excerpts, including Liber scintillarum by Defensor of Ligugé","","","",""
Commentaries on Aristotle,"","","",Commentary on Aristotle
Commentarium Biblicum,"","","",""
Commentary on the Pauline Epistles,"","","",Commentary on Epistles;Epistles
