signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link,dsItemID
"Bryn Mawr, Pennsylvania, Bryn Mawr College, MS 8",manuscript containing Jewel roll of Edward I for the years 1300-1,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,,,,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Secretary,Q397,Jewel roll of Edward I for the years 1300-1,Inventory,https://catalog.digital-scriptorium.org/entity/Q5073,,Q2147709|Q105341227,Q995265,DS16511,MS 8,MS 8,https://iiif.archive.org/iiif/3/BMC_MS8/manifest.json,https://catalog.digital-scriptorium.org/entity/Q69226,https://openn.library.upenn.edu/Data/0003/html/BMC_MS08.html,https://catalog.digital-scriptorium.org/entity/Q69225
"Bryn Mawr, Pennsylvania, Bryn Mawr College, MS 24","manuscript containing Lawrence hours, use of Cambrai",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1450,https://catalog.digital-scriptorium.org/entity/Q68672|https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q19891|https://catalog.digital-scriptorium.org/entity/Q54678,,,Script: Gothic -- textualis,Q1473289|Q188|Q397|Q7411|Q34147,"Lawrence hours, use of Cambrai",Book of hours|Lawrence Hours,https://catalog.digital-scriptorium.org/entity/Q795|https://catalog.digital-scriptorium.org/entity/Q68747,,Q19754033|Q131863648,Q995265,DS16526,MS 24,MS 24,https://iiif.archive.org/iiif/3/BMC_MS24/manifest.json,https://catalog.digital-scriptorium.org/entity/Q69271,https://openn.library.upenn.edu/Data/0003/html/BMC_MS24.html,https://catalog.digital-scriptorium.org/entity/Q69270
"Bryn Mawr, Pennsylvania, Bryn Mawr College, MS 50","manuscript containing Liturgical Miscellany with Prayers, Office of St. Catherine, Mass of the Virgin, and Biblical Readings, etc.",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1475,1500,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q3084,,,Script: Humanistic,Q397|Q652,"Liturgical Miscellany with Prayers, Office of St. Catherine, Mass of the Virgin, and Biblical Readings, etc.",Liturgical texts,https://catalog.digital-scriptorium.org/entity/Q6055,,Q131863657|Q131863658,Q995265,DS16550,MS 50,MS 50,https://iiif.archive.org/iiif/3/BMC_MS50/manifest.json,https://catalog.digital-scriptorium.org/entity/Q69343,https://openn.library.upenn.edu/Data/0003/html/BMC_MS50.html,https://catalog.digital-scriptorium.org/entity/Q69342
"Bryn Mawr, Pennsylvania, Bryn Mawr College, MS 51",manuscript containing Processional (Use of the Dominican nuns of Poissy),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1500,,,,Script: Bâtarde,Q1473289|Q397,Processional (Use of the Dominican nuns of Poissy),Processional,https://catalog.digital-scriptorium.org/entity/Q1336,,Q17631254,Q995265,DS16551,MS 51,MS 51,https://iiif.archive.org/iiif/3/BMC_MS51/manifest.json,https://catalog.digital-scriptorium.org/entity/Q69346,https://openn.library.upenn.edu/Data/0003/html/BMC_MS51.html,https://catalog.digital-scriptorium.org/entity/Q69345
"Bryn Mawr, Pennsylvania, Bryn Mawr College, MS 54",manuscript containing Sequentiary (Prosar) for Dominican Use,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q97,1480,1520,,,,Script: Gothic--textualis,Q150|Q397,Sequentiary (Prosar) for Dominican Use,Sequentiary,https://catalog.digital-scriptorium.org/entity/Q1390,,Q2212562,Q995265,DS16554,MS 54,MS 54,https://iiif.archive.org/iiif/3/BMC_MS54/manifest.json,https://catalog.digital-scriptorium.org/entity/Q69355,https://openn.library.upenn.edu/Data/0003/html/BMC_MS54.html,https://catalog.digital-scriptorium.org/entity/Q69354
"Bryn Mawr, Pennsylvania, Bryn Mawr College, BV 48",manuscript containing Devotional book.,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,,,,https://catalog.digital-scriptorium.org/entity/Q3079,,,"Script: Written in naskh in black ink; pointed, vocalized.",Q13955|Q36730,Devotional book.,Devotional book,https://catalog.digital-scriptorium.org/entity/Q3720,,Q131863663,Q995265,DS16559,BV 48,BV 48,,https://catalog.digital-scriptorium.org/entity/Q69370,https://openn.library.upenn.edu/Data/0003/html/bv_048.html,https://catalog.digital-scriptorium.org/entity/Q69369
"Bryn Mawr, Pennsylvania, Bryn Mawr College, BV 56",manuscript containing Notebook of magical formulae.,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,,,,,,,Script: Written in modern ruqʻah in black ink; pointed.,Q13955,Notebook of magical formulae.,Magical texts,https://catalog.digital-scriptorium.org/entity/Q38350,,Q131863669,Q995265,DS16567,BV 56,BV 56,,https://catalog.digital-scriptorium.org/entity/Q69394,https://openn.library.upenn.edu/Data/0003/html/bv_056.html,https://catalog.digital-scriptorium.org/entity/Q69393
"Bryn Mawr, Pennsylvania, Bryn Mawr College, BV 60",manuscript containing al-Qurʼān.,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,,,,,,,"Script: Written in muḥaqqaq in black ink; pointed, vocalized.",Q13955,al-Qurʼān.,Qurʼan,https://catalog.digital-scriptorium.org/entity/Q3697,,Q131863669,Q995265,DS16570,BV 60,BV 60,,https://catalog.digital-scriptorium.org/entity/Q69403,https://openn.library.upenn.edu/Data/0003/html/bv_060.html,https://catalog.digital-scriptorium.org/entity/Q69402
"Bryn Mawr, Pennsylvania, Bryn Mawr College, MS 20","manuscript containing Castle Hours #2, Use of Rouen",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1440,1460,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Gothic--textualis quadrata|Script: Bâtarde,Q150|Q397,"Castle Hours #2, Use of Rouen",Book of hours|Castle Hours,https://catalog.digital-scriptorium.org/entity/Q795|https://catalog.digital-scriptorium.org/entity/Q68739,,Q131863645,Q995265,DS16522,MS 20,MS 20,https://iiif.archive.org/iiif/3/BMC_MS20/manifest.json,https://catalog.digital-scriptorium.org/entity/Q69259,https://openn.library.upenn.edu/Data/0003/html/BMC_MS20.html,https://catalog.digital-scriptorium.org/entity/Q69258
"Bryn Mawr, Pennsylvania, Bryn Mawr College, MS 21","manuscript containing Castle hours #3, use uncertain",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1475,https://catalog.digital-scriptorium.org/entity/Q1114,,,Script: Scribe: Guilberto Broulin ?|Script: Bâtarde,Q1473289|Q397,"Castle hours #3, use uncertain",Book of hours|Castle Hours,https://catalog.digital-scriptorium.org/entity/Q795|https://catalog.digital-scriptorium.org/entity/Q68739,,Q131863645|Q131863646|Q75444527,Q995265,DS16523,MS 21,MS 21,https://iiif.archive.org/iiif/3/BMC_MS21/manifest.json,https://catalog.digital-scriptorium.org/entity/Q69262,https://openn.library.upenn.edu/Data/0003/html/BMC_MS21.html,https://catalog.digital-scriptorium.org/entity/Q69261
