signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Wellesley, Massachusetts, Wellesley College, MS 22",manuscript containing Manuale,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1350,1399,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Written in a Gothic bookhand in black ink. Red rubrics.,Q397,Manuale,Manual,https://catalog.digital-scriptorium.org/entity/Q7272,,Q120752898,Q49205,DS16425,in00000625699,MS 22,,https://catalog.digital-scriptorium.org/entity/Q68968,https://search.digital-scriptorium.org/catalog/DS16425,https://libcat.wellesley.edu/Record/in00000625699,https://catalog.digital-scriptorium.org/entity/Q68967
"Wellesley, Massachusetts, Wellesley College, MS *81WM-1","manuscript containing Book of hours, use of Nantes",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1410,https://catalog.digital-scriptorium.org/entity/Q136|https://catalog.digital-scriptorium.org/entity/Q68012,,,Script: Written in a Gothic bookhand in black ink. Red rubrics.,Q150|Q397,"Book of hours, use of Nantes",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q131856754|Q131856755,Q49205,DS16426,in00000626096,MS *81WM-1,https://repository.wellesley.edu/node/34972/manifest,https://catalog.digital-scriptorium.org/entity/Q68971,https://search.digital-scriptorium.org/catalog/DS16426,https://libcat.wellesley.edu/Record/in00000626096,https://catalog.digital-scriptorium.org/entity/Q68970
"Wellesley, Massachusetts, Wellesley College, MS 6, Flat JJ3","manuscript containing Gradual, for Louis XII (r. 1498-1515) and Anne de Bretagne",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1499,1500,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in a Gothic script in black ink. Red rubrics.,Q150|Q397,"Gradual, for Louis XII (r. 1498-1515) and Anne de Bretagne",Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,,Q115960451,Q49205,DS16432,in00000626048,"MS 6, Flat JJ3",https://repository.wellesley.edu/node/34257/manifest-single,https://catalog.digital-scriptorium.org/entity/Q68989,https://search.digital-scriptorium.org/catalog/DS16432,https://libcat.wellesley.edu/Record/in00000626048,https://catalog.digital-scriptorium.org/entity/Q68988
"Wellesley, Massachusetts, Wellesley College, MS 8",manuscript containing The pricke of conscience and others,Q87167,,https://catalog.digital-scriptorium.org/entity/Q97,1400,1450,https://catalog.digital-scriptorium.org/entity/Q133|https://catalog.digital-scriptorium.org/entity/Q38328,,,"Script: Written in a cursive English bookhand in black ink. Rubrics red or red with black dots, with rhyming words for each stanza bracketed.",Q36395,The pricke of conscience and others,Prick of Conscience,https://catalog.digital-scriptorium.org/entity/Q40018,,Q76281944,Q49205,DS16435,in00000626050,MS 8,https://repository.wellesley.edu/node/34258/manifest,https://catalog.digital-scriptorium.org/entity/Q68998,https://search.digital-scriptorium.org/catalog/DS16435,https://libcat.wellesley.edu/Record/in00000626050,https://catalog.digital-scriptorium.org/entity/Q68997
"Wellesley, Massachusetts, Wellesley College, MS Milne 43",manuscript containing Bible,Q87167,,https://catalog.digital-scriptorium.org/entity/Q95,1200,1200,https://catalog.digital-scriptorium.org/entity/Q136,,,Script: Written in a Gothic bookhand in black ink. Red rubrics.,Q397,Bible,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q2147709,Q49205,DS16436,in00000652822,MS Milne 43,https://repository.wellesley.edu/node/36579/manifest,https://catalog.digital-scriptorium.org/entity/Q69001,https://search.digital-scriptorium.org/catalog/DS16436,https://libcat.wellesley.edu/Record/in00000652822,https://catalog.digital-scriptorium.org/entity/Q69000
"Wellesley, Massachusetts, Wellesley College, P808",manuscript containing In librum II Sententiarum /,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1282,1282,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q136,,,Script: Written in a Gothic bookhand in brown or black ink with red rubrics.,Q397,In librum II Sententiarum /,Commentary on Sentences,https://catalog.digital-scriptorium.org/entity/Q7516,,Q5536449|Q122873491|Q581827|Q15689386|Q120869119|Q131856745|Q131856746|Q59629350,Q49205,DS16397,in00000626428,P808,https://repository.wellesley.edu/node/32827/manifest,https://catalog.digital-scriptorium.org/entity/Q68884,https://search.digital-scriptorium.org/catalog/DS16397,https://libcat.wellesley.edu/Record/in00000626428,https://catalog.digital-scriptorium.org/entity/Q68883
"Wellesley, Massachusetts, Wellesley College, MS 21",manuscript containing Psalter,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1450,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q68011,,,"Script: Written in a Gothic bookhand, by two scribes, the second beginning at fol. 230, in black ink. Red rubrics.",Q397,Psalter,Psalter,https://catalog.digital-scriptorium.org/entity/Q660,,Q131856747,Q49205,DS16401,in00000625698,MS 21,,https://catalog.digital-scriptorium.org/entity/Q68896,https://search.digital-scriptorium.org/catalog/DS16401,https://libcat.wellesley.edu/Record/in00000625698,https://catalog.digital-scriptorium.org/entity/Q68895
"Wellesley, Massachusetts, Wellesley College, P167",manuscript containing Accounts,Q87167,,https://catalog.digital-scriptorium.org/entity/Q96,1350,1399,https://catalog.digital-scriptorium.org/entity/Q3084,,,Script: Written in an Italian account hand in brown ink.,Q652,Accounts,Accounts,https://catalog.digital-scriptorium.org/entity/Q7851,,,Q49205,DS16421,in00000626074,P167,https://repository.wellesley.edu/node/29475/manifest,https://catalog.digital-scriptorium.org/entity/Q68956,https://search.digital-scriptorium.org/catalog/DS16421,https://libcat.wellesley.edu/Record/in00000626074,https://catalog.digital-scriptorium.org/entity/Q68955
"Wellesley, Massachusetts, Wellesley College, P520","manuscript containing Passione, Resurrezione, Vendetta, e Giudizio di Cristo /",Q87167,,https://catalog.digital-scriptorium.org/entity/Q98,1500,1599,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q3084,,,Script: Written in a humanist bookhand in brown ink.,Q652,"Passione, Resurrezione, Vendetta, e Giudizio di Cristo /",Resurrection of Jesus Christ|Passion of Jesus Christ,https://catalog.digital-scriptorium.org/entity/Q39443|https://catalog.digital-scriptorium.org/entity/Q48609,Q18945018|Q589545,,Q49205,DS16422,in00000626432,P520,https://repository.wellesley.edu/node/30256/manifest,https://catalog.digital-scriptorium.org/entity/Q68959,https://search.digital-scriptorium.org/catalog/DS16422,https://libcat.wellesley.edu/Record/in00000626432,https://catalog.digital-scriptorium.org/entity/Q68958
"Wellesley, Massachusetts, Wellesley College, P702",manuscript containing Epistolae ad Lucilium /,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q97,1150,1450,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q3084,,,,Q397|Q652,Epistolae ad Lucilium /,Epistulae morales ad Lucilium,https://catalog.digital-scriptorium.org/entity/Q6025,Q2054,,Q49205,DS16423,in00000626488,P702,https://repository.wellesley.edu/node/30459/manifest,https://catalog.digital-scriptorium.org/entity/Q68962,https://search.digital-scriptorium.org/catalog/DS16423,https://libcat.wellesley.edu/Record/in00000626488,https://catalog.digital-scriptorium.org/entity/Q68961
