title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
"""Lancelot Proper""",,,,Roman de Lancelot,Roman de Lancelot
#tNürnbergishe Chronic von Erbauing der Städt bis 1561#,,,,,
#tVon dem Bischoff von Wurtzburg von einer schlechter dach#,,,,,
[No Title for Display},,,,,
[Saint] Cyril of Alexandria Super Evangelium Joannis (1508 Printed Book Leaf,,,,,
"15th century breviary for feast of August 29,30, September 8",,,,Breviary,Breviary
"A sarmon of Ihon Oecolampadius to young men and maydens by a famose laborar in the Lordes vinyard among the Germans & switzars translatid owt of Lattin, into English by that paynfull & zealus servant of god, John foxe",,,,,
Ab urbe condita,,,,Ab urbe condita,Ab urbe condita
Abḥāth al-nikāḥ li-dhī istīḍāḥ,,,,,
Abridged history of Arab dynasties,,,,,
"Academic exercise (prolusion) on rising early, including an essay on the saying mane citus lectum fuge, and two poems, Surge, age surge, leves, iam convenit arcere somnes ; and Ignavus satrapam dedecet inclytum",,,,Academic treatises; poems; Carmina Elegiaca,Academic treatises; poems; Carmina Elegiaca
Accounts book,,,,Accounts book,Accounts book
Accounts of William Pawlett in Dorset,,,,Accounts book,Accounts book
Acerba,,,,Acerba,Acerba
Acts,,,,Acts,Acts
Additions to Aurora,,,,,
Adʻiyat al-mustaghīthīn bi-Allāh ʻazza wa-jalla ʻinda al-muhimmāt wa-al-ḥājāt wa-al mutaḍarriʻīn ilayhi subḥānahu bi-al-raghabāt wa-al-daʻawāt wa-mā yassara Allāh lahum min al-ijābāt wa-al-karāmāt,,,,,
Aeneid,,,,Aeneid,Aeneid
Agnihotrahomaprayoga,"अग्निहोत्रहोमप्रयोग,",,,Agnihotrahomaprayoga,Agnihotrahomaprayoga
Al Beharistan,,,,Al-Beharistan,Al-Beharistan
al-Akhbār al-maʼthūrah fī al-iṭṭilāʼ bi-al-nūrah,,,,,
al-Aqwāl al-muʻribah fī aḥwāl al-ashribah,,,,,
al-Araj fī al-faraj,,,,,
Alexander material,,,,,
al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī,الفتح الرباني فيما ذهل عنه الزرقاني.,,,,
al-Fatḥ al-ẓāhir wa-al-naṣr al-bāhir fī fann ramy al-ṭūb wa-al-qunburah,الفتح الظاهر والنصر الباهر في فن رمي الطوب والقنبرة.,,,,
Algorismus,,,,Algorismus,Algorismus
"Algorismus, cum glosa / John of Sacro Bosco",,,,Algorismus,Algorismus
al-Ḥawḍ. Baḥr al-dumūʻ,الحوض. بحر الدموع.,,,,
al-Isfār ʻan qalm al-aẓfār,,,,,
al-Juzʼ al-awwal,الجزء الاول.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-ḥādī ʻashr,الجزء الحادي عشر.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-ḥādī wa-al-ʻishrūn,الجزء الحادي والعشرون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-khāmis ʻashar min al-rabʻah al-sharīfah,الجزء الخامس عشر من الربعة الشريفة.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-khāmis wa-al-ʻishrūn,الجزء الخامس والعشرون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-rābiʻ,الجزء الرابع.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-rābiʻ ʻashar,الجزء الرابع عشر.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
