genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
notarial documents,aat,http://vocab.getty.edu/aat/300164785,,,,notarial documents,http://vocab.getty.edu/aat/300164785,Q2777
legal documents,aat,http://vocab.getty.edu/aat/300027590,,,,legal documents,http://vocab.getty.edu/aat/300027590,Q236
scrolls (information artifacts),aat,http://vocab.getty.edu/aat/300028629,,,,scrolls (information artifacts),http://vocab.getty.edu/aat/300028629,Q8246
"Manuscripts, Latin--14th century",local,,,,,"Manuscripts, Latin;Fourteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/933420,Q210;Q295
"Manuscripts, Medieval",lcsh,,,,,"Manuscripts, Medieval",http://id.worldcat.org/fast/1008422,Q325
"Manuscripts, Renaissance",lcsh,,,,,"Manuscripts, Renaissance",http://id.worldcat.org/fast/1008472,Q311
receipts (financial records),aat,http://vocab.getty.edu/aat/300027573,,,,receipts (financial records),http://vocab.getty.edu/aat/300027573,Q219
"Manuscripts, Latin--15th century",local,,,,,"Manuscripts, Latin;Fifteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/923962,Q210;Q154
"Manuscripts, Latin--15th century",,,,,,"Manuscripts, Latin;Fifteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/923962,Q210;Q154
Early works,fast,(OCoLC)fst01411636,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
History,fast,(OCoLC)fst01411628,,,,History,http://id.worldcat.org/fast/1411628,Q279
Sources,fast,(OCoLC)fst01423900,,,,Sources,http://id.worldcat.org/fast/1423900,Q2769
deeds,aat,http://vocab.getty.edu/aat/300027249,,,,deeds,http://vocab.getty.edu/aat/300027249,Q283
"Manuscripts, Latin--16th century",local,,,,,"Manuscripts, Latin;Sixteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/1119851,Q210;Q335
codices (bound manuscripts),aat,http://vocab.getty.edu/aat/300224200,,,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200,Q168
lecture notes,aat,http://vocab.getty.edu/aat/300027204,,,,lecture notes,http://vocab.getty.edu/aat/300027204,Q3000
treatises,aat,http://vocab.getty.edu/aat/300026681,,,,treatises,http://vocab.getty.edu/aat/300026681,Q160
"Manuscripts, Latin",lcsh,,,,,"Manuscripts, Latin",http://id.worldcat.org/fast/1008395,Q210
"Manuscripts, European",lcsh,,,,,"Manuscripts, European",http://id.worldcat.org/fast/1008335,Q289
"Manuscripts, Arabic--18th century",local,,,,,"Manuscripts, Arabic;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058,Q256;Q3024
