subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label,structured_value,ds_qid
1000-1099,fast,a,,Eleventh century;Twelfth century,http://id.worldcat.org/fast/908096;http://id.worldcat.org/fast/1159791,Q306;Q304
1000-1199,fast,a,,Eleventh century;Twelfth century,http://id.worldcat.org/fast/908096;http://id.worldcat.org/fast/1159791,Q306;Q304
10 muḥarram--Ouvrages avant 1800,6,a--v,,Tenth of Muḥarram;Early works,http://id.worldcat.org/fast/1147739;http://id.worldcat.org/fast/1411636,Q11213;Q300
10th century,openn-keywords,,,Tenth century,http://id.worldcat.org/fast/1147737,Q12530
10th century,openn-subjects,,,Tenth century,http://id.worldcat.org/fast/1147737,Q12530
1100-1199,fast,a,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
1100-1299,fast,a,,Twelfth century;Thirteenth century,http://id.worldcat.org/fast/1159791;http://id.worldcat.org/fast/1150138,Q304;Q245
11th century,fast,a,,Eleventh century,http://id.worldcat.org/fast/908096,Q306
11th century,openn-keywords,,,Eleventh century,http://id.worldcat.org/fast/908096,Q306
11th century,openn-subjects,,,Eleventh century,http://id.worldcat.org/fast/908096,Q306
1200-1299,fast,a,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
1200-1399,fast,a,,Thirteenth century;Fourteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420,Q245;Q295
1200-1499,fast,a,,Thirteenth century;Fourteenth century;Fifteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962,Q245;Q295;Q154
1200-1899,fast,a,,Thirteenth century;Fourteenth century;Fifteenth century;Sixteenth century;Seventeenth century;Eighteenth century;Nineteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1113663;http://id.worldcat.org/fast/904058;http://id.worldcat.org/fast/1037841,Q245;Q295;Q154;Q335;Q2771;Q3024;Q3538
1288-1918,fast,a,(uri) http://id.worldcat.org/fast/fst01355456,1288-1918,http://id.worldcat.org/fast/1355456,Q18297
1288-1918,fast,a,,1288-1918,http://id.worldcat.org/fast/1355456,Q18297
12th century,fast,a,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
12th century,openn-keywords,,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
12th century,openn-subjects,,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
12th century.,fast,a,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
1300-1399,fast,a,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
1300-1899,fast,a,,Fourteenth century;Fifteenth century;Sixteenth century;Seventeenth century;Eighteenth century;Nineteenth century,http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1113663;http://id.worldcat.org/fast/904058;http://id.worldcat.org/fast/1037841,Q295;Q154;Q335;Q2771;Q3024;Q3538
1385-1433,fast,a,,1385-1433,http://id.worldcat.org/fast/1355506,Q48357
1385-1580,fast,a,,1385-1580,http://id.worldcat.org/fast/1355507,Q48281
1399-1485,fast,a,,1399-1485,http://id.worldcat.org/fast/1355517,Q4246
13th-15th centuries,fast,a,,Thirteenth century;Fourteenth century;Fifteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962,Q245;Q295;Q154
13th century,fast,a,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
13th century,openn-keywords,,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
13th century,openn-subjects,,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
13th century.,fast,a,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
1400-1499,fast,a,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
1400-1899,fast,a,,Fifteenth century;Sixteenth century;Seventeenth century;Eighteenth century;Nineteenth century,http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1113663;http://id.worldcat.org/fast/904058;http://id.worldcat.org/fast/1037841,Q154;Q335;Q2771;Q3024;Q3538
1442-1707,fast,a,,1442-1707,http://id.worldcat.org/fast/1355537,Q4272
1454-1474,fast,a,,1454-1474,http://id.worldcat.org/fast/1355543,Q7962
1460-1488,fast,a,,1460-1488,http://id.worldcat.org/fast/1355546,Q48400
1479-1516,fast,a,,1479-1516,http://id.worldcat.org/fast/1355554,Q6849
1481-1512,fast,a,,1481-1512,http://id.worldcat.org/fast/1355557,Q26798
1483-1498,fast,a,,1483-1498,http://id.worldcat.org/fast/1355559,Q68098
1485-1603,fast,a,,1485-1603,http://id.worldcat.org/fast/1355561,Q38934
14th century,fast,a,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
14th century,openn-keywords,,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
14th century,openn-subjects,,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
14th century.,fast,a,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
1500-1599,fast,a,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
1500-1700,fast,a,,1500-1700,http://id.worldcat.org/fast/1355568,Q48268
1516-1556,fast,a,,1516-1556,http://id.worldcat.org/fast/1355580,Q254
1540-1810,fast,a,,1540-1810,http://id.worldcat.org/fast/1355593,Q48355
1556-1598,fast,a,,1556-1598,http://id.worldcat.org/fast/1355603,Q242
1558-1603,fast,a,,1558-1603,http://id.worldcat.org/fast/1355606,Q4312
1562-1598,fast,a,,Wars of the Huguenots (France : 1562-1598),http://id.worldcat.org/fast/1355311,Q38919
1567-1625,fast,a,,1567-1625,http://id.worldcat.org/fast/1355615,Q48401
1574-1589,fast,a,,1574-1589,http://id.worldcat.org/fast/1355622,Q48333
15th century,fast,a,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
15th century,openn-keywords,,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
15th century,openn-subjects,,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
1600-1699,fast,a,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
1600-1868,fast,a,,1600-1868,http://id.worldcat.org/fast/1355642,Q12634
