subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Catholic Church--Liturgy--Texts--Early works to 1800,a--x--v--v,0,,,,,Catholic Church;Liturgics;Texts;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q310;Q207;Q3066;Q300
"Bible. Maccabees, 1st",a;p,0,,,,,"Bible. Maccabees, 1st",http://id.worldcat.org/fast/1808017,Q63905
Wellesley College Library. Plimpton Collection.--Manuscript.--858,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Krishna (Hindu deity)--Poetry,a;c--v,0,,,,,Krishna (Hindu deity);Poetry,http://id.worldcat.org/fast/989141;http://id.worldcat.org/fast/1423828,Q27188;Q247
Radha (Hindu deity)--Poetry,a;c--v,0,,,,,Radha (Hindu deity);Poetry,http://id.worldcat.org/fast/1102716;http://id.worldcat.org/fast/1423828,Q27211;Q247
Krishna (Hindu deity),a;c,fast,(OCoLC)fst00989141,,,,Krishna (Hindu deity),http://id.worldcat.org/fast/989141,Q27188
Radha (Hindu deity),a;c,fast,(OCoLC)fst01102716,,,,Radha (Hindu deity),http://id.worldcat.org/fast/1102716,Q27211
Wellesley College Library. Plimpton Collection.--Manuscript.--843,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Wellesley College Library. Plimpton Collection.--Manuscript.--895,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Wellesley College Library. Plimpton Collection.--Manuscript.--1035,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Wellesley College Library. Plimpton Collection.--Manuscript.--491,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Catholic Church--Sermons--Early works to 1800,a--x--v,0,,,,,Catholic Church;Sermons;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1113216;http://id.worldcat.org/fast/1411636,Q310;Q38598;Q300
Wellesley College Library. Plimpton Collection.--Manuscript.--702,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
"Dante Alighieri, 1265-1321--Biography--Early works to 1800",a;d--v--v,0,,,,,"Dante Alighieri, 1265-1321;Biographies;Early works",http://id.worldcat.org/fast/29097;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,Q38639;Q3051;Q300
"Petrarca, Francesco, 1304-1374--Biography--Early works to 1800",a;d--v--v,0,,,,,"Petrarca, Francesco, 1304-1374;Biographies;Early works",http://id.worldcat.org/fast/41151;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,Q39933;Q3051;Q300
Wellesley College Library. Plimpton Collection.--Manuscript.--751,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Orthodox Eastern Church--Sermons--Manuscripts,a--x--x,0,,Orthodox Eastern Church;Sermons;Manuscripts,http://id.worldcat.org/fast/510210;http://id.worldcat.org/fast/1113216;http://id.worldcat.org/fast/1008230,Q4266;Q38598;Q38609,,,
"Dante Alighieri, 1265-1321. Paradiso",a;d;t,0,,,,,Paradiso (Dante Alighieri),http://id.worldcat.org/fast/1356628,Q68000
Wellesley College Library. Plimpton Collection.--Manuscript.--1036A,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Jesus Christ--Passion--Early works to 1800,a--x--v,0,,,,,Passion of Jesus Christ;Early works,http://id.worldcat.org/fast/1353950;http://id.worldcat.org/fast/1411636,Q4958;Q300
Jesus Christ--Resurrection--Early works to 1800,a--x--v,0,,,,,Resurrection of Jesus Christ;Early works,http://id.worldcat.org/fast/1354440;http://id.worldcat.org/fast/1411636,Q7787;Q300
Wellesley College Library. Plimpton Collection.--Manuscript.--520,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Wellesley College Library. Plimpton Collection.--Manuscript.--108,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Franciscans--Prayers and devotions,a--v,0,,,,,Franciscans;Prayers and devotions,http://id.worldcat.org/fast/530004;http://id.worldcat.org/fast/1423909,Q5840;Q3052
Catholic Church. Officium pro defunctis--Texts,a;t--v,0,,,,,Officium pro defunctis (Catholic Church);Texts,http://id.worldcat.org/fast/1373569;http://id.worldcat.org/fast/1423705,Q12666;Q3066
Little office of the Immaculate Conception--Texts,a--v,0,,,,,Little office of the Immaculate Conception;Texts,http://id.worldcat.org/fast/1363954;http://id.worldcat.org/fast/1423705,Q12596;Q3066
Wellesley College Library. Plimpton Collection.--Manuscript.--101,a;b--k--n,,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
"Qāʼit Bāy, Sultan of Egypt and Syria, -1496",a;c;d,0,https://id.loc.gov/authorities/names/nr92012101,,,,"Qāʼit Bāy, Sultan of Egypt and Syria, -1496",http://id.worldcat.org/fast/1842649,Q7771
"Qāʼit Bāy, Sultan of Egypt and Syria, -1496",a;c;d,fast,https://id.worldcat.org/fast/1842649,,,,"Qāʼit Bāy, Sultan of Egypt and Syria, -1496",http://id.worldcat.org/fast/1842649,Q7771
"Bible--Manuscripts, Ethiopic",a--x,0,,"Bible;Manuscripts, Ethiopic",http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1008334,Q4267;Q3511,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--485,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Catholic Church--Liturgy--Texts,a--x--v,0,,,,,Catholic Church;Liturgics;Texts,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705,Q310;Q207;Q3066
Catholic Church--Prayers and devotions--Early works to 1800,a--v--v,0,,,,,Catholic Church;Prayers and devotions;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636,Q310;Q3052;Q300
Catholic Church--Liturgy--Early works to 1800,a--x--v,0,,,,,Catholic Church;Liturgics;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1411636,Q310;Q207;Q300
Catholic Church,a,fast,https://id.worldcat.org/fast/531720,,,,Catholic Church,http://id.worldcat.org/fast/531720,Q310
"Norton, Andrew of Bristow--Will",a;c--x,0,,,,,Wills,http://id.worldcat.org/fast/1175513,Q8019
Catholic Church--Clergy,a--x,0,,,,,Catholic Church;Clergy,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/864014,Q310;Q4141
Wellesley College Library. Plimpton Collection.--Manuscript.--1030,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Wellesley College Library. Plimpton Collection.--Manuscript.--899,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Bible. Isaiah,a;p,0,,,,,Bible. Isaiah,http://id.worldcat.org/fast/1808068,Q12558
Catholic Church--Texts--Early works to 1800,a--v--v,0,,,,,Catholic Church;Texts;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q310;Q3066;Q300
Wellesley College Library. Plimpton Collection.--Manuscript.--896,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Wellesley College Library. Plimpton Collection.--Manuscript.--900,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Wellesley College Library. Plimpton Collection.--Manuscript.--703,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Bible. Matthew,a;p,0,,,,,Bible. Matthew,http://id.worldcat.org/fast/1808086,Q5898
Bible--Manuscripts,a--x,0,,,,,Bible;Manuscripts,http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1424060,Q4267;Q331
"Peter Lombard, Bishop of Paris, approximately 1100-1160. Sententiarum libri IV.--Liber 2",a;c;d;t--n,0,,,,,"Sententiarum libri IV (Peter Lombard, Bishop of Paris)",http://id.worldcat.org/fast/1356925,Q4783
Wellesley College Library. Plimpton Collection.--Manuscript.--808,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Bhagavadgītā--Specimens,a--v,0,,Bhagavadgītā;Specimens,http://id.worldcat.org/fast/1356184;http://id.worldcat.org/fast/1423861,Q26635;Q239,,,
Catholic Church--Liturgy--Texts--Manuscripts,a--x--v--v,0,,,,,Catholic Church;Liturgics;Texts;Manuscripts,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1424060,Q310;Q207;Q3066;Q331
Catholic Church. Officiumpro defunctis--Texts,a;t--v,0,,,,,Officium pro defunctis (Catholic Church);Texts,http://id.worldcat.org/fast/1373569;http://id.worldcat.org/fast/1423705,Q12666;Q3066
Wellesley College Library. Plimpton Collection.--Manuscript.--897,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
Wellesley College Library. Plimpton Collection.--Manuscript.--861,a;b--k--n,0,,,,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331
