genre_as_recorded,string 3,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Poetry,,lcgft,,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
Poésie,,rvmgf,,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
illuminated manuscripts,,aat,,,,,illuminated manuscripts,http://vocab.getty.edu/aat/300265483,Q4268
headpieces (layout features),,aat,,,,,headpieces (layout features),http://vocab.getty.edu/aat/300207342,Q11536
Dictionaries,,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026086,,,,Dictionaries,http://id.worldcat.org/fast/1423826,Q3041
dictionaries,,aat,,,,,dictionaries,http://vocab.getty.edu/aat/300026186,Q2970
Dictionaries,,fast,,,,,Dictionaries,http://id.worldcat.org/fast/1423826,Q3041
Dictionaries,,lcgft,,,,,Dictionaries,http://id.worldcat.org/fast/1423826,Q3041
Dictionnaires,,rvmgf,,,,,Dictionaries,http://id.worldcat.org/fast/1423826,Q3041
Autographs (Provenance),,rbprov,,,,,Autographs,http://id.loc.gov/vocabulary/rbmscv/cv00177,Q38431
Stamps (Provenance),,rbprov,,,,,Stamps,http://id.loc.gov/vocabulary/rbmscv/cv00142,Q3075
"Manuscripts, Persian--18th century",,lcsh,,,,,"Manuscripts, Persian;Eighteenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/904058,Q255;Q3024
History,,fast,,,,,History,http://id.worldcat.org/fast/1411628,Q279
Sources,,fast,,,,,Sources,http://id.worldcat.org/fast/1423900,Q2769
Colored papers (Paper),,rbpap,,,,,Colored papers,http://id.loc.gov/vocabulary/rbmscv/cv01138,Q11569
Blind tooled bindings (Binding),,rbbin,,,,,Blind tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00632,Q5877
tailpieces (layout features),,aat,,,,,tailpieces (layout features),http://vocab.getty.edu/aat/300207353,Q12565
Commentaries,,fast,,,,,Commentaries,http://id.worldcat.org/fast/1423723,Q2812
Headpieces (layout features)--Islamic countries--18th century,,aat,,,,,headpieces (layout features);Islamic countries;Eighteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/904058,Q11536;Q2810;Q3024
Illuminated manuscripts--Islamic countries--18th century,,aat,,,,,illuminated manuscripts;Islamic countries;Eighteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/904058,Q4268;Q2810;Q3024
Military history,,fast,,,,,Military history,http://id.worldcat.org/fast/1411630,Q11456
Headpieces (layout features)--Islamic countries--17th century,,aat,,,,,headpieces (layout features);Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,Q11536;Q2810;Q2771
Illuminated manuscripts--Islamic countries--17th century,,aat,,,,,illuminated manuscripts;Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,Q4268;Q2810;Q2771
Poetry,,fast,(OCoLC)fst01423828,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
Poetry,,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026481(uri) http://id.loc.gov/authorities/genreForms/gf2014026481,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
Cloth bindings (Binding),,rbbin,,,,,Cloth bindings,http://id.loc.gov/vocabulary/rbmscv/cv00451,Q11478
Early works,,fast,(OCoLC)fst01411636(uri) http://id.worldcat.org/fast/fst01411636,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
Poetry,,fast,(OCoLC)fst01423828(uri) http://id.loc.gov/authorities/genreForms/gf2014026481(uri) http://id.worldcat.org/fast/fst01423828,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
Prayers and devotions,,fast,(OCoLC)fst01423909(uri) http://id.worldcat.org/fast/fst01423909,,,,Prayers and devotions,http://id.worldcat.org/fast/1423909,Q3052
Early works,,fast,(OCoLC)fst01411636,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
Prayers and devotions,,fast,(OCoLC)fst01423909,,,,Prayers and devotions,http://id.worldcat.org/fast/1423909,Q3052
diagrams,,aat,,,,,diagrams,http://vocab.getty.edu/aat/300015387,Q276
History,,fast,(OCoLC)fst01411628,,,,History,http://id.worldcat.org/fast/1411628,Q279
Waqf--Books--Turkey--Istanbul,,,,Waqf;Books;Turkey--Istanbul,http://id.worldcat.org/fast/1170323;http://id.worldcat.org/fast/836401;http://id.worldcat.org/fast/1204833,Q11403;Q40000;Q4823,,,
Waqf--Books--19th century,,lcsh,,Waqf;Books;Nineteenth century,http://id.worldcat.org/fast/1170323;http://id.worldcat.org/fast/836401;http://id.worldcat.org/fast/1037841,Q11403;Q40000;Q3538,,,
Embossed papers (Paper),,rbpap,,,,,Embossed papers,http://id.loc.gov/vocabulary/rbmscv/cv01281,Q11580
Poetry,,lcgft,(uri) http://id.loc.gov/authorities/genreForms/gf2014026481,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
Personal correspondence,,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026141,,,,Personal correspondence,http://id.worldcat.org/fast/1919948,Q5912
Headbands (Binding),,rbbin,,,,,Headbands,http://id.loc.gov/vocabulary/rbmscv/cv00453,Q11385
Biographies,,fast,,,,,Biographies,http://id.worldcat.org/fast/1919896,Q3051
"Manuscripts, Arabic--18th century",,lcsh,,,,,"Manuscripts, Arabic;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058,Q256;Q3024
"Manuscripts, Turkish--20th century",,lcsh,,,,,"Manuscripts, Turkish;Twentieth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1159810,Q3068;Q5942
Drama,,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026297,,,,Drama,http://id.worldcat.org/fast/1423879,Q3010
"Manuscripts, Turkish--15th century",,lcsh,,"Manuscripts, Turkish;Fifteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/923962,Q3068;Q154,,,
"Manuscripts, Arabic--17th century",,lcsh,,,,,"Manuscripts, Arabic;Seventeenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1113663,Q256;Q2771
"Manuscripts, Arabic--19th century",,lcsh,,,,,"Manuscripts, Arabic;Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1037841,Q256;Q3538
Watermarks (Paper),,rbpap,,,,,Watermarks,http://id.loc.gov/vocabulary/rbmscv/cv01089,Q5815
tables (documents),,aat,,,,,tables (documents),http://vocab.getty.edu/aat/300027364,Q252
Anecdotes,,fast,,,,,Anecdotes,http://id.worldcat.org/fast/1423876,Q27204
Anecdotes,,lcgft,,Anecdotes,http://id.worldcat.org/fast/1423876,Q27204,,,
Anecdotes,,rvmgf,,Anecdotes,http://id.worldcat.org/fast/1423876,Q27204,,,
"Manuscripts, Persian--16th century",,lcsh,,,,,"Manuscripts, Persian;Sixteenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1119851,Q255;Q335
impressed watermarks,,aat,,,,,impressed watermarks,http://vocab.getty.edu/aat/300028754,Q11482
Turkish poetry,,lcsh,,Turkish poetry,http://id.worldcat.org/fast/1159504,Q18296,,,
Trivia and miscellanea,,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026201,,,,Trivia and miscellanea,http://id.worldcat.org/fast/1921748,Q26886
Illuminated manuscripts--Islamic countries--19th century,,aat,,,,,illuminated manuscripts;Islamic countries;Nineteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1037841,Q4268;Q2810;Q3538
"Manuscripts, Turkish--Turkey--Istanbul--19th century",,lcsh,,"Manuscripts, Turkish;Turkey--Istanbul;Nineteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1204833;http://id.worldcat.org/fast/1037841,Q3068;Q4823;Q3538,,,
"Manuscripts,Turkish--17th century",,lcsh,,"Manuscripts, Turkish;Seventeenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1113663,Q3068;Q2771,,,
Headpieces (layout features)--Islamic countries--19th century,,aat,,,,,headpieces (layout features);Islamic countries;Nineteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1037841,Q11536;Q2810;Q3538
Firmans,,lcsh,,Firmans,http://id.worldcat.org/fast/1739246,Q8127,,,
Sprinkled papers (Paper),,rbpap,,,,,Sprinkled papers,http://id.loc.gov/vocabulary/rbmscv/cv01920,Q11234
Decorated edges (Binding),,rbbin,,,,,Decorated edges,http://id.loc.gov/vocabulary/rbmscv/cv00740,Q11215
Collections,,fast,,Collections,http://id.worldcat.org/fast/1424032,Q48879,,,
Illuminated manuscripts--Islamic Empire--15th century,,aat,,,,,illuminated manuscripts;Islamic Empire;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/923962,Q4268;Q11211;Q154
"Manuscripts, Persian--17th century",,lcsh,,,,,"Manuscripts, Persian;Seventeenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1113663,Q255;Q2771
"Manuscripts, Turkish--Greece--Giannitsa--16th century",,lcsh,,"Manuscripts, Turkish;Greece--Giannitsa;Sixteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1878833;http://id.worldcat.org/fast/1119851,Q3068;Q7694;Q335,,,
"Manuscripts, Arabic--Greece--Giannitsa--16th century",,lcsh,,"Manuscripts, Arabic;Greece--Giannitsa;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1878833;http://id.worldcat.org/fast/1119851,Q256;Q7694;Q335,,,
Illuminated manuscripts--Islamic countries--20th century,20th century,aat,,illuminated manuscripts;Islamic countries;Twentieth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1159810,Q4268;Q2810;Q5942,,,
"Manuscripts, Arabic--20th century",,lcsh,,,,,"Manuscripts, Arabic;Twentieth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1159810,Q256;Q5942
"Manuscripts, Persian--20th century",,lcsh,,,,,"Manuscripts, Persian;Twentieth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1159810,Q255;Q5942
Commonplace books--Islamic countries--18th century,18th century,aat,,commonplace books;Islamic countries;Eighteenth century,http://vocab.getty.edu/aat/300027093;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/904058,Q7696;Q2810;Q3024,,,
"Manuscripts, Turkish--Turkey--Istanbul--18th century",,lcsh,,"Manuscripts, Turkish;Turkey--Istanbul;Eighteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1204833;http://id.worldcat.org/fast/904058,Q3068;Q4823;Q3024,,,
Manuscripts,,aat,,,,,manuscripts (documents),http://vocab.getty.edu/aat/300028569,Q10789
scientific illustrations (images),,aat,,,,,scientific illustrations (images),http://vocab.getty.edu/aat/300015595,Q11377
"Manuscripts, Arabic--16th century",,lcsh,,,,,"Manuscripts, Arabic;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1119851,Q256;Q335
blind stamping,,aat,,blind stamping,http://vocab.getty.edu/aat/300192907,Q19853,,,
gold tooling,,aat,,gold tooling,http://vocab.getty.edu/aat/300256003,Q11506,,,
Maps--Mediterranean Sea--17th century,17th century,aat,,maps (documents);Mediterranean Sea;Seventeenth century,http://vocab.getty.edu/aat/300028094;http://id.worldcat.org/fast/1239753;http://id.worldcat.org/fast/1113663,Q290;Q8000;Q2771,,,
Maps--Mediterranean Region--17th century,17th century,aat,,maps (documents);Mediterranean Region;Seventeenth century,http://vocab.getty.edu/aat/300028094;http://id.worldcat.org/fast/1239752;http://id.worldcat.org/fast/1113663,Q290;Q3646;Q2771,,,
World maps--17th century,17th century,aat,,world maps;Seventeenth century,http://vocab.getty.edu/aat/300028442;http://id.worldcat.org/fast/1113663,Q2794;Q2771,,,
Miniatures (Illuminations)--Islamic countries--17th century,,gmgpc,,,,,miniatures (paintings);Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300033936;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,Q262;Q2810;Q2771
"Manuscripts, Turkish--Russia (Federation)--Saint Petersburg--19th century",,lcsh,,"Manuscripts, Turkish;Russia (Federation)--Saint Petersburg;Nineteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1212867;http://id.worldcat.org/fast/1037841,Q3068;Q27149;Q3538,,,
Fatwas--Turkey--17th century,,lcsh,,Fatwas;Turkey;Seventeenth century,http://id.worldcat.org/fast/1981967;http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/1113663,Q8327;Q4294;Q2771,,,
Fatwas,,fast,,Fatwas,http://id.worldcat.org/fast/1981967,Q8327,,,
"Criticism, interpretation, etc",,fast,(OCoLC)fst01411635,,,,"Criticism, interpretation, etc.",http://id.worldcat.org/fast/1411635,Q177
Dictionaries,,fast,(OCoLC)fst01423826,,,,Dictionaries,http://id.worldcat.org/fast/1423826,Q3041
Personal correspondence,,fast,,,,,Personal correspondence,http://id.worldcat.org/fast/1919948,Q5912
Personal correspondence,,fast,(OCoLC)fst01919948,,,,Personal correspondence,http://id.worldcat.org/fast/1919948,Q5912
Islamic calendar--Turkey--19th century,,lcsh,,Islamic calendar;Turkey;Nineteenth century,http://id.worldcat.org/fast/1730291;http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/1037841,Q11128;Q4294;Q3538,,,
Autographs (manuscripts)--Turkey--Istanbul--19th century,19th century,aat,,autographs (manuscripts);Turkey--Istanbul;Nineteenth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1204833;http://id.worldcat.org/fast/1037841,Q3518;Q4823;Q3538,,,
Petitions--Greece--Crete--18th century,,lcsh,,Legal petitions;Greece--Crete;Eighteenth century,http://id.worldcat.org/fast/1774282;http://id.worldcat.org/fast/1207225;http://id.worldcat.org/fast/904058,Q42546;Q26806;Q3024,,,
Firmans--Greece--Crete--18th century,,lcsh,,Firmans;Greece--Crete;Eighteenth century,http://id.worldcat.org/fast/1739246;http://id.worldcat.org/fast/1207225;http://id.worldcat.org/fast/904058,Q8127;Q26806;Q3024,,,
"Manuscripts, Turkish--14th century",,lcsh,,"Manuscripts, Turkish;Fourteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/933420,Q3068;Q295,,,
"Manuscripts, Arabic--14th century",,lcsh,,,,,"Manuscripts, Arabic;Fourteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/933420,Q256;Q295
Amulets (Islam),,lcsh,,Amulets (Islam),http://id.worldcat.org/fast/808068,Q27049,,,
Account books--Turkey--18th century,18th century,aat,,account books;Turkey;Eighteenth century,http://vocab.getty.edu/aat/300027483;http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/904058,Q4178;Q4294;Q3024,,,
Manuscripts--16th century,16th century,aat,,manuscripts (documents);Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1119851,Q10789;Q335,,,
"Manuscripts, Persian--19th century",,lcsh,,,,,"Manuscripts, Persian;Nineteenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1037841,Q255;Q3538
chronicles,,aat,,,,,chronicles,http://vocab.getty.edu/aat/300026361,Q176
short stories,,aat,,short stories,http://vocab.getty.edu/aat/300202607,Q27413,,,
Fiction,,fast,,,,,Fiction,http://id.worldcat.org/fast/1423787,Q3039
Short stories,,fast,,Short stories,http://id.worldcat.org/fast/1726740,Q48726,,,
Fiction,,lcgft,,,,,Fiction,http://id.worldcat.org/fast/1423787,Q3039
Short stories,,lcgft,,,,,Short stories,http://id.worldcat.org/fast/1726740,Q48726
Romans,,rvmgf,,,,,Fiction,http://id.worldcat.org/fast/1423787,Q3039
Nouvelles,,rvmgf,,Short stories,http://id.worldcat.org/fast/1726740,Q48726,,,
"Manuscripts, Arabic",,lcsh,,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
"Manuscripts, Turkish--Bulgaria--18th century",,lcsh,,"Manuscripts, Turkish;Bulgaria;Eighteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1212489;http://id.worldcat.org/fast/904058,Q3068;Q4886;Q3024,,,
Illuminated manuscripts--Turkey--Istanbul--19th century,19th century,aat,,illuminated manuscripts;Turkey--Istanbul;Nineteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204833;http://id.worldcat.org/fast/1037841,Q4268;Q4823;Q3538,,,
Headpieces (layout features)--Turkey--Istanbul--19th century,19th century,aat,,headpieces (layout features);Turkey--Istanbul;Nineteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1204833;http://id.worldcat.org/fast/1037841,Q11536;Q4823;Q3538,,,
Prayers and devotions,,fast,,,,,Prayers and devotions,http://id.worldcat.org/fast/1423909,Q3052
Short stories,,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026542,,,,Short stories,http://id.worldcat.org/fast/1726740,Q48726
"Manuscripts, Turkish--Turkey--Istanbul--17th century",,lcsh,,"Manuscripts, Turkish;Turkey--Istanbul;Seventeenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1204833;http://id.worldcat.org/fast/1113663,Q3068;Q4823;Q2771,,,
Fiction,,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026339,,,,Fiction,http://id.worldcat.org/fast/1423787,Q3039
Illuminated manuscripts--Islamic countries--18th century,,lcsh,,illuminated manuscripts;Islamic countries;Eighteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/904058,Q4268;Q2810;Q3024,,,
Headpieces (layout features)--Islamic countries--18th century,,lcsh,,headpieces (layout features);Islamic countries;Eighteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/904058,Q11536;Q2810;Q3024,,,
quotations (texts),,aat,,quotations (texts),http://vocab.getty.edu/aat/300026941,Q16385,,,
Quotations,,fast,,,,,Quotations,http://id.worldcat.org/fast/1423792,Q5944
Quotations,,lcgft,,,,,Quotations,http://id.worldcat.org/fast/1423792,Q5944
Citations,,rvmgf,,Quotations,http://id.worldcat.org/fast/1423792,Q5944,,,
"Manuscripts, Persian",,lcsh,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,Q255
"Prescriptions, formulae, receipts, etc",,fast,,,,,"Prescriptions, formulae, receipts, etc.",http://id.worldcat.org/fast/1424054,Q3042
"Criticism, interpretation, etc",,fast,(OCoLC)fst01411635(uri) http://id.worldcat.org/fast/fst01411635,,,,"Criticism, interpretation, etc.",http://id.worldcat.org/fast/1411635,Q177
History,,fast,(OCoLC)fst01411628(uri) http://id.worldcat.org/fast/fst01411628,,,,History,http://id.worldcat.org/fast/1411628,Q279
Sources,,fast,(OCoLC)fst01423900(uri) http://id.worldcat.org/fast/fst01423900,,,,Sources,http://id.worldcat.org/fast/1423900,Q2769
Texts,,fast,(OCoLC)fst01423705(uri) http://id.worldcat.org/fast/fst01423705,,,,Texts,http://id.worldcat.org/fast/1423705,Q3066
Sources,,fast,(OCoLC)fst01423900,,,,Sources,http://id.worldcat.org/fast/1423900,Q2769
Texts,,fast,(OCoLC)fst01423705,,,,Texts,http://id.worldcat.org/fast/1423705,Q3066
Notebooks--Turkey--18th century,,lcsh,,Notebooks;Turkey;Eighteenth century,http://id.worldcat.org/fast/1919944;http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/904058,Q27048;Q4294;Q3024,,,
Leather doublures (Binding),,rbbin,,,,,Leather doublures,http://id.loc.gov/vocabulary/rbmscv/cv00583,Q11348
"Verse drama, Turkish",,lcsh,,Verse drama,http://id.worldcat.org/fast/1922580,Q7484,,,
Tables,,fast,,,,,Tables,http://id.worldcat.org/fast/1423914,Q18329
Islamic bookbinding--18th century,,lcsh,,Islamic bookbinding;Eighteenth century,http://id.worldcat.org/fast/1730288;http://id.worldcat.org/fast/904058,Q11127;Q3024,,,
Islamic calendar--Turkey--18th century,,lcsh,,Islamic calendar;Turkey;Eighteenth century,http://id.worldcat.org/fast/1730291;http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/904058,Q11128;Q4294;Q3024,,,
