name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"""1756 Ex libris Presbiteri Joseph Marie Sormani"" (inscription on flyleaf ); H. C. (Harley) Drayton (1901-1966), bought at Sotheby’s, 29 January 1951, lot 13; his sale, Sotheby’s, 12 December 1967, lot 63; re-sold at Christie’s, 28 June 1972, lot 8; Ruth E. Adomeit (1910-1996), bequeathed by her to the Lilly Library.",former owner,,,human;human;human,Joseph Marie Sormani;Harold Drayton;Ruth E. Adomeit,Q116771083;Q18761974;Q7382958
Alcuin,author,,,human,Alcuin,Q154332
"Alfred Morrison (1821-1897), his by 1882; his sale, Sotheby’s, 10 December 1917, lot 500; C. L. Ricketts, bought from P. M. Barnard, cat. 122 (1921), no. 245; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human;human,Alfred Morrison;Coella Lindsay Ricketts;Percy Mordaunt Barnard,Q17328807;Q116771179;Q94925072
Alulfus of Tournai,author,,,human,Alulphe of Tournai,Q46592455
"Anne of Brittany (1477-1514) and her husband Louis XII (1462-1515, king of France 1498-1515); C. L. Ricketts, bought from Joseph Martini, 1914; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human;human;human,Anne of Brittany;Louis XII of France;Giuseppe Martini;Coella Lindsay Ricketts,Q201143;Q58514;Q98834332;Q116771179
Anselm,author,,,human,Anselm of Canterbury,Q43939
Anselm of Canterbury,author,,,human,Anselm of Canterbury,Q43939
Antonio Pierozzi,author,,,human,Antoninus of Florence,Q773822
"Apparently Otto F. Ege (1888-1951); Ruth E. Adomeit (1910-1996), bequeathed by her to the Lilly Library.",former owner,,,human;human,Otto Ege;Ruth E. Adomeit,Q7109575;Q7382958
Aquiles Estaço,author,,,human,Achilles Statius,Q4673751
Aristotle,author,,,human,Aristotle,Q868
Augustine,author,,,human,Augustine of Hippo,Q8018
"Augustine, Isidore, Cassiodorus, Damasus, and others",author,,,human;human;human;human,Augustine of Hippo;Isidore of Seville;Cassiodorus;Damasus I,Q8018;Q166876;Q192365;Q130997
Bede,author,,,human,Bede,Q154938
"Benedictine abbey of Saint Peter, Chertsey, Surrey; C. L. Ricketts, who bought 27 leaves from Leighton, Catalogue of Manuscripts, 1912, no. 49 (now Ricketts MS 47) and 6 further leaves from Tregaskis (now Ricketts MS 23); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,organization;human,Chertsey Abbey;Coella Lindsay Ricketts,Q751674;Q116771179
"Benedictine abbey of Saint Peter, Chertsey, Surrey; C. L. Ricketts, who bought 27 leaves from Leighton, Catalogue of Manuscripts, 1912, no. 49 (now Ricketts MS 47) and 6 further leaves from Tregaskis (now Ricketts MS23); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,organization;human,Chertsey Abbey;Coella Lindsay Ricketts,Q751674;Q116771179
"Bernardo Mendel (1895-1967); given to the Lilly Library with the Mendel Collection of travel books, 1964.",former owner,,,human,Bernardo Mendel,Q116779944
"Bliss sale, Sotheby’s, 21 August 1858, lots 100 and 119, afterwards Phillipps MSS 15659 and 18133; from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,human;human;human,Thomas Phillipps;William H. Robinson Ltd.;George Amos Poole,Q2147709;Q116786331;Q64683625
"Bought by C. L. Ricketts from James Rimell, London bookseller, c. 1909; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization,Coella Lindsay Ricketts;James Rimell & Son,Q116771179;Q24207747
"Bought by C. L. Ricketts from Tregaskis, 1923, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,Coella Lindsay Ricketts;James Tregaskis,Q116771179;Q94138739
Bought in 1909 by C. L. Ricketts from Tregaskis; acquired by the Lilly Library with the Ricketts Collection in 1961.,former owner,,,human;human,Coella Lindsay Ricketts;James Tregaskis,Q116771179;Q94138739
"C. L. Ricketts (bought in 1925 from Joseph Baer & Co., Frankfurt), and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization,Coella Lindsay Ricketts;Joseph Baer & Co.,Q116771179;Q83552608
"C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human,Coella Lindsay Ricketts,Q116771179
"C. L. Ricketts, bought from Barroux, 1930 (with a second fragment, see below); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human,Coella Lindsay Ricketts,Q116771179
"C. L. Ricketts, bought from Erik von Scherling, Leiden, cat. 11 (November 1930), no. 953; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,Coella Lindsay Ricketts;Erik von Scherling,Q116771179;Q116780057
"C. L. Ricketts, bought from Maggs, 1930 (according to a pencil note; de Ricci says 1932); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization,Coella Lindsay Ricketts;Maggs Bros Ltd,Q116771179;Q15067374
"C. L. Ricketts, bought from Sotheran’s, London, in 1912; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization,Coella Lindsay Ricketts;Henry Sotheran Ltd.,Q116771179;Q55948048
"C. L. Ricketts, bought from Tregaskis, cat. 764 (December 1914), no. 28; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,Coella Lindsay Ricketts;James Tregaskis,Q116771179;Q94138739
"C. L. Ricketts, bought from the bookseller E. Parsons in 1907; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization,Coella Lindsay Ricketts;Edwin Parsons & Sons,Q116771179;Q111399316
"C. L. Ricketts, bought in 1907 from Frederick Muller, Amsterdam; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization,Coella Lindsay Ricketts;Frederik Muller & Co,Q116771179;Q18821838
"C. L. Ricketts, bought in 1915 from Tammaro De Marinis; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,Coella Lindsay Ricketts;Tammaro De Marinis,Q116771179;Q3980638
C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.,former owner,,,human,Coella Lindsay Ricketts,Q116771179
"Ce livre est et appartient à Escuyer Charles Busnel, sieur de la Retardaye, 1645i and by descent in the Busnel family of Montoray, to Henri-Jacques-François Busnel (1774) and Françoise Busnel (1824), who in 1842 gave it to her niece Julie de Busnel; Librairie Belin, Paris, cat. 171 (1892), no. 1331; Elisabeth Ball 1897-1982), of Muncie, Indiana; part of her bequest to the Lilly Library, 1982.",former owner,,,human;human;human;human;human;organization;human,Charles Busnel;Henri-Jacques-François Busnel;Françoise Busnel;Julie de Busnel;Julie de Busnel;Librairie Théophile Belin;Elisabeth Ball,Q116780147;Q116780151;Q116780153;Q116780164;Q116780170;Q94430387
Cicero,author,,,human,Cicero,Q1541
"Count Grigori Stroganoff (1829-1910, died in Rome), with his stamp on verso; doubtless from his sale, Jandolo and Travazzi, Rome, 18-24 April 1910; C. L. Ricketts, bought in 1911 from C. E. Rappaport, Rome; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization;human,Grigorij Sergeevič Stroganov;Libreria antiquaria C. E. Rappaport;Coella Lindsay Ricketts,Q4444046;Q116784962;Q116771179
"Damascène Morgand, Bulletin mensuel 29 (November 1891), no. 19790 (cutting inside upper cover); Elisabeth Ball (1897-1982); part of her bequest to the Lilly Library, 1982.",former owner,,,organization;human,Librairie Damascène Morgand;Elisabeth Ball,Q116784968;Q94430387
"Draycot House (eighteenthcentury inscription on front pastedown), presumably the former country house near Chippenham, Wiltshire, built in 1784 for Sir James Tylney-Long (1736-1794), seventh baronet; C. L. Ricketts, bought from Maggs, December 1922; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization;human,"Sir James Tylney-Long, 7th Baronet;Maggs Bros Ltd;Coella Lindsay Ricketts",Q7527507;Q15067374;Q116771179
Edmund of Abingdon,author,,,human,Edmund of Abingdon,Q1235967
Eugippius,author,,,human,Eugippius,Q738491
"Found and acquired probably in the region of Rome by George N. Olcott (1869-1912), American classicist in Rome; given by his widow to the American Academy in Rome by 1927; sold by the Academy through B. l. Ullman to George A. Poole in 1951, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,human;organization;human,George N. Olcott;American Academy in Rome;George Amos Poole,Q18912535;Q463271;Q64683625
"Franciscus Aloysius Phillipus, with his eighteenth-century booklabel (Gelli 1908, p. 168); C. L. Ricketts, bought in November 1924 from Lathrop Harper; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,Franciscus Aloysius Phillipus;Coella Lindsay Ricketts,Q116785077;Q116771179
"From the chapel of Compagnia della Vergine Maria in Cento; Ernst F. Detterer (1888-1947), bought in 1913 from J. Lewine; bought from Detterer’s estate in 1948 by George A. Poole, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,organization;human;human;human,"Compagnia della Vergine Maria (Cento, Italy);Ernst F. Detterer;J. Lewine;George Amos Poole",Q116785169;Q5394976;Q116785189;Q64683625
"George A. Poole, bought from H. P. Kraus, cat. 75 (1955), no. 19, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,human;organization,George Amos Poole;H. P. Kraus (firm),Q64683625;Q113864096
Gilbert de la Porrée,author,,,human,Gilbert de La Porrée,Q583119
