name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
Abbot von Heselwang,former owner,,,human,Abbot von Heselwang,Q114242549
Abraham Faber,author,,,human,Abraham Faber,Q67198306
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,,http://id.loc.gov/authorities/names/n82268136,human,Abou al-Layth As Samarqandî,Q938348
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,ابو الليث السمرقندي، نصر بن محمد، -983؟,,human,Abou al-Layth As Samarqandî,Q938348
"Aditya Bahadur Dinha, Mahārāja",former owner,,,human,Mahārāja Aditya Bahadur Dinha,Q114242454
Aegidius de Fuscarariis,author,,,human,Egidio Foscarari,Q41569530
Aegidius of Paris (Aegidius Parisiensis),author,,,human,Gilles de Paris,Q5355
"Aga Khan, Sadruddin, Prince, 1933-2003",former owner,,,human,Prince Sadruddin Aga Khan,Q123987
Agostino Staccoli,author,,,human,Agostino Staccoli,Q45535876
Aḥmad al-Mudarris,former owner,احمد المدرس،,,human,Aḥmad al-Mudarris,Q114242427
Aḥmad ibn Mubārak Luṭf Allāh,former owner,احمد بن مبارك لطف الله،,,human,Aḥmad ibn Mubārak Luṭf Allāh,Q114242455
"Akhaṇḍānanda, Muni",author,,,human,Muni Akhaṇḍānanda,Q114242416
"Akhtarī, Muṣṭafá ibn Aḥmad, -1560 or 1561",author,اختري، مصطفى بن احمد,,human,Ahterî,Q21600909
Alain Chartier,author,,,human,Alain Chartier,Q982038
"Alāʼīyawī, Maḥmūd ibn ʻAbd al-Raḥmān",author,,,human,Maḥmūd ibn ʻAbd al-Raḥmān Alāʼīyawī,Q114242456
"Albertano, da Brescia, active 13th century",author,,http://id.loc.gov/authorities/names/n86825133.html,human,Albertanus of Brescia,Q2831705
Albertus Magnus,author,,,human,Albertus Magnus,Q60059
"Albertus, Magnus, Saint, 1193?-1280",author,,http://id.loc.gov/authorities/names/n81007973.html,human,Albertus Magnus,Q60059
"Albertus, Magnus, Saint, 1193?-1280",author,,,human,Albertus Magnus,Q60059
Alcuin,author,,,human,Alcuin,Q154332
Aldobrandino da Siena,author,,,human,Aldobrandino da Siena,Q2832270
"Alighieri, Jacopo. ""Capitoli sulla Divina commedia di Dante Alighieri,"" 197v-198:",author,,,human,Jacopo Alighieri,Q1161153
"Alleyn, James",former owner,,,human,Sir James Alleyn,Q56063918
Alulfus of Tournai,author,,,human,Alulphe of Tournai,Q46592455
Ambrose,author,,,human,Ambrose,Q43689
Ambrose of Milan,author,,http://viaf.org/viaf/100227669,human,Ambrose,Q43689
Andrea Alciati,author,,,human,Andrea Alciato,Q464471
Anselm,author,,,human,Anselm of Canterbury,Q43939
Anselm of Canterbury,author,,,human,Anselm of Canterbury,Q43939
"Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,,http://id.loc.gov/authorities/names/n50024763.html,human,Anselm of Canterbury,Q43939
"Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,,http://viaf.org/viaf/100187025,human,Anselm of Canterbury,Q43939
"Antoninus, Saint, Archbishop of Florence, 1389-1459",author,,http://viaf.org/viaf/89209643,human,Antoninus of Florence,Q773822
Antonio Pierozzi,author,,,human,Antoninus of Florence,Q773822
Antonius Vincentius,author,,,human,Antoine Vincent,Q112436611
Aquiles Estaço,author,,,human,Achilles Statius,Q4673751
Aristotle,author,,http://id.loc.gov/authorities/names/n79004182.html,human,Aristotle,Q868
Aristotle,author,,,human,Aristotle,Q868
Aristotle (Aristoteles),author,,,human,Aristotle,Q868
Arnaldus de Villanova,author,,http://viaf.org/viaf/100189814,human,Arnaldus de Villa Nova,Q356568
"Arnaldus, de Villanova, d. 1311",author,,,human,Arnaldus de Villa Nova,Q356568
"Ashworth, Benjamin",former owner,,,human,Benjamin Ashworth,Q114242428
Auchinleck Library,former owner,,,organization,Auchinleck Community Library,Q62631900
Augustine,author,,,human,Augustine of Hippo,Q8018
Augustine (Aurelius Augustinus),author,,,human,Augustine of Hippo,Q8018
"Augustine, Saint, Bishop of Hippo",author,,http://id.loc.gov/authorities/names/n80126290.html,human,Augustine of Hippo,Q8018
"Augustine, Saint, Bishop of Hippo",author,,http://viaf.org/viaf/66806872/,human,Augustine of Hippo,Q8018
"Augustine, of Hippo, Saint, 354-430",author,,https://viaf.org/viaf/66806872,human,Augustine of Hippo,Q8018
"Augustine, of Hippo, Saint, 354-430",author,,,human,Augustine of Hippo,Q8018
"Augustine, of Hippo, Saint, 354-430",author,,http://viaf.org/viaf/66806872,human,Augustine of Hippo,Q8018
"Augustine, of Hippo, Saint, 354-430",author,,http://id.loc.gov/authorities/names/n80126290.html,human,Augustine of Hippo,Q8018
"Auslin, Johan",former owner,,,human,"Austin, Jehan",Q114075346
"Austin, Jehan",former owner,,,human,"Austin, Jehan",Q114075346
"Autolycus, active 2nd century",author,"اوطولوقس, active 2nd century",,human,Autolycus of Pitane,Q451390
"Autolycus, active 2nd century",author,,,human,Autolycus of Pitane,Q451390
"Āmulī, Rukn ibn Sharaf al-Dīn, active 1456",author,"آملى، رکن بن شرف الدىن, active 1456",,human,Rukn ibn Sharaf al-Dīn Āmulī,Q114242429
"Baillie-Weaver, Harold, -1926",former owner,,,human,Harold Baillie Weaver,Q18821788
"Bannānī, Muḥammad ibn Aḥmad ibn Ṣāliḥ",scribe,بناني، محمد احمد بن صالح,,human,Muḥammad ibn Aḥmad ibn Ṣāliḥ Bannānī,Q114242430
"Bannānī, Muḥammad ibn al-Ḥasan, 1720 or 1721-1780",author,بناني، محمد بن الحسن، 1720 أو 1721-1780,,human,Al-Bannani,Q16145863
"Barber, Thomas",former owner,,,human,Thomas Barber,Q113817394
"Barker-Benfield, B. C",former owner,,,human,B.C. Barker-Benfield,Q113817294
Bartholomaeus de S. Concordio (Bartholomaeus Pisanus),author,,,human,Bartholomew of San Concordio,Q3635444
"Basil, Saint, Bishop of Caesarea, approximately 329-379",author,,http://id.loc.gov/authorities/names/n80004066.html,human,Basil of Caesarea,Q44258
Battista Malatesta,author,,,human,Battista Malatesta,Q4869934
Baudhāyana,author,,,human,Baudhayana,Q3384944
"Bayḍāwī, ʻAbd Allāh ibn ʻUmar, -1286",author,بيضاوي، عبد الله بن عمر، -1286؟,,human,Baidawi,Q287573
"Beatty, A. Chester Sir, 1875-1968",former owner,,,human,Alfred Chester Beatty,Q1387981
"Beck, Helmut, 1919-2001",former owner,,,human,Helmut Beck,Q94821473
Bede,author,,,human,Bede,Q154938
Belonged ca. 1870 to John Milne Buckie.,former owner,,,human,John Milne Buckie,Q114242431
Bergendal Collection,former owner,,,organization,Bergendal Collection,Q114236214
"Bernard M. Rosenthal cat. 9, item 33",former owner,,,human,Bernard M. Rosenthal,Q94805275
"Bernard M. Rosenthal offer 26, June 1975",former owner,,,human,Bernard M. Rosenthal,Q94805275
"Bernard M. Rosenthal offer 26, June, 1975",former owner,,,human,Bernard M. Rosenthal,Q94805275
Bernard Quaritch (Firm),former owner,,,organization,Bernard Quaritch Ltd,Q65034936
Bernard of Clairvaux,author,,,human,Bernard of Clairvaux,Q188411
Bernard of Clairvaux (Bernardus Claraevallensis),author,,,human,Bernard of Clairvaux,Q188411
Bernard of Clairvaux?,author,,,human,Bernard of Clairvaux,Q188411
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author,,,human,Bernard of Clairvaux,Q188411
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author,,http://viaf.org/viaf/59875293,human,Bernard of Clairvaux,Q188411
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author,,http://id.loc.gov/authorities/names/n79059107.html,human,Bernard of Clairvaux,Q188411
Bernardino Ochino,author,,,human,Bernardino Ochino,Q822924
"Bhāskarācārya, 1114-",author,"باسکراکاریا, 1114-",,human,Bhāskara II,Q213385
"Bhāskarācārya, 1114-",author,باسكراكاريا، - 1114-,,human,Bhāskara II,Q213385
"Bigod, Roger, Earl of Norfolk, d. 1221",author,,,human,"Roger Bigod, 2nd Earl of Norfolk",Q3438704
"Bilicich, Stephanus",scribe,,,human,Stephanus Bilicich,Q113817442
"Birjandī, ʻAbd al-ʻAlī ibn Muḥammad ibn Ḥusayn, active 16th century",author,برجندي، عبد العلي بن محمد بن حسين، active 16th century,,human,ʿAbd-al-ʿAlī Ibn-Muḥammad al Birǧandī,Q114413753
"Block, Gordon A., Jr., 1914-1973",former owner,,,human,Gordon A. Block Junior,Q113817555
"Boccaccio, Giovanni, 1313-1375",author,,,human,Giovanni Boccaccio,Q1402
Boethius (Anicius Manlius Severinus Boethius),author,,,human,Boethius,Q102851
"Boethius, -524",author,,http://id.loc.gov/authorities/names/n79029805.html,human,Boethius,Q102851
"Boethius, -524",author,,,human,Boethius,Q102851
"Bohic, Henri, 1310-approximately 1390",author,,http://id.loc.gov/authorities/names/n2015042280.html,human,Henri Bohic,Q3130702
"Bohn, John, 1757-1843",former owner,,,human,John Bohn,Q113817588
"Bonaventure, Saint, Cardinal, approximately 1217-1274",author,,,human,Bonaventure,Q43746
"Bonfils, Immanuel ben Jacob, 14th cent",author,,,human,Immanuel Bonfils,Q354517
Bookplate of C.S. Ascherson,former owner,,,human,Charles Stephen Ascherson,Q51376234
"Boult, Thomas",former owner,,,human,Thomas Boult,Q113817671
"Bourelier, Claude",former owner,,,human,Claude Bourelier,Q113817696
"Bourelier, Françoise",former owner,,,human,Françoise Bourelier,Q113817723
"Bragge, William",former owner,,,human,William Bragge,Q15453218
"Bragge, William, 1823-1884",former owner,,,human,William Bragge,Q15453218
"Brecher, Adolf",former owner,,,human,Adolf Brecher,Q15217756
Brunner Library,former owner,,,organization,Northwich Library,Q26454778
"Bukhārī, Muḥammad ibn Yaḥyá, fl. 1527",author,,,human,Muḥammad ibn Yaḥyá Bukhārī,Q113817796
"Burgess, Edward Sandford, 1855-1928",former owner,,,human,Edward Sandford Burgess,Q5820022
"Burgess, Julia",former owner,,,human,Julia Burgess,Q75469750
"Butler, Charles",former owner,,,human,Charles Butler,Q76094211
"Būsnawī, Ḥusayn",scribe,بوسنوي، حسين,,human,Ḥusayn Būsnawī,Q113818240
"Caffarelli, Prospero, d. 1500",former owner,,,human,Prospero Caffarelli,Q55643327
"Camac, William, 1829-1900",former owner,,,human,William Camac,Q113818311
"Canal, Abbe",former owner,,,human,Abbe Canal,Q113818373
"Carson, Hampton L. (Hampton Lawrence), 1852-1929",former owner,,,human,Hampton L. Carson,Q19974462
"Carter, A. C. R",former owner,,,human,Albert Charles Robinson Carter,Q15627125
Catholic Church,author,,,organization,Catholic Church,Q9592
Catholic Church,author,,http://viaf.org/viaf/130782063,organization,Catholic Church,Q9592
Cecco d'Ascoli,author,,,human,Cecco d'Ascoli,Q728592
"Celotti, Luigi, approximately 1768-approximately 1846",former owner,,,human,Luigi Celotti,Q113774991
"Chetwode, John, Sir, 1764-1845",former owner,,,human,"Sir John Chetwode, 4th Baronet",Q11800745
Christine de Pizan,author,,,human,Christine de Pizan,Q234816
Christoph Hegendorf,author,,,human,Christoph Hegendorff,Q75977
Cicero,author,,,human,Cicero,Q1541
