name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Giles, of Rome, Archbishop of Bourges, approximately 1243-1316",author,,,,,,,,human,Giles of Rome,Q380647,Q40080
"Goodhart, Howard Lehman, 1884?-1951",former owner,,,human,Howard Lehman Goodhart,Q105341227,DSNAME8062,Q68766,,,,
"Albertus, Magnus, Saint, 1193?-1280",author,,http://id.loc.gov/authorities/names/n81007973,,,,,,human,Albertus Magnus,Q60059,Q410
"Jacobus, de Voragine, approximately 1229-1298",author,,,,,,,,human,Jacobus de Voragine,Q313460,Q7339
"Ruch, Georgius",former owner,,,human,Georgius Ruch,Q124566932,DSNAME5160,Q41605,,,,
"Cobbe, Francis",former owner,,,human,Francis Cobbe,Q131863638,DSNAME8068,Q68772,,,,
"Murphy, John A",former owner,,,human,John A. Murphy,Q131863639,DSNAME8069,Q68773,,,,
"Goodhart, Howard Lehman, 1884?-1951",former owner,,,human,Howard Lehman Goodhart,Q105341227,DSNAME8062,Q68766,,,,
"Avicenna, 980-1037",author,,,,,,,,human,Avicenna,Q8011,Q2845
"Bonaventure, Saint, Cardinal, approximately 1217-1274",author,,,,,,,,human,Bonaventure,Q43746,Q1935
"Donadski, Matthew (Donadzkus, Mattaeo Ant.)",former owner,,,human,Matthew Donadski,Q131863640,DSNAME8070,Q68774,,,,
"Cicero, Marcus Tullius",author,,http://id.loc.gov/authorities/names/n79032166,,,,,,human,Cicero,Q1541,Q1813
"Petrarca, Francesco, 1304-1374",author,,,,,,,,human,Petrarch,Q1401,Q16486
Pseudo-Cicero,author,,,,,,,,human,Pseudo-Cicero,Q67405713,Q854
Pseudo-Seneca,author,,,human,Pseudo-Seneca,Q67406296,DSNAME5091,Q41536,,,,
"Heber, Richard, 1773-1833",former owner,,,,,,,,human,Richard Heber,Q4502479,Q6134
"Phillipps, Thomas, Sir, 1792-1872",former owner,,http://id.loc.gov/authorities/names/n50078542,,,,,,human,Thomas Phillipps,Q2147709,Q385
"Sagredo, Gerardo",former owner,,,human,Gerard of Csanád,Q117759,DSNAME8071,Q68775,,,,
"Got, Bertrand de c. 1260-1314",author,,,human,Clement V,Q131463,DSNAME2822,Q20141,,,,
"Giovanni d'Andrea, approximately 1270-1348",author,,,,,,,,human,Giovanni d'Andrea,Q920858,Q16496
"Viviens, Johannes",former owner,,,human,Johannes Vivianus,Q94930024,DSNAME8072,Q68776,,,,
"Osborne, Thomas, -1767",former owner,,,human,Thomas Osborne,Q16203957,DSNAME8073,Q68777,,,,
"Voynich, Wilfred Michael, 1865-1930",former owner,,http://id.loc.gov/authorities/names/n88244649,,,,,,human,Wilfrid Voynich,Q336453,Q1567
"Phillipps, Thomas, Sir, 1792-1872",former owner,,http://id.loc.gov/authorities/names/n50078542,,,,,,human,Thomas Phillipps,Q2147709,Q385
"Goodhart, Howard Lehman, 1884?-1951",former owner,,,human,Howard Lehman Goodhart,Q105341227,DSNAME8062,Q68766,,,,
"Eusebius, of Caesarea, Bishop of Caesarea, approximately 260-approximately 340",author,,http://id.loc.gov/authorities/names/n79150225,,,,,,human,Eusebius of Caesarea,Q142999,Q899
"Taylor, Alice M.",former owner,,,human,Alice M. Taylor,Q131863641,DSNAME8074,Q68778,,,,
"Eusebius, of Cremona, Saint, -approximately 423",author,,,,,,,,human,Eusebius of Cremona,Q24013788,Q6088
"Severus, Sulpicius",author,,,human,Sulpicius Severus,Q336704,DSNAME366,Q1530,,,,
Pseudo-Augustine,author,,,human,Pseudo-Augustine,Q1241114,DSNAME686,Q1921,,,,
"Gregory, Bishop of Tours, Saint, 538-594",author,,,human,Gregory of Tours,Q67841,DSNAME367,Q1531,,,,
Pseudo-Cyrillus,author,,,,,,,,human,Cyrillus de Quidenon,Q105570740,Q41521
"Drury, Henry, 1778-1841",former owner,,,,,,,,human,Henry Drury,Q5720478,Q7282
"Canonici, Matteo Luigi, 1727-1805",former owner,,,,,,,,human,Matteo Luigi Canonici,Q55226394,Q890
"Saibante, Giulio",former owner,,,human,Giulio Saibante,Q131863642,DSNAME8075,Q68779,,,,
"Voynich, Wilfred Michael, 1865-1930",former owner,,http://id.loc.gov/authorities/names/n88244649,,,,,,human,Wilfrid Voynich,Q336453,Q1567
"Gregory I, Pope, approximately 540-604",author,,,,,,,,human,Gregory I,Q42827,Q889
Radbod II,author,,,human,Radbod II,Q130604639,DSNAME8076,Q68780,,,,
"Balken, Edward Duff, 1874-1960",former owner,,,,,,,,human,Edward Duff Balken,Q112300686,Q1584
"Drury, Henry, 1778-1841",former owner,,,,,,,,human,Henry Drury,Q5720478,Q7282
"John Chrysostom, Saint (historical Syrian archbishop, 347-407)",author,,,human,John Chrysostom,Q43706,DSNAME1245,Q6124,,,,
"Ess, Leander van 1772-1847",former owner,,,,,,,,human,Johann Heinrich van Ess,Q1810643,Q1514
"Falkner, John Meade, 1858-1932",former owner,,http://id.loc.gov/authorities/names/n82017667,,,,,,human,J. Meade Falkner,Q1676368,Q40629
"Phillipps, Thomas, Sir, 1792-1872",former owner,,http://id.loc.gov/authorities/names/n50078542,,,,,,human,Thomas Phillipps,Q2147709,Q385
