name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Crychton, David, Vicar",author,,,human,David Crychton,Q131856743,DSNAME8017,Q68627,,,,
"Bartholomew, of San Concordio, 1262-1347",author,,,,,,,,human,Bartholomew of San Concordio,Q3635444,Q855
"Wilde, Ricardo Enrico de",former owner,,,human,Ricardo Enrico de Wilde,Q131856744,DSNAME8018,Q68628,,,,
"Boccaccio, Giovanni, 1313-1375",author,,,,,,,,human,Giovanni Boccaccio,Q1402,Q418
"Adda, Gerolamo, marchese d', 1815-1881",former owner,,,human,Girolamo d'Adda,Q47468683,DSNAME8019,Q68629,,,,
"Murray, Charles Fairfax, 1849-1919",former owner,,,,,,,,human,Charles Fairfax Murray,Q12062202,Q1791
"Charles V, Holy Roman Emperor, 1500-1558",author,,,,,,,,human,Charles V,Q32500,Q7656
"Cavalca, Domenico, -1342",author,,,,,,,,human,Domenico Cavalca,Q3712952,Q6104
"Benvenutus, de Imola, -1387 or 1388",author,,,,,,,,human,Benvenuto Rambaldi da Imola,Q773623,Q16485
"Petrarca, Francesco, 1304-1374",author,,,,,,,,human,Petrarch,Q1401,Q16486
"Edwardes, Henry Hope, 1829-1900",former owner,,,human,"Sir Henry Hope Edwardes, 10th Baronet",Q113630522,DSNAME8020,Q68630,,,,
Saʻdī,author,,,,,,,,human,Saadi,Q170302,Q3799
"Hamilton, William Alexander Louis Stephen Douglas-Hamilton, Duke of, 1845-1895",former owner,,,human,"William Douglas-Hamilton, 12th Duke of Hamilton",Q336666,DSNAME8021,Q68631,,,,
"San Giorgio maggiore (Monastery : Venice, Italy)",former owner,,,organization,San Giorgio Monastery,Q3320338,DSNAME471,Q1635,,,,
"Ricardus, de Mediavilla, approximately 1249-1308",author,,,,,,,,human,Richard of Middleton,Q446656,Q42295
"Linterno, Marchese",former owner,,,,,,,,human,Marchese Linterno,Q122873491,Q20123
"Visconti Modrone, C. Duca",former owner,,,human,C. Duca Visconti Modrone,Q131856745,DSNAME8022,Q68632,,,,
"Bruschetti, Giuseppe, active 19th century",former owner,,,human,Giuseppe Bruschetti,Q15689386,DSNAME2807,Q20126,,,,
"Schiepatti, Gaetano, active 19th century",former owner,,,human,Gaetano Schiepatti,Q131856746,DSNAME8023,Q68633,,,,
"Arrigoni, Luigi",former owner,,,,,,,,human,Luigi Arrigoni,Q120869119,Q20128
"Buckler, William H",former owner,,,human,William Hepburn Buckler,Q59629350,DSNAME8024,Q68634,,,,
"Plimpton, George A. 1855-1936",former owner,,,,,,,,human,George Arthur Plimpton,Q5536449,Q16572
"Certosa di Garegnano (Milan, Italy)",former owner,,,,,,,,organization,Garegnano Charterhouse,Q581827,Q20124
Rucellai family,former owner,,,organization,House of Rucellai,Q3942219,DSNAME8060,Q68670,,,,
"Bunck, R. J., Rev",former owner,,,human,R. J. Bunck,Q131856747,DSNAME8025,Q68635,,,,
"Doni, Anton Francesco, 1513-1574",author,,,,,,,,human,Anton Francesco Doni,Q601844,Q40549
"Otto III, Holy Roman Emperor, 980-1002",author,,http://id.loc.gov/authorities/names/n84143829,,,,,,human,Otto III,Q151090,Q8416
"Payne, J. T",former owner,,,human,J. T Payne,Q131856748,DSNAME8026,Q68636,,,,
"Medlicott, William Gibbons, 1816-1883",former owner,,,,,,,,human,William Gibbons Medlicott,Q124566879,Q41246
"Basilica of Ss. Bonifacio e Alessio all'Aventino (Rome, Italy)",former owner,,,organization,Santi Bonifacio e Alessio,Q1076439,DSNAME8061,Q68671,,,,
"Crevenna, Pietro Antonio, 1736-1792",former owner,,,human,Pietro Antonio Crevenna,Q55902726,DSNAME3864,Q40309,,,,
"Heber, Richard, 1773-1833",former owner,,,,,,,,human,Richard Heber,Q4502479,Q6134
"Techener, J. 1802-1870",former owner,,,,,,,,human,J. Techener,Q21481870,Q41745
"Barrois, Joseph, approximately 1785-1855",former owner,,,,,,,,human,Joseph Barrois,Q97783947,Q1564
"Ashburnham, Bertram Ashburnham, Earl of, 1797-1878",former owner,,http://id.loc.gov/authorities/names/n82255127,,,,,,human,"Bertram Ashburnham, 4th Earl of Ashburnham",Q21855104,Q1565
"Plimpton, Francis T. P. 1900-1983",former owner,,,,,,,,human,Francis Taylor Pearsons Plimpton,Q5482549,Q54690
"Dyckman, Fannie Fredericka, -1951",former owner,,,,,,,,human,Fannie Fredericka Dyckman,Q130360359,Q54691
"Beer, John T",former owner,,,,,,,,human,John Thomas Beer,Q116250783,Q7879
"Philip II, King of Spain, 1527-1598",author,,,,,,,,human,Philip II of Spain,Q34417,Q17780
"Lewis, John James",former owner,,,,,,,,human,John James Lewis,Q130387478,Q54686
"Elizabeth I, Queen of England, 1533-1603",author,,,,,,,,human,Elizabeth I of England,Q7207,Q40584
"Giorgio, d'Alemagna, active 1441-1479",illuminator,,,,,,,,human,Giorgio d'Alemagna,Q3106916,Q1103
