material_as_recorded,authorized_label,structured_value
,amate paper,http://vocab.getty.edu/aat/300264681
,bark,http://vocab.getty.edu/aat/300011860
,bamboo,http://vocab.getty.edu/aat/300011873
,clay,http://vocab.getty.edu/aat/300010439
,leaf,http://vocab.getty.edu/aat/300011892
,leather,http://vocab.getty.edu/aat/300011845
,mica,http://vocab.getty.edu/aat/300011124
,mixed media,http://vocab.getty.edu/aat/300163347
,palm leaf,http://vocab.getty.edu/aat/300011894
,paper,http://vocab.getty.edu/aat/300014109
,papyrus,http://vocab.getty.edu/aat/300014127
,parchment,http://vocab.getty.edu/aat/300011851
,silk,http://vocab.getty.edu/aat/300243428
,skin,http://vocab.getty.edu/aat/300011840
,stone,http://vocab.getty.edu/aat/300011176
,support,http://vocab.getty.edu/aat/300014844
,wax,http://vocab.getty.edu/aat/300014585
,wood,http://vocab.getty.edu/aat/300011914
