place_as_recorded,authorized_label,structured_value
"Amberg, Bavaria, Germany",Amberg|Bavaria|Germany,http://vocab.getty.edu/tgn/7012357;http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084
Armenia,Armenia,http://vocab.getty.edu/tgn/7006651
Austria,Austria,http://vocab.getty.edu/tgn/1000062
Austria or Hungary,Austria|Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
Austria; Germany?,Austria|Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084
Austria?,Austria,http://vocab.getty.edu/tgn/1000062
Austria? Hungary?,Austria|Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
Austro-Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
Barga,Barga,http://vocab.getty.edu/tgn/7006242
Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
Belgium,Belgium,http://vocab.getty.edu/tgn/1000063
"Belgium, Hainault","Belgium|Hainaut, Province de",http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007877
"Belgium, between ca. 1275 and ca. 1300",Belgium,http://vocab.getty.edu/tgn/1000063
"Bologna?, Italy",Bologna|Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080
"Bruges?, Belgium",Bruges|Belgium,http://vocab.getty.edu/tgn/7007867;http://vocab.getty.edu/tgn/1000063
Byzantium,Istanbul,http://vocab.getty.edu/tgn/7002473
Catalonia,Catalonia,http://vocab.getty.edu/tgn/7030216
China,China,http://vocab.getty.edu/tgn/1000111
Cologne?,Cologne,http://vocab.getty.edu/tgn/7004446
"Deccan, India",Deccan|India,http://vocab.getty.edu/tgn/7001693;http://vocab.getty.edu/tgn/7000198
"Dijon, Burgundy, France",Dijon|Burgundy|France,http://vocab.getty.edu/tgn/7008224;http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070
"Diocese of Treviso, Montello, Italy",Treviso|Volpago del Montello|Italy,http://vocab.getty.edu/tgn/7002996;http://vocab.getty.edu/tgn/1047496;http://vocab.getty.edu/tgn/1000080
Egypt,Egypt,http://vocab.getty.edu/tgn/7016833
Engalnd,England,http://vocab.getty.edu/tgn/7002445
England,England,http://vocab.getty.edu/tgn/7002445
England and Spain,England|Spain,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000095
"England,  Leicestershire and Staffordshire",England|Leicestershire|Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/7008174
"England, Dorset",England|Dorset,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011961
"England, East Anglia",England|East Anglia,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7012973
"England, Kent",England|Kent,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008153
"England, Leicestershire and Rutland",England|Leicestershire|Rutland,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/5000748
"England, Norfolk",England|Norfolk,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008160
"England, Possibly south-east.",England,http://vocab.getty.edu/tgn/7002445
"England, Staffordshire",England|Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008174
"England, Sussex",England|Sussex,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008133
"England, Warwickshire",England|Warwickshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008178
"England, Worcestershire",England|Worcestershire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/5000227
England?,England,http://vocab.getty.edu/tgn/7002445
