title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add,authorized_label_add2
Abhinayadarpaṇa,अभिनयदर्पण,,,,,Abhinayadarpaṇa
Abhrachāyā,अभ्रछाया,,,,,Abhrachāyā
Abhyudayikaśrāddhaprayoga,अभ्युदयिकश्राद्धप्रयोग,,,,,Abhyudayikaśrāddhaprayoga
Acyutāṣṭaka,अच्युताष्टक,,,,,Acyutāṣṭaka
Adbhutaśānti,अद्भुतशान्ति,,,,,Adbhutaśānti
Adbhutottarakāṇḍe śrīsītārāmayor ayodhyāgamanaṃ,अद्भुतोत्तरकाण्डे श्रीसीतारामयोरयोध्यागमनं,Adbhutarāmāyaṇa,,,Adbhutarāmāyaṇa,
Adhikaraṇamālā,अधिकरणमाला,Vaiyāsikanyāyamālā,,,Vaiyāsikanyāyamālā,
Adhomukhajananaśānti,अधोमुखजननशान्ति,,,,,Adhomukhajananaśānti
Adhyātmarāmāyaṇa,अध्यात्मरामायण,Puranas,,,Puranas,
Adhyātmarāmāyaṇa ayodhyakāṇḍa,अध्यात्मरामायण अयोध्यकाण्ड,Puranas,,,Puranas,
Adhyātmarāmāyaṇa kiṣkindhākāṇḍa,अध्यात्मरामायण किष्किन्धाकाण्ड,Puranas,,,Puranas,
Adhyātmarāmāyaṇa sundarakāṇḍa,अध्यात्मरामायण सुन्दरकाण्ड,Puranas,,,Puranas,
Adhyātmarāmāyaṇa uttarakāṇḍa,अध्यात्मरामायण उत्तरकण्ड,Puranas,,,Puranas,
Adhyātmarāmāyaṇa yuddhakāṇḍa,अध्यात्मरामायण युद्धकाण्ड,Puranas,,,Puranas,
Adhyātmarāmāyaṇa āraṇyakhaṇḍa,अध्यात्मरामायण आरण्यखण्ड,Puranas,,,Puranas,
Adhānapaddhati prayoga,आधानपद्धतिप्रयोग,,,,,Adhānapaddhati prayoga
Adhānaprayoga,आधानपद्धतिप्रयोग,,,,,Adhānaprayoga
Aduḥkhanavamīkathā,अदुःखनवमीकथा,Puranas,,,Puranas,
