material_as_recorded,authorized_label,structured_value
,undetermined,http://vocab.getty.edu/aat/300379012
"350 x 270 (270 x 180) mm, bound to 370 x 290 mm",,
European laid paper with watermarks,paper,http://vocab.getty.edu/aat/300014109
"European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
"European watermarked paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
Lacquered color painting framed in wood mounted on metal stand,wood,http://vocab.getty.edu/aat/300011914
"Laid paper with embossed margin, illuminations",paper,http://vocab.getty.edu/aat/300014109
"Laid paper with watermarks, illuminations",paper,http://vocab.getty.edu/aat/300014109
"Laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
Non-European laid paper,paper,http://vocab.getty.edu/aat/300014109
"Non-European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
"Non-European laid paper, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109
Paper,paper,http://vocab.getty.edu/aat/300014109
color illustrations mounted on card,,
"inset paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
laid paper,paper,http://vocab.getty.edu/aat/300014109
"laid paper with watermark, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109
laid paper with watermarks,paper,http://vocab.getty.edu/aat/300014109
"laid paper, illumination",paper,http://vocab.getty.edu/aat/300014109
"laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
"laid paper, illustrations",paper,http://vocab.getty.edu/aat/300014109
"laid paper, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109
machine-made wove paper,paper,http://vocab.getty.edu/aat/300014109
non-European laid paper,paper,http://vocab.getty.edu/aat/300014109
"non-European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
"non-European laid paper, illustrations",paper,http://vocab.getty.edu/aat/300014109
paper,paper,http://vocab.getty.edu/aat/300014109
"paper on card, illuminations",paper,http://vocab.getty.edu/aat/300014109
"paper reinforced by card, color illustrations",paper,http://vocab.getty.edu/aat/300014109
"paper, color illustrations",paper,http://vocab.getty.edu/aat/300014109
"paper, diagrams",paper,http://vocab.getty.edu/aat/300014109
"paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
"paper, illustration",paper,http://vocab.getty.edu/aat/300014109
"paper, illustrations",paper,http://vocab.getty.edu/aat/300014109
"paper, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109
"paper, tables",paper,http://vocab.getty.edu/aat/300014109
parchment,parchment,http://vocab.getty.edu/aat/300011851
"parchment, illumination",parchment,http://vocab.getty.edu/aat/300011851
"watermarked European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
wood,wood,http://vocab.getty.edu/aat/300011914
