row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:50:09.321661Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:51:54.997389Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:52:05.558393Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:52:24.974540Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:52:42.145069Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:56:55.973692Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:57:24.127778Z | NAME RECON STEP 9: FINALIZED 2024-01-02T17:13:29.397485Z","Augustine, of Hippo, Saint, 354-430",author,,,,,,human,Augustine of Hippo,Q8018
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:50:09.321871Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:51:54.997736Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:52:05.558486Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:52:24.975061Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:52:42.145133Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:56:55.973897Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:57:24.127910Z | NAME RECON STEP 9: FINALIZED 2024-01-02T17:13:29.414732Z","Babington, William, Sir, approximately 1370-1454",author,,,William Babington,human,Q8004897,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:50:09.321879Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:51:54.997742Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:52:05.558506Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:52:24.975080Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:52:42.145138Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:56:55.973920Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:57:24.127915Z | NAME RECON STEP 9: FINALIZED 2024-01-02T17:13:29.417374Z","Benedict XII, Pope, -1342",author,,,Benedict XII,human,Q170389,,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:50:09.321883Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:51:54.997748Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:52:05.558513Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:52:24.975093Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:52:42.145142Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:56:55.973929Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:57:24.127928Z | NAME RECON STEP 9: FINALIZED 2024-01-02T17:13:29.417402Z","Bernardus, Abbot of Monte Cassino, -1282",author,,,Bernhard Ayglerius,human,Q622900,,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:50:09.321887Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:51:54.997753Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:52:05.558520Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:52:24.975100Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:52:42.145147Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:56:55.973933Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:57:24.127941Z | NAME RECON STEP 9: FINALIZED 2024-01-02T17:13:29.417408Z","Bottoni, Bernardo, -1266",author,,,,,,human,Bernard of Botone,Q942419
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:50:09.321892Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:51:54.997756Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:52:05.558531Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:52:24.975106Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:52:42.145150Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:56:55.973940Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:57:24.127945Z | NAME RECON STEP 9: FINALIZED 2024-01-02T17:13:29.417414Z","Caesarius, of Arles, Saint, 470?-542",author,,,,,,human,Caesarius of Arles,Q304832
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:50:09.321895Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:51:54.997761Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:52:05.558538Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:52:24.975116Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:52:42.145153Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:56:55.973952Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:57:24.128277Z | NAME RECON STEP 9: FINALIZED 2024-01-02T17:13:29.417420Z","Cambron Abbey (Brugelette, Belgium)",author,,,Abbaye de Cambron,organization,Q948743,,,
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:50:09.321898Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:51:54.997766Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:52:05.558545Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:52:24.975122Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:52:42.145163Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:56:55.973956Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:57:24.128286Z | NAME RECON STEP 9: FINALIZED 2024-01-02T17:13:29.417424Z",Catholic Church,author,,,,,,organization,Catholic Church,Q9592
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:50:09.321903Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:51:54.997769Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:52:05.558555Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:52:24.975167Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:52:42.145165Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:56:55.973962Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:57:24.128290Z | NAME RECON STEP 9: FINALIZED 2024-01-02T17:13:29.417429Z",Catholic Church. Pope (1254-1261 : Alexander IV),author,,,Alexander IV,human,Q169915,,,
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:50:09.321906Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:51:54.997888Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:52:05.558561Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:52:24.975180Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:52:42.145168Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:56:55.973968Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:57:24.128293Z | NAME RECON STEP 9: FINALIZED 2024-01-02T17:13:29.417437Z",Catholic Church. Pope (1305-1314 : Clement V),author,,,Clement V,human,Q131463,,,
