name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Jaʻbarī, Ibrāhīm ibn ʻUmar, 1242 or 1243-1331 or 1332",author,جعبري، ابراهيم بن عمر,http://id.loc.gov/authorities/names/nr91008254,,,,,,human,Ibrāhīm ibn ʻUmar Jaʻbarī,Q122946968,Q12279
"Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413",author,جرجاني، علي بن محمد السيد الشريف، 1340-1413,,,,,,,human,Ali ibn Mohammed al-Jurjani,Q3063378,Q12280
"ʻUmarī, Muḥammad ibn ʻAbd al-Raḥīm, -1408 or 1409",author,عمري، محمد بن عبد الرحيم,,,,,,,human,Muḥammad ibn ʻAbd al-Raḥīm ʻUmarī,Q129951648,Q54123
"Ibn Kathīr, Ismāʻīl ibn ʻUmar, approximately 1301-1373",author,ابن كثير، اسماعيل بن عمر,,,,,,,human,Ibn Kathir,Q369690,Q12281
"Ibn Hishām, ʻAbd Allāh ibn Yūsuf, 1309-1360",author,ابن هشام، عبد الله بن يوسف,http://id.loc.gov/authorities/names/n82220489,,,,,,human,Ibn Hisham Al-Ansari,Q6538102,Q3796
"Ṭaḥāwī, ʻUmar ibn Khālid, active 15th century",scribe,طحاوي، عمر بن خالد، active 15th century,,human,ʻUmar ibn Khālid Ṭaḥāwī,Q131748432,DSNAME7588,Q68198,,,,
"Dhahabī, Muḥammad ibn Aḥmad, 1274-1348",author,ذهبي، محمد بن احمد,,,,,,,human,Al-Dhahabi,Q293554,Q12282
"Damīrī, Muḥammad ibn Mūsá, 1341?-1405",author,دميري، محمد بن موسى,http://id.loc.gov/authorities/names/nr91003385 http://id.loc.gov/authorities/names/nr91003385 http://viaf.org/viaf/sourceID/LC%7cnr91003385,,,,,,human,Al-Damiri,Q330616,Q12283
"Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413",author,جرجاني، علي بن محمد السيد الشريف، 1340-1413,,,,,,,human,Ali ibn Mohammed al-Jurjani,Q3063378,Q12280
"Shāṭibī, al-Qāsim ibn Fīrruh, 1144-1194",author,شاطبي، القاسم بن فيره,http://id.loc.gov/authorities/names/n84227571 http://id.loc.gov/authorities/names/n84227571 http://viaf.org/viaf/sourceID/LC%7cn84227571,,,,,,human,Abu-l-Qāsim ibn Fīrruh Shāṭibī,Q12182523,Q12284
"Ibn al-Hāʼim, Aḥmad ibn Muḥammad, -1412",author,ابن الهائم، احمد بن محمد، -1412,,,,,,,human,Ahmad Ibn-Muhammad Ibn-al-Haʾim,Q56250455,Q12285
"Siyawāsī, Aḥmad ibn Maḥmūd, -1455 or 1456",author,سيواسي، احمد بن محمود,http://id.loc.gov/authorities/names/no2007022716 http://id.loc.gov/authorities/names/no2007022716 http://viaf.org/viaf/sourceID/LC%7cno2007022716,,,,,,human,Aḥmad ibn Maḥmūd Siyawāsī,Q122946981,Q12286
"Isfarāyīnī, Muḥammad ibn Muḥammad, -1285",author,اسفراييني، محمد بن محمد، -1285,,,,,,,human,Muḥammad ibn Muḥammad Isfarāyīnī,Q122947965,Q12287
"Ḥarīrī, 1054-1122",author,حريري 1054-1122,,,,,,,human,Abu al-Hariri,Q286097,Q12288
"Maqarrī, Rajab ibn Ḥasan, active 15th century",scribe,مقري، رجب بن حسن، active 15th century,,human,Rajab ibn Ḥasan Maqarrī,Q131748433,DSNAME7589,Q68199,,,,
"Isfarāyīnī, Muḥammad ibn Muḥammad, -1285",author,اسفراييني، محمد بن محمد,,,,,,,human,Muḥammad ibn Muḥammad Isfarāyīnī,Q122947965,Q12287
"Ḥarīrī, 1054-1122",author,حريري,,,,,,,human,Abu al-Hariri,Q286097,Q12288
"Khalīlī, Muḥammad ibn ʻAbd al-Raḥmān",scribe,خليلي، محمد بن عبد الرحمن,,,,,,,,,,
"Ṣābūnī, Aḥmad ibn Maḥmūd, -1184",author,صابوني، احمد بن محمود، -1184,,,,,,,human,Nur al-Din al-Sabuni,Q25451999,Q12289
"Qurṭubī, Muḥammad ibn Aḥmad, -1273",author,قرطبي، محمد بن احمد,,human,Al-Qurtubi,Q1151805,DSNAME7590,Q68200,,,,
"Ibn al-Jawzī, Abū al-Faraj ʻAbd al-Raḥmān ibn ʻAlī, approximately 1116-1201",author,ابن الجوزي، ابو الفرج عبد الرحمن بن علي، approximately 1116-1201,http://id.loc.gov/authorities/names/n84008731,,,,,,human,Abu'l-Faraj ibn al-Jawzi,Q731866,Q12290
"Wāḥidī, Abū al-Ḥasan ʻAlī ibn Aḥmad, -1075 or 1076",author,واحدي ، أبو الحسن علي بن احمد,http://id.loc.gov/authorities/names/n85821906,,,,,,human,Wāḥidī Nīsābūrī,Q12227985,Q12291
"Sijistānī, Muḥammad ibn ʻUzayr, -941 or 942",author,سجستاني، محمد بن عزير,http://id.loc.gov/authorities/names/n88250931,,,,,,human,Muḥammad ibn ʻUzayr Sijistānī,Q122946980,Q12292
"Abū Shāmah, ʻAbd al-Raḥmān ibn Ismāʻīl, 1203-1267",author,ابو شامة، عبد الرحمن بن اسماعيل,http://id.loc.gov/authorities/names/n80137503,,,,,,human,Abu-Shama al-Maqdissí,Q481455,Q12293
"Khaṭīb al-Tibrīzī, Muḥammad ibn ʻAbd Allāh, active 1337",author,خطيب التبريزي، محمد بن عبد الله,,human,Muḥammad ibn ʻAbd Allāh Khatib Al-Tabrizi,Q105062495,DSNAME6332,Q49203,,,,
"Abū Nuʻaym al-Iṣbahānī, Aḥmad ibn ʻAbd Allāh, 948-1038",author,"ابو نعيم الاصبهاني، احمد بن عبد الله, 948-1038",,,,,,,human,Abu Nu`aym,Q2822174,Q12271
"Suhaylī, ʻAbd al-Raḥmān ibn ʻAbd Allāh, 1114 or 1115-1185",author,سهيلي، عبد الرحمن بن عبد الله,http://id.loc.gov/authorities/names/n85230420,,,,,,human,Al-Suhayli,Q4703267,Q12294
"Ibn Ḥajar al-ʻAsqalānī, Aḥmad ibn ʻAlī, 1372-1449",author,ابن حجر العسقلاني، احمد بن علي، 1372-1449,http://id.loc.gov/authorities/names/n82108960,,,,,,human,Ibn Hajar al-Asqalani,Q471116,Q12295
"Baghawī, al-Ḥusayn ibn Masʻūd, -1117",author,بغوي، الحسين بن مسعود,http://id.loc.gov/authorities/names/n81020342,,,,,,human,Al-Baghawi,Q48210,Q12296
"Ibn al-Kharrāṭ, ʻAbd al-Ḥaqq ibn ʻAbd al-Raḥmān, 1116 or 1117-1185",author,ابن الخراط، عبد الحق بن عبد الرحمن,http://id.loc.gov/authorities/names/nr92014850,,,,,,human,Ibn al-Kharrāṭ,Q12222548,Q12297
"Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389",author,تفتازاني، مسعود بن عمر، 1322-1389,,,,,,,human,Taftazani,Q764947,Q12298
"Anṣārī, ʻAbd Allāh ibn Muḥammad, 1247 or 1248-1323 or 1324",author,"انصاري، عبد الله بن محمد, 1247 or 1248-1323 or 1324",http://id.loc.gov/authorities/names/nr90021710,,,,,,human,ʻAbd Allāh ibn Muḥammad Anṣārī,Q122946944,Q12299
"Jammāʻīlī, ʻAbd al-Ghanī ibn ʻAbd al-Wāḥid, 1146-1203",author,جماعيلي، عبد الغني بن عبد الواحد، 1146-1203,http://id.loc.gov/authorities/names/n84010934,,,,,,human,Molana Abdul Ghani Hanbhi,Q423563,Q12300
"Shādhilī, ʻAlī ibn ʻAlī, active 14th century",scribe,شاذلي، علي بن علي، active 14th century,,human,ʻAlī ibn ʻAlī Shādhilī,Q131748434,DSNAME7591,Q68201,,,,
"Quṭb al-Shīrāzī, Maḥmūd ibn Masʻūd, 1236 or 1237-1310 or 1311",author,قطب الشيرازي، محمود بن مسعود,,,,,,,human,Qutb al-Din al-Shirazi,Q729903,Q12301
"Rūmī, Aḥmad ibn ʻAbd al-Qādir, -1631",author,رومي، احمد بن عبد القادر، -1631,http://id.loc.gov/authorities/names/nr95013930,,,,,,human,Aḥmad Ibn-ʿAbd-al-Qāhir ar- Rūmī,Q113782405,Q12302
"Ṭabarī, ʻAbd al-Qādir ibn Muḥammad, 1568 or 1569-1623 or 1624",author,طبري، عبد القادر بن محمد، 1568 or 1569-1623 or 1624,http://id.loc.gov/authorities/names/nr91022340,,,,,,human,Abd al-Qadir al-Tabari,Q86075470,Q12303
"Ibn al-ʻImād al-Aqfahsī, Aḥmad, approximately 1349-1405",author,ابن العماد الاقفهسي، احمد، approximately 1349-1405,http://id.loc.gov/authorities/names/nr91043779,,,,,,human,Aḥmad Ibn al-ʻImād al-Aqfahsī,Q6537116,Q12304
"ʻIyāḍ ibn Mūsá, 1083-1149",author,عياض بن موسى,http://id.loc.gov/authorities/names/n83017679,,,,,,human,Qadi Ayyad,Q3101035,Q3786
"Ghazzālī, 1058-1111",author,غزالي، 1058-1111,http://id.loc.gov/authorities/names/n82097778,,,,,,human,Al-Ghazali,Q9546,Q12305
"Ibn Malak, ʻAbd al-Laṭīf ibn ʻAbd al-ʻAzīz",author,ابن ملك، عبد اللطيف بن عبد العزيز,,,,,,,human,ʻAbd al-Laṭīf ibn ʻAbd al-ʻAzīz ibn Malak,Q116418873,Q3794
"Muḥammad ibn Muṣṭafá, active 17th century",scribe,محمد بن مصطفى، active 17th century,,human,Muḥammad ibn Muṣṭafá,Q131748435,DSNAME7592,Q68202,,,,
"Iṣfahānī, Maḥmūd ibn ʻAbd al-Raḥmān, 1275 or 1276-1348 or 1349",author,اصفهاني، محمود بن عبد الرحمن، 1275 or 1276-1348 or 1349,http://id.loc.gov/authorities/names/nr91044051,,,,,,human,Mahmud ibn Abd al-Rahman al-Isfahani,Q57970695,Q12306
"Aqyāzatī, Muḥammad ibn ʻĪsá, active 15th century",scribe,اقيازتي، محمد بن عيسى، active 15th century,,human,Muḥammad ibn ʻĪsá Aqyāzatī,Q131748436,DSNAME7593,Q68203,,,,
"Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413",author,جرجاني، علي بن محمد، السيد الشريف، 1340-1413,,,,,,,human,Ali ibn Mohammed al-Jurjani,Q3063378,Q12280
"Maḥbūbī, ʻUbayd Allāh ibn Masʻūd, -1346 or 1347",author,محبوبي، عبيد الله بن مسعود، -1346 or 1347,http://id.loc.gov/authorities/names/n86141596,,,,,,human,ʿUbaidallāh Ibn-Masʿūd al- Maḥbūbī,Q31313352,Q12307
"Nasafī, ʻAbd Allāh ibn Aḥmad, -1310",author,نسفي، عبد الله بن احمد، -1310,http://id.loc.gov/authorities/names/n82144374,,,,,,human,ʿAbdallāh Ibn-Aḥmad Nasafī,Q12223449,Q12308
"Shahrastānī, Muḥammad ibn ʻAbd al-Karīm, 1086?-1153",author,شهرستاني، محمد بن عبد الكريم,http://id.loc.gov/authorities/names/n83043209,,,,,,human,Al-Shahrastani,Q1050887,Q12309
"Maimonides, Moses, 1135-1204",author,,http://id.loc.gov/authorities/names/n78096039 http://id.loc.gov/authorities/names/n78096039 http://viaf.org/viaf/sourceID/LC%7cn78096039,,,,,,human,Moshe ben Maimon,Q127398,Q12310
"Ghunaymī, Aḥmad ibn Muḥammad, -1634",author,غنيمي، احمد بن محمد,http://id.loc.gov/authorities/names/n89188849 http://id.loc.gov/authorities/names/n89188849 http://viaf.org/viaf/sourceID/LC%7cn89188849,,,,,,human,Aḥmad ibn Muḥammad Ghunaymī,Q122946952,Q12311
"Ibn ʻArabī, Saʻd al-Dīn, 1222-1258",author,ابن عربي، سعد الدين، 1222-1258,,human,Saʻd al-Dīn Ibn ʻArabī,Q131398859,DSNAME7594,Q68204,,,,
"Sibāʻī, Muḥammad ibn Ṣāliḥ, -1851 or 1852",author,سباعي، محمد بن صالح,http://id.loc.gov/authorities/names/no2008028375,,,,,,human,Muḥammad ibn Ṣāliḥ Sibāʻī,Q122946979,Q12312
"Mallawī, ʻAbd al-Karīm Aḥmad",scribe,ملوي، عبد الكريم احمد,,,,,,,,,,
ʻAbd al-Raḥīm ibn ʻAbd al-Karīm,author,عبد الرحيم بن عبد الكريم,,human,ʻAbd al-Raḥīm ibn ʻAbd al-Karīm,Q131398860,DSNAME7595,Q68205,,,,
"Mawṣilī, ʻAbd Allāh ibn Maḥmūd, 1202 or 1203-1284",author,موصلي، عبد الله بن محمود، 1202 or 1203-1284,http://id.loc.gov/authorities/names/n85307246,,,,,,human,Abdullah Ibn Mahmud al-Mawsili,Q12238806,Q12313
"Ṣaghānī, al-Ḥasan ibn Muḥammad, 1181-1252",author,صغاني، الحسن بن محمد، 1181-1252,http://id.loc.gov/authorities/names/n84238396 http://id.loc.gov/authorities/names/n84238396 http://viaf.org/viaf/sourceID/LC%7cn84238396,,,,,,human,al-Ḥasan Ibn-Muḥammad Ṣaġānī,Q12186422,Q12314
"Zamakhsharī, Maḥmūd ibn ʻUmar, 1075-1144",author,"زمخشري، محمود بن عمر, 1075-1144",,,,,,,human,Al-Zamakhshari,Q482451,Q12315
"Jaydī, Burhān ibn ʻĀlam, active 14th century",scribe,"جيدي، برهان بن عالم, active 14th century",,human,Burhān ibn ʻĀlam Jaydī,Q131748437,DSNAME7596,Q68206,,,,
"Abū al-Faraj ʻAbd Allāh ibn al-Tayyib, -1043",author,ابو الفرج عبد الله بن الطيب,http://id.loc.gov/authorities/names/nr95024340,,,,,,human,Ibn al-Tayyib,Q2820894,Q12316
"Ibn Dallāj al-Maghribī, ʻAbd al-Wāḥid ibn Muḥammad",author,ابن دلاج المغربي، عبد الواحد بن محمد,http://id.loc.gov/authorities/names/no2008117969,,,,,,human,ʻAbd al-Wāḥid ibn Muḥammad Ibn Dallāj al-Maghribī,Q122946955,Q12317
"Ibn al-Kutubī, Yūsuf ibn Ismaʻīl, -approximately 1353",author,ابن الكتبي، يوسف بن اسمعيل,http://id.loc.gov/authorities/names/no2008118509,,,,,,human,Yusuf ibn Ismail al-Kutubi,Q6534413,Q12318
"Qūṣūnī, Madyan ibn ʻAbd al-Raḥmān, active 17th century",former owner,قوصوني، مدين بن عبد الرحمن,http://id.loc.gov/authorities/names/n80036282,,,,,,human,Madyan Qusuni,Q105338234,Q12319
"Ibn al-Fāriḍ, ʻUmar ibn ʻAlī, 1181 or 1182-1235",author,ابن الفارض، عمر بن علي,,,,,,,human,Ibn al-Farid,Q203142,Q12320
"Hüsrev, Molla, -1480",author,خسرو ملا,http://id.loc.gov/authorities/names/n88218446 http://id.loc.gov/authorities/names/n88218446 http://viaf.org/viaf/sourceID/LC%7cn88218446,,,,,,human,Molla Hüsrev,Q12244864,Q12321
"Yamamoto, Tsunetomo, 1659-1719",author,"山本常朝, 1659-1719",http://id.loc.gov/authorities/names/n50057435,,,,,,human,Yamamoto Tsunetomo,Q548162,Q12884
"Tanba, Muneyasu, 1505-1529",author,"丹波宗康, 1505-1529",,,,,,,human,"Tanba, Muneyasu",Q123006802,Q12885
Chūjo Chōan,author,中條長庵,,,,,,,human,Chūjo Chōan,Q123005780,Q12886
"Hanaoka, Seishū, 1760-1835",author,"華岡青洲, 1760-1835",http://id.loc.gov/authorities/names/n88091783,,,,,,human,Hanaoka Seishū,Q1376935,Q12887
"Ḥusaynī, Muḥammad ibn ʻAlī, active 18th century",author,حسيني، محمد بن علي، active 18th century,,human,Muḥammad ibn ʻAlī Ḥusaynī,Q131398861,DSNAME7597,Q68207,,,,
"Sujāʻī, Aḥmad ibn Aḥmad, -1783",author,سجاعي، احمد بن احمد، -1783,,,,,,,human,Aḥmad ibn Aḥmad Sujāʻī,Q122947967,Q12322
"Rashīdī, Aḥmad ʻArafah ibn Aḥmad ʻArafah",scribe,رشيدي، احمد عرفة بن احمد عرفة,,,,,,,,,,
"Ḥanbalī, Muḥammad ibn ʻAbd al-Laṭīf",scribe,حنبلي، محمد بن عبد اللطيف,,human,Muḥammad ibn ʻAbd al-Laṭīf Ḥanbalī,Q131398862,DSNAME7598,Q68208,,,,
"Darawī, Muḥammad Haykal, active 18th century",scribe,دروي، محمد هيكل، active 18th century,,human,Muḥammad Haykal Darawī,Q131748438,DSNAME7599,Q68209,,,,
"Mubarrad, Muḥammad ibn Yazīd, -898",author,مبرد، محمد بن يزيد، 898,,human,Al-Mubarrad,Q2829242,DSNAME7600,Q68210,,,,
