script_note_as_recorded,script_note,script_label,aat_label,aat_id,wikidata_label,wikidata_qid
Script:  Written in an early Gothic book hand.,an early Gothic book hand,Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script:  Written in a cancellaresca script.,a cancellaresca script,cancellaresca,,,chancery hand,Q2849287
Script: Written in rapid naskh by the author (f. 162r).,rapid naskh by the author (f 162r),naskh,naskhī,300195195,Naskh,Q1510712
Script:  Place names written in Gothic book script by at least 2 hands.,Place names written in Gothic book script by at least 2 hands,Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script:  Written in Italian commercial cursive script (mercantesca).,Italian commercial cursive script (mercantesca),Italian commercial cursive script (mercantesca),,,Scrittura mercantesca,Q63526527
"Script: Written in nastaʻlīq script by 2 hands (treatise f. 1-38, f. 41-56), with treatise headings in thuluth script.","nastaʻlīq script by 2 hands (treatise f 1-38, f 41-56), with treatise headings in thuluth script",nastaʻlīq,nastaʻliq,300265532,Nastaʿlīq,Q1133121
Script:  Written in a humanistic cursive script.,a humanistic cursive script,cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
Script:  Written in Italian semi-cursive Hebrew script.,Italian semi-cursive Hebrew script,Italian semi-cursive Hebrew script,Hebrew alphabet,300256146,Hebrew alphabet,Q33513
"Script:  Written in semi-cursive Hebrew script in a single hand, except for one leaf in another hand (f. 11).","semi-cursive Hebrew script in a single hand, except for one leaf in another hand (f 11)",semi-cursive Hebrew script,,,Solitreo,Q9078716
"Script:  Written in cursive script, with the appended documents in 17th-century secretary script and 15th-century Gothic cursive.","cursive script, with the appended documents in 17th-century secretary script and 15th-century Gothic cursive",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in naskh in brown ink; unpointed, unvocalized; marginal notes in black or purple ink; pointed.","naskh in brown ink; unpointed, unvocalized; marginal notes in black or purple ink; pointed",naskh,naskhī,300195195,Naskh,Q1510712
Script:  Written in cursive humanistic script.,cursive humanistic script,cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
"Script:  Written in secretarial script, with dedication (f. iv recto-iv verso) and emendations in italic script in the hand of William Bourne.","secretarial script, with dedication (f iv recto-iv verso) and emendations in italic script in the hand of William Bourne",secretary script,,,secretary hand,Q16933853
"Script:  Written in an Italian cancellaresca script, signed in a different hand by Matthaeus Gentilis, ducal chancellor (f. 4v-5r, 8r-8v, 13v).","an Italian cancellaresca script, signed in a different hand by Matthaeus Gentilis, ducal chancellor (f 4v-5r, 8r-8v, 13v)",cancellaresca,,,chancery hand,Q2849287
Script:  Written in English cursive script.,English cursive script,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script:  Later notes written in cursive script (Volume 1).,Later notes written in cursive script (Volume 1),cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script:  Written in a humanistic script, with clause numbers and initials at the beginning of each clause in square capitals.","a humanistic script, with clause numbers and initials at the beginning of each clause in square capitals",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script:  Written in Gothic script by at least 2 hands (f. 1r-11v, 12r-17v); 14th-century Gothic script on repairs; 17th- and 18th-century pen trials and inscriptions (f. 12v, 13v, 17v).","Gothic script by at least 2 hands (f 1r-11v, 12r-17v); 14th-century Gothic script on repairs; 17th- and 18th-century pen trials and inscriptions (f 12v, 13v, 17v)",Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script:  Written in a humanistic book script.,a humanistic book script,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script:  Written in Greek minuscule script by Isidore of Kiev.,Greek minuscule script by Isidore of Kiev,Greek minuscule script,Greek alphabet,300256140,Greek minuscule,Q8250741
"Script:  Written in semi-Gothic script, in the hand of Georg Hayniger (f. 6v, 9r, 11r).","semi-Gothic script, in the hand of Georg Hayniger (f 6v, 9r, 11r)",Semigothic script,Protogothic,300379143,Protogothic,Q33247835
"Script:  Written in German transitional script (or protogothic script) with archaic forms by 3 hands (f. 1r-19v column B line 25, 19v column B line 26-20r, 20v-21r; Erik Kwakkel, Leiden University).","German transitional script (or protogothic script) with archaic forms by 3 hands (f 1r-19v column B line 25, 19v column B line 26-20r, 20v-21r; Erik Kwakkel, Leiden University)",Semigothic script,Protogothic,300379143,Protogothic,Q33247835
Script:  Written in various humanistic hands.,various humanistic hands,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script: Written in naskh in black ink; partially pointed, with headings in larger tawqīʻ.","naskh in black ink; partially pointed, with headings in larger tawqīʻ",naskh,naskhī,300195195,Naskh,Q1510712
"Script: Written in naskh, some headings in thuluth.","naskh, some headings in thuluth",naskh,naskhī,300195195,Naskh,Q1510712
Script:  Written in naskh in black ink; pointed.,naskh in black ink; pointed,naskh,naskhī,300195195,Naskh,Q1510712
Script:  Written in nastaʻlīq script.,nastaʻlīq script,nastaʻlīq,nastaʻliq,300265532,Nastaʿlīq,Q1133121
