ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre_as_recorded_lcsh,genre_as_recorded_aat,genre_as_recorded_rbprov,genre,named_subject_as_recorded,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified,source_file
,,,digital-scriptorium,Q1976985,Nelson-Atkins Museum of Art,KG 01,"",,France,"","s. XIII(med), 1225-1275",1225^1275,13,http://vocab.getty.edu/aat/300404505,false,,"","",Sentiarium libri quatuor|Rubric: Predictis repetit ut alia addat differentias ponens de gratia et libero arbitrio,"","",,,,,,"",,"","",,"","",,"","",,Latin,"",Purchased by Karen Gould (1946-2012) from William Linehan Autographs on 26 July in the 1980s. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,"",,"","parchment, translucent",Extent: One leaf; 228 x 164 mm.,"We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/nelsonatkins/mets/ds_50_46_00182892.xml
,,,digital-scriptorium,Q1976985,Nelson-Atkins Museum of Art,KG 09,"",,"France, Northern","","s. XV(ex), 1485-1499",1485^1499,15,http://vocab.getty.edu/aat/300404465,false,,"","",Oratio pro se ipso <?>|Book of Hours,"","",,,,,,"",,"","",,"","",,"","",,Latin,"",Belonged to Karen Gould (1946-2012); gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,"",,"",parchment,Extent: One leaf; 138 x 99 mm.,"We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/nelsonatkins/mets/ds_50_46_00183140.xml
,,,digital-scriptorium,Q1976985,Nelson-Atkins Museum of Art,KG 13,"",,Italy,"","s. XV, 1400-1499",1400^1499,15,http://vocab.getty.edu/aat/300404465,false,,"","",Lectionary,"","",,,,,,"",,"","",,"","",,"","",,"","",Belonged to Karen Gould (1946-2012); gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,"",,"",parchment,Extent: f. 1r-v; 331 x 231 mm.,"We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/nelsonatkins/mets/ds_50_46_00183141.xml
,,,digital-scriptorium,Q1976985,Nelson-Atkins Museum of Art,KG 19,"",,France,"","s. XV, 1400-1499",1400^1499,15,http://vocab.getty.edu/aat/300404465,false,,"","",Book of Hours (Use of Dol.),"","",,,,,,"",,"","",,"","",,"","",,Latin,"","Acquired by Karen Gould (1946-2012) from Phillip Pirages, possibly his catalogue 24, November 1987; gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.","",,"",parchment,Extent: One leaf; 199 x 135 mm.,"We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/nelsonatkins/mets/ds_50_46_00183142.xml
,,,digital-scriptorium,Q1976985,Nelson-Atkins Museum of Art,KG 22,"",,France,"","s. XVI(1/4), 1500-1525",1500^1525,16,http://vocab.getty.edu/aat/300404510,false,,"","","Book of Hours, Psalms from Hours of the Virgin|Book of Hours","","",,,,,,"",,"","",,"","",,"","",,Latin,"",Belonged to Karen Gould (1946-2012); gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,"",,"",parchment,Extent: One leaf; 163 x 100 mm.,"We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/nelsonatkins/mets/ds_50_46_00183143.xml
,,,digital-scriptorium,Q1976985,Nelson-Atkins Museum of Art,KG 23,"",,Italy,"","s. XIV, 1300-1399",1300^1399,14,http://vocab.getty.edu/aat/300404506,false,,"","",Gradual,"","",,,,,,"",,"","",,"","",,"","",,Latin,"","Acquired by Karen Gould (1946-2012) from Goodspeed’s Bookshop, Boston, July 6, 1981; gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.","",,"",parchment,Extent: One leaf; 312 x 230 mm.,"We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/nelsonatkins/mets/ds_50_46_00183144.xml
,,,digital-scriptorium,Q1976985,Nelson-Atkins Museum of Art,KG 29 (LEV d),"",,England,"","s. XV, 1400-1499",1400^1499,15,http://vocab.getty.edu/aat/300404465,false,,"","",Missal,"","",,,,,,"",,"","",,"","",,"","",,Latin,"","Acquired by Linda Ehrsam Voigts from Bernard M. Rosenthal in 1975, and given by her to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012.","",,"",parchment,Extent: One leaf; 315 x 218 mm.,"We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/nelsonatkins/mets/ds_50_46_00183145.xml
,,,digital-scriptorium,Q1976985,Nelson-Atkins Museum of Art,KG 27 (LEV b),"",,France,"","s. XV(2), 1450-1499",1450^1499,15,http://vocab.getty.edu/aat/300404465,false,,"","",Kalendar from Book of Hours,"","",,,,,,"",,"","",,"","",,"","",,French,"","Purchased by Linda Ehrsam Voigts from Philip Pirages, and given by her in 2012 to the Karen Gould Collection of the Nelson Atkins Museum of Art.","",,"",parchment,Extent: One leaf; 167 x 123 mm.,"We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/nelsonatkins/mets/ds_50_46_00183149.xml
,,,digital-scriptorium,Q1976985,Nelson-Atkins Museum of Art,KG 02,"",,Italy,"","s. XV, 1477-1477",1477^1477,15,http://vocab.getty.edu/aat/300404465,false,,"","","Antoninus Florentinus: Summa Sacrae Theologiae, luris Pontifici et Caesarei","","",,,,,,"",,"","",,"","",,"","",,Latin,"",Unknown. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in wife's memory.,"",,"",paper,Extent: Three leaves; 230 x 164 mm.,"We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/nelsonatkins/mets/ds_50_46_00183735.xml
,,,digital-scriptorium,Q1976985,Nelson-Atkins Museum of Art,KG 03,"",,Germany,"","s. XV, 1475-1500",1475^1500,15,http://vocab.getty.edu/aat/300404465,false,,"","",Glossa Ordinaria (Incunable leaf),"","",,,,,,"",,"","",,"","",,"","",,Latin,"",Unknown. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in wife's memory.,"",,"",paper,Extent: One leaf; 322 x 207 mm.,"We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/nelsonatkins/mets/ds_50_46_00213106.xml
