id,manuscript,groups,source_date,source_title,source_catalog_or_lot_number,institution,sale_selling_agent,sale_seller_or_holder,sale_buyer,sale_sold,sale_date,sale_price,titles,authors,dates,artists,scribes,languages,materials,places,uses,missing_authority_names,folios,num_columns,num_lines,height,width,alt_size,miniatures_fullpage,miniatures_large,miniatures_small,miniatures_unspec_size,initials_historiated,initials_decorated,manuscript_binding,manuscript_link,other_info,provenance,created_at,created_by,updated_at,updated_by,approved,deprecated,unverified_legacy_record,superceded_by_id,draft,coordinates
284108,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10019,"","","","",,,"",Anaphora of Our Lady Mary (Pius XII Memorial Library. Manuscript. VFL MS 030) (Anaphora of Our Lady Mary),"Cyriacus, Bishop of al-Bahnasā (Cyriacus, Bishop of al-Bahnasā)",19-- (1900 to 1999),"","",Ethiopic (Ethiopic),Parchment (parchment),"Ethiopia, Africa (Ethiopia)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 030)",2025-02-11  5:42pm,lpc,2025-02-12  5:16pm,roseamcc,false,false,false,,false,"(8.0,39.0)"
284109,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10033,"","","","",,,"","Antiphonary, imperfect (Antiphonal); Antiphonary (Antiphonal)",Catholic Church (Catholic Church),16-- (1600 to 1699),"","",Latin (Latin),Parchment (parchment),"Spain, Iberian Peninsula, Europe (Spain)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 028)",2025-02-11  5:42pm,lpc,2025-02-12  5:17pm,roseamcc,false,false,false,,false,"(40.0,-4.0)"
284110,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10037,"","","","",,,"",Release of goods and chattels (Pius XII Memorial Library. Manuscript. VFL MS 032) (Release of goods and chattels),"Edward III, King of England, 1312-1377 (England. Sovereign (1327-1377 : Edward III))",1374 (1374 to 1375),"","",Latin (Latin),Parchment (parchment),"Westminster, London, England, Great Britain, United Kingdom, Europe (Westminster, England)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 032)",2025-02-11  5:42pm,lpc,2025-02-12  5:17pm,roseamcc,false,false,false,,false,"(51.5,-0.1667)"
284111,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10039,"","","","",,,"",Receipt for debt (Pius XII Memorial Library. Manuscript. VFL MS 034) (Receipt),"",1360 (1360 to 1361),"","",French (French),Parchment (parchment),"France, Europe (France)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 034)",2025-02-11  5:42pm,lpc,2025-02-12  5:18pm,roseamcc,false,false,false,,false,"(46.0,2.0)"
284112,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10042,"","","","",,,"","Sancti Gregorii Papae Dialogorum libri IV, single leaves (Dialogues); Dialogi (Dialogi)","Gregory I, Pope, c. 540-604 (Gregory I, Pope, approximately 540-604)",ca. 1450]. (1425 to 1475),"","",Latin (In Latin),Parchment (parchment),"Germany, Europe (Germany)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 036)",2025-02-11  5:42pm,lpc,2025-02-12  5:18pm,roseamcc,false,false,false,,false,"(51.5,10.5)"
284113,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10043,"","","","",,,"",Legenda aurea (Legenda aurea),"Jacobus de Voragine, approximately 1229-1298 (Jacobus, de Voragine, approximately 1229-1298)",ca. 1300]. (1275 to 1325),"","",Latin (In Latin),Parchment (parchment),"Italy, Europe (Italy)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 057)",2025-02-11  5:42pm,lpc,2025-02-12  5:19pm,roseamcc,false,false,false,,false,"(42.8333,12.8333)"
284114,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10045,"","","","",,,"","Paralipomenon, single leaves (Paralipomenon); Bible (Bible)","",ca. 1300 (1275 to 1325),"","",Latin (Latin),Parchment (parchment),"Bologna, Emilia-Romagna, Northern Italy, Italy, Europe (Bologna)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 060)",2025-02-11  5:42pm,lpc,2025-02-12  5:19pm,roseamcc,false,false,false,,false,"(44.466667,11.433333)"
284115,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10048,"","","","",,,"","Book of hours, single leaf (Book of hours); Book of hours (Book of hours)",Catholic Church (Catholic Church),14-- (1400 to 1499),"","",French (French),Parchment (parchment),"France, Europe (France)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 058)",2025-02-11  5:42pm,lpc,2025-02-12  5:19pm,roseamcc,false,false,false,,false,"(46.0,2.0)"
284116,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10057,"","","","",,,"",Khusraw and Shirin (Khusraw and Shirin),"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203 (Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203)",ca. 19-- (1850 to 1999),"","",Persian (In Persian),"Paper (paper, ill.)","Iran, Asia (Iran)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 054)",2025-02-11  5:42pm,lpc,2025-02-12  5:20pm,roseamcc,false,false,false,,false,"(32.0,53.0)"
284117,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10067,"","","","",,,"",Commentary on the Psalms (Commentary on the Psalms),"",12-- (1200 to 1299),"","",Latin (In Latin),"Parchment (parchment,)","France, Europe (France)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 053)",2025-02-11  5:42pm,lpc,2025-02-12  5:20pm,roseamcc,false,false,false,,false,"(46.0,2.0)"
284118,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10072,"","","","",,,"","Bible, single leaf (Bible); Bible (Bible)","",ca. 1260-70 (1200 to 1299),"","",Latin (In Latin),Parchment (parchment),"France, Europe (France)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 066)",2025-02-11  5:42pm,lpc,2025-02-12  5:21pm,roseamcc,false,false,false,,false,"(46.0,2.0)"
284119,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10073,"","","","",,,"","Liber sextus decretalium Bonifacii Pape VIII, single leaf (Liber sextus decretalium); Liber sextus decretalium (Decretals)","Catholic Church (Catholic Church); Boniface VIII, Pope, -1303 (Catholic Church)",ca. 1325 (1300 to 1350),"","",Latin (In Latin),Parchment (parchment),"Bologna, Emilia-Romagna, Northern Italy, Italy, Europe (Bologna, Italy)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 067)",2025-02-11  5:42pm,lpc,2025-02-12  5:22pm,roseamcc,false,false,false,,false,"(44.466667,11.433333)"
284120,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10049,"","","","",,,"","Liber] sextus decretalium domini Bonifacii Pape VIII, [single leaves (Liber sextus decretalium); Liber sextus decretalium (Decretals)","Boniface VIII, Pope, -1303 (Catholic Church. Pope (1294-1303 : Boniface VIII))",ca. 1325 (1300 to 1350),"","",Latin (In Latin),"Parchment (parchment, ill.)","Italy, Europe (Italy)","",0,,,,,,,,,,,,,,,,"Saint Louis University (Saint Louis University, VFL MS 059)",2025-02-11  5:42pm,lpc,2025-02-12  5:22pm,roseamcc,false,false,false,,false,"(42.8333,12.8333)"
284121,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10047,"","","","",,,"","Bible, imperfect (Bible); Bible (Bible)","",ca. 1225-1250]. (1200 to 1275),"","",Latin (In Latin),Parchment (parchment),"England, Great Britain, United Kingdom, Europe (England)","",0,,,,,,,,,,,,,,,,"Savage, John A., Jr. (Savage, John A., Jr., approximately 1832-1864); Saint Louis University (Saint Louis University, VFL MS 056)",2025-02-11  5:42pm,lpc,2025-02-12  5:26pm,roseamcc,false,false,false,,false,"(53.0,-2.0)"
284122,"",Saint Louis University Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10050,"","","","",,,"","Ferial psalter, single leaves (Ferial psalter); Bible (Bible)","",ca. 1490]. (1465 to 1515),"","",Latin (In Latin),"Parchment (parchment, ill.)","Italy, Europe (Italy)","",0,,,,,,,,,,,,,,,,"Fischmann, Gail (Fischmann, Gail); Fischmann, Milton (Fischmann, Milton, d. 1974); Saint Louis University (Saint Louis University, VFL MS 055)",2025-02-11  5:42pm,lpc,2025-02-12  5:26pm,roseamcc,false,false,false,,false,"(42.8333,12.8333)"
