subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label,structured_value,ds_qid
12th century,fast,a,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
12th century.,fast,a,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
1399-1485,fast,a,,1399-1485,http://id.worldcat.org/fast/1355517,Q4246
1399-1485.,fast,a,,1399-1485,http://id.worldcat.org/fast/1355517,Q4246
13th-15th centuries,fast,a,,Thirteenth century;Fourteenth century;Fifteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962,Q245;Q295;Q154
13th-15th centuries.,fast,a,,Thirteenth century;Fourteenth century;Fifteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962,Q245;Q295;Q154
13th century,fast,a,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
13th century.,fast,a,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
1442-1707,fast,a,,1442-1707,http://id.worldcat.org/fast/1355537,Q4272
1442-1707.,fast,a,,1442-1707,http://id.worldcat.org/fast/1355537,Q4272
14th century,fast,a,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
14th century.,fast,a,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
15th century,fast,a,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
15th century.,fast,a,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
1600-1868,fast,a,,1600-1868,http://id.worldcat.org/fast/1355642,Q12634
16th century,fast,a,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
16th century.,fast,a,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
17th century,fast,a,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
17th century.,fast,a,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
18th century,fast,a,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
18th century.,fast,a,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
600-1500,fast,a,,500-1500,http://id.worldcat.org/fast/1355938,Q4252
"Aachen, Hans von, 1552-1615",0,a;d,,"Aachen, Hans von, 1552-1615",http://id.worldcat.org/fast/260595,Q38556
"Abbaye aux Dames (Caen, France)--History--Sources",0,a--x--v,,"Abbaye aux Dames (Caen, France);History;Sources",http://id.worldcat.org/fast/582483;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,Q5474;Q6879;Q2769
Abbaye de Corbie,0,a,,Abbaye de Corbie,http://id.worldcat.org/fast/676843,Q38557
Abbaye de Fontfroide,0,a,,Abbaye de Fontfroide,http://id.worldcat.org/fast/1628589,Q38558
"Abbaye de Montier-en-Der (Montier-en-Der, France)",0,a,,"Abbaye de Montier-en-Der (Montier-en-Der, France)",http://id.worldcat.org/fast/768564,Q38559
"Abbaye Saint-André (Villeneuve-lès-Avignon, France)",0,a,,"Abbaye Saint-André (Villeneuve-lès-Avignon, France)",http://id.worldcat.org/fast/774515,Q38560
Abbazia di Morimondo,0,a,,Abbazia di Morimondo,http://id.worldcat.org/fast/690519,Q38561
Abbazia di Morimondo--Library--Catalogs,0,a--x--v,,Abbazia di Morimondo;Library catalogs;Catalogs,http://id.worldcat.org/fast/690519;http://id.worldcat.org/fast/997669;http://id.worldcat.org/fast/1423692,Q38561;Q38562;Q12586
"Abbazia di Santa Giustina (Padua, Italy)--Manuscripts--Early works to 1800",0,a--x--v,,"Abbazia di Santa Giustina (Padua, Italy);Manuscripts;Early works",http://id.worldcat.org/fast/544580;http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1411636,Q16303;Q331;Q300
