physical_description_as_recorded,split
"Binding: Bound in red velvet (s. XIX, as reported by De Ricci); edges of the book block have been dusted with red.|Figurative details, ff. 1-198v: Five full page miniatures on the versos of what appear to be inserted singletons, blank on the recto. 21 historiated initials. Passion cycle images throughout the Hours.|Other decoration, ff. 1-198v: Major initials, 5-line, in white-patterned blue against gold ground with infilling of blue, green and red flowers on a vine. 2-line initials in gold on pink ground with blue infilling, or vice versa, ground and infilling both white-patterned. 1-line initials, blue with red penwork, or gold with black. Line fillers in the litany in blue and gold jigsaw pattern. Rubrics in very pale red.|Script, ff. 1-198v: Gothic.","Binding: Bound in red velvet (s. XIX, as reported by De Ricci); edges of the book block have been dusted with red.|Figurative details, ff. 1-198v: Five full page miniatures on the versos of what appear to be inserted singletons, blank on the recto. 21 historiated initials. Passion cycle images throughout the Hours.|Other decoration, ff. 1-198v: Major initials, 5-line, in white-patterned blue against gold ground with infilling of blue, green and red flowers on a vine. 2-line initials in gold on pink ground with blue infilling, or vice versa, ground and infilling both white-patterned.|More decorations: 1-line initials, blue with red penwork, or gold with black. Line fillers in the litany in blue and gold jigsaw pattern. Rubrics in very pale red.|Script, ff. 1-198v: Gothic."
"Binding: Bound, s. XVI, in blind stamped leather over wooden boards, with 7 metal bosses (missing the one that would have been on the back cover, lower outer corner), and with one remaining central boss; formerly with two fore edge tabs closing to pins on the back cover.|Other decoration, ff. 1-421v: Pen decoration in red, blue and occasionally blue, pink and green. Initials in red, black or blue.|Script, ff. 1-421v: Gothic.|Music, ff. 1-421v: Red 4-line staves with square black notation; occasional added text and music in the margin using Hufnagelschrift notation.|Layout, ff. 1-421v: Parchment of less than optimal quality originally, and quite worn and repaired in later times. Quires mainly of 12 leaves, the first 6 numbered in the center of the last verso (ff. 10v, 23v, 34v, 46v, 70v); occasional catchwords cented in the lower margin of the last verso (eg. ff. 70v, 269v); early modern quire and leaf signatures with letters of the alphabet and a mixture of arabic and roman numerals for the leaf on all 37 quires: a-z, then Aa-Oo for another 13 quires. 36 or 37 long lines of script (when there is no music) or 12 lines of music (when there is no text), and combinations of these.","Binding: Bound, s. XVI, in blind stamped leather over wooden boards, with 7 metal bosses (missing the one that would have been on the back cover, lower outer corner), and with one remaining central boss; formerly with two fore edge tabs closing to pins on the back cover.|Other decoration, ff. 1-421v: Pen decoration in red, blue and occasionally blue, pink and green. Initials in red, black or blue.|Script, ff. 1-421v: Gothic.|Music, ff. 1-421v: Red 4-line staves with square black notation; occasional added text and music in the margin using Hufnagelschrift notation.|Layout, ff. 1-421v: Parchment of less than optimal quality originally, and quite worn and repaired in later times. Quires mainly of 12 leaves, the first 6 numbered in the center of the last verso (ff. 10v, 23v, 34v, 46v, 70v); occasional catchwords cented in the lower margin of the last verso (eg. ff. 70v, 269v);|More layout: early modern quire and leaf signatures with letters of the alphabet and a mixture of arabic and roman numerals for the leaf on all 37 quires: a-z, then Aa-Oo for another 13 quires. 36 or 37 long lines of script (when there is no music) or 12 lines of music (when there is no text), and combinations of these."
"Binding: Bound in leather by Gerhard Gerlach (stamp on inner back cover); edges of book block dusted with gold.|Figurative details, ff. 1-213v: Twenty full-page miniatures (not counting the full page coat of arms on f. 23v), on the versos of inserted singletons, blank on the rectos (except for f. 178, where the final lines of the text from the preceding inserted bifolium appear). Ten large miniatures. Fourteen historiated initials.|Other decoration, ff. 1-213v: Major initials, 6-, 7-, or 8-line, in white-patterned blue or red on a gold ground with infilling of blue, green and red flowers on a red or blue vine of opposite color to the initial. 4-line initials of the same style as the larger major initials appear below large miniatures in the Hours of the Virgin. 3-line initials in gold on white-patterned blue and pink grounds with blue and pink infilling. 1-line initials, blue with red penwork, or gold with black penwork. Line fillers in the litany in blue and gold jigsaw pattern. Rubrics in bright red.|Script, ff. 1-213v: Gothic.|Layout, ff. 1-213v: 1-2#^6#, 3#^8#(through f. 22), 4#^8#(+1,2,3,4, ff. 23-26), 5#^8#(+2, 4, 6, 8, 10, 12, 14: ff. 36, 38, 40, 42, 44, 46, 47; and -13 between ff. 46 and 47), 6#^8#(+1, 3, 5, 7, 9: ff. 49, 51, 53, 55, 57; through f. 61) 7-11#^8#(through f. 101), 12#^8#(-7), 13#^12#(through f. 120), 14#^8#(+1), 15#^6#(through f. 135), 16#^2#, 17#^8#(+1), 18#^8#(through f. 154), 19#^8#(+1), 20#^8# (-1 and +1, f. 164, the first leaf, appears to have been replaced), 21#^4#(through f. 175,) 22#^2#, 23#^8#(+1), 24#^8#(+5; through f. 195), 25#^8#(+3), 26#^6#(+7,8,9, ff. 211-213, flyleaves); ff. 1-2 and 211-213 are flyleaves.","Binding: Bound in leather by Gerhard Gerlach (stamp on inner back cover); edges of book block dusted with gold.|Figurative details, ff. 1-213v: Twenty full-page miniatures (not counting the full page coat of arms on f. 23v), on the versos of inserted singletons, blank on the rectos (except for f. 178, where the final lines of the text from the preceding inserted bifolium appear). Ten large miniatures. Fourteen historiated initials.|Other decoration, ff. 1-213v: Major initials, 6-, 7-, or 8-line, in white-patterned blue or red on a gold ground with infilling of blue, green and red flowers on a red or blue vine of opposite color to the initial. 4-line initials of the same style as the larger major initials appear below large miniatures in the Hours of the Virgin.|More decoration: 3-line initials in gold on white-patterned blue and pink grounds with blue and pink infilling. 1-line initials, blue with red penwork, or gold with black penwork. Line fillers in the litany in blue and gold jigsaw pattern. Rubrics in bright red.|Script, ff. 1-213v: Gothic.|Layout, ff. 1-213v: 1-2#^6#, 3#^8#(through f. 22), 4#^8#(+1,2,3,4, ff. 23-26), 5#^8#(+2, 4, 6, 8, 10, 12, 14: ff. 36, 38, 40, 42, 44, 46, 47; and -13 between ff. 46 and 47), 6#^8#(+1, 3, 5, 7, 9: ff. 49, 51, 53, 55, 57; through f. 61) 7-11#^8#(through f. 101), 12#^8#(-7), 13#^12#(through f. 120), 14#^8#(+1),|More layout: 15#^6#(through f. 135), 16#^2#, 17#^8#(+1), 18#^8#(through f. 154), 19#^8#(+1), 20#^8# (-1 and +1, f. 164, the first leaf, appears to have been replaced), 21#^4#(through f. 175,) 22#^2#, 23#^8#(+1), 24#^8#(+5; through f. 195), 25#^8#(+3), 26#^6#(+7,8,9, ff. 211-213, flyleaves); ff. 1-2 and 211-213 are flyleaves."
"Binding: Bound, s. XIX#^1# in sheepskin finished to look like morocco with gold tooling, retaining earlier sewing structure with alum tawed thongs.|Figurative details, ff. 1-70: Five full-page miniatures on the versos of inserted singletons, blank on the rectos.|Other decoration, ff. 1-70: Major initials, 5- or 6-line, white-patterned dark pink or blue on a ground of the opposite color outlined in gold, infilling of red and blue flowers; 4- or 5- line initials in gold on white-patterned dark pink and blue grounds with the same infilling; for the Hours of the Virgin, these initials are accompanied by a C-shaped text frame in thin gold and colored bars with sparse blank ink spray foliage and flowers at the corners; for the Obsecro te and O intemerata there are no frames but the initials themselves have additional decoration of foliage and flowers; 2-line initials in gold on white-patterned blue or pink grounds with opposite infilling; 1-line initials, blue with red penwork, or gold with black penwork. Line fillers in the litany in blue or red patterns. Rubrics in bright red.|Script, ff. 1-70: Gothic.|Layout, ff. 1-70: 1#^8#(-1, 2) 2#^8#(+1, 4, ff. 7, 10) 3#^10#(+4, f. 20; -10) 4#^6#(through f. 32) 5#^8# 6#^8#(+6, f. 46) 7#^8#(+8, f. 57) 8#^8# 9#^4#.","Binding: Bound, s. XIX#^1# in sheepskin finished to look like morocco with gold tooling, retaining earlier sewing structure with alum tawed thongs.|Figurative details, ff. 1-70: Five full-page miniatures on the versos of inserted singletons, blank on the rectos.|Other decoration, ff. 1-70: Major initials, 5- or 6-line, white-patterned dark pink or blue on a ground of the opposite color outlined in gold, infilling of red and blue flowers; 4- or 5- line initials in gold on white-patterned dark pink and blue grounds with the same infilling;|More decorations: for the Hours of the Virgin, these initials are accompanied by a C-shaped text frame in thin gold and colored bars with sparse blank ink spray foliage and flowers at the corners; for the Obsecro te and O intemerata there are no frames but the initials themselves have additional decoration of foliage and flowers;|More decorations: 2-line initials in gold on white-patterned blue or pink grounds with opposite infilling; 1-line initials, blue with red penwork, or gold with black penwork. Line fillers in the litany in blue or red patterns. Rubrics in bright red.|Script, ff. 1-70: Gothic.|Layout, ff. 1-70: 1#^8#(-1, 2) 2#^8#(+1, 4, ff. 7, 10) 3#^10#(+4, f. 20; -10) 4#^6#(through f. 32) 5#^8# 6#^8#(+6, f. 46) 7#^8#(+8, f. 57) 8#^8# 9#^4#."
"Binding: Bound s. XVIII in greenish parchment (as reported by De Ricci) over pasteboard.|Figurative details, ff. 1-392: Two full-page miniatures preceding the Canon of the Mass, in rectangular frames of gold and white-patterned pink and blue.|Other decoration, ff. 1-392: Major initials, 7- or 8-line (approximately the same size in the Canon), in white-patterned blue or red on opposite ground, with decoration in margin extending well above or below the letter; infilling of vine of same color as ground, with red leaves and grotesques and gold decorations. 2- or 3- line initials in blue with elaborate red penwork or red with pale blue, some with tails extending well below letter. 1-line initials in red or blue, or in the ink of the text infilled with red. Rubrics in red. The mass of Corpus Christi (ff. 218-221) has unique decorations: One major initial parti-colored in red and blue with a negatively produced fleur-de-lis, very elaborate penwork in red and purple with a grotesque and human face, and an infilling of negatively produced acanthus on a ground of red cross-hatching, with a purple grotesque at the center; various sized initials in red with purple penwork or blue with red, with a border pattern of alternating red and blue scrolls extending from the initials the length of the text block; on f. 218v three strapwork initials in the same ink as the text with red decoration, one with a human face.|Script, ff. 1-392: Gothic.|Layout, ff. 1-392: i#^4# ii#^4#(-1) 1#^6# (Calendar; through f. 6) 2-18#^12# 19#^12# (+8, 9, 10, 11; ff. 218-221 are two inserted bifolia) 20-28#^12# (through f. 334) 29#^6# 30-33#^12# 34#^4#.","Binding: Bound s. XVIII in greenish parchment (as reported by De Ricci) over pasteboard.|Figurative details, ff. 1-392: Two full-page miniatures preceding the Canon of the Mass, in rectangular frames of gold and white-patterned pink and blue.|Other decoration, ff. 1-392: Major initials, 7- or 8-line (approximately the same size in the Canon), in white-patterned blue or red on opposite ground, with decoration in margin extending well above or below the letter; infilling of vine of same color as ground, with red leaves and grotesques and gold decorations.|More decorations: 2- or 3- line initials in blue with elaborate red penwork or red with pale blue, some with tails extending well below letter. 1-line initials in red or blue, or in the ink of the text infilled with red. Rubrics in red. The mass of Corpus Christi (ff. 218-221) has unique decorations:|More decorations: One major initial parti-colored in red and blue with a negatively produced fleur-de-lis, very elaborate penwork in red and purple with a grotesque and human face, and an infilling of negatively produced acanthus on a ground of red cross-hatching, with a purple grotesque at the center;|More decorations: various sized initials in red with purple penwork or blue with red, with a border pattern of alternating red and blue scrolls extending from the initials the length of the text block; on f. 218v three strapwork initials in the same ink as the text with red decoration, one with a human face.|Script, ff. 1-392: Gothic.|Layout, ff. 1-392: i#^4# ii#^4#(-1) 1#^6# (Calendar; through f. 6) 2-18#^12# 19#^12# (+8, 9, 10, 11; ff. 218-221 are two inserted bifolia) 20-28#^12# (through f. 334) 29#^6# 30-33#^12# 34#^4#."
"Binding: Bound s. XVII in dark brown leather stamped with patterns of leaves in gold, clasps missing; edges of book block dusted with gold.|Figurative details, ff. 1-260v: Decoration in the general style of MaÃ®tre FranÃ§ois; the faces and backgrounds in many images are damaged or flaking. Twenty-three large miniatures in arched compartments, some with serrated tops, above three or four lines of script; the outer borders vary, many consist of multicolored acanthus, flowers and leaves and gold and black dots, either plain or divided by geometric or curvilinear painted gold grounds with multicolored flowers; some outer borders entirely divided into geometric sections of multicolored flowers or patterns on red, pink, blue or gold grounds. Twenty-nine small miniatures with borders on upper, lower and outer margins of black ink spray foliage with multicolored acanthus and flowers, sometimes divided by geometric or curvilinear painted gold grounds with multicolored flowers. One historiated initial. Small miniatures in Calendar of occupations and zodiac symbols.|Other decoration, ff. 1-260v: Major initials, 3- or 4-line, in white-patterened blue on a gold ground with infilling of blue and red leaves on a vine. One 3-line initial at f. 26, white patterned blue on a gold-patterned red ground. 2-line initials in gold with gold-patterned red and blue grounds and infilling; several of these initials contain pictures instead of abstract patterns. 1-line initials in gold with white-patterned red and blue ground and infilling. Some initials in text highlighted with yellow. Pages without miniatures have a border on the outer margin the length of the text block, like those of the small miniatures, but also with various fruits, vegetables and birds. Line-fillers in bars or curvilinear shapes of white-patterned red and blue, sometimes with gold dots or abstract shapes at the center. Rubrics in red.|Script, ff. 1-260v: Gothic.","Binding: Bound s. XVII in dark brown leather stamped with patterns of leaves in gold, clasps missing; edges of book block dusted with gold.|Figurative details, ff. 1-260v: Decoration in the general style of MaÃ®tre FranÃ§ois; the faces and backgrounds in many images are damaged or flaking. Twenty-three large miniatures in arched compartments, some with serrated tops, above three or four lines of script; the outer borders vary, many consist of multicolored acanthus, flowers and leaves and gold and black dots,|More figurative details: {twenty-three large miniatures} either plain or divided by geometric or curvilinear painted gold grounds with multicolored flowers; some outer borders entirely divided into geometric sections of multicolored flowers or patterns on red, pink, blue or gold grounds.|More figurative details: Twenty-nine small miniatures with borders on upper, lower and outer margins of black ink spray foliage with multicolored acanthus and flowers, sometimes divided by geometric or curvilinear painted gold grounds with multicolored flowers. One historiated initial. Small miniatures in Calendar of occupations and zodiac symbols.|Other decoration, ff. 1-260v: Major initials, 3- or 4-line, in white-patterened blue on a gold ground with infilling of blue and red leaves on a vine. One 3-line initial at f. 26, white patterned blue on a gold-patterned red ground. 2-line initials in gold with gold-patterned red and blue grounds and infilling; several of these initials contain pictures instead of abstract patterns.|More decorations: 1-line initials in gold with white-patterned red and blue ground and infilling. Some initials in text highlighted with yellow. Pages without miniatures have a border on the outer margin the length of the text block, like those of the small miniatures, but also with various fruits, vegetables and birds.|More decorations: Line-fillers in bars or curvilinear shapes of white-patterned red and blue, sometimes with gold dots or abstract shapes at the center. Rubrics in red.|Script, ff. 1-260v: Gothic."
"Binding: Bound in nineteenth-century Italian calf gilt, spine title-labels in red and green morocco including initials â€˜CCâ€™, red marbled endleaves, gilt edges; in a blue cloth case.|Figurative details, ff. 1-281: 52 historiated initials, mostly 6 lines high, with lush leafy marginal extensions and gold bezants, mostly showing saints or simplified biblical scenes on fols. 8r (two initials, with full border of coloured and gold petals on hairline stems and with a historiated cartouche in lower margin), 17r, 23r, 80r, 84r, 89r, 96r, 107r, 123r, 127r, 138r, 141v, 148v, 171v (two), 172v, 173r, 176r, 179r, 181r, 182v, 184v, 187v, 190r, 192v, 193v, 196v, 197r, 198r, 200v, 202r, 204r, 206r, 207v, 209r, 210r, 212r, 213r, 214r, 217r, 217v, 218v, 221r, 224r, 226r, 231r, 235v, 237r, 240r, 242v and 265v; a stained rectangle (105 mm. by 91 mm.) above the opening of the Canon on fol. 120r where a miniature has once been pasted and now removed.|Other decoration, ff. 1-281: One- and 2-line initials throughout in burnished gold with delicate and elegant penwork in blue or purple.|Script, ff. 1-281: Gothic Textura.|Music, ff. 1-281: Music on a 3-line red staves.|Layout, ff. 1-281: Collation: i#^8# [i and viii blank, foliation omits first leaf ], iiâ€“xii#^10#, xiii#^10# [apparently of 10+1, a single-sheet Canon miniature now lacking after fol. 122], xivâ€“xxvi#^10#, xxvii#^9# [of 10, x canceled and replaced in the fifteenth century with what are now fols. 266â€“81], xxviii#^6#, xxix#^8#, with horizontal catchwords, some within decorative penwork cartouches or radiating penwork; pencil foliation (followed here) repeats â€˜83â€™; 2 columns, ruled apparently in ink, 30 lines, each column 120 mm. by 40 mm. with 9 mm. between columns; written in dark brown and red in two sizes of a rounded gothic textura.","Binding: Bound in nineteenth-century Italian calf gilt, spine title-labels in red and green morocco including initials â€˜CCâ€™, red marbled endleaves, gilt edges; in a blue cloth case.|Figurative details, ff. 1-281: 52 historiated initials, mostly 6 lines high, with lush leafy marginal extensions and gold bezants, mostly showing saints or simplified biblical scenes on fols. 8r (two initials, with full border of coloured and gold petals on hairline stems and with a historiated cartouche in lower margin), 17r, 23r, 80r, 84r, 89r, 96r, 107r, 123r, 127r, 138r, 141v, 148v, |More figurative details: 171v (two), 172v, 173r, 176r, 179r, 181r, 182v, 184v, 187v, 190r, 192v, 193v, 196v, 197r, 198r, 200v, 202r, 204r, 206r, 207v, 209r, 210r, 212r, 213r, 214r, 217r, 217v, 218v, 221r, 224r, 226r, 231r, 235v, 237r, 240r, 242v and 265v; a stained rectangle (105 mm. by 91 mm.) above the opening of the Canon on fol. 120r where a miniature has once been pasted and now removed.|Other decoration, ff. 1-281: One- and 2-line initials throughout in burnished gold with delicate and elegant penwork in blue or purple.|Script, ff. 1-281: Gothic Textura.|Music, ff. 1-281: Music on a 3-line red staves.|Layout, ff. 1-281: Collation: i#^8# [i and viii blank, foliation omits first leaf ], iiâ€“xii#^10#, xiii#^10# [apparently of 10+1, a single-sheet Canon miniature now lacking after fol. 122], xivâ€“xxvi#^10#, xxvii#^9# [of 10, x canceled and replaced in the fifteenth century with what are now fols. 266â€“81], xxviii#^6#, xxix#^8#, with horizontal catchwords,|More layout: {catchwords}some within decorative penwork cartouches or radiating penwork; pencil foliation (followed here) repeats â€˜83â€™; 2 columns, ruled apparently in ink, 30 lines, each column 120 mm. by 40 mm. with 9 mm. between columns; written in dark brown and red in two sizes of a rounded gothic textura."
"Binding: Bound in seventeenth- or eighteenth-century vellum over pasteboards, paper pastedowns, spine title in manuscript Psalterium Vaticanum in a grey cloth case.|Other decoration, ff. 1-108: Capitals touched in red, 2-line initials throughout in red, a few other colours added (e.g., on fols. 71r, 73v and 80r); eight large decorated initials (fol. 10r, Domine in virtute, psalm 20; fol. 17r, Gaudere iusti, for Exsultate iusti, psalm 32; fol. 27r, Deus noster refugium, psalm 45; fol. 34v, Deus repulisti, psalm 59; fol. 44r, Ut quid, psalm 73; fol. 53r, Inclina, psalm 85; fol. 60v, Domine exaudi, psalm 101; and fol. 69v, Dicit for Dixit, psalm 109), mostly 6 lines high in elaborate spiralling leafy and petal designs in ink infilled with colours, sometimes with dragon or lion heads.|Script, ff. 1-108: Beneventan.|Layout, ff. 1-108: Ruled apparently in plummet, 24 lines (fols. 73â€“ 74 and most leaves from fol. 96 onwards with 26 lines), written-space 180 mm. by 93 mm., text beginning above top line.","Binding: Bound in seventeenth- or eighteenth-century vellum over pasteboards, paper pastedowns, spine title in manuscript Psalterium Vaticanum in a grey cloth case.|Other decoration, ff. 1-108: Capitals touched in red, 2-line initials throughout in red, a few other colours added (e.g., on fols. 71r, 73v and 80r); eight large decorated initials (fol. 10r, Domine in virtute, psalm 20; fol. 17r, Gaudere iusti, for Exsultate iusti, psalm 32; fol. 27r, Deus noster refugium, psalm 45; fol. 34v, Deus repulisti, psalm 59; fol. 44r,|More decorations: {decorated initials} Ut quid, psalm 73; fol. 53r, Inclina, psalm 85; fol. 60v, Domine exaudi, psalm 101; and fol. 69v, Dicit for Dixit, psalm 109), mostly 6 lines high in elaborate spiralling leafy and petal designs in ink infilled with colours, sometimes with dragon or lion heads.|Script, ff. 1-108: Beneventan.|Layout, ff. 1-108: Ruled apparently in plummet, 24 lines (fols. 73â€“ 74 and most leaves from fol. 96 onwards with 26 lines), written-space 180 mm. by 93 mm., text beginning above top line."
"Binding: Bound in massive wooden boards sewn on 7 double thongs, covered with leather, large metal fittings on sides and clusters of large pegs in thickness of all outer edges, stubs of 4 clasps and straps from the fore-edge and upper and lower edges of upper cover with corresponding pins on the lower cover; spine bare; many soft leather markers knotted together and suspended loosely between the pages.|Figurative details, ff.1r-.220v: 17 large historiated initials, showing the Entry into Jerusalem (fol. 1v), the Agony in the Garden (fol. 23v), the Crucifixion (fol. 41r), the sealing of the Tomb of Christ and placing three sentries to guard it (fol. 54v), the Resurrection (fol. 67v), the risen Christ appearing to the apostles (fol. 113v), Christ blessing (fol. 117v), David playing a psaltery (fol. 119v), the Ascension (fol. 126r), Christ blessing in Heaven, between four angels (fol. 133r), Pentecost (fol.143v), Christ blessing (fol. 150v), the apostles preaching in tongues (fol. 154r), the Annunciation (fol. 167r), Saint Peter Martyr, attended by Dominicans, reattaching the severed leg of the young man who had kicked his mother and had cut off his own leg in remorse (fol. 187v), Saint Helen and the Cross (fol. 199v), and the mocking of Christ, illustrating the Crown of Thorns (fol. 207v).|Other decoration, ff.1r-.220v: Rubrics in red, capitals touched in red, small initials in red or blue with penwork in the contrasting color; large and small painted initials throughout in lush floral designs on delicately decorated panels, some very large.|Number of scribes, ff.1r-.220v: one.|Script, ff.1r-.220v: Liturgical textualis.|Music, ff.1r-.220v: Music in black neumes on 4-line red staves.|Layout, ff.1r-.220v: Collation: iâ€“xviii#^8#, xixâ€“xx#^10#, xxiâ€“xxvi#^8#, xxvii#^4+4# [once of 4, last originally blank,with 2 bifolia inserted probably in the late seventeenth century between iii and ivâ€”now fols. 216â€“19â€”with the text now continuing through to fol. 220r], with horizontal catchwords (that on fol. 79v within a cartouche shaped like a fish) and a few traces of leaf signatures; ruled in faint plummet, 6 lines of text alternating with 6 of music, written-space 380 mm. by 260 mm.","Binding: Bound in massive wooden boards sewn on 7 double thongs, covered with leather, large metal fittings on sides and clusters of large pegs in thickness of all outer edges, stubs of 4 clasps and straps from the fore-edge and upper and lower edges of upper cover with corresponding pins on the lower cover; spine bare;|More on binding: many soft leather markers knotted together and suspended loosely between the pages.|Figurative details, ff.1r-.220v: 17 large historiated initials, showing the Entry into Jerusalem (fol. 1v), the Agony in the Garden (fol. 23v), the Crucifixion (fol. 41r), the sealing of the Tomb of Christ and placing three sentries to guard it (fol. 54v), the Resurrection (fol. 67v), the risen Christ appearing to the apostles (fol. 113v), Christ blessing (fol. 117v),|More figurative details: { historiated initials} David playing a psaltery (fol. 119v), the Ascension (fol. 126r), Christ blessing in Heaven, between four angels (fol. 133r), Pentecost (fol.143v), Christ blessing (fol. 150v), the apostles preaching in tongues (fol. 154r), the Annunciation (fol. 167r),|More figurative details: {historiated initials}Saint Peter Martyr, attended by Dominicans, reattaching the severed leg of the young man who had kicked his mother and had cut off his own leg in remorse (fol. 187v), Saint Helen and the Cross (fol. 199v), and the mocking of Christ, illustrating the Crown of Thorns (fol. 207v).|Other decoration, ff.1r-.220v: Rubrics in red, capitals touched in red, small initials in red or blue with penwork in the contrasting color; large and small painted initials throughout in lush floral designs on delicately decorated panels, some very large.|Number of scribes, ff.1r-.220v: one.|Script, ff.1r-.220v: Liturgical textualis.|Music, ff.1r-.220v: Music in black neumes on 4-line red staves.|Layout, ff.1r-.220v: Collation: iâ€“xviii#^8#, xixâ€“xx#^10#, xxiâ€“xxvi#^8#, xxvii#^4+4# [once of 4, last originally blank,with 2 bifolia inserted probably in the late seventeenth century between iii and ivâ€”now fols. 216â€“19â€”with the text now continuing through to fol. 220r],|More on layout: with horizontal catchwords (that on fol. 79v within a cartouche shaped like a fish) and a few traces of leaf signatures; ruled in faint plummet, 6 lines of text alternating with 6 of music, written-space 380 mm. by 260 mm."
"Binding: Bound in old burgundy velvet over pasteboards, one metal clasp (of two), gilt edges; in a fawn cloth case.|Figurative details, ff. 1-213v: 19 miniatures with full borders, showing Saint John on Patmos (fol. 13r, Gospel sequence), Saint Luke (fol. 15r, Gospel sequence), Saint Mark (fol. 17r, Gospel sequence, here called â€˜Matthewâ€™ in the rubric), Saint Matthew (fol. 19r, Gospel sequence, here called â€˜Markâ€™ in the rubric), the PietÃ  (fol. 21r, Passion Sequence), the Annunciation (fol. 33r, Matins), the Visitation (fol. 54r, Lauds), the Nativity (fol. 67v, Prime), the Annunciation to the Shepherds (fol. 73r, Terce), the Magi (fol. 78v, Sext), the Presentation in the Temple (fol. 83v, None), the Flight into Egypt (fol. 88v, Vespers), the Coronation of the Virgin (fol. 97r, Compline), God enthroned, angels on each side, one with a chalice, one with the Commandments (fol. 111r, Penitential Psalms), the Crucifixion (fol. 131r, Hours of the Cross), Pentecost (fol. 138v, Hours of the Holy Ghost), a funeral in a chapel (fol. 145r, Office of the Dead), a laywoman kneeling before the Virgin and Child, commended by a female saint, probably Saint Katherine (fol. 196r, Quinze Joyes), and Saint Katherine (fol. 206r, suffrage).|Other decoration, ff. 1-213v: headings in red, illuminated initials and line-fillers throughout; every text page with a three-quarter illuminated border, by more than one hand.|Script, ff. 1-213v: Liturgical textura.|Layout, ff. 1-213v: Collation: i#^12#, ii#^8#, iii#^4#, ivâ€“xiii#^8#,xiv#^6#, xvâ€“xvii#^8#, xviii#^10#, xixâ€“xxv#^8#, xxvi#^7# [of 8, lacking iii, after fol. 203], xxvii#^6#, with one catchword (fol. 200v); ruled in red ink, 14 lines, written-space 82 mm. by 51 mm.","Binding: Bound in old burgundy velvet over pasteboards, one metal clasp (of two), gilt edges; in a fawn cloth case.|Figurative details, ff. 1-213v: 19 miniatures with full borders, showing Saint John on Patmos (fol. 13r, Gospel sequence), Saint Luke (fol. 15r, Gospel sequence), Saint Mark (fol. 17r, Gospel sequence, here called â€˜Matthewâ€™ in the rubric), Saint Matthew (fol. 19r, Gospel sequence, here called â€˜Markâ€™ in the rubric), the PietÃ  (fol. 21r, Passion Sequence),|More figurative details: the Annunciation (fol. 33r, Matins), the Visitation (fol. 54r, Lauds), the Nativity (fol. 67v, Prime), the Annunciation to the Shepherds (fol. 73r, Terce), the Magi (fol. 78v, Sext), the Presentation in the Temple (fol. 83v, None), the Flight into Egypt (fol. 88v, Vespers), the Coronation of the Virgin (fol. 97r, Compline), God enthroned, angels on each side,|More figurative details: {miniature of God with angels} one with a chalice, one with the Commandments (fol. 111r, Penitential Psalms), the Crucifixion (fol. 131r, Hours of the Cross), Pentecost (fol. 138v, Hours of the Holy Ghost), a funeral in a chapel (fol. 145r, Office of the Dead),|More figurative details: {miniatures} a laywoman kneeling before the Virgin and Child, commended by a female saint, probably Saint Katherine (fol. 196r, Quinze Joyes), and Saint Katherine (fol. 206r, suffrage).|Other decoration, ff. 1-213v: headings in red, illuminated initials and line-fillers throughout; every text page with a three-quarter illuminated border, by more than one hand.|Script, ff. 1-213v: Liturgical textura.|Layout, ff. 1-213v: Collation: i#^12#, ii#^8#, iii#^4#, ivâ€“xiii#^8#,xiv#^6#, xvâ€“xvii#^8#, xviii#^10#, xixâ€“xxv#^8#, xxvi#^7# [of 8, lacking iii, after fol. 203], xxvii#^6#, with one catchword (fol. 200v); ruled in red ink, 14 lines, written-space 82 mm. by 51 mm."
