note_as_recorded,split
"ff. 1-138v: Latin.|ff. 1-138v: Contains: ff. 1-12v, calendar with Petronius in red on 4 October; ff. 13-74v, Hours of the Virgin ""secundum consuetudinem Romane curie"" ending with the changed office at matins for weekly and yearly differences; ff 75-113v, Office of the Dead, use of Rome, beginning and ending defectively; ff. 114-133, Penitential psalms (beginning defectively) and litany, including Petronius as the 8th of 8 bishops and confessors; ff. 133-136, Short Office of the Cross; ff. 136-138v, Short Office of the Holy Spirit.","ff. 1-138v: Latin.|ff. 1-138v: Contains: ff. 1-12v, calendar with Petronius in red on 4 October; ff. 13-74v, Hours of the Virgin ""secundum consuetudinem Romane curie"" ending with the changed office at matins for weekly and yearly differences; ff 75-113v, Office of the Dead, use of Rome, beginning and ending defectively;|ff. 114-133, Penitential psalms (beginning defectively) and litany, including Petronius as the 8th of 8 bishops and confessors; ff. 133-136, Short Office of the Cross; ff. 136-138v, Short Office of the Holy Spirit."
"Bibliography: De Ricci p. 1286, number 13. Gania Barlow, ""Protestant Martyrs added to a Book of Hours in English Ownership,"" Notes and Queries 256 (=n.s. 58) n. 2 (June 2011) 208-210.|ff. 1-198v: Latin.|ff. 1-195v; ff. 196-198v, notes: ff. 2-13v: Calendar, including partially cropped entires in later hand (s. XVI#^2#) for the deaths of Protestant martyrs Thomas Cranmer (21 March), and Hugh Latimer and Nicholas Ridley (16 October); ff. 14v-22v: Fifteen Oes of St. Brigit; ff. 23-68v: Hours of the Virgin; ff. 68v-87: Prayers to the Virgin, including Obsecro te and O intemerata (masculine forms); ff. 87-95v: Prayers to Christ; ff. 96-115: Penitential psalms, gradual psalms and litany; ff. 116v-144: Office of the Dead; ff. 145v-161v: Commendations of souls; ff. 162-164: Psalms of the Passion; ff. 164-182v: Psalter of St. Jerome; ff. 183-195: a second set of suffrages. Addded: ff. 196-197, prayers for the dead; ff. 197v-198, prayers in English for the days of the week.","Bibliography: De Ricci p. 1286, number 13. Gania Barlow, ""Protestant Martyrs added to a Book of Hours in English Ownership,"" Notes and Queries 256 (=n.s. 58) n. 2 (June 2011) 208-210.|ff. 1-198v: Latin.|ff. 1-195v; ff. 196-198v, notes: ff. 2-13v: Calendar, including partially cropped entires in later hand (s. XVI#^2#) for the deaths of Protestant martyrs Thomas Cranmer (21 March), and Hugh Latimer and Nicholas Ridley (16 October); ff. 14v-22v: Fifteen Oes of St. Brigit; ff. 23-68v: Hours of the Virgin; ff. 68v-87: Prayers to the Virgin, including Obsecro te and O intemerata (masculine forms);|ff. 87-95v: Prayers to Christ; ff. 96-115: Penitential psalms, gradual psalms and litany; ff. 116v-144: Office of the Dead; ff. 145v-161v: Commendations of souls; ff. 162-164: Psalms of the Passion; ff. 164-182v: Psalter of St. Jerome; ff. 183-195: a second set of suffrages. Addded: ff. 196-197, prayers for the dead; ff. 197v-198, prayers in English for the days of the week."
"Manuscript note: Parchment is damaged along folds.|1 item: 1 large capital, pen and ink. Rubric says ""Clemens Pp. XII"". There is a note in the lower lefthand corner by a second scribe, signed Felix and stamped, summarizing the content of the document and linking it to the papal register, folio 262. Dating clause locates it at Santa Maria Maggiore in Rome.|1 item: Latin.|1 item: This document was issued ""sub annulo piscatorio"" but there is no sign of a seal ever having been attached. It is signed by Cardinal Oliverius. It is a renewal of an older privilege. The recipient does not appear to be named in the document, but his name appears on the reverse side of the document in the hand of the scribe who wrote the document. Christophorus de Almeida was bishop of Perga in Pamphylia Secunda (in present-day Turkey) from 1735 until his death in 1760. See Hierarchia Catholica medii et recentioris aevi vol. 6 (Padua 1958) p. 333 fn. 2 for biographical information.|Explicit, 1 item: Circumspecta Romani Pontificis gratiarum dispensatoris providentia eas consuevit personas precipue favoribus et gratiis prosequi.|Explicit, 1 item: Pope Clement XII concedes jurisdiction and revenues up to 1000 gold ducats from a set of benefices and churches to Christophoro de Almeida, bishop of Perga.","Manuscript note: Parchment is damaged along folds.|1 item: 1 large capital, pen and ink. Rubric says ""Clemens Pp. XII"". There is a note in the lower lefthand corner by a second scribe, signed Felix and stamped, summarizing the content of the document and linking it to the papal register, folio 262. Dating clause locates it at Santa Maria Maggiore in Rome.|1 item: Latin.|1 item: This document was issued ""sub annulo piscatorio"" but there is no sign of a seal ever having been attached. It is signed by Cardinal Oliverius. It is a renewal of an older privilege. The recipient does not appear to be named in the document, but his name appears on the reverse side of the document in the hand of the scribe who wrote the document.|Christophorus de Almeida was bishop of Perga in Pamphylia Secunda (in present-day Turkey) from 1735 until his death in 1760. See Hierarchia Catholica medii et recentioris aevi vol. 6 (Padua 1958) p. 333 fn. 2 for biographical information.|Explicit, 1 item: Circumspecta Romani Pontificis gratiarum dispensatoris providentia eas consuevit personas precipue favoribus et gratiis prosequi.|Explicit, 1 item: Pope Clement XII concedes jurisdiction and revenues up to 1000 gold ducats from a set of benefices and churches to Christophoro de Almeida, bishop of Perga."
"ff. 1v-98r: Latin.|ff. 1r-4v: f. 1r is blank except for random notes, names, and sums. The text begins by stating that the book was made for the church of St. Peter of Mantua; f. 1v, Annual calendar for memorial masses for particular individuals; ff. 2r-4r, Prefaces to martyrologies; f. 4v, Instructions on use of martyrology. The prefaces are: 1. Epistola Cromatii et Cliadori episcoporum ad Jeronimum 2. Responsio Jeronimi ad eosdem super eosdem 3. Prephatio que in pluribus libris ascribitur Bede super opere martilogii 4. Episola Usuardi monachi ad Karolum regem super opere martilogii All found in S.J.P. Van Dijk, ed. Sources of the Modern Roman Liturgy vol. 1, p. 182, Leiden, 1963, and in Henry Martin and Frantz Funck-Brentano Catalogue des Manuscrits de la Bibiot̬que de l'Arsenal vol. 2, p. 259, 1069 (37 H.L).|Explicit, ff. 1r-4v: Notandum quod licet multi dederunt operam ad conpilandum martilogium tamen tres fuerunt maioris auctoritatis qui opus huius tradiderunt.|ff. 5r-98r: f. 98v is blank except for miscellaneous notes and figures.|Incipit, ff. 5r-98r: Presbiter Iohannes de bononia scripsit: mcccciiii.|Explicit, ff. 5r-98r: Octava nativitatis domini nostri iesu christi et circumcisio eiusdem.","ff. 1v-98r: Latin.|ff. 1r-4v: f. 1r is blank except for random notes, names, and sums. The text begins by stating that the book was made for the church of St. Peter of Mantua; f. 1v, Annual calendar for memorial masses for particular individuals; ff. 2r-4r, Prefaces to martyrologies; f. 4v, Instructions on use of martyrology.|The prefaces are: 1. Epistola Cromatii et Cliadori episcoporum ad Jeronimum 2. Responsio Jeronimi ad eosdem super eosdem 3. Prephatio que in pluribus libris ascribitur Bede super opere martilogii 4. Episola Usuardi monachi ad Karolum regem super opere martilogii|All found in S.J.P. Van Dijk, ed. Sources of the Modern Roman Liturgy vol. 1, p. 182, Leiden, 1963, and in Henry Martin and Frantz Funck-Brentano Catalogue des Manuscrits de la Bibiot̬que de l'Arsenal vol. 2, p. 259, 1069 (37 H.L).|Explicit, ff. 1r-4v: Notandum quod licet multi dederunt operam ad conpilandum martilogium tamen tres fuerunt maioris auctoritatis qui opus huius tradiderunt.|ff. 5r-98r: f. 98v is blank except for miscellaneous notes and figures.|Incipit, ff. 5r-98r: Presbiter Iohannes de bononia scripsit: mcccciiii.|Explicit, ff. 5r-98r: Octava nativitatis domini nostri iesu christi et circumcisio eiusdem."
"Manuscript note: The binding is quite possibly a remboitage, since the leaves were trimmed certainly at least on the fore edge to make them small enough to fit the binding; where there was already additional text in the margins that would have been guillotined in the trimming, the solution was to leave large tabs containing the marginal texts, and to fold these tabs inwards, so that the fore edge of the book was uniform.|Bibliography: Not listed in either de Ricci or in Bond and Faye.|ff. 1-421v: Stubs after ff. 28v, 92v, 158v (but no text missing?). Marginal notation throughout in many later hands.|ff. 1-421v: Latin.|ff. 1-421v: ff. 1-209 Temporale from the first Sunday of Advent through the 25th Sunday after Pentecost. On ff. 176-183, office of Corpus Christi (instituted by Urban IV in 1264), here with nine lessons copied out in full: Hic incipit officium de corpore christi quod constituit celebrari urbanus quartus papa scilicet feria quinta post trinitatem ab omnibus fidelibus. Si quis vero devote celebraverit aut interfuit in primis vesperis aut matutinis misse et secundis vesperis 100 dies indulgencie obtinebit a dicto papa in qualibet hora et in qualibet horarum aliarum 40 et post octabam cotidie 100 dies. ff. 209-358 Sanctorale from the vigil of Andrew through Catherine of Alexandria; includes the feasts of Theodolus ""presul noster""(16 August) on ff. 302-305v, Hermes martyr (28 August), Maurice and the Theban Legion (22 September) on ff. 324v-329v, Gallus confessor (16 October) on ff. 334v-338, Hymerius confessor (12 November). ff. 358-364 Dedication of a church. ff. 364-390v Common of Saints. ff. 390v-393v Changed services of the BVM. ff. 393v-402 Ten original and four later settings of Venite exultemus. ff. 402-405v Added at a later date, Translation of Nicholas of Bari (9 May). ff. 405v-408 Added at a later date: Eleven Thousand Virgins. ff. 408-413v Conception of the BVM. ff. 414-421v Visition of the BVM.","Manuscript note: The binding is quite possibly a remboitage, since the leaves were trimmed certainly at least on the fore edge to make them small enough to fit the binding;|More on manuscript note: where there was already additional text in the margins that would have been guillotined in the trimming, the solution was to leave large tabs containing the marginal texts, and to fold these tabs inwards, so that the fore edge of the book was uniform.|Bibliography: Not listed in either de Ricci or in Bond and Faye.|ff. 1-421v: Stubs after ff. 28v, 92v, 158v (but no text missing?). Marginal notation throughout in many later hands.|ff. 1-421v: Latin.|ff. 1-421v: ff. 1-209 Temporale from the first Sunday of Advent through the 25th Sunday after Pentecost. On ff. 176-183, office of Corpus Christi (instituted by Urban IV in 1264), here with nine lessons copied out in full: Hic incipit officium de corpore christi quod constituit celebrari urbanus quartus papa scilicet feria quinta post trinitatem ab omnibus fidelibus.| {Office of Corpus Christi} Si quis vero devote celebraverit aut interfuit in primis vesperis aut matutinis misse et secundis vesperis 100 dies indulgencie obtinebit a dicto papa in qualibet hora et in qualibet horarum aliarum 40 et post octabam cotidie 100 dies. ff. 209-358 Sanctorale from the vigil of Andrew through Catherine of Alexandria;|More on notes: includes the feasts of Theodolus ""presul noster""(16 August) on ff. 302-305v, Hermes martyr (28 August), Maurice and the Theban Legion (22 September) on ff. 324v-329v, Gallus confessor (16 October) on ff. 334v-338, Hymerius confessor (12 November). ff. 358-364 Dedication of a church. ff. 364-390v Common of Saints. ff. 390v-393v|Changed services of the BVM. ff. 393v-402 Ten original and four later settings of Venite exultemus. ff. 402-405v Added at a later date, Translation of Nicholas of Bari (9 May). ff. 405v-408 Added at a later date: Eleven Thousand Virgins. ff. 408-413v Conception of the BVM. ff. 414-421v Visition of the BVM."
"1 item: This document was written by a notary, Franciscus Coscolla. His notarial sign appears at the foot of the document along with the signatures of three other people. The document is sealed on the support and the seal is covered with paper.|1 item: Latin.|1 item: The main text of this document was written in Latin by the notary Franciscus Coscolla and his notarial sign appears at the bottom of it. The main text is dated May 6, 1551, and includes the names of two witnesses, Melchiore Mazenta and Lazaro de Yarze, merchants of Valenza. Below the main text appear the signatures of three people (presumably ""the undersigned"" mentioned in the docket), all dated in June and all written in Italian. The first name is Girolamo Sanson, the second is Giovan Antonio but his family name is heavily abbreviated, and the third is illegible.|Explicit, 1 item: Laurentius de Bartholis makes the undersigned his factor in Florence.","1 item: This document was written by a notary, Franciscus Coscolla. His notarial sign appears at the foot of the document along with the signatures of three other people. The document is sealed on the support and the seal is covered with paper.|1 item: Latin.|1 item: The main text of this document was written in Latin by the notary Franciscus Coscolla and his notarial sign appears at the bottom of it. The main text is dated May 6, 1551, and includes the names of two witnesses, Melchiore Mazenta and Lazaro de Yarze, merchants of Valenza.|Below the main text appear the signatures of three people (presumably ""the undersigned"" mentioned in the docket), all dated in June and all written in Italian. The first name is Girolamo Sanson, the second is Giovan Antonio but his family name is heavily abbreviated, and the third is illegible.|Explicit, 1 item: Laurentius de Bartholis makes the undersigned his factor in Florence."
"Bibliography: Historical Manuscripts Commission, 10th Report, Appendix, Part IV: The manuscripts of the Earl of Westmorland, Captain Stewart, Lord Stafford, Lord Muncaster, and others, (1885), pp. 346-347; De Ricci, p. 1286, number 12 where it is said to be bound in the original wooden boards and stamped calf.|ff. 1-213v: A supplement (BX 2080 A2 1450b Suppl.) contains a letter from Niels H. Sonne to the Reverend David Green at General Theological Seminary, dated 3 January 1986, including a photocopy of the Historical Manuscripts Commission report. The letter also describes a past query about GTS's acquisition of the manuscript, the reproduction of several of its illuminations for Christmas cards and for a library booklet, and Mr. Sonne's possession of slides of many of the illuminations.|ff. 1-213v: Latin.|ff. 1-210v; ff. 211-213, added; f. 213v blank: ff. 1-2 are blank flyleaves; ff. 3-14v: Calendar: the qualifier ""pape"" has been erased throughout, as have the entries for the octave, feast and translation of Thomas of Canterbury (5 January, 7 July, 29 December); ff. 15-22 : Prayers and suffrages; f. 23 blank; f. 23v: Full page coat of arms, possibly of the Barons Lovell; f. 24: Added prayer; ff. 24v-56v: Suffrages and prayers, including apparently inserted suffrage of Walter of Bierbeek; f. 57 blank; ff. 57v-98v: Hours of the Virgin; ff. 98v-109v: Prayers to the Virgin, including the O intemerata and the Obsecro te (masculine forms); ff. 110-120: Prayers to Christ; f. 121 blank; ff. 121v-135v: Changed Hours of the Virgin: Incipit officium beate marie virginis quod dicitur per totum adventum ff. 136-137v: Psalms 109-111; f. 138 blank; ff.138v-154v: Penitential psalms, gradual psalms (cues only for the first 12) and litany; f. 155 blank; ff. 155v-175v: Office of the Dead, Sarum use; ff. 176-178: The Athanasian Creed; ff. 178v-190v: Commendations of Souls; f. 191 blank; ff. 191v-196: Psalms of the Passion; ff. 196v-210: Psalter of Saint Jerome. Added, on ff. 211-213: Birth and death announcements of the Bustarde family of Adderbury village, near Oxford, beginning with the notice: here folowyth the day of the ages of all the chyldren of Anthony Bustarde and Jane Bustarde hys wife wich were married the 18 day of January Anno Domini 1540 in the yere of the reign of King Henry the eight the 31; followed by twelve birth notices and the death notice of Jane Bustarde.","Bibliography: Historical Manuscripts Commission, 10th Report, Appendix, Part IV: The manuscripts of the Earl of Westmorland, Captain Stewart, Lord Stafford, Lord Muncaster, and others, (1885), pp. 346-347; De Ricci, p. 1286, number 12 where it is said to be bound in the original wooden boards and stamped calf.|ff. 1-213v: A supplement (BX 2080 A2 1450b Suppl.) contains a letter from Niels H. Sonne to the Reverend David Green at General Theological Seminary, dated 3 January 1986, including a photocopy of the Historical Manuscripts Commission report.|The letter also describes a past query about GTS's acquisition of the manuscript, the reproduction of several of its illuminations for Christmas cards and for a library booklet, and Mr. Sonne's possession of slides of many of the illuminations.|ff. 1-213v: Latin.|ff. 1-210v; ff. 211-213, added; f. 213v blank: ff. 1-2 are blank flyleaves; ff. 3-14v: Calendar: the qualifier ""pape"" has been erased throughout, as have the entries for the octave, feast and translation of Thomas of Canterbury (5 January, 7 July, 29 December); ff. 15-22 : Prayers and suffrages; f. 23 blank; f. 23v: Full page coat of arms, possibly of the Barons Lovell; f. 24: Added prayer;|ff. 24v-56v: Suffrages and prayers, including apparently inserted suffrage of Walter of Bierbeek; f. 57 blank; ff. 57v-98v: Hours of the Virgin; ff. 98v-109v: Prayers to the Virgin, including the O intemerata and the Obsecro te (masculine forms); ff. 110-120: Prayers to Christ; f. 121 blank;|ff. 121v-135v: Changed Hours of the Virgin: Incipit officium beate marie virginis quod dicitur per totum adventum ff. 136-137v: Psalms 109-111; f. 138 blank; ff.138v-154v: Penitential psalms, gradual psalms (cues only for the first 12) and litany; f. 155 blank; ff. 155v-175v: Office of the Dead, Sarum use; ff. 176-178: The Athanasian Creed; ff. 178v-190v: Commendations of Souls; f. 191 blank;|ff. 191v-196: Psalms of the Passion; ff. 196v-210: Psalter of Saint Jerome. Added, on ff. 211-213: Birth and death announcements of the Bustarde family of Adderbury village, near Oxford, beginning with the notice: here folowyth the day of the ages of all the chyldren of Anthony Bustarde and Jane Bustarde hys wife wich were married the 18 day of January Anno Domini 1540|{second part of notice of Bustarde family} in the yere of the reign of King Henry the eight the 31; followed by twelve birth notices and the death notice of Jane Bustarde."
"pp. 1-358: Signed by the scribe on pp. 1 and 355.|pp. 1-358: Latin.|pp. 1-355: pp. i-iv: hymns and antiphons; pp. v-vi ruled but blank; pp. 1-190: Temporale, from Saturday before the first Sunday of Advent through the twenty-fourth Sunday after Pentecost; at the top of p 1: Ex libris Iodoci Grebel, lucerne, Scripsit me, Anno 1617; pp. 191-282: Sanctorale; p. 283 blank; pp. 284-325: Common of Saints; pp. 326-330: Psalms, written in different script but apparently still by Iodocus Grebel; pp 331-347: Hymns; pp. 348-352: settings for Benedicamus domino; p. 353: de confessoribus, Te lucis ante terminm [sic]. . .; p. 354: Antiphon, pro fidelibus defunctis; p. 355: Prayers: Pater noster...; Salutatio Angelica, Angelus Domini nuntiavit Maria..., with the Ave Maria; p. 355: Colophon: Scripsit me, Iodocus grebel, anno 1617; pp. 356-358 blank; followed by a half parchment flyleaf and parchment pastedown in a cursive script, s. XVI, in German.","pp. 1-358: Signed by the scribe on pp. 1 and 355.|pp. 1-358: Latin.|pp. 1-355: pp. i-iv: hymns and antiphons; pp. v-vi ruled but blank; pp. 1-190: Temporale, from Saturday before the first Sunday of Advent through the twenty-fourth Sunday after Pentecost; at the top of p 1: Ex libris Iodoci Grebel, lucerne, Scripsit me, Anno 1617; pp. 191-282: Sanctorale; p. 283 blank; pp. 284-325: Common of Saints;|pp. 326-330: Psalms, written in different script but apparently still by Iodocus Grebel; pp 331-347: Hymns; pp. 348-352: settings for Benedicamus domino; p. 353: de confessoribus, Te lucis ante terminm [sic]. . .; p. 354: Antiphon, pro fidelibus defunctis; p. 355: Prayers: Pater noster...; Salutatio Angelica, Angelus Domini nuntiavit Maria..., with the Ave Maria;|p. 355: Colophon: Scripsit me, Iodocus grebel, anno 1617; pp. 356-358 blank; followed by a half parchment flyleaf and parchment pastedown in a cursive script, s. XVI, in German."
"Bibliography: de Ricci, p. 1286, n. 10.|ff. 1-392: Latin.|ff. 1-392v: ff. i-viii: Flyleaves with added texts in various hands; ff. 1-6v: Graded calendar, with major feasts in red and entries added in later hands; ff. 7-131v: Temporale from first Sunday in Advent through Easter eve and prefaces; ff. 132v-133: Two full page miniatures; f. 133v, a note pasted onto the blank leaf with what appears to be a prayer to the Holy Trinity; ff. 134-138: Canon of the Mass; ff. 138-217v: Temporale from Easter Sunday through 27th Sunday after Pentecost; ff. 218-221: Mass for Corpus Christi; ff. 222-269: Sanctorale from Stephen protomartyr (26 December) through Thomas apostle (21 December); ff. 269-300: Dedication of a church; music for the Common of Saints; text for the Common of Saints; ff. 300-313: Votive Masses; ff. 313-314: benedictions; ff. 315-390v: Unidentified music for the Temporale from Epiphany(?) through the Saturday after Pentecost; ff. 391-392v: Added in later hands are: f. 391, collect, secret and post-communion for Louis (of Toulouse?) confessor and bishop; f. 391-392, mass for Corpus Christi; f. 392, pieces of a mass for Julianus (of Le Mans?) confessor and bishop; f. 392v, prayers(?); three other unidentified short texts; final paper flyleaf with same watermark as f. i. Beginning on f. 7, the leaves are foliated on the upper margin in a later hand (s. XV/XVI(?)), with a system of letters and roman numerals, generally in groups of thirty leaves per letter, with some errors; the foliation is sometimes partially or completely cropped but seems to continue through to the end of the manuscript, with the exception of the Canon of the Mass. At a few points another system of foliation appears in another hand, apparently canceled at the time the above system was used (e.g. ff. 273 and 275); this earlier system uses continuous roman numerals, although it is ten leaves off from the modern foliation. 2 columns of 33 lines, with the Canon of the Mass in 2 columns of 23 lines (ff. 134-137). Slits in the margin apparently for tabs appear, generally in the center of the outer margin. Ruled in blue ink.","Bibliography: de Ricci, p. 1286, n. 10.|ff. 1-392: Latin.|ff. 1-392v: ff. i-viii: Flyleaves with added texts in various hands; ff. 1-6v: Graded calendar, with major feasts in red and entries added in later hands; ff. 7-131v: Temporale from first Sunday in Advent through Easter eve and prefaces; ff. 132v-133: Two full page miniatures; f. 133v, a note pasted onto the blank leaf with what appears to be a prayer to the Holy Trinity;|ff. 134-138: Canon of the Mass; ff. 138-217v: Temporale from Easter Sunday through 27th Sunday after Pentecost; ff. 218-221: Mass for Corpus Christi; ff. 222-269: Sanctorale from Stephen protomartyr (26 December) through Thomas apostle (21 December); ff. 269-300: Dedication of a church; music for the Common of Saints; text for the Common of Saints; ff. 300-313: Votive Masses;|ff. 313-314: benedictions; ff. 315-390v: Unidentified music for the Temporale from Epiphany(?) through the Saturday after Pentecost; ff. 391-392v: Added in later hands are: f. 391, collect, secret and post-communion for Louis (of Toulouse?) confessor and bishop; f. 391-392, mass for Corpus Christi; f. 392, pieces of a mass for Julianus (of Le Mans?) confessor and bishop;|f. 392v, prayers(?); three other unidentified short texts; final paper flyleaf with same watermark as f. i. Beginning on f. 7, the leaves are foliated on the upper margin in a later hand (s. XV/XVI(?)), with a system of letters and roman numerals, generally in groups of thirty leaves per letter, with some errors;|the foliation is sometimes partially or completely cropped but seems to continue through to the end of the manuscript, with the exception of the Canon of the Mass. At a few points another system of foliation appears in another hand, apparently canceled at the time the above system was used (e.g. ff. 273 and 275);|this earlier system uses continuous roman numerals, although it is ten leaves off from the modern foliation. 2 columns of 33 lines, with the Canon of the Mass in 2 columns of 23 lines (ff. 134-137). Slits in the margin apparently for tabs appear, generally in the center of the outer margin. Ruled in blue ink."
"ff. 1-260v: Latin.|ff. 1-260v: f. i: Added in a later hand (s.. XVI): Je petit livre apartien a madame [erasure]; ff. 1-12v: Calendar in French; ff. 13-13v blank; ff. 14-21v: Pericopes of the Gospels; ff. 22-40v: Prayers to the Virgin, including Obsecro te and O intemerata with masculine forms; ff. 41-52v: Passion according to John; ff. 54-125: Hours of the Virgin; ff. 125v-126 blank; ff. 127-145v: Penitential Psalms and litany; ff. 146-149v: Short Hours of the Cross; ff. 150-153v: Short Hours of the Holy Spirit; ff. 154-203v: Office of the Dead, use of Paris; ff. 204-260: Prayers and sufferages.","ff. 1-260v: Latin.|ff. 1-260v: f. i: Added in a later hand (s.. XVI): Je petit livre apartien a madame [erasure]; ff. 1-12v: Calendar in French; ff. 13-13v blank; ff. 14-21v: Pericopes of the Gospels; ff. 22-40v: Prayers to the Virgin, including Obsecro te and O intemerata with masculine forms; ff. 41-52v: Passion according to John; ff. 54-125: Hours of the Virgin; ff. 125v-126 blank;|ff. 127-145v: Penitential Psalms and litany; ff. 146-149v: Short Hours of the Cross; ff. 150-153v: Short Hours of the Holy Spirit; ff. 154-203v: Office of the Dead, use of Paris; ff. 204-260: Prayers and sufferages."
