material_as_recorded,authorized_label,structured_value
[],undetermined,http://vocab.getty.edu/aat/300379012
"[""""]","",""
"[""27 watercolor and fabric collages""]","",""
"[""Chancery 2° paper""]","",""
"[""Ostrakon""]","",""
"[""hand col.""]","",""
"[""ill.""]","",""
"[""on cloth""]","",""
"[""original sketches, watercolor & pencil. text typed, ms. changes pasted in.""]","",""
"[""paper""]",paper,http://vocab.getty.edu/aat/300014109
"[""paper, color illustrations""]",paper,http://vocab.getty.edu/aat/300014109
"[""paper, illustrations""]",paper,http://vocab.getty.edu/aat/300014109
"[""papyrus""]","",""
"[""parchment""]",parchment,http://vocab.getty.edu/aat/300011851
"[""parchment, ill""]","",""
"[""parchment, illustration""]","",""
"[""parchment, illustrations""]",parchment,http://vocab.getty.edu/aat/300011851
"[""parchment, illustrations, maps""]","",""
"[""parchment, paper""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
