genre_as_recorded,vocabulary,source_authority_uri,authorized_label,structured_value
Account books--19th century,aat,"","",""
Account books--New Jersey--Mount Ida--19th century,aat,"","",""
Account books--New Jersey--Princeton--19th century,lcsh,"","",""
Anthropomorphic initials,rbgenr,"","",""
Antiphonaries (Service books),lcgft,"",Antiphonaries (Service books),http://id.worldcat.org/fast/1920004
Autographs (Provenance),rbprov,"","",""
Biographies,fast,"",Biographies,http://id.worldcat.org/fast/1919896
Blind tooled bindings (Binding),rbbin,"","",""
Boards (Binding),rbbin,"","",""
Books of hours--France--15th century,aat,"","",""
Books of hours--France--Troyes--15th century,aat,"","",""
Bosses (Binding),rbbin,"","",""
Bosses (Binding)--20th century,rbbin,"","",""
Breviaries--Italy--14th century,aat,"","",""
Calf bindings (Binding),rbbin,"","",""
Calf bindings (Binding)--France--18th century,rbbin,"","",""
Centerpiece and cornerpiece bindings (Binding),rbbin,"","",""
Certificates,rbgenr,"","",""
Church music--Greece,lcsh,"","",""
Clasps (Binding),rbbin,"","",""
Clippings,rbgenr,"","",""
Cloth bindings (Binding),rbbin,"","",""
Colored papers (Paper),rbpap,"","",""
Commonplace books--19th century,aat,"","",""
Commonplace books--Italy--19th century,aat,"","",""
Commonplace books--Virginia--19th century,aat,"","",""
Correspondence--19th century,viaf,"","",""
Correspondence--20th century,aat,"","",""
Correspondence--England--19th century,aat,"","",""
"Criticism, interpretation, etc",fast,"","Criticism, interpretation, etc.",http://id.worldcat.org/fast/1411635
Deeds--Italy--16th century,aat,"","",""
Devotional calendars,aat,"",devotional calendars,http://vocab.getty.edu/aat/300026750
Devotional literature,lcgft,"",Devotional literature,http://id.worldcat.org/fast/892015
Diaries,lcgft,"","",""
Diaries--1847,aat,"","",""
Diaries--19th century,aat,"","",""
Diaries--New Jersey--Princeton--19th century,aat,"","",""
Dictionaries,lcgft,"",Dictionaries,http://id.worldcat.org/fast/1423826
Diplomas--Italy--Rome--18th century,aat,"","",""
Drama,lcgft,"",Drama,http://id.worldcat.org/fast/1423879
Drawings--20th century,aat,"","",""
Early works,fast,"",Early works,http://id.worldcat.org/fast/1411636
Facsimiles,lcgft,"",Facsimiles,http://id.worldcat.org/fast/1411642
Fiction,lcgft,"",Fiction,http://id.worldcat.org/fast/1423787
Fiction--19th century,aat,"","",""
Floriated initials--France--15th century,local,"","",""
Folitated initials--France--Troyes--15th century,local,"","",""
"Formulas, recipes, etc",aat,"","",""
Gilt edges (Binding),rbbin,"","",""
Gold tooled bindings (Binding),rbbin,"","",""
Headbands (Binding),rbbin,"","",""
Headpieces (layout features)--Turkey--Istanbul--19th century,aat,"","",""
Historiated initials--France--13th century,aat,"","",""
Historiated initials--Italy--14th century,aat,"","",""
Historiated initials--Italy--16th century,aat,"","",""
Hymns,lcgft,"",Hymns,http://id.worldcat.org/fast/1423701
Illuminated manuscript--Italy--Rome--18th century,aat,"","",""
