place_as_recorded,authorized_label,structured_value
"",undetermined,http://vocab.getty.edu/tgn/7544559
1608-1849,"",""
1849-1850,"",""
1968-1970,"",""
"Ashybuen, Ancrum, Roxburghshire",Ancrum;Roxburghshire,http://vocab.getty.edu/tgn/1050378;http://vocab.getty.edu/tgn/7448522
Athēnēsin,Athens,http://vocab.getty.edu/tgn/7001393
Austria,Austria,http://vocab.getty.edu/tgn/1000062
"Bologna, Italy",Bologna;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080
"Burgos?, Spain",Burgos;Spain,http://vocab.getty.edu/tgn/7007510;http://vocab.getty.edu/tgn/1000095
China,China,http://vocab.getty.edu/tgn/1000111
Copenhagen,"",""
Dimashq,Damascus,http://vocab.getty.edu/tgn/7002261
England,England,http://vocab.getty.edu/tgn/7002445
Ethiopia,Ethiopia,http://vocab.getty.edu/tgn/7000489
"Florence, Italy",Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080
"Florence, Italy?",Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080
France,France,http://vocab.getty.edu/tgn/1000070
France or Italy,France;Italy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1000080
"Genoa, Italy",Genoa;Italy,http://vocab.getty.edu/tgn/7008546;http://vocab.getty.edu/tgn/1000080
Germany,Germany,http://vocab.getty.edu/tgn/7000084
Istanbul,Istanbul,http://vocab.getty.edu/tgn/7002473
Italy,Italy,http://vocab.getty.edu/tgn/1000080
Korea,Korea,http://vocab.getty.edu/tgn/7059230
"Lincolnshire, England",Lincolnshire;England,http://vocab.getty.edu/tgn/7008157;http://vocab.getty.edu/tgn/7002445
"Lingholme, Keswick",Keswick,http://vocab.getty.edu/tgn/7010161
"Lisbon, Portugal",Lisbon;Portugal,http://vocab.getty.edu/tgn/7010978;http://vocab.getty.edu/tgn/1000090
"Morimondo, Italy",Morimondo;Italy,http://vocab.getty.edu/tgn/4007527;http://vocab.getty.edu/tgn/1000080
Moscow,"",""
Netherlands,Netherlands,http://vocab.getty.edu/tgn/7016845
Northwest Germany,"",""
Philippines,"",""
"Picady, France",Picardy;France,http://vocab.getty.edu/tgn/7002890;http://vocab.getty.edu/tgn/1000070
"Piombino?, Italy",Piombino;Italy,http://vocab.getty.edu/tgn/7006194;http://vocab.getty.edu/tgn/1000080
Place not identified,"",""
"Portland, Oregon","",""
"Princeton, N.J.","",""
"Princeton, N.J.?","",""
Spain,Spain,http://vocab.getty.edu/tgn/1000095
Spain or Italy,Spain;Italy,http://vocab.getty.edu/tgn/1000095;http://vocab.getty.edu/tgn/1000080
"St. Albans, England",England,http://vocab.getty.edu/tgn/7002445
"St. Albans?, England",England,http://vocab.getty.edu/tgn/7002445
"Suffolk, England",Suffolk;England,http://vocab.getty.edu/tgn/7008185;http://vocab.getty.edu/tgn/7002445
Turkey,Turkey,http://vocab.getty.edu/tgn/1000144
"Venice, Italy",Venice;Italy,http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/1000080
ca. 1700,"",""
circa 1830,"",""
n.p,"",""
