item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131965053,"New York, New York, New York Academy of Medicine, MS 01",manuscript containing De re culinaria,DS11402,New York Academy of Medicine,MS 01
http://www.wikidata.org/entity/Q131965055,"New York, New York, New York Academy of Medicine, MS 02",manuscript containing Medicationis parabole,DS11403,New York Academy of Medicine,MS 02
http://www.wikidata.org/entity/Q131965058,"New York, New York, New York Academy of Medicine, MS 03",manuscript containing De impressionibus; De primarum qualitatum arcanis et effectibus; Notanda ex canonibus,DS11404,New York Academy of Medicine,MS 03
http://www.wikidata.org/entity/Q131965061,"New York, New York, New York Academy of Medicine, MS 04",manuscript containing De arte cognoscendi venena; De balneis Sancti Cassiani et aliis; Chirurgia; De epidemia et peste; De natura balneorum; De balneis viterbiensibus; De lapide Begaar; De venenis; La ciroxia vulgarmente fata,DS11405,New York Academy of Medicine,MS 04
http://www.wikidata.org/entity/Q131965063,"New York, New York, New York Academy of Medicine, MS 05",manuscript containing De medicinis simplicibus,DS11406,New York Academy of Medicine,MS 05
http://www.wikidata.org/entity/Q131965065,"New York, New York, New York Academy of Medicine, MS 06",manuscript containing De motu cordis; De sensu communi; De ortu scientiarum; De beneficiis; De mineralibus; De ente et essentia; De aeternitate mundi; De potentiis animae; De laudabilibus bonis,DS11407,New York Academy of Medicine,MS 06
http://www.wikidata.org/entity/Q131965069,"New York, New York, New York Academy of Medicine, MS 07",manuscript containing Aphorismi,DS11408,New York Academy of Medicine,MS 07
http://www.wikidata.org/entity/Q131965047,"New York, New York, New York Academy of Medicine, MS 08",manuscript containing,DS11409,New York Academy of Medicine,MS 08
http://www.wikidata.org/entity/Q131965070,"New York, New York, New York Academy of Medicine, MS 09",manuscript containing De urinis; Recepte; Commentary on Avicenna's Canon; De venenis,DS11410,New York Academy of Medicine,MS 09
http://www.wikidata.org/entity/Q131965072,"New York, New York, New York Academy of Medicine, MS 10",manuscript containing Canon,DS11411,New York Academy of Medicine,MS 10
http://www.wikidata.org/entity/Q131965074,"New York, New York, New York Academy of Medicine, MS 11",manuscript containing De viribus herbarum,DS11412,New York Academy of Medicine,MS 11
http://www.wikidata.org/entity/Q131965077,"New York, New York, New York Academy of Medicine, MS 12",manuscript containing Great Surgery,DS11413,New York Academy of Medicine,MS 12
http://www.wikidata.org/entity/Q131965050,"New York, New York, New York Academy of Medicine, MS 13",manuscript containing Book of Operacioun; Lanterne of fisiciens and of surgeons; Circa instans,DS11414,New York Academy of Medicine,MS 13
http://www.wikidata.org/entity/Q131965051,"New York, New York, New York Academy of Medicine, MS 14",manuscript containing,DS11415,New York Academy of Medicine,MS 14
http://www.wikidata.org/entity/Q131965080,"New York, New York, New York Academy of Medicine, MS 15",manuscript containing Operationes Ihesu Christi; Lignum vitae; Collationes de decem praeceptis,DS11416,New York Academy of Medicine,MS 15
http://www.wikidata.org/entity/Q131965081,"New York, New York, New York Academy of Medicine, MS 16",manuscript containing Quod nemo laeditur nisi a semetipso,DS11417,New York Academy of Medicine,MS 16
http://www.wikidata.org/entity/Q131965083,"New York, New York, New York Academy of Medicine, MS 17",manuscript containing De morbo gallico,DS11418,New York Academy of Medicine,MS 17
http://www.wikidata.org/entity/Q131965067,"New York, New York, New York Academy of Medicine, MS 18",manuscript containing Chirurgia; Trotula: De curis mulierum; Bamberg Surgery; Epistula de phlebotomia; De passionibus mulierum; Liber minor de coitu; De spermate; Gynaecia; Non omnes quidem,DS11419,New York Academy of Medicine,MS 18
