name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"(Berg 1968, pp. 259–60, no. 58",scribe,,,,,
"cf. A. C. de la Mare in Canova 1999a, pp. 252–53, no. 97, and de la Mare and Nuvoloni 2009, pp 144–45, no. 20.",artist,,,,,
cf. especially his figs. 123–24),scribe,,,,,
 or worskshop of,artist,,,,,
 the convent catalogue entry describes the volume as having been made by the sisters.,scribe,,,,,
Acquired before February 1992 and probably in library for many decades.,former owner,,,,,
"Cover of a binding, illegible on what was the outer side.",former owner,,,,,
"Earlier (pre-1956?) call number: C[abinet] 28, F[older] 3.",former owner,,,,,
"Entered the library between 1877 and 1900 as suggested by the hyphenated form of the city name in the library stamp on f. 1 as ""The College of the City of New-York.""",former owner,,,,,
Katharienconvent,scribe,,,,,
"Maria, Russian slave",other,,,,,
One,scribe,,,,,
Purchased ca. 2000 from a book dealer.,former owner,,,,,
"Second artist of the Hours of Cecilia Gonzaga, New York, Morgan Library M 454 (Alexander c. 2010, pp. 65–66).",artist,,,,,
Similar to the scribe of the Hours of Étienne Chevalier,scribe,,,,,
Survived as part of a binding?; probably in library for many decades.,former owner,,,,,
"The Hungerford Hours was illuminated by the same artist as a Psalter at Schloss Herdringen in Germany, MS 8 (Sandler 1986, p. 89, no. 81).",artist,,,,,
The ms. has a contemporary inscription: Iste libellus est fratris thomassurii.,former owner,,,,,
Written in France in the fourth quarter of the fifteenth century. The ownership portrait on f. 29 and the feminine forms in several prayers indicate that the book was made for a woman.,former owner,,,,,
Written in Spain in the sixteenth century. A typed description of unknown origin attached to front pastedown suggests that the manuscript was written by an Italian scribe about 1500.,former owner,,,,,
