ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified
,,,digital-scriptorium,Q1079140,"Indiana University, Bloomington",Poole 32,"",,Germany?,"","s. IX(in), 800-815",800-815,http://vocab.getty.edu/aat/300404501,false,,"","",Homiliae in Evangelia|Homilies on the Gospels,"","",,"",,"","",,"","",,"","",,"","","The ducal library of Arenberg, Brussels, probably acquired by Duc Engelbert-Auguste d'Arenberg (1824-1875); one of two leaves sold by the tenth duke, Engelbert-Charles d'Arenberg (1899-1974), Hauswedell, Hamburg, Auktion 52-53, April 1953, lot 7a; bought in February 1954 by George A. Poole from W.H. Schab, New York dealer, and acquired by the Lilly Library with the Poole Collection in 1958.","",,"",parchment,Extent: One leaf; 216 x 145 mm.,"",2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q1079140,"Indiana University, Bloomington",Ricketts 177,"",,"Germany, Rhineland","","s. IX(in), 800-815",800-815,http://vocab.getty.edu/aat/300404501,false,,"","",Historia Ecclesiastica Gentis Anglorum,"","",,"",,"","",,"","",,"","",,"","","Sir Thomas Phillips (1792-1872), part of his MS 22254; bought by Tregaskis at the Phillips sale, Sotheby's, 25 April 1911, lot 391; Tregaskis cat. 706 (1911), no. 17, and cat. 720 (1912), no 36; bought by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.","",,"",parchment,"Extent: One fragment, upper half of a leaf; 151 x 197 mm.","",2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q1079140,"Indiana University, Bloomington",Ricketts 157,"",,"Germany, Rhineland, upper","","s. IX#^2/4#, 825-850",825-850,http://vocab.getty.edu/aat/300404501,false,,"","",Excerpta ex operibus Sancti Augustini|Quod unigentius dei filius propter formam servi minor patri dicatur qui informa dei aequalis est patri ex eodem de trinitate libro primo titulo viii.|Florigelium,"","",,"",,"","",,"","",,"","",,"","","C. L. Ricketts (bought in 1925 from Joseph Baer & Co., Frankfurt), and acquired by the Lilly Library with the Ricketts Collection in 1961.","",,"",parchment,Extent: Fragment; 177 x 287 mm.,"",2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q1079140,"Indiana University, Bloomington",Poole 27,"",,"England, Worcestershire|Germany, Bavaria|Germany","","s. XIX#^2/4#, 1825-1850|s. IX#^2/4#, 825-850|s. IX/X, 890-910|s. IX/X, 890-910",1825-1850|825-850|890-910|890-910,http://vocab.getty.edu/aat/300404513|http://vocab.getty.edu/aat/300404501|http://vocab.getty.edu/aat/300404501-http://vocab.getty.edu/aat/300404502,true,,"","","Legenda S. Martini episcopi Et S. Bricii Turonensii Episcopi|Life of Saint Martin|Saint's Life|Letter to Eusebius|Epistle|Letter to Aurelius|Epistle|Letter to Bassula|Epistle|Dialogi|Historia Francorum extracts|History|De Virtutibus S. Martini|Book I, 4,5,6|Saint's Life|Historia Francorum extract:Life of Saint Brictius of Tours|History|Tituli Metrici de S.o Martino or Sylloge Epigraphica Turonensis de Sancto Martino|Verses about Saint Martin|De Trinitate|Formata ut conmendata|Letters of introduction|Office of Saint Emmeram|Liturgical Office","","",,"",,"","",,|||,"",,|||,"",,"","","St Emmeram, Regensburg, a Benedictine monastery founded in 739 and suppressed in 1802; Sir Thomas Phillips (1792-1872), his MS 6924, bought from the London bookseller Thomas Thorpe, c.1832; Messrs. W.H. Robinson, who bought the residue of the Phillips library in 1945-46; sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.","",,"",paper|parchment,Extent: Pastedown; 211 x 156 mm. Extent: ff.1-130v; 211 x 156 mm. Extent: ff. 130v-132r; 211 x 156 mm. Extent: f. 132v; 211 x 156 mm.,"",2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q1079140,"Indiana University, Bloomington",Poole 30,"",,France,"","s. IX#^2/4#, 825-850|s. IX#^2/4#, 825-850",825-850|825-850,http://vocab.getty.edu/aat/300404501,false,,"","","De origine rerum|Rabanus de origine rerum|Bible, Tours|Bible, Tours","","",,"",,"","",,|,"",,|,"",,"","","The abbey of Saint Maximin in Treir (founded c. 500, supressed 1802); Fritz Rörig (1882-1952), of Berlin, bought in Keil (where he taught 1923-35); bought from his widow in 1953 by H.P. Kraus and sold by him in January 1954 to George A. Poole; acquired by the Lilly Library with the Poole Collection in 1958.","",,"",parchment,Extent: Fragment A r-v; 401 x 270 mm. Extent: Fragment B r-v; 326 x 367 mm.,"",2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q1079140,"Indiana University, Bloomington",Poole 133,"",,Italy,"","s. IV, 300-399",300-399,http://vocab.getty.edu/aat/300404496,false,,"","",Inscription|Inscription,"","",,"",,"","",,"","",,"","",,"","","Found and acquired probably in the region of Rome by George N. Olcott (1869-1912), American classicist in Rome; given by his widow to the American Academy in Rome by 1927; sold by the Academy through B. l. Ullman to George A. Poole in 1951, and acquired by the Lilly Library with the Poole Collection in 1958.","",,"",stone,Extent: 1 item; 220 x 323 mm.,"",2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q1079140,"Indiana University, Bloomington",Poole 82,"",,France,"","s. IX(med), 840-860",840-860,http://vocab.getty.edu/aat/300404501,false,,"","",Compendium in Cantica canticorum|Commentary,"","",,"",,"","",,"","",,"","",,"","","The Abbey of St-Vaast in Arras; Sir Thomas Phillips (1792-1872), part of his MS 22229; from the collection of specimen leaves formed by Messrs. W.H. Robinson, who bought the residue of the Phillips Library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.","",,"",parchment,Extent: One leaf; 248 x 171 mm.,"",2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q1079140,"Indiana University, Bloomington",Poole 38,"",,"Italy, Lombardy or Savoy","","s. IX/X, 890-910",890-910,http://vocab.getty.edu/aat/300404501-http://vocab.getty.edu/aat/300404502,false,,"","",Homilarium|Homilia Bede in fest Annunciationis|Homily,"","",,"",,"","",,"","",,"","",,"","","The Cistercian abbey of Hautecombe, diocese of Geneva, suppressed in 1792; acquired in or after 1796 by Giacinto della Torre, P.S.A. (1747-1814), canon and later archbishop of Turin 1805-14, who gave it to the biblioteca del Semainario metropolitano, Turin, the library was dispersed c. 1954; the present two leaves were bought by George A. Poole in 1954 from C.A. Stonehill; acquired by the Lilly Library with the Poole Collection in 1958.","",,"",parchment,Extent: ff. 1-2; 293 x 228 mm.,"",2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q1079140,"Indiana University, Bloomington",Poole 41,"",,England,"","s. X(ex), 985-999",985-999,http://vocab.getty.edu/aat/300404502,false,,"","",Massbook,"","",,"",,"","",,"","",,"","",,"","","Guglielmo Libri (1802-1869); his sale, Sotheby's, 28 March 1859, part of lot 1111 (""Fragmenta Vetusta"" with Poole MS 40); Sir Thomas Phillips (1972-1872); from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, acquired by the Lilly Library with the Poole Collection in 1958.","",,"",parchment,Extent: One leaf; 280 x 175 mm.,"",2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q1079140,"Indiana University, Bloomington",Poole 40,"",,England,"","s. XI#^1/4#, 1000-1025",1000-1025,http://vocab.getty.edu/aat/300404503,false,,"","",Lives of the Saints|III. KLS. Augusti. Passio|Saints lives,"","",,"",,"","",,"","",,"","",,"","","Guglielmo Libri (1802-1869); his sale, Sotheby's, 28 March 1859, part of lot 1111 (""Fragmenta Vetusta ...some of the smallest fragments being also in the Anglo-Saxon language"", with Poole MS 41); Sir Thomas Phillipps (1792-1872), not obviously from his MS 22229 (the reference given by Ker); from the collection of specimen leaves formed by Messrs. W.H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.","",,"",parchment,Extent: One fragment; 282 x 82 mm.,"",2022-02-08T17:47:33-05:00,2021-10-01
