name_as_recorded,role,name_agr,source_authority_uri,authorized_label,instance_of,structured_value
"Carson, Hampton L. (Hampton Lawrence), 1852-1929",former owner,,,Hampton L. Carson,human,Q19974462
Catholic Church,author,,,Catholic Church,organization,Q9592
Catholic Church,author,,http://viaf.org/viaf/130782063,Catholic Church,organization,Q9592
Cecco d'Ascoli,author,,,Cecco d'Ascoli,human,Q728592
"Chetwode, John, Sir, 1764-1845",former owner.,,,"Sir John Chetwode, 4th Baronet",human,Q11800745
Christine de Pizan,author,,,Christine de Pizan,human,Q234816
Christoph Hegendorf,author,,,Christoph Hegendorff,human,Q75977
Cicero,author,,,Cicero,human,Q1541
"Cicero, Marcus Tullius",author.,,,Cicero,human,Q1541
"Cicero, Marcus Tullius.",author,,https://viaf.org/viaf/78769600,Cicero,human,Q1541
"Clark, Clarence H. (Clarence Howard), 1833-1906",former owner,,,"Clarence Howard Clark, Sr.",human,Q5126591
Claudianus Osbern of Gloucester,author,,,Osbern of Gloucester,human,Q680829
"Cockerell, Sidney C.",former owner,,,Sydney Cockerell,human,Q966843
"Cockerell, Sydney Carlyle, Sir, 1867-1962",former owner,,,Sydney Cockerell,human,Q966843
Coluccio Salutati,author,,,Coluccio Salutati,human,Q93113
"Conant, Samuel",former owner,,,S. S. Conant,human,Q110226047
Constantine the African,author,,,Constantine the African,human,Q468641
Cornelius Nepos,author,,,Cornelius Nepos,human,Q109594
"Court, Benoît de",former owner.,,,Benoît Le Court,human,Q106904178
"Courthope, George, Sir, 1616-1685",author.,,,George Courthope,human,Q5538158
"Cyprian, Saint, Bishop of Carthage",author,,http://viaf.org/viaf/100179090,Cyprian,human,Q190240
Daniele Barbaro,author,,,Daniele Barbaro,human,Q378870
Dante Alighieri,author,,,Dante Alighieri,human,Q1067
"Dioscorides Pedanius, of Anazarbos",author,ديسقوريدس,,Pedanius Dioscorides,human,Q297776
"Dysart, Lionel Tollemache, Earl of, 1708-1770",former owner.,,,"Lionel Tollemache, 4th Earl of Dysart",human,Q6555815
Edmund of Abingdon,author,,,Edmund of Abingdon,human,Q1235967
"Edmund, earl of Lancaster",author,,,Edmund Crouchback,human,Q447802
"Ess, Leander van 1772-1847",former owner,,,Johann Heinrich van Ess,human,Q1810643
"Ess, Leander van, 1772-1847",former owner,,,Johann Heinrich van Ess,human,Q1810643
Euclid,author,,,Euclid,human,Q8747
Euclid (Euclides),author,,,Euclid,human,Q8747
Eugippius,author,,,Eugippius,human,Q738491
Eusebius of Cremona,author,,,Eusebius of Cremona,human,Q24013788
Evrard de Béthune,author,,,Eberhard of Béthune,human,Q5331803
Fazio degli Uberti,author,,,Fazio of Uberti,human,Q1399161
"Feltrinelli, Giannalisa",former owner.,,,Giannalisa Feltrinelli,human,Q95750251
"Fenwick, Thomas Fitzroy Phillipps, 1856-1938",former owner,,,Thomas FitzRoy Phillipps Fenwick,human,Q75889469
Firdawsī,author,,,Ferdowsi,human,Q43459
"Fiske, Willard, 1831-1904",former owner.,,,Willard Fiske,human,Q2047315
Francesco Malacarne,author,,,Francesco Malacarne,human,Q65953117
Francesco Petrarca,author,,,Petrarch,human,Q1401
Francisco de Pisa,author,,,Francisco de Pisa,human,Q3816939
"Fugger, Marcus, 1529-1597",former owner.,,,Markus Fugger,human,Q115254
Gaṅgārāma,former owner,,,Gaṅgārāma,human,Q94539706
"Ghazzālī, 1058-1111",author,,http://id.loc.gov/authorities/names/n82097778,Al-Ghazali,human,Q9546
"Gherardo, del Fora, approximately 1444-1497",artist,,,Gherardo di Giovanni del Fora,human,Q3104832
Gilbert de la Porrée,author,,,Gilbert de La Porrée,human,Q583119
"Gioacchino, di Giovanni",illuminator.,,,Gioacchino di Giovanni,human,Q20830652
Giovanni Antonio Flaminio (Giovanni Antonius Flaminio),author,,,Giovanni Antonio Flaminio,human,Q17284944
Giovanni Boccaccio,author,,,Giovanni Boccaccio,human,Q1402
Giusto de' Conti,author,,,Giusto de' Conti,human,Q3771771
"Gladstone, W. E. 1809-1898",former owner.,,,William Ewart Gladstone,human,Q160852
Godfrey of Viterbo,author,,,Godfrey of Viterbo,human,Q614256
"Gorman, Pierre Patrick, 1924-",former owner.,,,Pierre Gorman,human,Q1671373
Gregory I,author,,,Gregory I,human,Q42827
"Gregory I, Pope, approximately 540-604",author,,,Gregory I,human,Q42827
"Gregory I, the Great.",author,,,Gregory I,human,Q42827
Gregory IX,author,,,Gregory IX,human,Q124831
"Gregory IX, Pope, approximately 1170-1241",author.,,,Gregory IX,human,Q124831
Gregory of Tours,author,,,Gregory of Tours,human,Q67841
"Gregory, of Nyssa, Saint, approximately 335-approximately 394",author,,http://id.loc.gov/authorities/names/n79021401.html,Gregory of Nyssa,human,Q191734
Guido delle Colonne,author,,,Guido delle Colonne,human,Q1248842
"Gunther, Charles Frederick, 1837-1920",former owner,,,Charles F. Gunther,human,Q5077520
"Halgren, John, of Abbeville",author,,,John Halgren of Abbeville,human,Q3129519
"Harkness, Edward Stephen, 1874-1940",former owner,,,Edward Harkness,human,Q5343311
"Haslewood, Joseph, 1769-1833",former owner.,,,Joseph Haslewood,human,Q6283838
Haymo of Halberstadt,author,,,Haymo of Halberstadt,human,Q472833
"Henri, Duc de Rohan",author,,,Henri II de Rohan,human,Q701048
Henry Suso,author,,,Henry Suso,human,Q303435
Henry VIII,author,,,Henry VIII of England,human,Q38370
"Hill, Dana",former owner,,,Dana Hill,human,Q455947
"Hodossy, Imre",former owner,,,Imre Hodossy,human,Q73712054
"Hoe, Robert",former owner,,,Robert Hoe III,human,Q3663034
"Hoe, Robert, 1839-1909",former owner.,,,Robert Hoe III,human,Q3663034
Horace,author,,https://viaf.org/viaf/100227522/,Horace,human,Q6197
Horace,author,,,Horace,human,Q6197
Horace,author,,http://id.loc.gov/authorities/names/n79081354.html,Horace,human,Q6197
Horace (Quintus Horatius Flaccus),author,,,Horace,human,Q6197
"Horwood, Alfred J. (Alfred John), 1821-1881",former owner,,,Alfred John Horwood,human,Q59630457
Hubert de Burgh,author,,,"Hubert de Burgh, 1st Earl of Kent",human,Q1381324
Hugh de St Cher,author,,,Hugh of Saint-Cher,human,Q1365254
Hugh of Fouilloi,author,,,Hugh of Fouilloy,human,Q5631
Hugh of Fouilloy (Hugo de Folieto),author,,,Hugh of Fouilloy,human,Q5631
Hugh of St. Cher (Hugo de Sancto Caro),author,,,Hugh of Saint-Cher,human,Q1365254
Hugh of St. Victor,author,,,Hugh of Saint Victor,human,Q317554
Hugh of St. Victor (Hugo de Sancto Victore),author,,,Hugh of Saint Victor,human,Q317554
"Hugh, of Saint-Cher, Cardinal, approximately 1200-1263",author,,http://id.loc.gov/authorities/names/n86113661.html,Hugh of Saint-Cher,human,Q1365254
Humbert of Romans,author,,,Humbert of Romans,human,Q2623954
"Ibn Abī al-Dunyā, ʻAbd Allāh ibn Muḥammad, 823-894",author,,http://id.loc.gov/authorities/names/n85136568,Ibn Abi al-Dunya,human,Q6532706
"Ibn al-ʻArabī, 1165-1240",author,,http://id.loc.gov/authorities/names/n50082069,Ibn Arabi,human,Q46420
Iceland,author,,,Iceland,organization,Q189
Innocent IV,author,,,Innocent IV,human,Q160609
Innocent VIII,author,,,Innocent VIII,human,Q161351
Isidore (Isidorus Hispalensis),author,,,Isidore of Seville,human,Q166876
"Isidore, of Seville, Saint, d. 636",author,,,Isidore of Seville,human,Q166876
J. Paul Getty Museum,former owner.,,,J. Paul Getty Museum,organization,Q731126
Jacopo Sanguinacci,author,,,Jacopo Sanguinacci,human,Q41618032
"Jalāl al-Dīn Rūmī, Maulana, 1207-1273",author,جلال الدین رومى، مولانا، 1207-1273,,Rumi,human,Q43347
"James I, King of England, 1566-1625",attributed name.,,,James VI and I,human,Q79972
"Jastrow, Marcus, 1829-1903",former owner.,,,Marcus Jastrow,human,Q556073
"Jastrow, Morris, Jr., 1861-1921",former owner.,,,"Morris Jastrow, Jr.",human,Q635773
"Jāmī, 1414-1492",author.,,,Jami,human,Q312458
"Jāmī, 1414-1492",author,جامى، 1414-1492,,Jami,human,Q312458
Jean de Lignières,author,,http://viaf.org/viaf/275520118,Jean de Lignières,human,Q108732963
Jerome,author,,,Jerome,human,Q44248
Jerome (Sophronius Eusebius Hieronymus),author,,,Jerome,human,Q44248
"Jerome, Saint, d. 419 or 420",author,,http://viaf.org/viaf/95147024,Jerome,human,Q44248
"Jighmīnī, Maḥmūd ibn Muḥammad, -1221",author,"جغميني، محمود بن محمد, -1221",,Jaghmini,human,Q4060361
Joannes Andreae,author,,,Giovanni d'Andrea,human,Q920858
Joannes Oecolampadius,author,,,Johannes Oecolampadius,human,Q123450
Johann Reger,author,,,Johann Reger,human,Q18223621
Johannes Cassianus,author,,,John Cassian,human,Q313795
Johannes Halgrinus de Abbatisvilla,author,,,John Halgren of Abbeville,human,Q3129519
"John XXI, Pope, -1277",attributed name.,,,John XXI,human,Q172916
John of Damascus,author,,,John of Damascus,human,Q51884
John of Garland,author,,,John of Garland,human,Q1229700
Josephus,author,,,Josephus,human,Q134461
"Josephus, Flavius",author,,,Josephus,human,Q134461
Juan de Mena,author,,,Juan de Mena,human,Q388140
Julian Pomerius,author,,,Julianus Pomerius,human,Q3189618
Julianus Pomerius,author,,,Julianus Pomerius,human,Q3189618
Justinus,author,,,Justin,human,Q25420924
Lactantius,author,,,Lactantius,human,Q209102
"Langton, Stephen, -1228",author,,http://id.loc.gov/authorities/names/n81007918.html,Stephen Langton,human,Q465329
Laurentius Pisanus,author,,,Laurentius Veronensis,human,Q41616668
"Leo, Archipresbyter, active 10th century",author,,http://id.loc.gov/authorities/names/n50080602.html,Leo Archpriest,human,Q1818805
Leonardo Bruni,author,,,Leonardo Bruni,human,Q314488
"Lewis, John Frederick, 1860-1932",former owner,,,John Frederick Lewis,human,Q78163033
"Livermore, George, 1809-1865",former owner,,,George Livermore,human,Q16065893
Livy,author,,,Titus Livius,human,Q2039
Livy (Titus Livius),author,,,Titus Livius,human,Q2039
"Lloyd-Mostyn, Llewellyn Neville Vaughan",former owner,,,"Llewelyn Lloyd-Mostyn, 3rd Baron Mostyn of Mostyn",human,Q75271125
Lorenzo Guglielmo Traversagni,author,,,Lorenzo Traversagni,human,Q18674108
Lotario de' Conti di Segni (Pope Innocent III),author,,,Innocent III,human,Q128076
"Ludwig, Irene",former owner.,,,Irene Ludwig,human,Q1672539
"Ludwig, Peter, 1925-1996",former owner.,,,Peter Ludwig,human,Q73991
"Macclesfield, George Parker, Earl of, approximately 1697-1764",former owner,,,"George Parker, 2nd Earl of Macclesfield",human,Q335725
"Macer, Floridus",author,,,Odo of Meung,human,Q41617302
Maggs Bros.,former owner,,,Maggs Bros Ltd,organization,Q15067374
"Makiya, Mohamed",former owner.,,,Mohamed. Makiya,human,Q1942781
"Makkūdī, ʻAbd al-Raḥmān ibn ʻAlī, -1404 or 1405",author,مكودي، عبد الرحمن بن علي، -1404 أو 1405,,ʿAbd-ar-Raḥmān Ibn-ʿAlī al- Makkūdī,human,Q60827863
"Manlove, Timothy, -1699",former owner,,,Timothy Manlove,human,Q7807385
Mannheimer Hofbibliothek,former owner,,,Mannheimer Hofbibliothek,organization,Q48757260
Marco Polo,author,,,Marco Polo,human,Q6101
"Mariano, del Buono di Jacopo, 1433-1504",artist,,,Mariano del Buono,human,Q16138117
Martial,author,,,Martial,human,Q2098
Martin of Tours,author,,,Martin of Tours,human,Q133704
"Masson, Irvine, 1887-1962",former owner.,,,Irvine Masson,human,Q15441871
Master of the Burgundian Prelates,illuminator.,,,Meister der burgundischen Prälaten,human,Q1918472
"McRoberts, David",former owner.,,,David McRoberts,human,Q95002340
"Nābulusī, ʻAbd al-Ghanī ibn Ismāʻīl, 1641-1731",author,,http://id.loc.gov/authorities/names/n83198301,Abd al-Ghani al-Nabulsi,human,Q4164547
Nicholas of Gorran,author,,,Nicholas of Gorran,human,Q3340931
Nicholas of Lyra,author,,,Nicholas of Lyra,human,Q1969164
"Nicholas, of Lyra, approximately 1270-1349",author,,http://id.loc.gov/authorities/names/n81077197.html,Nicholas of Lyra,human,Q1969164
"North, Frederick, Earl of Guilford, 1766-1827",former owner.,,,Frederick North,human,Q333623
"Nugent, Elliott",former owner.,,,Elliott Nugent,human,Q1332362
Origen,author,,,Origen,human,Q170472
"Page-Turner, Gregory Osborne, Sir, 1785-1843",former owner,,,"Sir Gregory Osborne Page-Turner, 4th Bt.",human,Q75874518
"Parsons, Edward Alexander, 1878-1962",former owner.,,,Edward Alexander Parsons,human,Q59631299
Paul the Deacon,author,,,Paul the Deacon,human,Q160424
Pedro de Valencia,author,,,Pedro de Valencia,human,Q3374154
"Pegge, Samuel, 1704-1796",former owner.,,,Samuel Pegge,human,Q7412374
"Pennypacker, Samuel W. (Samuel Whitaker), 1843-1916",former owner,,,Samuel W. Pennypacker,human,Q540418
Peter Comestor,author,,,Petrus Comestor,human,Q785250
Peter Damian,author,,,Peter Damian,human,Q258369
Peter Lombard,author,,,Peter Lombard,human,Q315347
Peter Riga (Petrus Riga),author,,,Petrus Riga,human,Q556117
Peter of Bergamo,author,,,Peter of Bergamo,human,Q7177913
Petrus Placentinus,author,,,Placentinus,human,Q974126
"Phillipps, Thomas, Sir, 1792-1872",former owner,,,Thomas Phillipps,human,Q2147709
"Phillipps, Thomas, Sir, 1792-1872",former owner.,,,Thomas Phillipps,human,Q2147709
"Phillips, Thomas, Sir, 1792-1872",former owner,,,Thomas Phillipps,human,Q2147709
"Pirie, Robert S",former owner.,,,Robert S. Pirie,human,Q7349496
"Pistrucci, Benedetto, 1783-1855",former owner,,,Benedetto Pistrucci,human,Q327504
Pius II,author,,,Pius II,human,Q101437
"Pius VI, Pope, 1717-1799",former owner.,,,Pius VI,human,Q128019
Plato,author.,,,Plato,human,Q859
Pliny the Younger,author,,,Pliny the Younger,human,Q168707
"Pliny, the Elder",author,,,Pliny the Elder,human,Q82778
Poblet (Monastery),former owner.,,,Poblet Monastery,organization,Q645157
Priscian,author,,,Priscian,human,Q356433
Pseudo Abdias,author,,,Pseudo-Abdias,human,Q7254393
Pseudo Aristotle,author,,,Pseudo-Aristotle,human,Q1783131
Pseudo Augustine of Hippo,author,,,Pseudo-Augustine,human,Q1241114
Pseudo Aurelius Victor,author,,,Pseudo-Aurelius Victor,human,Q98588079
Pseudo Cicero,author,,,Pseudo-Cicero,human,Q67405713
Pseudo Phalaris,author,,,Pseudo-Phalaris,human,Q101173400
Pseudo-Cicero,author,,,Pseudo-Cicero,human,Q67405713
Pseudo-Cyprian,author,,,Pseudo-Cyprian,human,Q66134384
"Quaritch, Bernard",former owner,,,Bernard Quaritch,human,Q119818
"Quodvultdeus, Bishop of Carthage, -454?",author,,https://viaf.org/viaf/250796368,Quodvultdeus,human,Q608506
Rabanus Maurus,author,,,Rabanus Maurus,human,Q160441
Raymond of Pennafort,author,,,Raymond of Penyafort,human,Q318980
Rāmānandasarasvatī,author,,,Rāmānandasarasvatī,human,Q94635099
"Regiomontanus, Joannes, 1436-1476",author,,,Regiomontanus,human,Q76365
Richard Rolle,author,,,Richard Rolle,human,Q2345308
"Richard, of St. Victor, -1173",author,,,Richard of Saint Victor,human,Q1344799
"Richard, of St. Victor, -1173",author,,http://id.loc.gov/authorities/names/n79076053.html,Richard of Saint Victor,human,Q1344799
Roberto Caraccioli,author,,,Roberto Caracciolo,human,Q15430545
Roffredus Beneventanus,author,,,Roffredo Epifanio,human,Q3940064
"Rosenbach, A. S. W. (Abraham Simon Wolf), 1876-1952",former owner,,,A. S. W. Rosenbach,human,Q3663160
Saint-Benoît-sur-Loire (Abbey),former owner.,,,Fleury Abbey,organization,Q956741
Saint-Bénigne of Dijon,former owner,,,Benignus of Dijon,human,Q652797
Santa María de Benevívere (Monastery : Spain),former owner,,,Monastery of Benevívere,organization,Q6898311
"Sassoon, David Solomon, 1880-1942",former owner.,,,David Solomon Sassoon,human,Q31762617
"Scarella, Stefano",former owner.,,,Stefano Scarella,human,Q64752134
"Schoenberg, Lawrence J",former owner.,,,Lawrence J. Schoenberg,human,Q107542788
"Schöner, Johann, 1477-1547",author,,,Johannes Schöner,human,Q62770
Sedulius (Caelius Sedulius),author,,,Coelius Sedulius,human,Q538564
Seneca,author,,,Seneca,human,Q2054
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.",author,,http://viaf.org/viaf/90637919,Seneca,human,Q2054
"Sessler, Charles",former owner,,,Charles Sessler,human,Q99399771
"Seton, Walter",former owner.,,,Walter Seton,human,Q96007459
Simone Serdini,author,,,Simone Serdini,human,Q27681105
"Smith, David Eugene, 1860-1944",former owner.,,,David Eugene Smith,human,Q1174369
"Smith, Edgar F. 1854-1928",former owner.,,,Edgar Fahs Smith,human,Q3047451
"Sohoni, Pushkar",former owner.,,,Pushkar Sohoni,human,Q42666530
Spain. Sovereign (1516-1556 : Charles I),author,,,Spain,organization,Q29
Spain. Sovereign (1556-1598 : Philip II),author,,,Spain,organization,Q29
"St. Audries, Alexander Fuller-Acland-Hood, Baron, 1853-1917",former owner,,,"Alexander Fuller-Acland-Hood, 1st Baron St Audries",human,Q4718909
"Stark, William Henry, 1851-1936",former owner.,,,William Henry Stark,human,Q8012173
"Stuart, William, 1798-1874",former owner,,,William Stuart,human,Q8018938
Suetonius,author,,,Suetonius,human,Q10133
Suetonius (Gaius Suetonius Tranquillus),author,,,Suetonius,human,Q10133
Sulpicius Severus,author,,,Sulpicius Severus,human,Q336704
"Sutherland, George Granville Leveson-Gower, Duke of, 1758-1833",former owner,,,"George Leveson-Gower, 1st Duke of Sutherland",human,Q332722
"Suyūṭī, 1445-1505",author,,http://id.loc.gov/authorities/names/n80081636,Jalal al-Din al-Suyuti,human,Q468432
Swarthmore College,former owner.,,,Swarthmore College,organization,Q1378320
Śaṅkarācārya,author,,,Adi Shankara,human,Q180967
Terence,author.,,,Terence,human,Q172048
Terence,author,,,Terence,human,Q172048
Thomas Aquinas,author,,,Thomas Aquinas,human,Q9438
Thomas Aquinas (Thomas de Aquino),author,,,Thomas Aquinas,human,Q9438
Thomas of Cantimpré,author,,,Thomas of Cantimpré,human,Q572799
Thomas of Hibernia,author,,,Thomas de Hibernia,human,Q7795478
"Thomas, George C. (George Clifford), 1839-1909",former owner,,,George C. Thomas,human,Q76520101
"Thoresby, Ralph, 1658-1725",former owner,,,Ralph Thoresby,human,Q7288161
"Tollemache, Bentley Lyonel John Tollemache, Baron, 1883-1955",former owner.,,,"Bentley Lyonel John Tollemache, 3rd Baron Tollemache",human,Q18109261
Tristano Caracciolo,author,,,Tristano Caracciolo,human,Q1324187
"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274",author,طوسي، نصير الدين محمد بن محمد، 1201-1274,,Nasir al-Din al-Tusi,human,Q302835
Valerius Maximus,author,,,Valerius Maximus,human,Q379991
"Varchi, Benedetto, 1503-1565",author,,,Benedetto Varchi,human,Q176833
"Vegio, Maffeo. Poems. Selections. f.202v-204r",author,,,Maffeo Vegio,human,Q1372875
Vergil,author,,,Virgil,human,Q1398
Vergil (Publius Vergilius Maro),author,,,Virgil,human,Q1398
"Vollbehr, Otto H. F. 1869-1946",former owner.,,,Otto Vollbehr,human,Q23906104
Walter of Mortagne,author,,,Walter of Mortagne,human,Q583077
"William, de Brailes, active 13th century",artist,,,William de Brailes,human,Q8020766
"William, of Saint-Thierry, Abbot of Saint-Thierry, approximately 1085-1148?",author,,http://viaf.org/viaf/5724165,William of St-Thierry,human,Q1628129
"Williams, Talcott, 1849-1928",former owner.,,,Talcott Williams,human,Q7679087
"Williams, Theodore, Rev",former owner.,,,Theodore Williams,human,Q96075278
"Wix, Edward",former owner,,,Edward Wix,human,Q5345964
"Wix, Hooker Edward",former owner,,,Hooker Wix,human,Q94365138
"Wix, Samuel",former owner,,,Samuel Wix,human,Q17030345
"Wix, William",former owner,,,William Wix,human,Q21166886
Xenophon,author,,,Xenophon,human,Q129772
"van Ess, Leander, 1772-1847",former owner,,,Johann Heinrich van Ess,human,Q1810643
Ælfric,author,,,Ælfric of Eynsham,human,Q271377
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,عاملي، بهاء الدين محمد بن حسين، 1547-1621,,Bahāʾ al-dīn al-ʿĀmilī,human,Q2658411
"ʻIyāḍ ibn Mūsá, 1083-1149",author,عياض بن موسى، 1083-1149,,Qadi Ayyad,human,Q3101035
