name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"Bragge, William",former owner,,,human,William Bragge,Q15453218
"Bragge, William, 1823-1884",former owner,,,human,William Bragge,Q15453218
"Brecher, Adolf",former owner.,,,human,Adolf Brecher,Q15217756
Brunner Library,former owner.,,,organization,Northwich Library,Q26454778
"Burgess, Edward Sandford, 1855-1928",former owner.,,,human,Edward Sandford Burgess,Q5820022
"Burgess, Julia",former owner.,,,human,Julia Burgess,Q75469750
"Caffarelli, Prospero, d. 1500",former owner.,,,human,Prospero Caffarelli,Q55643327
"Carson, Hampton L. (Hampton Lawrence), 1852-1929",former owner,,,human,Hampton L. Carson,Q19974462
Catholic Church,author,,http://viaf.org/viaf/130782063,organization,Catholic Church,Q9592
Catholic Church,author,,,organization,Catholic Church,Q9592
Cecco d'Ascoli,author,,,human,Cecco d'Ascoli,Q728592
"Chetwode, John, Sir, 1764-1845",former owner.,,,human,"Sir John Chetwode, 4th Baronet",Q11800745
Christine de Pizan,author,,,human,Christine de Pizan,Q234816
Christoph Hegendorf,author,,,human,Christoph Hegendorff,Q75977
Cicero,author,,,human,Cicero,Q1541
"Cicero, Marcus Tullius",author.,,,human,Cicero,Q1541
"Cicero, Marcus Tullius.",author,,https://viaf.org/viaf/78769600,human,Cicero,Q1541
"Clark, Clarence H. (Clarence Howard), 1833-1906",former owner,,,human,"Clarence Howard Clark, Sr.",Q5126591
Claudianus Osbern of Gloucester,author,,,human,Osbern of Gloucester,Q680829
"Cockerell, Sidney C.",former owner,,,human,Sydney Cockerell,Q966843
"Cockerell, Sydney Carlyle, Sir, 1867-1962",former owner,,,human,Sydney Cockerell,Q966843
Coluccio Salutati,author,,,human,Coluccio Salutati,Q93113
"Conant, Samuel",former owner,,,human,S. S. Conant,Q110226047
Constantine the African,author,,,human,Constantine the African,Q468641
Cornelius Nepos,author,,,human,Cornelius Nepos,Q109594
"Court, Benoît de",former owner.,,,human,Benoît Le Court,Q106904178
"Crescenzi, Pietro de', approximately 1233-approximately 1320",author,,,human,Pietro de' Crescenzi,Q1933377
"Cyprian, Saint, Bishop of Carthage",author,,http://viaf.org/viaf/100179090,human,Cyprian,Q190240
Daniele Barbaro,author,,,human,Daniele Barbaro,Q378870
Dante Alighieri,author,,,human,Dante Alighieri,Q1067
Delis,former owner.,,,organization,Delhi,Q1353
"Dioscorides Pedanius, of Anazarbos",author,ديسقوريدس,,human,Pedanius Dioscorides,Q297776
"Drury, Henry, 1778-1841",former owner.,,,human,Henry Drury,Q5720478
"Dysart, Lionel Tollemache, Earl of, 1708-1770",former owner.,,,human,"Lionel Tollemache, 4th Earl of Dysart",Q6555815
"Ebner von Eschenbach, Hieronymus Wilhelm, 1673-1752",former owner.,,,human,Hieronymus Wilhelm Ebner von Eschenbach,Q15452636
Edmund of Abingdon,author,,,human,Edmund of Abingdon,Q1235967
"Edmund, earl of Lancaster",author,,,human,Edmund Crouchback,Q447802
"Ess, Leander van 1772-1847",former owner,,,human,Johann Heinrich van Ess,Q1810643
"Ess, Leander van, 1772-1847",former owner,,,human,Johann Heinrich van Ess,Q1810643
Euclid,author,,,human,Euclid,Q8747
Euclid (Euclides),author,,,human,Euclid,Q8747
Eugippius,author,,,human,Eugippius,Q738491
Eusebius of Cremona,author,,,human,Eusebius of Cremona,Q24013788
Evrard de Béthune,author,,,human,Eberhard of Béthune,Q5331803
"Étampes-Valençay, Léonor d', approximately 1585-1651",author.,,,human,Léonore d'Étampes de Valençay,Q3271738
Fazio degli Uberti,author,,,human,Fazio of Uberti,Q1399161
"Feltrinelli, Giannalisa",former owner.,,,human,Giannalisa Feltrinelli,Q95750251
"Fenwick, Thomas FitzRoy Phillipps, 1856-1938",former owner.,,,human,Thomas FitzRoy Phillipps Fenwick,Q75889469
"Fenwick, Thomas Fitzroy Phillipps, 1856-1938",former owner,,,human,Thomas FitzRoy Phillipps Fenwick,Q75889469
Firdawsī,author,,,human,Ferdowsi,Q43459
"Fiske, Willard, 1831-1904",former owner.,,,human,Willard Fiske,Q2047315
"Follower of Birago, Giovan Pietro, active 1471-1513 and Master B. F. (sometimes identified as Francisco Binasco)",artist,,,human,Giovanni Pietro Birago,Q1901175
Francesco Malacarne,author,,,human,Francesco Malacarne,Q65953117
Francesco Petrarca,author,,,human,Petrarch,Q1401
Francisco de Pisa,author,,,human,Francisco de Pisa,Q3816939
"Fugger, Marcus, 1529-1597",former owner.,,,human,Markus Fugger,Q115254
"Fuller, A. W. F",former owner.,,,human,A. W. F. Fuller,Q4648509
"Gambiglioni, Angelo, active 15th century",author,,http://viaf.org/viaf/100384396/,human,Angelo Gambiglioni,Q3617010
Gaṅgārāma,former owner,,,human,Gaṅgārāma,Q94539706
"Gervase, of Tilbury, approximately 1160-approximately 1211",author,,,human,Gervase of Tilbury,Q531883
"Gherardo, del Fora, approximately 1444-1497",artist,,,human,Gherardo di Giovanni del Fora,Q3104832
Gilbert de la Porrée,author,,,human,Gilbert de La Porrée,Q583119
"Gioacchino, di Giovanni",illuminator.,,,human,Gioacchino di Giovanni,Q20830652
Giovanni Antonio Flaminio (Giovanni Antonius Flaminio),author,,,human,Giovanni Antonio Flaminio,Q17284944
Giovanni Boccaccio,author,,,human,Giovanni Boccaccio,Q1402
Giusto de' Conti,author,,,human,Giusto de' Conti,Q3771771
"Gladstone, W. E. 1809-1898",former owner.,,,human,William Ewart Gladstone,Q160852
Godfrey of Viterbo,author,,,human,Godfrey of Viterbo,Q614256
"Gorman, Pierre Patrick, 1924-",former owner.,,,human,Pierre Gorman,Q1671373
"Gostling, William, 1696-1777",former owner.,,,human,William Gostling,Q15994466
"Graham, Fergus, Sir",former owner.,,,human,"Sir Fergus Graham, 5th Baronet",Q7526665
Gregory I,author,,,human,Gregory I,Q42827
"Gregory I, Pope, approximately 540-604",author,,,human,Gregory I,Q42827
"Gregory I, the Great.",author,,,human,Gregory I,Q42827
Gregory IX,author,,,human,Gregory IX,Q124831
"Gregory IX, Pope, approximately 1170-1241",author.,,,human,Gregory IX,Q124831
Gregory of Tours,author,,,human,Gregory of Tours,Q67841
"Gregory, of Nyssa, Saint, approximately 335-approximately 394",author,,http://id.loc.gov/authorities/names/n79021401.html,human,Gregory of Nyssa,Q191734
Guido delle Colonne,author,,,human,Guido delle Colonne,Q1248842
"Gunther, Charles Frederick, 1837-1920",former owner,,,human,Charles F. Gunther,Q5077520
"Hahn, Franz Joseph Anton von, 1699-1748",former owner.,,,human,Franz Josef von Hahn,Q55131021
"Halgren, John, of Abbeville",author,,,human,John Halgren of Abbeville,Q3129519
"Harkness, Edward Stephen, 1874-1940",former owner,,,human,Edward Harkness,Q5343311
"Harmsworth, R. Leicester (Robert Leicester), Sir, 1870-1937",former owner.,,,human,Leicester Harmsworth,Q6519187
Haymo of Halberstadt,author,,,human,Haymo of Halberstadt,Q472833
"Henri, Duc de Rohan",author,,,human,Henri II de Rohan,Q701048
Henry Suso,author,,,human,Henry Suso,Q303435
Henry VIII,author,,,human,Henry VIII of England,Q38370
"Hill, Dana",former owner,,,human,Dana Hill,Q455947
"Hodossy, Imre",former owner,,,human,Imre Hodossy,Q73712054
"Hoe, Robert",former owner,,,human,Robert Hoe III,Q3663034
"Hoe, Robert, 1839-1909",former owner.,,,human,Robert Hoe III,Q3663034
Horace,author,,,human,Horace,Q6197
Horace,author,,http://id.loc.gov/authorities/names/n79081354.html,human,Horace,Q6197
Horace,author,,https://viaf.org/viaf/100227522/,human,Horace,Q6197
Horace (Quintus Horatius Flaccus),author,,,human,Horace,Q6197
"Horwood, Alfred J. (Alfred John), 1821-1881",former owner.,,,human,Alfred John Horwood,Q59630457
"Horwood, Alfred J. (Alfred John), 1821-1881",former owner,,,human,Alfred John Horwood,Q59630457
Hubert de Burgh,author,,,human,"Hubert de Burgh, 1st Earl of Kent",Q1381324
Hugh de St Cher,author,,,human,Hugh of Saint-Cher,Q1365254
Hugh of Fouilloi,author,,,human,Hugh of Fouilloy,Q5631
Hugh of Fouilloy (Hugo de Folieto),author,,,human,Hugh of Fouilloy,Q5631
Hugh of St. Cher (Hugo de Sancto Caro),author,,,human,Hugh of Saint-Cher,Q1365254
Hugh of St. Victor,author,,,human,Hugh of Saint Victor,Q317554
Hugh of St. Victor (Hugo de Sancto Victore),author,,,human,Hugh of Saint Victor,Q317554
"Hugh, of Saint-Cher, Cardinal, approximately 1200-1263",author,,http://id.loc.gov/authorities/names/n86113661.html,human,Hugh of Saint-Cher,Q1365254
Humbert of Romans,author,,,human,Humbert of Romans,Q2623954
"Ibn Abī al-Dunyā, ʻAbd Allāh ibn Muḥammad, 823-894",author,,http://id.loc.gov/authorities/names/n85136568,human,Ibn Abi al-Dunya,Q6532706
"Ibn Bīrī, Ibrāhīm ibn ḥusayn, 1614-1688",author,,,human,Ibrahim ibn Hussein al-Biri,Q107328752
"Ibn Hishām, ʻAbd Allāh ibn Yūsuf, 1309-1360",author,"ابن هشام، عبد الله بن يوسف, 1309-1360",,human,Ibn Hisham Al-Ansari,Q6538102
"Ibn Ḥajar al-Haythamī, Aḥmad ibn Muḥammad, approximately 1503-approximately 1566",author,,http://id.loc.gov/authorities/names/n82165741,human,Ibn Hajar al-Haytami,Q3147445
"Ibn al-Fāriḍ, ʻUmar ibn ʻAlī, 1181 or 1182-1235",author,"ابن الفارض، عمر بن علي, 1181 or 1182-1235",,human,Ibn al-Farid,Q203142
"Ibn al-Jazarī, Muḥammad ibn Muḥammad, 1350-1429",author,ابن الجزري، محمد بن محمد، 1350-1429,,human,Ibn al-Jazari,Q4120093
Iceland,author,,,organization,Iceland,Q189
Innocent IV,author,,,human,Innocent IV,Q160609
Innocent VIII,author,,,human,Innocent VIII,Q161351
Isidore (Isidorus Hispalensis),author,,,human,Isidore of Seville,Q166876
"Isidore, of Seville, Saint, d. 636",author,,,human,Isidore of Seville,Q166876
"İbrahim Efendi, 1589-1654",author,ابراهيم افندى، 1589-1654,,human,Ibrahim Efendi,Q6073533
J. Paul Getty Museum,former owner.,,,organization,J. Paul Getty Museum,Q731126
"Jabartī, Ḥasan ibn Ibrāhīm, 1698 or 1699-1774",author,,http://id.loc.gov/authorities/names/nr94039118,human,Hassan al-Jabarti,Q5679896
Jacopo Sanguinacci,author,,,human,Jacopo Sanguinacci,Q41618032
"Jalāl al-Dīn Rūmī, Maulana, 1207-1273",author,جلال الدین رومى، مولانا، 1207-1273,,human,Rumi,Q43347
"James, of Viterbo, Archbishop of Naples, approximately 1255-1307 or 1308",author,,,human,James of Viterbo,Q352625
"Jastrow, Marcus, 1829-1903",former owner.,,,human,Marcus Jastrow,Q556073
"Jastrow, Morris, Jr., 1861-1921",former owner.,,,human,"Morris Jastrow, Jr.",Q635773
"Jazūlī, Muḥammad ibn Sulaymān, -1465",author,جزولي، محمد بن سليمان، -1465,,human,Muhammad al-Jazuli,Q1775944
"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",author,جزولي، محمد بن سليمان، -1465,,human,Muhammad al-Jazuli,Q1775944
"Jāmī, 1414-1492",author,جامى، 1414-1492,,human,Jami,Q312458
"Jāmī, 1414-1492",author.,,,human,Jami,Q312458
Jean de Lignières,author,,http://viaf.org/viaf/275520118,human,Jean de Lignières,Q108732963
Jerome,author,,,human,Jerome,Q44248
Jerome (Sophronius Eusebius Hieronymus),author,,,human,Jerome,Q44248
"Jerome, Saint, d. 419 or 420",author,,http://viaf.org/viaf/95147024,human,Jerome,Q44248
"Jighmīnī, Maḥmūd ibn Muḥammad, -1221",author,"جغميني، محمود بن محمد, -1221",,human,Jaghmini,Q4060361
Joannes Andreae,author,,,human,Giovanni d'Andrea,Q920858
Joannes Oecolampadius,author,,,human,Johannes Oecolampadius,Q123450
Johann Reger,author,,,human,Johann Reger,Q18223621
Johannes Cassianus,author,,,human,John Cassian,Q313795
Johannes Halgrinus de Abbatisvilla,author,,,human,John Halgren of Abbeville,Q3129519
"John XXI, Pope, -1277",attributed name.,,,human,John XXI,Q172916
John of Damascus,author,,,human,John of Damascus,Q51884
John of Garland,author,,,human,John of Garland,Q1229700
Josephus,author,,,human,Josephus,Q134461
"Josephus, Flavius",author,,,human,Josephus,Q134461
Juan de Mena,author,,,human,Juan de Mena,Q388140
Julian Pomerius,author,,,human,Julianus Pomerius,Q3189618
Julianus Pomerius,author,,,human,Julianus Pomerius,Q3189618
"Junk, Wilhelm, 1866-1942",former owner.,,,human,Wilhelm Junk,Q215149
Justinus,author,,,human,Justin,Q25420924
"Kafʻamī, Ibrāhīm ibn ʻAlī, 1436 or 1437-1499 or 1500",author,كفعمي، ابراهيم بن علي، 1436 or 1437-1499 or 1500,,human,Ibrāhīm ibn ʻAlī Kafʻamī,Q12181714
"Kashfī, Jaʻfar ibn Abī Isḥāq, -1850 or 1851",author,كشفي، جعفر بن ابي اسحاق، -1850 أو 1851,,human,Ja'far Kashfi,Q10868965
"Kemalpaşazade, 1468 or 1469-1534",author,,http://id.loc.gov/authorities/names/n85370452,human,Ibn Kemal,Q449254
"Khādimī, Muḥammad ibn Muṣṭafá, 1701 or 1702-1762 or 1763",author,,http://id.loc.gov/authorities/names/nr91027348,human,Muḥammad ibn Muṣṭafá Khādimī,Q12178022
"L., K",former owner.,,,organization,K-L,Q5492826
Lactantius,author,,,human,Lactantius,Q209102
"Lake, Carlton",former owner.,,,human,Carlton Lake,Q19277169
"Langton, Stephen, -1228",author,,http://id.loc.gov/authorities/names/n81007918.html,human,Stephen Langton,Q465329
Laurentius Pisanus,author,,,human,Laurentius Veronensis,Q41616668
"Leo, Archipresbyter, active 10th century",author,,http://id.loc.gov/authorities/names/n50080602.html,human,Leo Archpriest,Q1818805
Leonardo Bruni,author,,,human,Leonardo Bruni,Q314488
"Lewis, John Frederick, 1860-1932",former owner,,,human,John Frederick Lewis,Q78163033
"Livermore, George, 1809-1865",former owner,,,human,George Livermore,Q16065893
Livy,author,,,human,Titus Livius,Q2039
Livy (Titus Livius),author,,,human,Titus Livius,Q2039
"Lloyd-Mostyn, Llewellyn Neville Vaughan",former owner,,,human,"Llewelyn Lloyd-Mostyn, 3rd Baron Mostyn of Mostyn",Q75271125
Lorenzo Guglielmo Traversagni,author,,,human,Lorenzo Traversagni,Q18674108
Lotario de' Conti di Segni (Pope Innocent III),author,,,human,Innocent III,Q128076
"Lucas, Perceval",former owner.,,,human,Perceval Lucas,Q18910734
"Ludwig, Irene",former owner.,,,human,Irene Ludwig,Q1672539
"Ludwig, Peter, 1925-1996",former owner.,,,human,Peter Ludwig,Q73991
"Lundell, C.L",former owner.,,,human,Cyrus Longworth Lundell,Q3009490
"Macclesfield, George Parker, Earl of, approximately 1697-1764",former owner,,,human,"George Parker, 2nd Earl of Macclesfield",Q335725
"Macer, Floridus",author,,,human,Odo of Meung,Q41617302
Maggs Bros.,former owner,,,organization,Maggs Bros Ltd,Q15067374
"Makiya, Mohamed",former owner.,,,human,Mohamed. Makiya,Q1942781
"Makkūdī, ʻAbd al-Raḥmān ibn ʻAlī, -1404 or 1405",author,مكودي، عبد الرحمن بن علي، -1404 أو 1405,,human,ʿAbd-ar-Raḥmān Ibn-ʿAlī al- Makkūdī,Q60827863
"Manlove, Timothy, -1699",former owner,,,human,Timothy Manlove,Q7807385
Mannheimer Hofbibliothek,former owner,,,organization,Mannheimer Hofbibliothek,Q48757260
Marco Polo,author,,,human,Marco Polo,Q6101
"Mariano, del Buono di Jacopo, 1433-1504",artist,,,human,Mariano del Buono,Q16138117
Martial,author,,,human,Martial,Q2098
Martin of Tours,author,,,human,Martin of Tours,Q133704
"Masson, Irvine, 1887-1962",former owner.,,,human,Irvine Masson,Q15441871
Master of the Burgundian Prelates,illuminator.,,,human,Meister der burgundischen Prälaten,Q1918472
"McRoberts, David",former owner.,,,human,David McRoberts,Q95002340
"Monson, Frederick John Monson, Baron, 1809-1841",former owner.,,,human,"Frederick John Monson, 5th Baron Monson",Q28792850
"Nabi, 1641 or 1642-1712",author,نابی، 1641 ياخود 1642-1712,,human,Yusuf Nabi,Q2351863
"Nasafī, ʻAbd Allāh ibn Aḥmad, -1310",author,نسفي، عبد الله بن احمد، -1310,,human,ʿAbdallāh Ibn-Aḥmad Nasafī,Q12223449
"Nābulusī, ʻAbd al-Ghanī ibn Ismāʻīl, 1641-1731",author,,http://id.loc.gov/authorities/names/n83198301,human,Abd al-Ghani al-Nabulsi,Q4164547
Nene,author,,,organization,Nenê de Vila Matilde,Q10287372
Nicholas of Gorran,author,,,human,Nicholas of Gorran,Q3340931
Nicholas of Lyra,author,,,human,Nicholas of Lyra,Q1969164
"Nicholas, of Lyra, approximately 1270-1349",author,,http://id.loc.gov/authorities/names/n81077197.html,human,Nicholas of Lyra,Q1969164
"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",author,‏نظامى گنجوى،‏ 1140 یا 1141-1202 یا 1203,,human,Nezami Ganjavi,Q234908
"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",author,نظامى گنجوى، 1140 یا 1141-1202 یا 1203,,human,Nezami Ganjavi,Q234908
"North, Frederick, Earl of Guilford, 1766-1827",former owner.,,,human,Frederick North,Q333623
Origen,author,,,human,Origen,Q170472
"Page-Turner, Gregory Osborne, Sir, 1785-1843",former owner,,,human,"Sir Gregory Osborne Page-Turner, 4th Bt.",Q75874518
"Paolo, Veneto, approximately 1370-1428",author,,,human,Paul of Venice,Q2064265
"Parsons, Edward Alexander, 1878-1962",former owner.,,,human,Edward Alexander Parsons,Q59631299
Paul the Deacon,author,,,human,Paul the Deacon,Q160424
Pedro de Valencia,author,,,human,Pedro de Valencia,Q3374154
"Pennypacker, Samuel W. (Samuel Whitaker), 1843-1916",former owner,,,human,Samuel W. Pennypacker,Q540418
Peter Comestor,author,,,human,Petrus Comestor,Q785250
Peter Damian,author,,,human,Peter Damian,Q258369
Peter Lombard,author,,,human,Peter Lombard,Q315347
Peter Riga (Petrus Riga),author,,,human,Petrus Riga,Q556117
Peter of Bergamo,author,,,human,Peter of Bergamo,Q7177913
Petrus Placentinus,author,,,human,Placentinus,Q974126
"Phillipps, Thomas, Sir, 1792-1872",former owner.,,,human,Thomas Phillipps,Q2147709
"Phillipps, Thomas, Sir, 1792-1872",former owner,,,human,Thomas Phillipps,Q2147709
"Phillipps, Thomas, Sir, 1792-1872","former owner.; Fenwick, Thomas FitzRoy Phillipps, 1856-1938,former owner.; Cline Collection.",,,human,Thomas Phillipps,Q2147709
"Phillips, Thomas, Sir, 1792-1872",former owner,,,human,Thomas Phillipps,Q2147709
"Pistrucci, Benedetto, 1783-1855",former owner,,,human,Benedetto Pistrucci,Q327504
Pius II,author,,,human,Pius II,Q101437
"Pius VI, Pope, 1717-1799",former owner.,,,human,Pius VI,Q128019
Plato,author.,,,human,Plato,Q859
Pliny the Younger,author,,,human,Pliny the Younger,Q168707
"Pliny, the Elder",author,,,human,Pliny the Elder,Q82778
Poblet (Monastery),former owner.,,,organization,Poblet Monastery,Q645157
Priscian,author,,,human,Priscian,Q356433
Pseudo Abdias,author,,,human,Pseudo-Abdias,Q7254393
Pseudo Aristotle,author,,,human,Pseudo-Aristotle,Q1783131
Pseudo Augustine of Hippo,author,,,human,Pseudo-Augustine,Q1241114
Pseudo Aurelius Victor,author,,,human,Pseudo-Aurelius Victor,Q98588079
Pseudo Cicero,author,,,human,Pseudo-Cicero,Q67405713
Pseudo Phalaris,author,,,human,Pseudo-Phalaris,Q101173400
Pseudo-Cicero,author,,,human,Pseudo-Cicero,Q67405713
Pseudo-Cyprian,author,,,human,Pseudo-Cyprian,Q66134384
"Qārī al-Harawī, ʻAlī ibn Sulṭān Muḥammad, -1605 or 1606",author,,http://id.loc.gov/authorities/names/n82091823,human,Ali al-Qari,Q2836379
"Quaritch, Bernard",former owner,,,human,Bernard Quaritch,Q119818
"Quodvultdeus, Bishop of Carthage, -454?",author,,https://viaf.org/viaf/250796368,human,Quodvultdeus,Q608506
"Quṭb al-Shīrāzī, Maḥmūd ibn Masʻūd, 1236 or 1237-1310 or 1311",author,قطب الشيرازي، محمود بن مسعود، 1236 أو 1237-1310 أو 1311,,human,Qutb al-Din al-Shirazi,Q729903
"Quṭb al-Taḥtānī, Muḥammad ibn Muḥammad, 1294 or 1295-1364 or 1365",author,قطب التحتاني، محمد بن محمد، 1294 أو 1295-1364 أو 1365,,human,Muḥammad ibn Muḥammad Quṭb al-Taḥtānī,Q12233267
Rabanus Maurus,author,,,human,Rabanus Maurus,Q160441
"Rabanus Maurus, Archbishop of Mainz, 784?-856",author.,,,human,Rabanus Maurus,Q160441
Raymond of Pennafort,author,,,human,Raymond of Penyafort,Q318980
"Raymond, of Peñafort, Saint, 1175?-1275",author,,,human,Raymond of Penyafort,Q318980
Rāmānandasarasvatī,author,,,human,Rāmānandasarasvatī,Q94635099
"Regiomontanus, Joannes, 1436-1476",author,,,human,Regiomontanus,Q76365
Richard Rolle,author,,,human,Richard Rolle,Q2345308
"Richard, of St. Victor, -1173",author,,,human,Richard of Saint Victor,Q1344799
"Richard, of St. Victor, -1173",author,,http://id.loc.gov/authorities/names/n79076053.html,human,Richard of Saint Victor,Q1344799
Roberto Caraccioli,author,,,human,Roberto Caracciolo,Q15430545
Roffredus Beneventanus,author,,,human,Roffredo Epifanio,Q3940064
"Rosenbach, A. S. W. (Abraham Simon Wolf), 1876-1952",former owner,,,human,A. S. W. Rosenbach,Q3663160
