title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add
"Razmnama Leaf, The Fateful Game of Dice; Razmnama Leaf",,,,,Razmnama leaf
"Razmnama Leaf, The Fifth Day of Battle; Razmnama Leaf",,,,,Razmnama leaf
"Razmnama Leaf, The First Day of Battle; Razmnama Leaf",,,,,Razmnama leaf
"Razmnama Leaf, The Gods Arrive to Escort King Ikshvaku and the Pious Brahman to Heaven; Razmnama Leaf",,,,,Razmnama leaf
"Razmnama Leaf, The Importance of Honoring One's Teacher; Razmnama Leaf",,,,,Razmnama leaf
"Razmnama Leaf, The Monkeys and Bears Construct a Bridge to Lanka; Razmnama Leaf",,,,,Razmnama leaf
"Razmnama Leaf, The River Goddess Ganga Explains Why Trees Are Uprooted while Reeds Are Not; Razmnama Leaf",,,,,Razmnama leaf
"Razmnama Leaf, The Sarngaka Birds Survive the Burning of the Khandava Forest; Razmnama Leaf",,,,,Razmnama leaf
"Razmnama Leaf, Yudhishthira and Draupadi Give Away Their Possessions to Brahmans; Razmnama Leaf",,,,,Razmnama leaf
Readings on Statutes,,,,Statutes,
Recognizance,,,,Recognizance,
"Record of an Agreement made in the Queen's Court, Westminster, 1572",,,,Records,
Registrum epistolarum (Register of Letters),,,,Registrum epistolarum,
Religious manual,,,,Religious manual,
Religious verse,,,,Religious verse,
Repertorium juris civilis (Catalog of Civil Law),,,,Repertorium juris civilis,
Revelation 1:20 - 2:17,,,,Bible;Apocalypse,
Revelations,,,,Bible;Apocalypse,
Rituale Dominicanum (Dominican Ritual),,,,Rituale Dominicanum,
Rule of Saint Augustine; Sermon on Matthew 25:6,,,,Rule of St. Augustine;Sermons,
"Rule of the order of the Jesuati of San Giusto alle mura, Florence",,,,Rule of Jesuati of San Giusto alle mura,
Sacramentary,,,,Sacramentary,
"Saint Vincent Ferrer, Sermons, Incunabulum printed at Cologne by Quentell, 1485",,,,Sermons,
Samaritan liturgy.,,,,,Samaritan liturgy
Scenes from story of Joseph and his brethren,,,,Series of illustrations,
Scholastic Philosophical Treatise,,,,Scholastic philosophical treatise,
Scholastic Philsophical Treatise on the Senses,,,,Scholastic philosophical treatise,
Scholastic Theological Treatise,,,,Scholastic theological treatise,
Scholastic Theological Treatise on Creation and Grace,,,,Scholastic theological treatise,
Scholastic Treatise on Baptism,,,,Scholastic treatise,
Scholastic Treatise on Logic,,,,Scholastic treatise,
School Text with Marginal Commentary,,,,School text,
Schwabenspiegel,,,,Schwabenspiegel,
Secreta secretorum (Secrets of Secrets),,,,Secrets of secrets,
Selections from the Qurʼān.,,,,,Selections from the Qurʼān
Sententiae (Sentences),,,,Sentences,
Sermon,,,,Sermons,
Sermon (Maximus of Turin),,,,Sermons,
Sermon Lectionary,,,,Lectionary,
Sermon at the Dedication of a Church,,,,Sermons,
Sermons,,,,Sermons,
Service book,,,,Missal,
"Shahnamah Leaf, Kamus Fighting; Shahnamah Leaf, Rostam Fighting Kamus",,,,,Shahnamah leaf
"Shahnamah Leaf, Rostam Lassoes the Khaqan of China; Shahnamah Leaf",,,,,Shahnamah leaf
"Shahnamah Leaf, Shirin Greets Khusraw",,,,,Shahnamah leaf
"Shahnamah Leaf, the Battle of the Iranians and the Turanians; Shahnamah Leaf",,,,,Shahnamah leaf
Sharafnāmah.,[شرفنامه],,,,Sharafnāmah
Shāhnāmah.,[شاهنامه],,,,Shāhnāmah
Shāhnāmah.,شاهنامه,,,,Shāhnāmah
Shāhʹnāmah.,شاه‌نامه,,,,Shāhnāmah
Siege of a castle,,,,Miniature,
St. Bartholomew,,,,Miniature,
St. Dominic,,,,Historiated initial,
St. Francis exalts the spring and the tree,,,,Miniature,
"St. Francis meets Chastity, Poverty, and Obedience",,,,Miniature,
St. Martha,,,,Miniature,
St. Notburga,,,,Miniature,
St. Peter preaching the Gospel,,,,Miniature,
St. Theodore,,,,Miniature,
Statuta Angliae,,,,Statuta Angliae,
Statuta nova (New Statutes),,,,New statutes,
Statuta vetera (Old Statutes),,,,Antiqua statuta,
Statuta vetera (Old statutes),,,,Antiqua statuta,
Stella di salute,,,,Stella di salute,
Summa confessionis,,,,Summa confessionis,
"Summa de casibus poenitentia, glossed",,,,Summa de casibus poenitentia,
Summa de virtutibus (Treatise on the virtues); Summa vitiorum (Treatise on the vices),,,,Summa de virtutibus;Summa vitiorum,
Syriac hymns and prayers.,,,,,Syriac hymns and prayers
Tercüme-yi manzume-yi Gulistān.,ترجمۀ منظومۀ گلستان,,,,Tercüme-yi manzume-yi Gulistān
Text Fragment,,,,Text fragment,
"The Ordinary of Christian Men, printed by Wynkyn de Worde, 1502",,,,The ordinary of Christian men,
Theological Notes,,,,Theological notes,
Theological Tract,,,,Theological treatise,
Theological Treatise,,,,Theological treatise,
Theological Treatise on Love as a Virtue,,,,Theological treatise,
Theological Treatise on Virtues,,,,Theological treatise,
Theological Treatise on the State of Man Before Sin,,,,Theological treatise,
Theological fragment,,,,Theological treatise,
Theological miscellany,,,,Theological miscellany,
Three Marys at the tomb,,,,Historiated initial,
Three poems on piety.,,,,,Three poems on piety
Tobias (History of Tobias),,,,Bible;Tobit,
Tractatus 'De Causis',,,,Tractatus de causis,
Tractatus de maleficiis (Treatise on evil deeds),,,,Treatise on evil deeds,
Tractatus moralis de virtutibus (Moral Tract on the Virtues),,,,Tractatus moralis de virtutibus,
Treatise on Ethics,,,,Ethical treatise,
Treatise on Logic,,,,Treatise on logic,
Treatise on Poverty,,,,Treatise on poverty,
Treatise on the construction of an astrolabe,,,,Treatise on the construction of an astrolabe,
Triumphal Entry of a Princely Couple,,,,Miniature,
Tuḥfah-ʼi Shāhidī.,[تحفۀ شاهدى],,,,Tuḥfah-ʼi Shāhidī
Two Drawings of a Mughal Princess in Roundels,,,,,Two drawings of a Mughal princess in roundels
Tārīkh-i Kashmīr.,تاريخ کشمير,,,,Tārīkh-i Kashmīr
Tārīkh-i Nādirī.,[تاريخ نادرى],,,,Tārīkh-i Nādirī
Tārīkh-i Salānīkī.,تاريخ سلانيکى,,,,Tārīkh-i Salānīkī
Tārīkh-i ilāhī haz̤rat Akbar pādishāh.,تارىخ الهى حضرت اکبر پادشاه,,,,Tārīkh-i ilāhī haz̤rat Akbar pādishāh
Tīmūrnāmah.,[تيمورنامه],,,,Tīmūrnāmah
Undetermined,,,,Unknown,
Unfinished Drawing of Heads in Profile,,,,,Unfinished drawing of heads in profile
Unfinished Drawing of Mullahs,,,,,Unfinished drawing of Mullahs
Unfinished Drawing of Shah Abbas,,,,,Unfinished drawing of Shah Abbas
Unfinished Drawing of a Man Holding a Staff,,,,,Unfinished drawing of a man holding a staff
Unfinished Drawing of a Man with a Hookah; Drawing of Musicians,,,,,Unfinished drawing of a man with hookah; drawing of musicians
Unfinished Drawing of the Faces of Mughal Emperors,,,,,Unfinished drawing of the faces of Mughal emperors
Unfinished Painting of a Seated Man Wearing a Taqiyah; Unfinished Drawing of a Woman with a Jeweled Nose Ring,,,,,Unfinished painting of a seated man wearing a Taqiyah; Unfinished drawing of a woman with a jeweled nose ring
Unfinished Painting of an Emperor on His Throne,,,,,Unfinished painting of an emperor on his throne
Unknown,,,,Unknown,
Vaqfname-yi Ahmet Paşa.,[وقفنامۀ احمد پاشا],,,,Vaqfname-yi Ahmet Paşa
Vaqfnāmah-ʼi Shāh Sulṭān Ḥusayn Ṣafavī.,[وقفنامۀ شاه سلطان حسين صفوى],,,,Vaqfnāmah-ʼi Shāh Sulṭān Ḥusayn Ṣafavī
Verse from Exodus 25,,,,Exodus,
View of stability taken by Ana Maria de Rul y Romero on entering the Cistercian convent of Santa Maria,,,,Vow of stability,
Vita Sancti Silvestri Papae,,,,Life of Pope Sylvester,
Vitae Sanctorum: Saints Remigius and Dionysius (Remy and Denis),,,,Lives of Sts. Remy and Denis,
"Vitae XII caesarium (Lives of the twelve caesars), fragment and Book of Hours leaf",,,,Lives of the twelve caesars;Book of hours,
Vitae patrum (Lives of the Fathers),,,,Lives of the fathers,
Vow of stability taken by Gertrudis Maria on entering the Cistercian convent of Santa Maria,,,,Vow of stability,
Vow of stability taken by Maria Paula on entering the Cistercian convent of Santa Maria,,,,Vow of stability,
Vāmiq va ʻAz̲rā.,وامق و عذرا,,,,Vāmiq va ʻAz̲rā
Wheel of Sevens,,,,Wheel of sevens,
"Will, in English",,,,Will,
Wisdom personified,,,,Miniature,
Works of St. Gregory,,,,Opera,
Yūsuf va Zulaykhā.,[يوسف و زليخا],,,,Yūsuf va Zulaykhā
Zechariah 11:16 - 12:4,,,,Bible;Zachariah,
al-Juzʼ al-sābiʻ wa-al-ʻishrūn.,الجزء السابع والعشرون,,,Qurʼan,
al-Qurʼān.,[القرآن],,,Qurʼan,
al-Qurʼān.,القرآن,,,Qurʼan,
al-Tawḍīḥ.,التوضيح,,,,al-Tawḍīḥ
undetermined,,,,Unknown,
ʻAjāʼib al-makhlūqāt.,عجائب المخلوقات,,,,ʻAjāʼib al-makhlūqāt
Ḥikāyat aṣḥāb al-kahf.,حكاية اصحاب الكهف,,,,Ḥikāyat aṣḥāb al-kahf
Ḥishmat-i Kashmīr.,حشمت کشمير,,,,Ḥishmat-i Kashmīr
