ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title_as_recorded,uniform_title_agr,title_as_recorded,title_as_recorded_agr,standard_title,genre_as_recorded,genre_vocabulary,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent,associated_agent_label,associated_agent_wikidata,associated_agent_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey","",MC 0886:01,https://archive.org/details/MC088601_6,https://iiif.archivelab.org/iiif/images_MC088601_6/manifest.json,France,http://vocab.getty.edu/tgn/1000070,France,s. XV(2); 1450-1499,1450^1499,15,http://vocab.getty.edu/aat/300404465,false,"","",Book of Hours,"",Book of hours,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",French,Q150,French,Ownership stamp of a Jesuit institution in Valencia; acquired in 1989 from P. Pirages.,"","",Phillip J. Pirages Fine Books & Manuscripts,Q116790542,organization,"","","","",f. 1r-v: Latin.|f. 1r-v: Calendar for January.,"",2023-06-27T15:27:35-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134005.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey","",MC 0886:02,https://archive.org/details/MC088602_6,https://iiif.archivelab.org/iiif/images_MC088602_6/manifest.json,"France, Brittany",http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024267,France;Brittany,s. XV(1); 1400-1450,1400^1450,15,http://vocab.getty.edu/aat/300404465,false,"","","Book of Hours, use of Dol","",Book of hours,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,Acquired in 1989 from P. Pirages.,"","",Phillip J. Pirages Fine Books & Manuscripts,Q116790542,organization,"","","","Other decoration, f. 1r-v: One 2-line gold initial.|Layout, f. 1r-v: 14 long lines ruled in pale red ink.",f. 1r-v: Latin.|f. 1r-v: With modern pencil note comparing text to a version in HCL (Harvard College Library?).,"",2023-06-27T15:27:35-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134006.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey","",MC 0886:03,https://archive.org/details/MC088603_6,https://iiif.archivelab.org/iiif/images_MC088603_6/manifest.json,France,http://vocab.getty.edu/tgn/1000070,France,s. XV(2); 1450-1499,1450^1499,15,http://vocab.getty.edu/aat/300404465,false,"","",Book of Hours,"",Book of hours,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,Acquired in 1989 from P. Pirages.,"","",Phillip J. Pirages Fine Books & Manuscripts,Q116790542,organization,"","","","Other decoration, f. 1r-v: 2-line and 1-line gold initials.|Layout, f. 1r-v: 16 long lines ruled in pale red ink.",f. 1r-v: Latin.,"",2023-06-27T15:27:35-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134007.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey","",MC 0886:04,https://archive.org/details/MC088604_6,https://iiif.archivelab.org/iiif/images_MC088604_6/manifest.json,Belgium,http://vocab.getty.edu/tgn/1000063,Belgium,s. XV(2); 1450-1499,1450^1499,15,http://vocab.getty.edu/aat/300404465,false,"","",Book of Hours,"",Book of hours,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin; Dutch,Q397;Q7411,Latin;Dutch,Acquired in 1989 from P. Pirages.,"","",Phillip J. Pirages Fine Books & Manuscripts,Q116790542,organization,"","","","Other decoration, f. 1r-v: 2-line and 1-line gold initials.|Layout, f. 1r-v: 16 long lines; frame ruled in pale red ink.",f. 1r-v: Latin.,"",2023-06-27T15:27:35-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134008.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey","",MC 0886:05,https://archive.org/details/MC088605_6,https://iiif.archivelab.org/iiif/images_MC088605_6/manifest.json,Italy,http://vocab.getty.edu/tgn/1000080,Italy,s. XV(ex); 1485-1499,1485^1499,15,http://vocab.getty.edu/aat/300404465,false,"","",Breviary for Augustinian use,"",Breviary,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,Acquired in 1989 from P. Pirages.,"","",Phillip J. Pirages Fine Books & Manuscripts,Q116790542,organization,"","","","Other decoration, f. 1r-v: 2-line initials in alternating red (with simple flourishing in purple) and blue (with simple flourishing in red).|Layout, f. 1r-v: 2 columns of 31 lines.",f. 1r-v: Latin.,"",2023-06-27T15:27:35-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134009.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey","",MC 0886:06,https://archive.org/details/MC088606_6,https://iiif.archivelab.org/iiif/images_MC088606_6/manifest.json,Germany,http://vocab.getty.edu/tgn/7000084,Germany,s. XIV; 1300-1399,1300^1399,14,http://vocab.getty.edu/aat/300404506,false,"","",Gradual,"",Gradual,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,Acquired in 1989 from P. Pirages.,"","",Phillip J. Pirages Fine Books & Manuscripts,Q116790542,organization,"","","","Script, f. 1r-v: Gothic.|Music, f. 1r-v: Square notation on 4-line red staves.|Layout, f. 1r-v: 9 lines of text and music.",f. 1r-v: Latin.,f. 1r-v: Country and revised date attribution courtesy of C.W. Dutschke.,2023-06-27T15:27:35-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134010.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey","",MC 0886:08,https://archive.org/details/MC088608_6,https://iiif.archivelab.org/iiif/images_MC088608_6/manifest.json,"Spain, Valencia",http://vocab.getty.edu/tgn/1000095;http://vocab.getty.edu/tgn/7008769,Spain;Valencia,s. XV(1); 1400-1450,1400^1450,15,http://vocab.getty.edu/aat/300404465,false,"","",Rules of the Brotherhood of the Archangel Michael,"",Rules of the Brotherhood of the Archangel Michael,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Catalan,Q7026,Catalan,Acquired in 1990 from P. Pirages.,"","",Phillip J. Pirages Fine Books & Manuscripts,Q116790542,organization,"","","","",f. 1r-v: Latin.,f. 1r-v: Language identification courtesy of Dr. Thomas Izbicki.,2023-06-27T15:27:35-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134011.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey","",MC 0886:09,https://archive.org/details/MC088609_6,https://iiif.archivelab.org/iiif/images_MC088609_6/manifest.json,Spain,http://vocab.getty.edu/tgn/1000095,Spain,s. XVI(1/4); 1500-1525,1500^1525,16,http://vocab.getty.edu/aat/300404510,false,"","",Grant of arms,"",Arms,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Spanish,Q1321,Spanish,Acquired in 1990 from P. Pirages.,"","",Phillip J. Pirages Fine Books & Manuscripts,Q116790542,organization,"","","","Other decoration, f. 1r-v: One gold initial, 3-line, on field of red.|Layout, f. 1r-v: 40 long lines ruled in pale red ink.","f. 1r-v: Latin.|Explicit, f. 1r-v: Medina del Campo mentioned in text.|Docket: Medina del Campo mentioned in text.","",2023-06-27T15:27:35-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134012.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey","",MC 0886:10,https://archive.org/details/MC088610_6,https://iiif.archivelab.org/iiif/images_MC088610_6/manifest.json,England,http://vocab.getty.edu/tgn/7002445,England,s. XIII(1); 1200-1250,1200^1250,13,http://vocab.getty.edu/aat/300404505,false,"","",Bible,"",Bible,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,Acquired in 1990 from P. Pirages.,"","",Phillip J. Pirages Fine Books & Manuscripts,Q116790542,organization,"","","","Other decoration, f. 1r-v: 2-line initials in red and blue with penwork flourishing in the contrasting color.|Layout, f. 1r-v: 2 columns of 54 lines.","f. 1r-v: Latin.|f. 1r-v: Contains Isaiah chapters 8-11. Significant noting in margins, with one note specified as ""Glossa""; some interlinear notes on recto, column a.","",2023-06-27T15:27:35-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134013.xml
,,,digital-scriptorium,Q499451,"Rutgers, The State University of New Jersey","",MC 0886:11,https://archive.org/details/MC088611_6,https://iiif.archivelab.org/iiif/images_MC088611_6/manifest.json,France,http://vocab.getty.edu/tgn/1000070,France,s. XIII(2/4); 1225-1250,1225^1250,13,http://vocab.getty.edu/aat/300404505,false,"","",Bible,"",Bible,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,Acquired in 1990 from P. Pirages.,"","",Phillip J. Pirages Fine Books & Manuscripts,Q116790542,organization,"","","","Other decoration, f. 1r-v: 2-line initals in red or blue with penwork flourishing in the contasting color.|Layout, f. 1r-v: 2 columns of 46-47 lines.","f. 1r-v: Complete codex attributed by bookseller to workshop of the Dominican Painter.|f. 1r-v: Latin.|f. 1r-v: Contains parts of Isaiah, chapters 51-54.","",2023-06-27T15:27:35-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/rutgers/mets/ds_50_6_00134014.xml
