subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label,structured_value,ds_qid
12th century,fast,a,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
12th century.,fast,a,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
1399-1485,fast,a,,1399-1485,http://id.worldcat.org/fast/1355517,Q4246
1399-1485.,fast,a,,1399-1485,http://id.worldcat.org/fast/1355517,Q4246
13th-15th centuries,fast,a,,Thirteenth century;Fourteenth century;Fifteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962,Q245;Q295;Q154
13th-15th centuries.,fast,a,,Thirteenth century;Fourteenth century;Fifteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962,Q245;Q295;Q154
13th century,fast,a,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
13th century.,fast,a,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
1442-1707,fast,a,,1442-1707,http://id.worldcat.org/fast/1355537,Q4272
1442-1707.,fast,a,,1442-1707,http://id.worldcat.org/fast/1355537,Q4272
14th century,fast,a,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
14th century.,fast,a,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
15th century,fast,a,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
15th century.,fast,a,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
1600-1868,fast,a,,1600-1868,http://id.worldcat.org/fast/1355642,Q12634
16th century,fast,a,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
16th century.,fast,a,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
17th century,fast,a,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
17th century.,fast,a,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
18th century,fast,a,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
18th century.,fast,a,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
600-1500,fast,a,,500-1500,http://id.worldcat.org/fast/1355938,Q4252
"Aachen, Hans von, 1552-1615",0,a;d,,"Aachen, Hans von, 1552-1615",http://id.worldcat.org/fast/260595,Q38556
Abbaye de Corbie,0,a,,Abbaye de Corbie,http://id.worldcat.org/fast/676843,Q38557
Abbaye de Fontfroide,0,a,,Abbaye de Fontfroide,http://id.worldcat.org/fast/1628589,Q38558
"Abbaye de Montier-en-Der (Montier-en-Der, France)",0,a,,"Abbaye de Montier-en-Der (Montier-en-Der, France)",http://id.worldcat.org/fast/768564,Q38559
"Abbaye Saint-André (Villeneuve-lès-Avignon, France)",0,a,,"Abbaye Saint-André (Villeneuve-lès-Avignon, France)",http://id.worldcat.org/fast/774515,Q38560
Abbazia di Morimondo,0,a,,Abbazia di Morimondo,http://id.worldcat.org/fast/690519,Q38561
Abbazia di Morimondo--Library--Catalogs,0,a--x--v,,Abbazia di Morimondo;Library catalogs;Catalogs,http://id.worldcat.org/fast/690519;http://id.worldcat.org/fast/997669;http://id.worldcat.org/fast/1423692,Q38561;Q38562;Q12586
"Abbazia di Santa Giustina (Padua, Italy)--Manuscripts--Early works to 1800",0,a--x--v,,"Abbazia di Santa Giustina (Padua, Italy);Manuscripts;Early works",http://id.worldcat.org/fast/544580;http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1411636,Q16303;Q331;Q300
"Abbazia di Santa Giustina (Padua, Italy)--Manuscripts--Early works to 1800.",0,a--x--v,,"Abbazia di Santa Giustina (Padua, Italy);Manuscripts;Early works",http://id.worldcat.org/fast/544580;http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1411636,Q16303;Q331;Q300
"Abdel Gawad, Mohammed.--Manuscripts",0,a--v,,Manuscripts,http://id.worldcat.org/fast/1424060,Q331
Absalom (Biblical figure),fast,a;c,http://id.worldcat.org/fast/1801890,Absalom (Biblical figure),http://id.worldcat.org/fast/1801890,Q4162
Absalom (Biblical figure),0,a;c,http://id.loc.gov/authorities/names/n88240985,Absalom (Biblical figure),http://id.worldcat.org/fast/1801890,Q4162
"Abū al-Jaysh, Muḥammad ibn Ḥusayn, -1228 or 1229. ʻArūḍ al-Andalusī",0,a;d;t,,"ʻArūḍ al-Andalusī (Abū al-Jaysh, Muḥammad ibn Ḥusayn)",http://id.worldcat.org/fast/2058679,Q11185
"Abū al-Jaysh, Muḥammad ibn Ḥusayn, -1228 or 1229. ʻArūḍ al-Andalusī.",0,a;d;t,,"ʻArūḍ al-Andalusī (Abū al-Jaysh, Muḥammad ibn Ḥusayn)",http://id.worldcat.org/fast/2058679,Q11185
"Abū Ḥanīfah, -767 or 768",0,a;d,http://id.loc.gov/authorities/names/n82031776--(uri) http://id.loc.gov/authorities/names/n82031776--(uri) http://viaf.org/viaf/sourceID/LC%7cn82031776,"Abū Ḥanīfah, -767 or 768",http://id.worldcat.org/fast/1803236,Q11595
"Abū Ḥanīfah, -767 or 768",fast,a;d,(OCoLC)fst01803236,"Abū Ḥanīfah, -767 or 768",http://id.worldcat.org/fast/1803236,Q11595
"Abū Ḥanīfah, -767 or 768.",fast,a;d,(OCoLC)fst01803236,"Abū Ḥanīfah, -767 or 768",http://id.worldcat.org/fast/1803236,Q11595
"Abū Ḥanīfah, -767 or 768.",0,a;d,http://id.loc.gov/authorities/names/n82031776--(uri) http://id.loc.gov/authorities/names/n82031776--(uri) http://viaf.org/viaf/sourceID/LC%7cn82031776,"Abū Ḥanīfah, -767 or 768",http://id.worldcat.org/fast/1803236,Q11595
"Abū Ḥanīfah, -767 or 768. Fiqh al-akbar",0,a;d;t,,Fiqh al-akbar (Abū Ḥanīfah),http://id.worldcat.org/fast/1374867,Q11177
"Abū Ḥanīfah, -767 or 768. Fiqh al-akbar.",0,a;d;t,,Fiqh al-akbar (Abū Ḥanīfah),http://id.worldcat.org/fast/1374867,Q11177
"Abū Ḥanīfah, -767 or 768--Early works to 1800",0,a;d--v,,"Abū Ḥanīfah, -767 or 768;Early works",http://id.worldcat.org/fast/1803236;http://id.worldcat.org/fast/1411636,Q11595;Q300
"Abū Ḥanīfah, -767 or 768--Early works to 1800.",0,a;d--v,,"Abū Ḥanīfah, -767 or 768;Early works",http://id.worldcat.org/fast/1803236;http://id.worldcat.org/fast/1411636,Q11595;Q300
"Abū Nuwās, approximately 756-approximately 810",0,a;d,,"Abū Nuwās, approximately 756-approximately 810",http://id.worldcat.org/fast/1803251,Q11179
"Abū Nuwās, approximately 756-approximately 810.",0,a;d,,"Abū Nuwās, approximately 756-approximately 810",http://id.worldcat.org/fast/1803251,Q11179
"Abū Shujāʻ al-Iṣfahānī, Aḥmad ibn al-Ḥusayn, approximately 1042- Mukhtaṣar fī al-fiqh ʻalá madhhab al-Shāfiʻī",0,a;d;t,http://id.loc.gov/authorities/names/n2005023737,"Mukhtaṣar fī al-fiqh ʻalá madhhab al-Shāfiʻī (Abū Shujāʻ al-Iṣfahānī, Aḥmad ibn al-Ḥusayn)",http://id.worldcat.org/fast/1403587,Q11280
"Abū Shujāʻ al-Iṣfahānī, Aḥmad ibn al-Ḥusayn, approximately 1042- Mukhtaṣar fī al-fiqh ʻalá madhhab al-Shāfiʻī.",0,a;d;t,http://id.loc.gov/authorities/names/n2005023737,"Mukhtaṣar fī al-fiqh ʻalá madhhab al-Shāfiʻī (Abū Shujāʻ al-Iṣfahānī, Aḥmad ibn al-Ḥusayn)",http://id.worldcat.org/fast/1403587,Q11280
"Abū ʻAmr ibn al-ʻAlāʼ, 689 or 690-770 or 771",0,a;d,,"Abū ʻAmr ibn al-ʻAlāʼ, 689 or 690-770 or 771",http://id.worldcat.org/fast/1803221,Q11461
"Abū ʻAmr ibn al-ʻAlāʼ, 689 or 690-770 or 771.",0,a;d,,"Abū ʻAmr ibn al-ʻAlāʼ, 689 or 690-770 or 771",http://id.worldcat.org/fast/1803221,Q11461
"Accursius, glossator, approximately 1182-approximately 1260--Manuscripts",0,a;c;d--v,,"Accursius, glossator, approximately 1182-approximately 1260;Manuscripts",http://id.worldcat.org/fast/1803294;http://id.worldcat.org/fast/1424060,Q38563;Q331
Adam (Biblical figure)--Islamic interpretations--Early works to 1800,0,a;c--x--v,,Adam (Biblical figure);Islamic interpretations of Adam;Early works,http://id.worldcat.org/fast/87719;http://id.worldcat.org/fast/1353429;http://id.worldcat.org/fast/1411636,Q11497;Q11381;Q300
Adam (Biblical figure)--Islamic interpretations--Early works to 1800.,0,a;c--x--v,,Adam (Biblical figure);Islamic interpretations of Adam;Early works,http://id.worldcat.org/fast/87719;http://id.worldcat.org/fast/1353429;http://id.worldcat.org/fast/1411636,Q11497;Q11381;Q300
"Adrian VI, Pope, 1459-1523",fast,a;b;c;d,http://id.worldcat.org/fast/50541,"Adrian VI, Pope, 1459-1523",http://id.worldcat.org/fast/50541,Q4877
"Adrian VI, Pope, 1459-1523",0,a;b;c;d,http://id.loc.gov/authorities/names/n80020628,"Adrian VI, Pope, 1459-1523",http://id.worldcat.org/fast/50541,Q4877
"Adrian VI, Pope, 1459-1523.",fast,a;b;c;d,http://id.worldcat.org/fast/50541,"Adrian VI, Pope, 1459-1523",http://id.worldcat.org/fast/50541,Q4877
"Adrian VI, Pope, 1459-1523.",0,a;b;c;d,http://id.loc.gov/authorities/names/n80020628,"Adrian VI, Pope, 1459-1523",http://id.worldcat.org/fast/50541,Q4877
"Aegidius, Saint, Abbot",fast,a;c,http://id.worldcat.org/fast/130602,"Aegidius, Saint, Abbot",http://id.worldcat.org/fast/130602,Q7191
"Aegidius, Saint, Abbot--Poetry",0,a;c--v,,"Aegidius, Saint, Abbot;Poetry",http://id.worldcat.org/fast/130602;http://id.worldcat.org/fast/1423828,Q7191;Q247
"Aegidius, Saint, Abbot--Poetry.",0,a;c--v,,"Aegidius, Saint, Abbot;Poetry",http://id.worldcat.org/fast/130602;http://id.worldcat.org/fast/1423828,Q7191;Q247
Aeneas (Legendary character),0,a;c,,Aeneas (Legendary character),http://id.worldcat.org/fast/798041,Q38564
Aeneas (Legendary character)--Poetry,0,a;c--v,,Aeneas (Legendary character);Poetry,http://id.worldcat.org/fast/798041;http://id.worldcat.org/fast/1423828,Q38564;Q247
Aeneis (Virgil),fast,a,(OCoLC)fst01356034,Aeneis (Virgil),http://id.worldcat.org/fast/1356034,Q48123
"Agamemnon, King of Mycenae (Mythological character)--Drama",0,a;c--v,,"Agamemnon, King of Mycenae (Mythological character);Drama",http://id.worldcat.org/fast/800082;http://id.worldcat.org/fast/1423879,Q38565;Q3010
Agni (Hindu deity),fast,a;c,http://id.worldcat.org/fast/800393,Agni (Hindu deity),http://id.worldcat.org/fast/800393,Q27033
Agni (Hindu deity),0,a;c,http://id.loc.gov/authorities/names/n2017240192,Agni (Hindu deity),http://id.worldcat.org/fast/800393,Q27033
"Aḥmad Rashīd ibn Ṣidqī Muṣṭafá, active 19th century--Knowledge and learning",0,a;d--x,,Learning and scholarship,http://id.worldcat.org/fast/994857,Q3591
"Aḥmad Rashīd ibn Ṣidqī Muṣṭafá, active 19th century--Knowledge and learning.",0,a;d--x,,Learning and scholarship,http://id.worldcat.org/fast/994857,Q3591
"Akbar, Emperor of Hindustan, 1542-1605--Portraits--Specimens",0,a;c;d--v--v,,"Akbar, Emperor of Hindustan, 1542-1605;Portraits;Specimens",http://id.worldcat.org/fast/48423;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48932;Q199;Q239
"Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad, 1512 or 1513-1575 or 1576. Sullam",0,a;d;t,,"Sullam (Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad)",http://id.worldcat.org/fast/2058152,Q11165
"Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad, 1512 or 1513-1575 or 1576. Sullam.",0,a;d;t,,"Sullam (Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad)",http://id.worldcat.org/fast/2058152,Q11165
"Alanus, de Insulis, -1202. Anticlaudianus",0,a;c;d;t,,"Anticlaudianus (Alanus, de Insulis)",http://id.worldcat.org/fast/1358646,Q38566
"Alba, Fernando Alvarez de Toledo, duque de, 1507-1582",0,a;c;d,,"Alba, Fernando Alvarez de Toledo, duque de, 1507-1582",http://id.worldcat.org/fast/93137,Q48119
"Alba, Fernando Alvarez de Toledo, duque de, 1507-1582",fast,a;c;d,(OCoLC)fst00093137,"Alba, Fernando Alvarez de Toledo, duque de, 1507-1582",http://id.worldcat.org/fast/93137,Q48119
"Alban, Saint, -304",0,a;c;d,http://id.loc.gov/authorities/names/n80056890,"Alban, Saint, -304?",http://id.worldcat.org/fast/1803873,Q7366
"Alban, Saint, -304",fast,a;c;d,http://id.worldcat.org/fast/1803873,"Alban, Saint, -304?",http://id.worldcat.org/fast/1803873,Q7366
"Alban, Saint, -304?",fast,a;c;d,http://id.worldcat.org/fast/1803873,"Alban, Saint, -304?",http://id.worldcat.org/fast/1803873,Q7366
"Alban, Saint, -304?",0,a;c;d,http://id.loc.gov/authorities/names/n80056890,"Alban, Saint, -304?",http://id.worldcat.org/fast/1803873,Q7366
"Alexander, the Great, 356 B.C.-323 B.C",fast,a;c;d,http://id.worldcat.org/fast/1800513,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C",0,a;c;d,http://id.loc.gov/authorities/names/n79004067,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.",0,a;c;d,,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.",fast,a;c;d,(OCoLC)fst01800513,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.",fast,a;c;d,http://id.worldcat.org/fast/1800513,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.",0,a;c;d,http://id.loc.gov/authorities/names/n79004067,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.--In literature",0,a;c;d--x,,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.--In literature.",0,a;c;d--x,,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.--Romances",0,a;c;d--x,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1099892,Q3018;Q38567
"Alexander, the Great, 356 B.C.-323 B.C.--Romances",0,a;c;d--v,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1423856,Q3018;Q4307
"Alexander, the Great, 356 B.C.-323 B.C.--Romances.",0,a;c;d--x,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1099892,Q3018;Q38567
"Alexander, the Great, 356 B.C.-323 B.C.--Romances.",0,a;c;d--v,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1423856,Q3018;Q4307
"Alexander Balas, King of Syria, -145 B.C",fast,a;c;d,http://id.worldcat.org/fast/1804028,"Alexander Balas, King of Syria, -145 B.C.",http://id.worldcat.org/fast/1804028,Q3049
"Alexander Balas, King of Syria, -145 B.C",0,a;c;d,http://id.loc.gov/authorities/names/nr94004851,"Alexander Balas, King of Syria, -145 B.C.",http://id.worldcat.org/fast/1804028,Q3049
"Alexander Balas, King of Syria, -145 B.C.",0,a;c;d,http://id.loc.gov/authorities/names/nr94004851,"Alexander Balas, King of Syria, -145 B.C.",http://id.worldcat.org/fast/1804028,Q3049
"Alexander Balas, King of Syria, -145 B.C.",fast,a;c;d,http://id.worldcat.org/fast/1804028,"Alexander Balas, King of Syria, -145 B.C.",http://id.worldcat.org/fast/1804028,Q3049
"Alexander III, Pope, -1181",fast,a;b;c;d,http://id.worldcat.org/fast/1804036,"Alexander III, Pope, -1181",http://id.worldcat.org/fast/1804036,Q7161
"Alexander III, Pope, -1181",0,a;b;c;d,http://id.loc.gov/authorities/names/n82090954,"Alexander III, Pope, -1181",http://id.worldcat.org/fast/1804036,Q7161
"Alexander III, Pope, -1181",0,a;b;c;d,,"Alexander III, Pope, -1181",http://id.worldcat.org/fast/1804036,Q7161
"Alexander III, Pope, -1181.",0,a;b;c;d,http://id.loc.gov/authorities/names/n82090954,"Alexander III, Pope, -1181",http://id.worldcat.org/fast/1804036,Q7161
"Alexander III, Pope, -1181.",fast,a;b;c;d,http://id.worldcat.org/fast/1804036,"Alexander III, Pope, -1181",http://id.worldcat.org/fast/1804036,Q7161
"Alexander VII, Pope, 1599-1667",0,a;b;c;d,http://id.loc.gov/authorities/names/n84121289,"Alexander VII, Pope, 1599-1667",http://id.worldcat.org/fast/139321,Q38568
"Alexius, Saint",fast,a;c,http://id.worldcat.org/fast/19214,"Alexius, Saint",http://id.worldcat.org/fast/19214,Q7705
"Alexius, Saint",0,a;c,http://id.loc.gov/authorities/names/n50072216,"Alexius, Saint",http://id.worldcat.org/fast/19214,Q7705
"Alfīyah (Ibn Mālik, Muḥammad ibn ʻAbd Allāh)",fast,a,(OCoLC)fst01360506,"Alfīyah (Ibn Mālik, Muḥammad ibn ʻAbd Allāh)",http://id.worldcat.org/fast/1360506,Q11401
"Alfīyah (Ibn Mālik, Muḥammad ibn ʻAbd Allāh)",fast,a,(OCoLC)fst01360506,"Alfīyah (Ibn Mālik, Muḥammad ibn ʻAbd Allāh)",http://id.worldcat.org/fast/1360506,Q11401
"Alfīyat al-ʻIrāqī (ʻIrāqī, ʻAbd al-Raḥīm ibn al-Ḥusayn)",fast,a,(OCoLC)fst01398866,"Alfīyat al-ʻIrāqī (ʻIrāqī, ʻAbd al-Raḥīm ibn al-Ḥusayn)",http://id.worldcat.org/fast/1398866,Q11278
"Alfīyat al-ʻIrāqī (ʻIrāqī, ʻAbd al-Raḥīm ibn al-Ḥusayn)",fast,a,(OCoLC)fst01398866,"Alfīyat al-ʻIrāqī (ʻIrāqī, ʻAbd al-Raḥīm ibn al-Ḥusayn)",http://id.worldcat.org/fast/1398866,Q11278
"Alfonso II, King of Naples, 1448-1495",0,a;b;c;d,,"Alfonso II, King of Naples, 1448-1495",http://id.worldcat.org/fast/1911455,Q5921
"Alfonso II, King of Naples, 1448-1495.",0,a;b;c;d,,"Alfonso II, King of Naples, 1448-1495",http://id.worldcat.org/fast/1911455,Q5921
"Alfonso III, King of Asturias and Leon, approximately 848-approximately 910",0,a;b;c;d,http://id.loc.gov/authorities/names/n84185944,"Alfonso III, King of Asturias and Leon, approximately 848-approximately 910",http://id.worldcat.org/fast/1804082,Q48221
"Alfonso III, King of Asturias and Leon, approximately 848-approximately 910",fast,a;b;c;d,,"Alfonso III, King of Asturias and Leon, approximately 848-approximately 910",http://id.worldcat.org/fast/1804082,Q48221
"Alfonso I King of Asturias, 693-756",0,a;b;c;d,http://id.loc.gov/authorities/names/n2002027672,"Alfonso I King of Asturias, 693-756",http://id.worldcat.org/fast/475187,Q48220
"Alfonso I King of Asturias, 693-756",fast,a;b;c;d,,"Alfonso I King of Asturias, 693-756",http://id.worldcat.org/fast/475187,Q48220
"Alfonso V, King of Aragon, 1396-1458",fast,a;b;c;d,http://id.worldcat.org/fast/122728,"Alfonso V, King of Aragon, 1396-1458",http://id.worldcat.org/fast/122728,Q6906
"Alfonso V, King of Aragon, 1396-1458",0,a;b;c;d,http://id.loc.gov/authorities/names/n83234911,"Alfonso V, King of Aragon, 1396-1458",http://id.worldcat.org/fast/122728,Q6906
"Alfonso V, King of Aragon, 1396-1458.",fast,a;b;c;d,http://id.worldcat.org/fast/122728,"Alfonso V, King of Aragon, 1396-1458",http://id.worldcat.org/fast/122728,Q6906
"Alfonso V, King of Aragon, 1396-1458.",0,a;b;c;d,http://id.loc.gov/authorities/names/n83234911,"Alfonso V, King of Aragon, 1396-1458",http://id.worldcat.org/fast/122728,Q6906
"Alfonso V, King of Asturias and León, 994-1027 or 1028",0,a;b;c;d,http://id.loc.gov/authorities/names/n99262243,"Alfonso V, King of Asturias and León, 994-1027 or 1028",http://id.worldcat.org/fast/1804083,Q48222
"Alfonso V, King of Asturias and León, 994-1027 or 1028",fast,a;b;c;d,,"Alfonso V, King of Asturias and León, 994-1027 or 1028",http://id.worldcat.org/fast/1804083,Q48222
"Alfonso VI, King of Castile and Leon, 1030-1109",0,a;b;c;d,http://id.loc.gov/authorities/names/n82017962,"Alfonso VI, King of Castile and Leon, 1030-1109",http://id.worldcat.org/fast/86805,Q48225
"Alfonso VI, King of Castile and Leon, 1030-1109",fast,a;b;c;d,,"Alfonso VI, King of Castile and Leon, 1030-1109",http://id.worldcat.org/fast/86805,Q48225
"Alfonso VII, The Emperor, King of Castile, 1104-1157",0,a;b;c;d,http://id.loc.gov/authorities/names/n80128562,"Alfonso VII, The Emperor, King of Castile, 1104-1157",http://id.worldcat.org/fast/61723,Q48226
"Alfonso VII, The Emperor, King of Castile, 1104-1157",fast,a;b;c;d,,"Alfonso VII, The Emperor, King of Castile, 1104-1157",http://id.worldcat.org/fast/61723,Q48226
"Alfonso VIII, King of Castile, 1155-1214",0,a;b;c;d,http://id.loc.gov/authorities/names/n50058369,"Alfonso VIII, King of Castile, 1155-1214",http://id.worldcat.org/fast/18441,Q48228
"Alfonso VIII, King of Castile, 1155-1214",fast,a;b;c;d,,"Alfonso VIII, King of Castile, 1155-1214",http://id.worldcat.org/fast/18441,Q48228
"Alfonso X, King of Castile and Leon, 1221-1284",0,a;b;c;d,,"Alfonso X, King of Castile and Leon, 1221-1284",http://id.worldcat.org/fast/49335,Q6962
"Alfonso X, King of Castile and Leon, 1221-1284",fast,a;b;c;d,(OCoLC)fst00049335,"Alfonso X, King of Castile and Leon, 1221-1284",http://id.worldcat.org/fast/49335,Q6962
"Alfonso X, King of Castile and Leon, 1221-1284",fast,a;b;c;d,,"Alfonso X, King of Castile and Leon, 1221-1284",http://id.worldcat.org/fast/49335,Q6962
"Alfonso X, King of Castile and Leon, 1221-1284",fast,a;b;c;d,http://id.worldcat.org/fast/49335,"Alfonso X, King of Castile and Leon, 1221-1284",http://id.worldcat.org/fast/49335,Q6962
"Alfonso X, King of Castile and Leon, 1221-1284",0,a;b;c;d,http://id.loc.gov/authorities/names/n80010185,"Alfonso X, King of Castile and Leon, 1221-1284",http://id.worldcat.org/fast/49335,Q6962
"Alfonso X, King of Castile and Leon, 1221-1284.",fast,a;b;c;d,http://id.worldcat.org/fast/49335,"Alfonso X, King of Castile and Leon, 1221-1284",http://id.worldcat.org/fast/49335,Q6962
"Alfonso X, King of Castile and Leon, 1221-1284.",0,a;b;c;d,http://id.loc.gov/authorities/names/n80010185,"Alfonso X, King of Castile and Leon, 1221-1284",http://id.worldcat.org/fast/49335,Q6962
"Alī Ādila Śāha II, Sultan of Bijapur, 1638-1672--Portraits--Specimens",0,a;b;c;d--v--v,,"Alī Ādila Śāha II, Sultan of Bijapur, 1638-1672;Portraits;Specimens",http://id.worldcat.org/fast/318822;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48941;Q199;Q239
Alliata family,0,a,http://id.loc.gov/authorities/subjects/sh2002003755,Alliata family,http://id.worldcat.org/fast/475805,Q8331
Alliata family,fast,a,http://id.worldcat.org/fast/475805,Alliata family,http://id.worldcat.org/fast/475805,Q8331
Alliata family.,fast,a,http://id.worldcat.org/fast/475805,Alliata family,http://id.worldcat.org/fast/475805,Q8331
Alliata family.,0,a,http://id.loc.gov/authorities/subjects/sh2002003755,Alliata family,http://id.worldcat.org/fast/475805,Q8331
Almagest (Ptolemy),fast,a,http://id.worldcat.org/fast/1359711,Almagest (Ptolemy),http://id.worldcat.org/fast/1359711,Q2952
"Amadori, Andrea",fast,a,http://id.worldcat.org/fast/1775889,"Amadori, Andrea",http://id.worldcat.org/fast/1775889,Q5456
"Amadori, Andrea",0,a,http://id.loc.gov/authorities/names/nr00031831,"Amadori, Andrea",http://id.worldcat.org/fast/1775889,Q5456
"Amadori, Andrea.",fast,a,http://id.worldcat.org/fast/1775889,"Amadori, Andrea",http://id.worldcat.org/fast/1775889,Q5456
"Amadori, Andrea.",0,a,http://id.loc.gov/authorities/names/nr00031831,"Amadori, Andrea",http://id.worldcat.org/fast/1775889,Q5456
"Ambrose, Saint, Bishop of Milan, -397",fast,a;c;d,http://id.worldcat.org/fast/1804362,"Ambrose, Saint, Bishop of Milan, -397",http://id.worldcat.org/fast/1804362,Q7690
"Ambrose, Saint, Bishop of Milan, -397",0,a;c;d,http://id.loc.gov/authorities/names/n79029712,"Ambrose, Saint, Bishop of Milan, -397",http://id.worldcat.org/fast/1804362,Q7690
"Ambrose, Saint, Bishop of Milan, -397.",fast,a;c;d,http://id.worldcat.org/fast/1804362,"Ambrose, Saint, Bishop of Milan, -397",http://id.worldcat.org/fast/1804362,Q7690
"Ambrose, Saint, Bishop of Milan, -397.",0,a;c;d,http://id.loc.gov/authorities/names/n79029712,"Ambrose, Saint, Bishop of Milan, -397",http://id.worldcat.org/fast/1804362,Q7690
"Amelonghi, Girolamo--Portraits",0,a--v,,Portraits,http://id.worldcat.org/fast/1423831,Q199
"Āminah bint Wahb, -approximately 575",0,a;d,,"Āminah bint Wahb, -approximately 575",http://id.worldcat.org/fast/1804459,Q38569
"Amīr al-Kabīr, Muḥammad ibn Muḥammad, 1742-1817--Knowledge and learning",0,a;d--x,,Learning and scholarship,http://id.worldcat.org/fast/994857,Q3591
"Amīr al-Kabīr, Muḥammad ibn Muḥammad, 1742-1817--Knowledge and learning.",0,a;d--x,,Learning and scholarship,http://id.worldcat.org/fast/994857,Q3591
"Ana, Queen, consort of Philip II, King of Spain, 1549-1580",fast,a;c;d,,"Ana, Queen, consort of Philip II, King of Spain, 1549-1580",http://id.worldcat.org/fast/448641,Q48145
"Ana, Queen, consort of Philip II, King of Spain, 1549-1580",0,a;c;d,http://id.loc.gov/authorities/names/nr00016933,"Ana, Queen, consort of Philip II, King of Spain, 1549-1580",http://id.worldcat.org/fast/448641,Q48145
"Ana, Queen, consort of Philip II, King of Spain, 1549-1580--Death--Poetry",0,a;c;d--x--v,,"Ana, Queen, consort of Philip II, King of Spain, 1549-1580;Death;Poetry",http://id.worldcat.org/fast/448641;http://id.worldcat.org/fast/888613;http://id.worldcat.org/fast/1423828,Q48145;Q5920;Q247
"Anas ibn Mālik, -approximately 711--Criticism and interpretation--Early works to 1800",0,a;d--x--v,,"Anas ibn Mālik, -approximately 711;Criticism and interpretation;Early works",http://id.worldcat.org/fast/1804536;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411636,Q11578;Q292;Q300
"Anas ibn Mālik, -approximately 711--Criticism and interpretation--Early works to 1800.",0,a;d--x--v,,"Anas ibn Mālik, -approximately 711;Criticism and interpretation;Early works",http://id.worldcat.org/fast/1804536;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411636,Q11578;Q292;Q300
"Andrew, Apostle, Saint",0,a;c,,"Andrew, Apostle, Saint",http://id.worldcat.org/fast/153398,Q38570
"Andronicus II Palaeologus, Emperor of the East, 1260-1332",fast,a;b;c;d,http://id.worldcat.org/fast/153957,"Andronicus II Palaeologus, Emperor of the East, 1260-1332",http://id.worldcat.org/fast/153957,Q5467
