subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Jewish law,ds-subject,,,,,,Jewish law,http://id.worldcat.org/fast/982801,Q3624
Jewish law--interpretation and construction,ds-subject,,,,,,Jewish law--Interpretation and construction,http://id.worldcat.org/fast/982806,Q75495
Jewish doctrine,ds-subject,,,,,,Judaism--Doctrines,http://id.worldcat.org/fast/984302,Q75496
Accordian fold books,ds-subject,,,,,,Accordion fold books,http://id.worldcat.org/fast/2070678,Q75959
"Manuscripts, Thai",ds-subject,,,,,,"Manuscripts, Thai",http://id.worldcat.org/fast/1008516,Q27118
"Buddhist literature, Thai",ds-subject,,,"Buddhist literature, Thai",http://id.worldcat.org/fast/1744841,Q16283,,,
"Illumination of books and manuscripts, Thai",ds-subject,,,"Illumination of books and manuscripts, Thai",http://id.worldcat.org/fast/967365,Q76555,,,
Liturgical books,ds-subject,,,,,,Liturgical books,http://id.worldcat.org/fast/1922455,Q5822
Antiphonaries,ds-subject,,,,,,Antiphonaries,http://id.worldcat.org/fast/810657,Q4306
Antiphonaries--Manuscripts,ds-subject,,,,,,Antiphonaries--Manuscripts,http://id.worldcat.org/fast/810659,Q5844
Antiphonaries (Service books),ds-subject,,,,,,Antiphonaries (Service books),http://id.worldcat.org/fast/1920004,Q4297
"Manuscripts, Latin (Medieval and modern)--Mexico",ds-subject,,,"Manuscripts, Latin (Medieval and modern);Mexico",http://id.worldcat.org/fast/1008399,Q10783;Q7744,,,
"Illumination of books and manuscripts, Mexican",ds-subject,,,"Illumination of books and manuscripts, Mexican",http://id.worldcat.org/fast/967330,Q12626,,,
Medicine,ds-subject,,,,,,Medicine,http://id.worldcat.org/fast/1014893,Q234
Medical care,ds-subject,,,,,,Medical care,http://id.worldcat.org/fast/1013753,Q75958
Prayers and devotions,ds-subject,,,,,,Prayers and devotions,http://id.worldcat.org/fast/1935484,Q48394
Books of hours,ds-subject,,,,,,Books of hours,http://id.worldcat.org/fast/836484,Q5889
Formularies (Diplomatics),ds-subject,,,Formularies (Diplomatics),http://id.worldcat.org/fast/932997,Q5808,,,
"Diplomatics, Persian--India",ds-subject,,,"Diplomatics, Persian;India",http://id.worldcat.org/fast/1736793;http://id.worldcat.org/fast/1210276,Q6927;Q26595,,,
"Letter writing, Persian--India",ds-subject,,,"Letter writing, Persian;India",http://id.worldcat.org/fast/996745;http://id.worldcat.org/fast/1210276,Q48787;Q26595,,,
Islam--Prayers and devotions--early works to 1800,ds-subject,,,,,,Islam--Prayers and devotions;Early works,http://id.worldcat.org/fast/979821;http://id.worldcat.org/fast/1411636,Q3036;Q300
Sufism--Prayers and devotions--early works to 1800,ds-subject,,,,,,Sufism--Prayers and devotions;Early works,http://id.worldcat.org/fast/2041298;http://id.worldcat.org/fast/1411636,Q26884;Q300
Persian poetry--747 to 1500,ds-subject,,,,,,Persian poetry,http://id.worldcat.org/fast/1058542,Q3582
Islam--Prayers and devotions--Early works to 1800,ds-subject,,,,,,Islam--Prayers and devotions;Early works,http://id.worldcat.org/fast/979821;http://id.worldcat.org/fast/1411636,Q3036;Q300
"Calligraphy, Ottoman--Specimens",ds-subject,,,,,,"Calligraphy, Ottoman;Specimens",http://id.worldcat.org/fast/844443;http://id.worldcat.org/fast/1423861,Q68676;Q239
"Calligraphy, Arabic--Specimens",ds-subject,,,,,,"Calligraphy, Arabic;Specimens",http://id.worldcat.org/fast/844384;http://id.worldcat.org/fast/1423861,Q11395;Q239
"Writing, Arabic--Specimens",ds-subject,,,,,,"Writing, Arabic;Specimens",http://id.worldcat.org/fast/1181678;http://id.worldcat.org/fast/1423861,Q75956;Q239
Islamic calligraphy--Specimens.,ds-subject,,,,,,Islamic calligraphy;Specimens,http://id.worldcat.org/fast/1430565;http://id.worldcat.org/fast/1423861,Q75957;Q239
