signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Bloomington, Indiana, Indiana University Bloomington, Poole 30","manuscript containing De origine rerum; Rabanus de origine rerum; Bible, Tours",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q91,825,850,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,"De origine rerum|Rabanus de origine rerum|Bible, Tours",De origine rerum|De rerum naturis|Bible,https://catalog.digital-scriptorium.org/entity/Q1436|https://catalog.digital-scriptorium.org/entity/Q1477|https://catalog.digital-scriptorium.org/entity/Q661,,Q64683625|Q118786|Q1468108,Q1079140,DS503,Poole 30,Poole 30,https://iiif.archive.org/iiif/images_Poole30_40/manifest.json,https://catalog.digital-scriptorium.org/entity/Q2471,https://archive.org/details/Poole30_40
"Bloomington, Indiana, Indiana University Bloomington, Poole 41",manuscript containing Massbook,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q92,985,999,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,Massbook,Massbook,https://catalog.digital-scriptorium.org/entity/Q1386,,Q1251586|Q2147709|Q64683625,Q1079140,DS507,Poole 41,Poole 41,https://iiif.archive.org/iiif/images_Poole41_40/manifest.json,https://catalog.digital-scriptorium.org/entity/Q2483,https://archive.org/details/Poole41_40
"Bloomington, Indiana, Indiana University Bloomington, Poole 19",manuscript containing Psalter,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1100,1150,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q1302,,,,Q397,Psalter,Psalter,https://catalog.digital-scriptorium.org/entity/Q660,,Q64683625|Q3603214|Q5394976|Q116809892,Q1079140,DS510,Poole 19,Poole 19,https://iiif.archive.org/iiif/images_Poole19_40/manifest.json,https://catalog.digital-scriptorium.org/entity/Q2492,https://archive.org/details/Poole19_40
"Bloomington, Indiana, Indiana University Bloomington, Ricketts 2","manuscript containing Giant Bible, Atlantic Bible",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1185,1199,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,"Giant Bible, Atlantic Bible",Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q116771179,Q1079140,DS521,Ricketts 2,Ricketts 2,https://iiif.archive.org/iiif/images_Ricketts2_40/manifest.json,https://catalog.digital-scriptorium.org/entity/Q2525,https://archive.org/details/Ricketts2_40
"Bloomington, Indiana, Indiana University Bloomington, Ricketts C: 3",manuscript containing Bible; Incipit epistola secundi Johannis prima ad parthos,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1150,1199,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q1306,,,,Q397,Bible|Incipit epistola secundi Johannis prima ad parthos,Bible|Epistles of John,https://catalog.digital-scriptorium.org/entity/Q661|https://catalog.digital-scriptorium.org/entity/Q1321,,Q116771179,Q1079140,DS522,Ricketts C: 3,Ricketts C: 3,https://iiif.archive.org/iiif/images_RickettsC3_40/manifest.json,https://catalog.digital-scriptorium.org/entity/Q2528,https://archive.org/details/RickettsC3_40
"Bloomington, Indiana, Indiana University Bloomington, Ricketts 9",manuscript containing Acts; Apocalypse; Canonical Epistles,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1200,1225,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Acts|Apocalypse|Canonical Epistles,Acts of the Apostles|Book of Revelation|Epistles,https://catalog.digital-scriptorium.org/entity/Q6009|https://catalog.digital-scriptorium.org/entity/Q1484|https://catalog.digital-scriptorium.org/entity/Q1466,,Q116771179|Q112841325|Q106675850|Q1052325|Q966843,Q1079140,DS525,Ricketts 9,Ricketts 9,https://iiif.archive.org/iiif/images_Ricketts9_40/manifest.json,https://catalog.digital-scriptorium.org/entity/Q2537,https://archive.org/details/Ricketts9_40
"Bloomington, Indiana, Indiana University Bloomington, Ricketts 189",manuscript containing Saints Lives; Table of Contents; Incipit vita beati Materni Coloniensis Archiepiscopi; Vitae sanctorum,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1225,1250,https://catalog.digital-scriptorium.org/entity/Q131|https://catalog.digital-scriptorium.org/entity/Q1305,,,,Q397,Saints Lives|Table of Contents|Incipit vita beati Materni Coloniensis Archiepiscopi|Vitae sanctorum,Lives of the Saints|Table of contents|Life of the Maternus of Cologne,https://catalog.digital-scriptorium.org/entity/Q1483|https://catalog.digital-scriptorium.org/entity/Q1391|https://catalog.digital-scriptorium.org/entity/Q1407,,Q116771179|Q94138739,Q1079140,DS528,Ricketts 189,Ricketts 189,https://iiif.archive.org/iiif/images_Ricketts189_40/manifest.json,https://catalog.digital-scriptorium.org/entity/Q2546,https://archive.org/details/Ricketts189_40
"Bloomington, Indiana, Indiana University Bloomington, Ege 15",manuscript containing Missal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1285,1299,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Missal,Missal,https://catalog.digital-scriptorium.org/entity/Q662,,Q7109575|Q513300|Q116785131|Q116785149|Q116785153|Q33270281,Q1079140,DS533,Ege 15,Ege 15,https://iiif.archive.org/iiif/images_Ege15_40/manifest.json,https://catalog.digital-scriptorium.org/entity/Q2561,https://archive.org/details/Ege15_40
"Bloomington, Indiana, Indiana University Bloomington, Medieval and Renaissance 47",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1315,https://catalog.digital-scriptorium.org/entity/Q126,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q116790542,Q1079140,DS536,Medieval and Renaissance 47,Medieval and Renaissance 47,https://iiif.archive.org/iiif/images_MedievalandRenaissance47_40/manifest.json,https://catalog.digital-scriptorium.org/entity/Q2570,https://archive.org/details/MedievalandRenaissance47_40
"Bloomington, Indiana, Indiana University Bloomington, Ricketts 47","manuscript containing Breviary, Psalter",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1307,1325,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,"Breviary, Psalter",Breviary|Psalter,https://catalog.digital-scriptorium.org/entity/Q657|https://catalog.digital-scriptorium.org/entity/Q660,,Q116771179|Q17547928,Q1079140,DS540,Ricketts 47,Ricketts 47,https://iiif.archive.org/iiif/images_Ricketts47_40/manifest.json,https://catalog.digital-scriptorium.org/entity/Q2582,https://archive.org/details/Ricketts47_40
"Bloomington, Indiana, Indiana University Bloomington, Ricketts 23","manuscript containing Breviary, Psalter",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1307,1315,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,"Breviary, Psalter",Breviary|Psalter,https://catalog.digital-scriptorium.org/entity/Q657|https://catalog.digital-scriptorium.org/entity/Q660,,Q116771179|Q17547928,Q1079140,DS541,Ricketts 23,Ricketts 23,,https://catalog.digital-scriptorium.org/entity/Q2585,
