row_index,workflow_history,name_as_recorded,structured_value,instance_of,authorized_name,role,name_agr,source_authority_uri
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-23T19:48:42.499Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-23T20:10:33.604Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-23T20:26:20.755Z | NAME RECON STEP 6: START ORG RECON 2022-05-23T20:42:19.848Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-23T20:44:32.694Z | NAME RECON STEP 9: FINALIZED 2022-05-23T20:58:29.064Z","""1756 Ex libris Presbiteri Joseph Marie Sormani"" (inscription on flyleaf ); H. C. (Harley) Drayton (1901-1966), bought at Sotheby’s, 29 January 1951, lot 13; his sale, Sotheby’s, 12 December 1967, lot 63; re-sold at Christie’s, 28 June 1972, lot 8; Ruth E. Adomeit (1910-1996), bequeathed by her to the Lilly Library.",,,,former owner,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-23T19:48:42.499Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-23T20:10:33.605Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-23T20:26:20.755Z | NAME RECON STEP 6: START ORG RECON 2022-05-23T20:42:19.850Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-23T20:44:32.694Z | NAME RECON STEP 9: FINALIZED 2022-05-23T20:58:29.064Z","""Anno Domini 1548 Mensis Julio"" (f. 1r); ""Sold by Thomas Baker, 1, Soho Square, London"" (label on front pastedown); ""Cranmere Kenrick"" (f. iir)",,,,former owner,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-23T19:48:42.499Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-23T20:10:33.605Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-23T20:26:20.755Z | NAME RECON STEP 6: START ORG RECON 2022-05-23T20:42:19.850Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-23T20:44:32.694Z | NAME RECON STEP 9: FINALIZED 2022-05-23T20:58:29.064Z","""Iste liber est domini philippi alleap(?)"", 15th century (f. 1r, lower margin); ""817"", 19th(?) century pencil (f. 1r, upper margin); purchased from Boesen in 1959.",,,,former owner,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-23T19:48:42.499Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-23T20:10:33.606Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-23T20:26:20.755Z | NAME RECON STEP 6: START ORG RECON 2022-05-23T20:42:19.850Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-23T20:44:32.694Z | NAME RECON STEP 9: FINALIZED 2022-05-23T20:58:29.064Z","""Philippi Monti,"" f. 1; Cardinal Domenico Passionei (1682-1761); Sidney Graves Hamilton (1855-1916); his sale, Sotheby's (25 July 1917, lot 10) to Dobell. Date of acquisition by Bancroft Library UC Berkeley unrecorded. Formerly t2MS BX885 B6.",,,,former owner,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-23T19:48:42.499Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-23T20:10:33.606Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-23T20:26:20.755Z | NAME RECON STEP 6: START ORG RECON 2022-05-23T20:42:19.850Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-23T20:44:32.694Z | NAME RECON STEP 9: FINALIZED 2022-05-23T20:58:29.064Z","A member of the Bernardi family of Florence, with their arms on fol. 1r (Rietstap 1884, I, p. 179), flanked by the initials ‘C’ and ‘B’; L. S. Olschki, Bulletin mensuel 51 (January 1905), no. 1291; Ellis of Bond Street, their cat. 1919, at £63; Ernst F. Detterer (1888-1947); bought from Detterer’s estate in 1948 by George A. Poole, and acquired by the Lilly Library with the Poole Collection in 1958.",,,,former owner,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-23T19:48:42.499Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-23T20:10:33.606Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-23T20:26:20.755Z | NAME RECON STEP 6: START ORG RECON 2022-05-23T20:42:19.850Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-23T20:44:32.694Z | NAME RECON STEP 9: FINALIZED 2022-05-23T20:58:29.064Z",Abbot von Heselwang,,,,former owner,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-23T19:48:42.499Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-23T20:10:33.606Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-23T20:26:20.755Z | NAME RECON STEP 6: START ORG RECON 2022-05-23T20:42:19.850Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-23T20:44:32.694Z | NAME RECON STEP 9: FINALIZED 2022-05-23T20:58:29.064Z",Abraham Faber,Q67198306,human,Abraham Faber,author,,
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-23T19:48:42.499Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-23T20:10:33.606Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-23T20:26:20.755Z | NAME RECON STEP 6: START ORG RECON 2022-05-23T20:42:19.850Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-23T20:44:32.694Z | NAME RECON STEP 9: FINALIZED 2022-05-23T20:58:29.064Z","Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?",Q938348,human,Abou al-Layth As Samarqandî,author,,http://id.loc.gov/authorities/names/n82268136
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-23T19:48:42.500Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-23T20:10:33.606Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-23T20:26:20.755Z | NAME RECON STEP 6: START ORG RECON 2022-05-23T20:42:19.850Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-23T20:44:32.694Z | NAME RECON STEP 9: FINALIZED 2022-05-23T20:58:29.064Z","Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?.",Q938348,human,Abou al-Layth As Samarqandî,author,ابو الليث السمرقندي، نصر بن محمد، -983؟,
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-23T19:48:42.500Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-23T20:10:33.606Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-23T20:26:20.755Z | NAME RECON STEP 6: START ORG RECON 2022-05-23T20:42:19.850Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-23T20:44:32.694Z | NAME RECON STEP 9: FINALIZED 2022-05-23T20:58:29.064Z","According to a sixteenth-century Latin poem formerly pasted inside the manuscript’s upper cover, the volume was transferred in 1504 from the Benedictine abbey of St. Peter in Salzburg, to the Cistercian abbey of Raitenhaslach, Bavaria (founded 1143, suppressed in 1803); the Benedictine abbey of Seitenstetten, Lower Austria (founded 1112, still functioning); sold by the monks in about 1926, probably to Jacques Rosenthal of Munich, and taken apart, the leaves with miniatures being dispersed by Maggs; this leaf, Maggs cat. 512 (1928), no. 291; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",,,,former owner,,
