name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"(Berg 1968, pp. 259–60, no. 58",scribe,,,,,
 Agostino Squara,other,,,human,Agostino Squara,Q117321169
 Antonio Barbarigo,other,,,human,Antonio Barbarigo,Q91909669
 Baldo Michele,other,,,human,Baldo Michele,Q117321240
 Francesco Rato,other,,,human,Francesco Rato,Q117321180
 Gabriele Barbarigo,other,,,human,Gabriele Barbarigo,Q117321220
" Gabriele Barbarigo, son of Antonio Barbarigo",other,,,human,Gabriele Barbarigo,Q117321220
 Giacomo Michele,other,,,human,Giacomo Michele,Q117321234
" Giacomo Zeno, bishop of Padua",other,,,human,Jacopo Zeno,Q26265689
 Gian Francesco de Priolis,other,,,human,Gian Francesco de Priolis,Q117321248
 Giovanni Antonio Contarini,other,,,human,Giovanni Antonio Contarini,Q117324100
 Jean Bourdichon?,artist,,,human,Jean Bourdichon,Q348333
" Jean Fouquet, in the style of",artist,,,human,Jean Fouquet,Q311398
 John Haykyn,other,,,human,John Haykyn,Q117324129
 Lucrezia Pio,other,,,human,Lucrezia Pio Sforza,Q117324182
"Ludowic von Harthausen, later 19th century owner",other,,,human,Ludowic von Harthausen,Q117321264
" Luigi Loredano, son of Giovanni Loredano",other,,,human,Luigi Loredano,Q117324162
 Pietro Michele,other,,,human,Pietro Michele,Q117324190
" Saint Restituta, in litany",other,,,human,Restituta,Q1407613
" Stephen and Alice Cheryton, of Chastleton",other,,,human;human,Stephen Cheryton;Alice Cheryton,Q117401229;Q117401302
" Thomas Flecher, of Chastleton",other,,,human,Thomas Flecher,Q117324231
" Thomas Heneage, Thomas Alward, Anne Boleyn.",other,,,human;human;human,Thomas Heneage;Thomas Alward;Anne Boleyn,Q18529221;Q117401655;Q80823
" Vyncent, Richard, vicar of Wolford",other,,,human,Richard Vyncent,Q117324262
 William Nichol,other,,,human,William Nichol,Q117324284
" Yngram, William",other,,,human,William Yngram,Q117338069
"cf. A. C. de la Mare in Canova 1999a, pp. 252–53, no. 97, and de la Mare and Nuvoloni 2009, pp 144–45, no. 20.",artist,,,,,
cf. especially his figs. 123–24),scribe,,,,,
 or worskshop of,artist,,,,,
 sons of Bartolomeo Michele,other,,,human,Bartolomeo Michele,Q117324301
 sons of Giacomo Michele,other,,,human,Giacomo Michele,Q117321234
 the convent catalogue entry describes the volume as having been made by the sisters.,scribe,,,,,
"""1756 Ex libris Presbiteri Joseph Marie Sormani"" (inscription on flyleaf ); H. C. (Harley) Drayton (1901-1966), bought at Sotheby’s, 29 January 1951, lot 13; his sale, Sotheby’s, 12 December 1967, lot 63; re-sold at Christie’s, 28 June 1972, lot 8; Ruth E. Adomeit (1910-1996), bequeathed by her to the Lilly Library.",former owner,,,Human;human;human,Joseph Marie Sormani;Harold Drayton;Ruth E. Adomeit,Q116771083;Q18761974;Q7382958
"Accursius, glossator",other,,,human,Accursius,Q339824
Acquired before February 1992 and probably in library for many decades.,former owner,,,,,
"Acquired by Karen Gould (1946-2012) from Goodspeed’s Bookshop, Boston, July 6, 1981; gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,human;organization;human,Karen L. Gould;Goodspeed's Book Shop;Lewis L. Gould,Q6369801;Q114419595;Q112391468
"Acquired by Karen Gould (1946-2012) from Phillip Pirages, possibly his catalogue 24, November 1987; gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,human;human;organization,Karen L. Gould;Lewis L. Gould;Phillip J. Pirages Fine Books & Manuscripts,Q6369801;Q112391468;Q116790542
Acquired by Karen Gould Fund. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2014 in his wife's memory.,former owner,,,human;human,Karen L. Gould;Lewis L. Gould,Q6369801;Q112391468
"Acquired by Linda Ehrsam Voigts from Bernard M. Rosenthal in 1975, and given by her to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012.",former owner,,,human;human;human,Karen L. Gould;Linda Ehrsam Voigts;Bernard M. Rosenthal,Q6369801;Q66985346;Q94805275
Acquired by Linda Ehrsam Voigts from Philip Pirages and given by her to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012.,former owner,,,human;human;organization,Karen L. Gould;Linda Ehrsam Voigts;Phillip J. Pirages Fine Books & Manuscripts,Q6369801;Q66985346;Q116790542
"Acquired from Dr. Erich Junkelmann of Munich, f. 1 in 1930, and f. 2 ca. 1930. Earlier (pre-1956?) call number: C[abinet] 28, F[older] 3.",former owner,,,human,Erich Junkelmann,Q30104528
Acquired in 1989 from P. Pirages.,former owner,,,organization,Phillip J. Pirages Fine Books & Manuscripts,Q116790542
Acquired in 1990 from P. Pirages.,former owner,,,organization,Phillip J. Pirages Fine Books & Manuscripts,Q116790542
Acquired in 1991 from P. Pirages.,former owner,,,organization,Phillip J. Pirages Fine Books & Manuscripts,Q116790542
Acquired in 2000 from H.P. Kraus.,former owner,,,organization,H. P. Kraus (firm),Q113864096
"Acquired prior to 1952, probably from Edward L. Stevenson (1858-1944).",former owner,,,human,Edward Luther Stevenson,Q52155622
Aegidius de Fuscarariis,author,,,human,Egidio Foscarari,Q41569530
"Agricola, recipient of letter",other,,,human,Agricola,Q3606863
Alain Chartier,author,,,human,Alain Chartier,Q982038
Albertus Magnus,author,,,human,Albertus Magnus,Q60059
Alcuin,author,,,human,Alcuin,Q154332
Aldobrandino da Siena,author,,,human,Aldobrandino da Siena,Q2832270
"Alfred Morrison (1821-1897), his by 1882; his sale, Sotheby’s, 10 December 1917, lot 500; C. L. Ricketts, bought from P. M. Barnard, cat. 122 (1921), no. 245; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,Alfred Morrison;Coella Lindsay Ricketts,Q17328807;Q116771179
"Almost certainly acquired in fall, 1930, from Dr. Erich Junkelmann of Munich. Earlier (pre-1956?) call number: C[abinet] 28, F[older] 3.",former owner,,,human,Erich Junkelmann,Q30104528
Alulfus of Tournai,author,,,human,Alulphe of Tournai,Q46592455
"Andrew, Lord Windsor, Keeper of the Great Wardrobe (c. 1466-1520) recipient of letter",other,,,human,"Andrew Windsor, 1st Baron Windsor",Q4758954
"Anne of Brittany (1477-1514) and her husband Louis XII (1462-1515, king of France 1498-1515); C. L. Ricketts, bought from Joseph Martini, 1914; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human;human;human,Anne of Brittany;Louis XII of France;Coella Lindsay Ricketts;Giuseppe Martini,Q201143;Q58514;Q116771179;Q98834332
"Anne of Brittiany, Louis XII",other,,,human;human,Anne of Brittany;Louis XII of France,Q201143;Q58514
Anselm,author,,,human,Anselm of Canterbury,Q43939
Anselm of Canterbury,author,,,human,Anselm of Canterbury,Q43939
Antiochus,other,,,human,Antiochus,Q772370
Antoninus de Noventa,scribe,,,human,Antoninus de Noventa,Q117324347
"Antonio Maria de Villafora, documented in Padua from 1469 to 1511.",artist,,,human,Antonio Maria da Villafora,Q98581089
Antonio Pierozzi,author,,,human,Antoninus of Florence,Q773822
"Antonio di Girolamo (1479–1556),",artist,,,human,Antonio di Girolamo di Ugolino,Q117324369
Antonius Gambaro filius quondam ser Jacobi de Venetia,scribe,,,human,Antonio Gambaro,Q117338136
Antonius Tsgrooten,other,,,human,Antonius Tsgrooten,Q117246098
Antonius de Bozollo,scribe,,,human,Antonius de Bozollo,Q117338088
Antonius filius quondam Bonauenture de Castrobaldo,scribe,,,human,Antonio di Castrobaldo,Q117404887
"Apparently Otto F. Ege (1888-1951); Ruth E. Adomeit (1910-1996), bequeathed by her to the Lilly Library.",former owner,,,human;human,Otto Ege;Ruth E. Adomeit,Q7109575;Q7382958
Aquiles Estaço,author,,,human,Achilles Statius,Q4673751
Aristotle,author,,,human,Aristotle,Q868
"Armorial bookplate of George Becher Blomfield (1801-1885) on front pastedown. The accompanying description written by the bookseller P.M. Barnard of Tunbridge Wells, England, November 1910; acquired by General Theological Seminary on the Dean Hoffmann Fund.",former owner,,,human;human,George Becher Blomfield;Percy Mordaunt Barnard,Q76355566;Q94925072
"Arms of first owner: azure a flame gules and or accompanied in chief by an inverted crescent argent. Owned by the Earl of Hopetoun (his sale, London, 1889, n. 110) to Matthews for Daniel B. Fearing, who gave it to the Grolier Club in 1908.",former owner,,,human;human,"John Hope, 1st Marquess of Linlithgow;Daniel B. Fearing",Q335178;Q76009758
"Arms of first owners: 1, azure a six-pointed star or between three crescents or; 2, gules a bend sable charged with three small cups (?) or. George Bruce collection; given to the Grolier Club in July 1894 by David Wolfe Bruce.",former owner,,,human;human,George Bruce;David Wolfe Bruce,Q2757147;Q116598092
"Arms of the first owner: or three gateways with two turrets gules, with the initials A.P.; Samuel Putnam Avery collection; exhibited at the Grolier Club in 1892, n. 97; given to the Grolier Club in 1918 by Samuel Putnam Avery, Jr.",former owner,,,human;human,"Samuel Putnam Avery;Samuel P. Avery, Jr.",Q3819081;Q66712995
"Arms: 1, azure a fesse argent between three wheels argent; 2, argent a crescent azure and in chief a label of three points gules. Henry W. Poor sale (New York, 17 November 1908, I, n. 800) to G. D. Smith. Bequest to the Grolier Club by Beverly Chew.",former owner,,,human;human;human,Henry William Poor;George D. Smith;Beverly Chew,Q5730239;Q116594130;Q116598881
Augustine,author,,,human,Augustine of Hippo,Q8018
Augustine,other,,,human,Augustine of Hippo,Q8018
Augustine (Aurelius Augustinus),author,,,human,Augustine of Hippo,Q8018
"Augustine, Isidore, Cassiodorus, Damasus, and others",author,,,human;human;human;human,Augustine of Hippo;Isidore of Seville;Cassiodorus;Damasus I,Q8018;Q166876;Q192365;Q130997
Aurelius,other,,,human,Saint Aurelius,Q598727
Baldo Michele,other,,,human,Baldo Michele,Q117321240
Barbara Gwichtmacherin?,artist,,,human,Barbara Gwichtmacherin,Q117338108
Barbarigo family,other,,,organization,Barbarigo family,Q2884101
Bartholomaeus de S. Concordio (Bartholomaeus Pisanus),author,,,human,Bartholomew of San Concordio,Q3635444
Bartolomeo Rato,other,,,human,Bartolomeo Rato,Q117338122
"Bartolomeo Sanvito (1435–1511), of Padua.",scribe,,,human,Bartolomeo Sanvito,Q4865517
"Bartolomeo Sanvito, in the style of",scribe,,,human,Bartolomeo Sanvito,Q4865517
Bartolomeo di Domenico di Guidi,artist,,,human,Bartolomeo di Domenico di Guido,Q113330471
Bassula,other,,,human,Bassula,Q117338225
"Battista di Niccolò da Padova, a Paduan illuminator and fresco painter, a layman (he married Antonia Casini in 1415), who was working in Rome 1432–38 and from the 1440s in Florence, where he died in 1452 (A. D. Bussi in Bollati 2004, pp. 72–74).",artist,,,human,Battista di Niccolò da Padova,Q117425078
Bede,other,,,human,Bede,Q154938
Bede,author,,,human,Bede,Q154938
Belonged ca. 1870 to John Milne Buckie.,former owner,,,human,John Milne Buckie,Q114242431
Belonged to Karen Gould (1946-2012); gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,former owner,,,human;human,Karen L. Gould;Lewis L. Gould,Q6369801;Q112391468
Belonged to Karen Gould (1946-2012); gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2015 in his wife's memory.,former owner,,,human;human,Karen L. Gould;Lewis L. Gould,Q6369801;Q112391468
"Belonged to the Benedictine house of St. Mary's in Huysburg, in Saxony. Not listed for this monastery by Sigrid Krämer, Handschriftenerbe des deutschen Mittelalters(Munich 1990), vol. 1 pp. 369-370.",former owner,,,human,Huysburg,Q1639470
"Benedictine abbey of Saint Peter, Chertsey, Surrey; C. L. Ricketts, who bought 27 leaves from Leighton, Catalogue of Manuscripts, 1912, no. 49 (now Ricketts MS 47) and 6 further leaves from Tregaskis (now Ricketts MS 23); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,organization;human,"Church of St Peter, Chertsey;Coella Lindsay Ricketts",Q17547928;Q116771179
