name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
Catholic Church,author,,http://viaf.org/viaf/130782063,,,,,,organization,Catholic Church,Q9592,Q425
"Peter, of Poitiers, approximately 1130-1205",author,,,,,,,,human,Peter of Poitiers,Q3387668,Q6147
"Gregory I, Pope, approximately 540-604",author,,,,,,,,human,Gregory I,Q42827,Q889
"Duns Scotus, John, approximately 1266-1308",author,,,,,,,,human,Duns Scotus,Q190089,Q6160
"Geoffrey, of Monmouth, Bishop of St. Asaph, 1100?-1154",author,,,,,,,,human,Geoffrey of Monmouth,Q188344,Q6161
"Ambrose, Saint, Bishop of Milan, -397",author,,,,,,,,human,Ambrose,Q43689,Q3766
"Thomas, Aquinas, Saint, 1225?-1274",author,,http://id.loc.gov/authorities/names/n78095790,,,,,,human,Thomas Aquinas,Q9438,Q1919
"Peter Lombard, Bishop of Paris, approximately 1100-1160",author,,,,,,,,human,Peter Lombard,Q315347,Q1124
"Godefridus Viterbiensis, 1125-1202",author,,,,,,,,human,Godfrey of Viterbo,Q614256,Q6148
"Osbern, Claudianus, active 1148",author,,,,,,,,human,Osbern of Gloucester,Q680829,Q6149
"Antoninus, Saint, Archbishop of Florence, 1389-1459",author,,http://id.loc.gov/authorities/names/n86859662,,,,,,human,Antoninus of Florence,Q773822,Q1787
"Defensor, active 7th century",author,,,,,,,,human,Defensor of Ligugé,Q54670812,Q6064
"Labitte, Alphonse, 1853-",former owner,,,,,,,,human,Alphonse Labitte,Q114242418,Q6065
"Benedict, Saint, Abbot of Monte Cassino",author,,,,,,,,human,Benedict of Nursia,Q44265,Q6067
"Ponchier, Étienne, 1446-1524",author,,,,,,,,human,Étienne de Poncher,Q3592337,Q6068
"Saint-Germain-des-Prés (Abbey : Paris, France)",former owner,,,,,,,,organization,Abbey of Saint-Germain-des-Prés,Q334186,Q6069
"Francis, of Assisi, Saint, 1182-1226",author,,,,,,,,human,Francis of Assisi,Q676555,Q6070
"Despine, Claude Joseph Constant, 1807-1873",former owner,,,,,,,,human,Claude Joseph Constant Despine,Q61475440,Q6061
"Bernardino, da Siena, Saint, 1380-1444",author,,,,,,,,human,Bernardino of Siena,Q316295,Q6066
"Innocent III, Pope, 1160 or 1161-1216",author,,,,,,,,human,Innocent III,Q128076,Q1933
"Phillipps, Thomas, Sir, 1792-1872",former owner,,http://id.loc.gov/authorities/names/n50078542,,,,,,human,Thomas Phillipps,Q2147709,Q385
"Fenwick, Katherine Somerset Wyttenbach, 1823-1913",former owner,,,,,,,,human,Katherine Somerset Wyttenbach Fenwick,Q120442560,Q6071
"Fenwick, Thomas FitzRoy Phillipps, 1856-1938",former owner,,,,,,,,human,Thomas FitzRoy Phillipps Fenwick,Q94109528,Q6072
"Herbertus, Altissiodorensis, -approximately 1252",author,,,,,,,,human,Herbert of Auxerre,Q120442564,Q6111
Chartreuse du Val de bénédiction,former owner,,,,,,,,organization,Cloître de la Chartreuse du Val de Bénédiction,Q107126810,Q6112
"Bernard, de Gordon, approximately 1260-approximately 1318",author,,,,,,,,human,Bernard de Gordon,Q826286,Q6110
"Staccoli, Agostino, active 1480",author,,,,,,,,human,Agostino Staccoli,Q45535876,Q6115
"Jacomo Veronese, active approximately 1400",author,,,,,,,,human,Jacomo Veronese,Q120442569,Q6113
"Hugo, Argentinensis, approximately 1210-approximately 1270",author,,,,,,,,human,Hugo Argentinensis,Q113866261,Q6073
