name,wikidata_qid,instance_of,name_agr
"Bannānī, Muḥammad ibn al-Ḥasan, 1720 or 1721-1780.",Q16145863,human,بناني، محمد بن الحسن، 1720 أو 1721-1780.
"Makkūdī, ʻAbd al-Raḥmān ibn ʻAlī, -1404 or 1405.",Q60827863,human,مكودي، عبد الرحمن بن علي، -1404 أو  1405.
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?.",Q938348,human,ابو الليث السمرقندي، نصر بن محمد، -983؟
"Bannānī, Muḥammad ibn al-Ḥasan, 1720 or 1721-1780.",Q16145863,human,بناني، محمد بن الحسن، 1720 أو 1721-1780.
"Quṭb al-Taḥtānī, Muḥammad ibn Muḥammad, 1294 or 1295-1364 or 1365.",Q12233267,human,قطب التحتاني، محمد بن محمد، 1294 أو 1295-1364 أو 1365.
"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465.",Q1775944,human,جزولي، محمد بن سليمان، -1465.
Aristotle.,Q868,human,
"Sacro Bosco, Joannes de, active 1230.",Q433841,human,
"Thomas, de Cantimpré, approximately 1200-approximately 1270.",Q572799,human,
Aristotle.,Q868,human,
"Crescenzi, Pietro de', approximately 1233-approximately 1320.",Q1933377,human,
"Josephus, Flavius.",Q134461,human,
"Sylvester II, Pope, ca. 945-1003.",Q172383,human,
"Sacro Bosco, Joannes de, active 1230.",Q433841,human,
"Varchi, Benedetto, 1503-1565.",Q176833,human,
"Helm, Franz, approximately 1500-1567.",Q15994218,human,
"Dioscorides Pedanius, of Anazarbos.",Q297776,human,ديسقوريدس.
"Jurjānī, Ismāʻīl ibn Ḥasan, 1042 or 1043-1136 or 1137.",Q2908840,human,جرجاني، اسماعيل بن حسن، 1042 or 1043-1136 or 1137.
Spain. Sovereign (1516-1556 : Charles I),Q29,organization,
Spain. Sovereign (1556-1598 : Philip II),Q29,organization,
"Vincent, of Beauvais, -1264.",Q455162,human,
"Raymond, of Peñafort, Saint, 1175?-1275.",Q318980,human,
"Bigod, Roger, Earl of Norfolk, d. 1221.",Q3438704,human,
Catholic Church.,Q9592,organization,
"Schöner, Johann, 1477-1547.",Q62770,human,
"Urmawī, ʻAbd al-Muʼmin ibn Yūsuf, approximately 1216-1294.",Q980179,human,ارموي، عبد المؤمن بن يوسف، اپرxمتلي 12161294.
"Ptolemy, active 2nd century.",Q34943,human,بطليموس، active 2nd century.
"Boethius, -524.",Q1174068,human,
Baudhāyana.,Q3384944,human,
"Israeli, Isaac, approximately 832-approximately 932.",Q536837,human,
"Arnaldus, de Villanova, d. 1311.",Q356568,human,
"Bonfils, Immanuel ben Jacob, 14th cent.",Q354517,human,
"Tardif, Guillaume, b. 1440.",Q15966959,human,
"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203.",Q234908,human,‏نظامى گنجوى،‏ 1140 یا 1141-1202 یا 1203.
"Isidore, of Seville, Saint, d. 636.",Q166876,human,
"Regiomontanus, Joannes, 1436-1476.",Q76365,human,
"John XXI, Pope, -1277",Q172916,human,
"Boccaccio, Giovanni, 1313-1375.",Q1402,human,
"Paolo, Veneto, approximately 1370-1428.",Q2064265,human,
"Albertus, Magnus, Saint, 1193?-1280.",Q60059,human,
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621.",Q2658411,human,عاملي، بهاء الدين محمد بن حسين، 1547-1621
Śaṅkarācārya.,Q180967,human,
Rāmānandasarasvatī.,Q94635099,human,
Śaṅkarācārya.,Q180967,human,
"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465.",Q1775944,human,جزولي، محمد بن سليمان، -1465.
"Makkūdī, ʻAbd al-Raḥmān ibn ʻAlī, -1404 or 1405.",Q60827863,human,مكودي، عبد الرحمن بن علي، -1404 أو  1405.
"Zurqānī, ʻAbd al-Bāqī ibn Yūsuf, 1611-1688.",Q4664516,human,زرقاني، عبد الباقي بن يوسف.
"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465.",Q1775944,human,جزولي، محمد بن سليمان، -1465.
"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203.",Q234908,human,نظامى گنجوى، 1140 یا 1141-1202 یا 1203.
"Quṭb al-Shīrāzī, Maḥmūd ibn Masʻūd, 1236 or 1237-1310 or 1311.",Q729903,human,قطب الشيرازي، محمود بن مسعود، 1236 أو 1237-1310 أو 1311.
"Nabi, 1641 or 1642-1712.",Q2351863,human,نابی، 1641 ياخود  1642-1712.
"Nasafī, ʻAbd Allāh ibn Aḥmad, -1310.",Q12223449,human,نسفي، عبد الله بن احمد، -1310.
"Qasṭallānī, Aḥmad ibn Muḥammad, 1447 or 1448-1517 or 1518.",Q2829271,human,قسطلاني، احمد بن محمد، 1447 أو 1448-1517 أو 1518.
"Hawzālī, Muḥammad ibn ʻAlī, -1748 or 1749.",Q592255,human,هوزالي، محمد بن علي، 1748 أو 1749.
"Richard, of St. Victor, -1173.",Q1344799,human,
"James, of Viterbo, Archbishop of Naples, approximately 1255-1307 or 1308.",Q352625,human,
Firdawsī.,Q43459,human,
"Pliny, the Elder.",Q82778,human,
Catholic Church.,Q9592,organization,
Iceland.,Q189,organization,
Origen.,Q170472,human,
Eutropius.,Q314694,human,
Iceland.,Q189,organization,
"Gervase, of Tilbury, approximately 1160-approximately 1211.",Q531883,human,
Valerius Maximus.,Q379991,human,
Firdawsī.,Q43459,human,
Pseudo-Cicero.,Q67405713,human,
"Boethius, -524.",Q1174068,human,
Iceland.,Q189,organization,
"Sacro Bosco, Joannes de, active 1230.",Q433841,human,
"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274.",Q302835,human,طوسي، نصير الدين محمد بن محمد، 1201-1274.
"Jighmīnī, Maḥmūd ibn Muḥammad, -1221?",Q4060361,human,"جغميني، محمود بن محمد, -1221"
"Theodosius, active 1st century B.C.",Q1266186,human,"ثاوذوسيوس, active 1st century B.C."
Euclid.,Q8747,human,
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621.",Q2658411,human,عاملي، بهاء الدين محمد بن حسين، 1547-1621.
Rajab ʻAlī Beg.,Q7512157,human,رجب علی بیگ.
"Bhāskarācārya, 1114-",Q213385,human,"باسکراکاریا, 1114-."
"Autolycus, active 2nd century.",Q451390,human,
Euclid.,Q8747,human,
"Autolycus, active 2nd century.",Q451390,human,"اوطولوقس, active 2nd century."
"Bhāskarācārya, 1114-",Q213385,human,باسكراكاريا، - 1114-
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621.",Q2658411,human,عاملي، بهاء الدين محمد بن حسين، 1547-1621.
Euclid.,Q8747,human,
"Jalāl al-Dīn Rūmī, Maulana, 1207-1273.",Q43347,human,جلال الدین رومى، مولانا، 1207-1273.
"Ibn al-Fāriḍ, ʻUmar ibn ʻAlī, 1181 or 1182-1235.",Q203142,human,"ابن الفارض، عمر بن علي, 1181 or 1182-1235."
"Ibn Hishām, ʻAbd Allāh ibn Yūsuf, 1309-1360.",Q6538102,human,"ابن هشام، عبد الله بن يوسف, 1309-1360."
"Jāmī, 1414-1492.",Q312458,human,جامى، 1414-1492.
"İbrahim Efendi, 1589-1654.",Q6073533,human,ابراهيم افندى، 1589-1654
"Bayḍāwī, ʻAbd Allāh ibn ʻUmar, -1286.",Q287573,human,بيضاوي، عبد الله بن عمر، -1286؟
"ʻIyāḍ ibn Mūsá, 1083-1149.",Q3101035,human,عياض بن موسى، 1083-1149.
"Ibn al-Jazarī, Muḥammad ibn Muḥammad, 1350-1429.",Q4120093,human,ابن الجزري، محمد بن محمد، 1350-1429
Horace,Q6197,human,
"Cicero, Marcus Tullius.",Q1541,human,
Horace,Q6197,human,
Jean de Lignières,Q108732963,human,
Ambrose of Milan,Q43689,human,
"Anselm, Saint, Archbishop of Canterbury, 1033-1109",Q43939,human,
Catholic Church,Q9592,organization,
"Antoninus, Saint, Archbishop of Florence, 1389-1459",Q773822,human,
Aristotle,Q868,human,
Pseudo Aristotle,Q1783131,human,
Arnaldus de Villanova,Q356568,human,
"Augustine, of Hippo, Saint, 354-430",Q8018,human,
"Quodvultdeus, Bishop of Carthage, -454?",Q608506,human,
"Augustine, Saint, Bishop of Hippo",Q8018,human,
"Augustine, of Hippo, Saint, 354-430",Q8018,human,
"Basil, Saint, Bishop of Caesarea, approximately 329-379",Q44258,human,
"Langton, Stephen, -1228",Q465329,human,
"Nicholas, of Lyra, approximately 1270-1349",Q1969164,human,
"Hugh, of Saint-Cher, Cardinal, approximately 1200-1263",Q1365254,human,
"Bohic, Henri, 1310-approximately 1390",Q3130702,human,
"Suyūṭī, 1445-1505.",Q468432,human,
"Kemalpaşazade, 1468 or 1469-1534.",Q449254,human,
"Ibn Ḥajar al-Haythamī, Aḥmad ibn Muḥammad, approximately 1503-approximately 1566.",Q3147445,human,
"Qārī al-Harawī, ʻAlī ibn Sulṭān Muḥammad, -1605 or 1606.",Q2836379,human,
"Ibn Bīrī, Ibrāhīm ibn ḥusayn, 1614-1688.",Q107328752,human,
