title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,structured_value_add,authorized_label,ds_qid
Bifolio from a noted Gradual,,,,Gradual,Q1121,,
Folio from a Bolognese Bible,,,,Bible,Q661,,
Binding fragment: folio from an Evangeliary,,,,Evangeliary,Q20460,,
Binding fragment: bifolio from a Lives of the Saints manuscript,,,,Lives of the Saints,Q1483,,
Binding fragment: folio from a Missal,,,,Missal,Q662,,
Binding fragment: folio from a liturgical manuscript,,,,Liturgical text,Q10839,,
Binding fragment: folio from a calendar for November and December,,,,Calendar,Q1122,,
Bifolio with prayers for the Divine Office,,,,Divine Office;Prayers,Q39382;Q798,,
"Binding fragment: folio from Jerome, Commentarii in Isaiam (Commentary on Isaiah)",,,,Commentary on Isaiah;Works of Jerome,Q38370;Q38391,,
Folios from an Ordinal or a Missal,,,,Liturgical text,Q10839,,
Folio from a large Sarum Missal (Ege no. 20),,,,Missal,Q662,,
Binding fragment: vertical fragment from a folio of liturgical music,,,,Music,Q20017,,
Binding fragment: folio from a large Bible,,,,Bible,Q661,,
Folio from a large East Anglian Bible,,,,Bible,Q661,,
Binding fragment: folio from a large Bible (Proverbs),,,,Bible;Book of Proverbs,Q661;Q20508,,
Binding fragment: folio from a Homoliary,,,,Homiliary,Q1338,,
Folio from a large liturgical volume,,,,Liturgical text,Q10839,,
Folio from a large Antiphonal or Gradual,,,,Liturgical text,Q10839,,
"Three folios from Augustine, Tractatus in Iohannem",,,,Tractates on the Gospel of John,Q1440,,
Binding fragment: horizontal fragment of a folio from the Second Volume of the Bury Bible,,,,Bury Bible;Bible,Q103472;Q661,,
"Folio from Thomas Aquinas, Catanea Aurea (Golden Chain)",,,,Catena aurea,Q39756,,
Folio from a Moroccan Quran,,,,Qurʼan,Q3697,,
Folio with index of Hebrew Names from a Latin Bible,,,,Interpretationes nominum Hebraicorum,Q357,,
"Binding fragment: two folios from Gregory IX, Decretales (Decretals), with marginal commentary",,,,Commentary on Decretals of Gregory IX,Q42436,,
"Folio from an English Bible (Ephesians 1:1–4:11), workshop of William de Brailes",,,,Bible;Epistle to the Ephesians,Q661;Q39948,,
Binding fragment: folio from a Lectionary,,,,Lectionary,Q663,,
Binding fragment: bifolio from a Missal,,,,Missal,Q662,,
Binding fragment: folio from a Breviary with neumes (?),,,,Breviary,Q657,,
Binding fragment: bifolio from a liturgical manuscript,,,,Liturgical text,Q10839,,
Binding fragment: folio from a noted Breviary,,,,Breviary,Q657,,
Folio from an East Anglian Breviary,,,,Breviary,Q657,,
Folio of a Quran from Persia (Shiraz?),,,,Qurʼan,Q3697,,
Binding fragment: folio from a Bible (Leviticus),,,,Bible;Book of Leviticus,Q661;Q38395,,
Folio from a Missal,,,,Missal,Q662,,
Folio from a Coptic Lectionary with Arabic annotations,,,,Coptic-Arabic lectionary,Q27747,,
Binding fragment: horizontal fragment from a large Antiphonal or Gradual,,,,Liturgical text,Q10839,,
Folio from a Breviary or a Missal,,,,Liturgical text,Q10839,,
Binding fragment: folio from a Bible concordance,,,,Bible concordance,Q20472,,
Bifolio from a glossed Gospel text,,,,Gospels,Q6034,,
Binding fragment: notated Breviary or Missal,,,,Liturgical text,Q10839,,
Folio from a Bible (Proverbs),,,,Bible;Book of Proverbs,Q661;Q20508,,
Folio from an Antiphonal,,,,Antiphonary,Q654,,
Two folios from the Llangattock Breviary,,,,Llangattock Breviary;Breviary,Q44092;Q657,,
Binding fragment: folio from a Bible,,,,Bible,Q661,,
Binding fragment: Passion of Saint Cecilia,,,,Passion of Saint Cecilia,Q103468,,
Binding fragment: bifolio from a liturgical text with Saints' lives,,,,Hagiography,Q6022,,
Folio from the Chester Beatty Bible,,,,Chester Beatty Bible;Bible,Q103473;Q661,,
"Cutting: historiated initial of King David, from a liturgical manuscript",,,,Historiated initial,Q19917,,
Folio from the Saint Albans Bible (Ezekiel),,,,Saint Albans Bible;Bible;Book of Ezekiel,Q103474;Q661;Q1342,,
Binding fragment: folio fragment from an Antiphonal or Responsorial,,,,Liturgical text,Q10839,,
Folio from a Gradual,,,,Gradual,Q1121,,
Folio with Persian-style miniature painted over printed text,,,,Miniatures,Q20429,,
Folio with Persian-style miniature and printed text,,,,Miniatures,Q20429,,
Folio with Persian text and miniatures,,,,Persian text;Miniatures,Q20451;Q20429,,
Folio from a Bible (Isaiah),,,,Bible;Book of Isaiah,Q661;Q20443,,
Folio from a Breviary,,,,Breviary,Q657,,
Folio from a Bible (Judith and Esther),,,,Bible;Book of Judith;Book of Esther,Q661;Q20493;Q39133,,
Bifolium from a noted Breviary,,,,Breviary,Q657,,
Trimmed folio from a glossed theological text,,,,Theological text,Q5950,,
Charter regarding Joan Bruniquer,,,,Charter,Q8385,,
Flyleaves with a note claiming to contain the handwriting of Thomas More,,,,,,,
Binding fragment: horizontal strip from a Breviary with neumes.,,,,Breviary,Q657,,
Folio from an Italian Book of Hours,,,,Book of hours,Q795,,
Folio from an Italian Ferial Psalter or portable Hymnal,,,,Liturgical text,Q10839,,
"Folio from Peter Riga, Aurora (Ege ms. 7)",,,,Aurora,Q7839,,
Binding fragment: folio from an unknown historical text,,,,Historical texts,Q7021,,
Two folios from an unknown Arabic text.,,,,Arabic text,Q38349,,
"Folio from an English Bible (Ecclesiasticus, Schoyen ms. 1278)",,,,Bible;Ecclesiasticus,Q661;Q103467,,
