ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title_as_recorded,uniform_title_agr,title_as_recorded,title_as_recorded_agr,standard_title,genre_as_recorded,genre_vocabulary,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent,associated_agent_label,associated_agent_wikidata,associated_agent_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,digital-scriptorium,Q49210,New York University,"",Fragment 023,https://archive.org/details/Fragment023_25,https://iiif.archivelab.org/iiif/images_Fragment023_25/manifest.json,France,http://vocab.getty.edu/tgn/1000070,France,s. XIII(1); 1200-1250,1200^1250,13,http://vocab.getty.edu/aat/300404505,false,"","",Commentariorum in Matthaeum Libri Octo,"",Commentary on Matthew;Gospel of Matthew,"",,,,"",,,Rabanus Maurus,"","",Q160441,human,Rabanus Maurus,"","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children.|by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).","","",Homer Lewis Bartlett|,Q116850379|,human|,"","","","Script, f. 1r-v: Gothic.|Layout, f. 1r-v: 2 columns with center rule between the columns.","Bibliography: De Ricci, p. 1346.|f. 1r-v: Latin.|f. 1r-v: Contains parts of Book II, chapter 6, ""De eleemosyna facienda, de orando Deo, de vitanda hypocrisi et avaritia""; PL 107:814C-815D.","",2023-06-27T15:27:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/nyu/mets/ds_50_25_00132478.xml
,,,digital-scriptorium,Q49210,New York University,"",Fragment 031,https://archive.org/details/Fragment031_25,https://iiif.archivelab.org/iiif/images_Fragment031_25/manifest.json,France,http://vocab.getty.edu/tgn/1000070,France,s. XIII; 1200-1299,1200^1299,13,http://vocab.getty.edu/aat/300404505,false,"","",Codex,"",Codex,"",,,,"",,,Justinian,"","",Q41866,human,Justinian I,"","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"The book from which this leaf originates was in England by the 16th century as witnessed by the note scribbled upside down onto the lower margin of the verso (the lighter side of the parchment), in anglicana script: ""The power that mynos used making al lawes xi & xxvi"" (presumably in reference to the Pseudo Platonic dialogue, Minos).|This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children; by 1902, he was second vice-president of the Eastern District Savings Bank.|De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).","","",|Homer Lewis Bartlett|,|Q116850379|,|human|,"","","","Other decoration, f. 1r-v: Within the text, alternating red or blue 1-line initials. Placed in the margins are long initials (the letters I and Y) in alternating red or blue with the other color marking the internal space on the letter.|Script, f. 1r-v: Gothic.|Layout, f. 1r-v: Center two columns for main text copied in a rounder script, surrounded by gloss in a less formal script; the two texts are connected by tie marks of varied nature.","Bibliography: De Ricci, p. 1346.|f. 1r-v: Latin.|f. 1r-v: Early dating of the leaf is based on the presence of straight r only even after an o (except for the -orum abbreviation); later forms of the script are in the glossing hand.|f. 1r-v: Justinian, Corpus iuris civilis, in Pt. I, the Codex Justinianus, Book XI (Theodosiani Novellae), chapters 18-29, and specifically the leaf contains 11.18.1.4 to 11.29.1 with some loss due to trimming of uppermost margin.|Incipit, f. 1r-v: et tessere desigentur et nostre pietatis nomine censeantur. De alexandrie primatibus, Idem. Corporatos civitatis alexan//.|Explicit, f. 1r-v: //<darkened by glue>//per inventionem translata est, prime constitutionis terminis concludatur, hoc est, quod in initio dispositionis constitutum est, id in posterum nulla addita novatione servetur. De studiis liberalibus urbis constantinopolitane. Imp. <?>. Universos qui usurpantes sibi nomina magistrorum in publicis magistrationibus cellulisque collectos.","",2023-06-27T15:27:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/nyu/mets/ds_50_25_00132479.xml
,,,digital-scriptorium,Q49210,New York University,"",Fragment 040,https://archive.org/details/Fragment040_25,https://iiif.archivelab.org/iiif/images_Fragment040_25/manifest.json,Italy,http://vocab.getty.edu/tgn/1000080,Italy,s. XII; 1100-1199,1100^1199,12,http://vocab.getty.edu/aat/300404504,false,"","",Homeliae de tempore,"",Homeliae de tempore,"",,,,"",,,Haymo of Halberstadt,"","",Q472833,human,Haymo of Halberstadt,"","","","","","","","","","","","","Haymo of Auxerre, possible author","","",Haimo of Auxerre,Q2934990,human,Latin,Q397,Latin,"This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children.|by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).","","",Homer Lewis Bartlett|,Q116850379|,human|,"","","","Script, f. 1r-v: Pregothic.|Layout, f. 1r-v: Two columns.","Bibliography: De Ricci, p. 1346.|f. 1r-v: Latin.|f. 1r-v: Contains part of Homily 122, ""Dominica Undecima post Pentecosten,"" PL 118:653D-655B. Part of the same manuscript as NYU Fragment 48.","",2023-06-27T15:27:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/nyu/mets/ds_50_25_00132480.xml
,,,digital-scriptorium,Q49210,New York University,"",Fragment 048,https://archive.org/details/Fragment048_25,https://iiif.archivelab.org/iiif/images_Fragment048_25/manifest.json,Italy,http://vocab.getty.edu/tgn/1000080,Italy,s. XII; 1100-1199,1100^1199,12,http://vocab.getty.edu/aat/300404504,false,"","",Homeliae de tempore,"",Homeliae de tempore,"",,,,"",,,Haymo of Halberstadt,"","",Q472833,human,Haymo of Halberstadt,"","","","","","","","","","","","","Haymo of Auxerre, possible author","","",Haimo of Auxerre,Q2934990,human,Latin,Q397,Latin,"This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children.|by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).","","",Homer Lewis Bartlett|,Q116850379|,human|,"","","","Script, f. 1r-v: Pregothic.|Layout, f. 1r-v: 2 columns.","Bibliography: De Ricci, p. 1346.|f. 1r-v: Latin.|f. 1r-v: Contains part of Homily 122, ""Dominica Undecima post Pentecosten,"" PL 118:654A-655B. Part of the same manuscript as NYU Fragment 40.","",2023-06-27T15:27:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/nyu/mets/ds_50_25_00132481.xml
,,,digital-scriptorium,Q49210,New York University,"",Fragment 049,https://archive.org/details/Fragment049_25,https://iiif.archivelab.org/iiif/images_Fragment049_25/manifest.json,France,http://vocab.getty.edu/tgn/1000070,France,s. XIII; 1200-1299,1200^1299,13,http://vocab.getty.edu/aat/300404505,false,"","","Bible, O. T.","",Bible;Old Testament,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children.|by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).","","",Homer Lewis Bartlett|,Q116850379|,human|,"","","","Script, f. 1r-v: Gothic.|Layout, f. 1r-v: Two columns.","Bibliography: De Ricci, p. 1346.|f. 1r-v: Latin.|f. 1r-v: Paleography notes: single-chambered a; mostly bent d but some upright d; the letter i is ticked in cases of possible ambiguity; uncrossed Tironian seven; round r only after o; ascenders of b and h are forked; generally compressed script; some otiose strokes on capital letters.|. 1r-v: Contains Numbers 23:29-26:26.","The class for Middle English paleography, taught by Prof. Christopher Baswell in Spring term, 2018, identified scripts in blitz sessions at the end of term; we thank these students very much.",2023-06-27T15:27:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/nyu/mets/ds_50_25_00132482.xml
,,,digital-scriptorium,Q49210,New York University,"",Fragment 051,https://archive.org/details/Fragment051_25,https://iiif.archivelab.org/iiif/images_Fragment051_25/manifest.json,France,http://vocab.getty.edu/tgn/1000070,France,s. XIII(3/4); 1250-1275,1250^1275,13,http://vocab.getty.edu/aat/300404505,false,"","","Codex, Liber Sextus","",Codex,"",,,,"",,,Justinian,"","",Q41866,human,Justinian I,"","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children.|by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).","","",Homer Lewis Bartlett|,Q116850379|,human|,"","","","Script, f. 1r-v: Gothic.|Layout, f. 1r-v: 2 center columns surrounded on all sides by a gloss.","Bibliography: De Ricci, p. 1346.|f. 1r-v: Latin.|f. 1r-v: Paleography: very short proportions; close to a box-A (which pushes the script later in date); 2-shaped r after any lobe and after the box-A; 2-shaped abbreviation mark for con/cum.|f. 1r-v: Contains 6.40.3 pr. to 6.42.26.|Incipit, f. 1r-v: Imperatores Diocletianus, Maximianus. Ex repudiacione fidei commissi doli mali excepcio iusta causa intercedente//.|Explicit, f. 1r-v: //masculis esse sublatam pertinere quidem ad sensum nostrae legis, quam super hoc promulgavimus.","The class for Middle English paleography, taught by Prof. Christopher Baswell in Spring term, 2018, identified scripts in blitz sessions at the end of term; we thank these students very much.",2023-06-27T15:27:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/nyu/mets/ds_50_25_00132483.xml
,,,digital-scriptorium,Q49210,New York University,"",Fragment 116,https://archive.org/details/Fragment116_25,https://iiif.archivelab.org/iiif/images_Fragment116_25/manifest.json,Undetermined,http://vocab.getty.edu/tgn/7544559,undetermined,s. XI?; 1000-1099,1000^1099,11,http://vocab.getty.edu/aat/300404503,false,"","","","","","",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Greek,Q9129,Greek,"This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children.|by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).","","",Homer Lewis Bartlett|,Q116850379|,human|,"","","","Script, f. 1r-v: Perlschrift.|Layout, f. 1r-v: One column of 33 lines ruled on the hair side, although ruling pattern is not discernible.","Bibliography: De Ricci, p. 1346. Jean-Marie Olivier, ed., Répertoire des bibliothèques et des catalogues de manuscrits grecs de Marcel Richard 3rd ed. (Turnhout 1995) p. 589. N. Kavrus-Hoffmann, ""Catalogue . . .,"" Manuscripta51 (2007) pp. 99-100.|f. 1r-v: Damage from glue (from the leaf's use as a pastedown) affecting some of the text.|f. 1r-v: Greek.|f. 1r-v: Text is unidentified.",Dr. Nadezhda Kavrus-Hoffmann kindly supplied the information for this description.,2023-06-27T15:27:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/nyu/mets/ds_50_25_00132484.xml
,,,digital-scriptorium,Q49210,New York University,"",Fragment 117,https://archive.org/details/Fragment117_25,https://iiif.archivelab.org/iiif/images_Fragment117_25/manifest.json,Undetermined,http://vocab.getty.edu/tgn/7544559,undetermined,s. X/XI; 990-1010,990^1010,10;11,http://vocab.getty.edu/aat/300404502;http://vocab.getty.edu/aat/300404503,false,"","","","","","",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Greek,Q9129,Greek,"This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children.|by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).","","",Homer Lewis Bartlett|,Q116850379|,human|,"","","","Script, f. 1r-v: Perlschrift.|Layout, f. 1r-v: Two columns (although the first is cropped) of 37 lines ruled on the hair side.","Bibliography: De Ricci, p. 1346. Jean-Marie Olivier, ed., Répertoire des bibliothèques et des catalogues de manuscrits grecs de Marcel Richard 3rd ed. (Turnhout 1995) p. 589. N. Kavrus-Hoffmann, ""Catalogue . . .,"" Manuscripta51 (2007) pp. 101-102.|f. 1r-v: Survived to the present day in part due to its use as a cover for a small book.|f. 1r-v: Greek.|f. 1r-v: Text is unidentified.",Dr. Nadezhda Kavrus-Hoffmann kindly supplied the information for this description.,2023-06-27T15:27:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/nyu/mets/ds_50_25_00132485.xml
,,,digital-scriptorium,Q49210,New York University,"",Fragment 001,,,England,http://vocab.getty.edu/tgn/7002445,England,s. XIV; 1300-1399,1300^1399,14,http://vocab.getty.edu/aat/300404506,false,"","",Liber sententiarum,"",Liber sententiarum,"",,,,"",,,Peter Lombard,"","",Q315347,human,Peter Lombard,"","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children.|by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).","","",Homer Lewis Bartlett|,Q116850379|,human|,"","","","Other decoration, f. 1r-v: Red and blue cascade; red penwork flourishing.|Script, f. 1r-v: Gothic book hand.|Layout, f. 1r-v: 2 columns of 12 lines, i.e. the bottom half (approx.) of the leaf, ruled in lead with a center line between the columns.","Bibliography: De Ricci, p. 1346.|f. 1r-v: Latin.|f. 1r-v: Notes added, s. XV, in the outer margin of the resto in an English hand.|f. 1r-v: The text on these two half-pages is: Peter Lombard, Liber Sententiarum, Book IV: on the recto, parts of Distinctio 28; on the verso, parts of Distinctiones 29 and 30. Incipits and explicits are from the top of the first column and the bottom of the second column of each page (and ignoring the missing parts of each page): Recto (cited below for Incipit and Explicit): //aliter vero presumpta non coniugia sed adulteria vel fornicatores sunt nisi voluntas propria suffragata fuerit et vota succurrerint legitima . . . Si ergo contra <damaged> propositum suum post consensit in carnalem copulam//. Verso: //militi daturum necessitatis instante articulo sub fidei pollicitatione confirmasti hoc equitate dictante decrevimus . . . error quoque persone consensum coniugalem non admittit ut//.|Incipit, f. 1r-v: Si ergo contra <damaged> propositum suum post consensit in carnalem copulam//.|Explicit, f. 1r-v: //aliter vero presumpta non coniugia sed adulteria vel fornicatores sunt nisi voluntas propria suffragata fuerit et vota succurrerint legitima.","",2023-06-27T15:27:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/nyu/mets/ds_50_25_00206250.xml
,,,digital-scriptorium,Q49210,New York University,"",Fragment 002,,,England,http://vocab.getty.edu/tgn/7002445,England,"","",,,false,"","",Liber extra,"","","",,,,"",,,Raymond of Pennafort,"","",Q318980,human,Raymond of Penyafort,"","","","","","","","","","","","","","","","","","",[Latin],Q397,Latin,"This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children.|by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).","","",Homer Lewis Bartlett|,Q116850379|,human|,"","","","Other decoration, f. 1r-v: Red rubrics; large initials not completed (only the guide letters are present).|Script, f. 1r-v: Gothic book hand.|Layout, f. 1r-v: 2 columns.","Bibliography: De Ricci, p. 1346.|f. 1r-v: Latin.|f. 1r-v: Rubrics for these chapters: De consuetudine (=Titulus 4, vol. 2, cols. 85-86); De postulatione (=Titutlus 5, vol. 2, cols. 97-98); [De electione, no title; would have been Titulus 6, vol. 2, cols. 208]; De baptismo; De <?>; De constitutionibus; De <?>.","",2023-06-27T15:27:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/nyu/mets/ds_50_25_00206251.xml
