material_as_recorded,authorized_label,structured_value
"European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
"Laid paper with embossed margin, illuminations",paper,http://vocab.getty.edu/aat/300014109
"Laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
Mixed,mixed media,http://vocab.getty.edu/aat/300163347
Non-European laid paper,paper,http://vocab.getty.edu/aat/300014109
Paper,paper,http://vocab.getty.edu/aat/300014109
Parchment,parchment,http://vocab.getty.edu/aat/300011851
fine vellum,parchment,http://vocab.getty.edu/aat/300011851
laid paper,paper,http://vocab.getty.edu/aat/300014109
laid paper with watermark,paper,http://vocab.getty.edu/aat/300014109
"laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
machine-made wove paper,paper,http://vocab.getty.edu/aat/300014109
non-European laid paper,paper,http://vocab.getty.edu/aat/300014109
"non-European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
paper,paper,http://vocab.getty.edu/aat/300014109
paper (2 leaves parchment),paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
paper and parchment,paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
"paper reinforced by card, color illustrations",paper,http://vocab.getty.edu/aat/300014109
"paper, col. ill.",paper,http://vocab.getty.edu/aat/300014109
"paper, color illustrations",paper,http://vocab.getty.edu/aat/300014109
"paper, diagrams",paper,http://vocab.getty.edu/aat/300014109
"paper, ill.",paper,http://vocab.getty.edu/aat/300014109
"paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
"paper, illustration",paper,http://vocab.getty.edu/aat/300014109
"paper, illustrations",paper,http://vocab.getty.edu/aat/300014109
"paper, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109
paper|parchment,paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
parchment,parchment,http://vocab.getty.edu/aat/300011851
parchment and paper,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
"parchment, col. ill.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, ill.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminations, tables",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illustration",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illustrations",parchment,http://vocab.getty.edu/aat/300011851
"parchment, semi-translucent",parchment,http://vocab.getty.edu/aat/300011851
"parchment, translucent",parchment,http://vocab.getty.edu/aat/300011851
parchment|paper,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
rag paper,paper,http://vocab.getty.edu/aat/300014109
stone,stone,http://vocab.getty.edu/aat/300011176
tinted smooth paper,paper,http://vocab.getty.edu/aat/300014109
translucent parchment,parchment,http://vocab.getty.edu/aat/300011851
vellulm,parchment,http://vocab.getty.edu/aat/300011851
vellum,parchment,http://vocab.getty.edu/aat/300011851
